"","x"
"1","Dm_00009351-RA"
"2","Dm_00007301-RA"
"3","Dm_00015351-RA"
"4","Dm_00010572-RA"
"5","Dm_00018975-RA"
"6","Dm_00018806-RA"
"7","Dm_00006071-RA"
"8","Dm_00006151-RA"
"9","Dm_00006390-RA"
"10","Dm_00006305-RA"
"11","Dm_00011643-RA"
"12","Dm_00012516-RA"
"13","Dm_00014129-RA"
"14","Dm_00013427-RA"
"15","Dm_00005593-RA"
"16","Dm_00005376-RA"
"17","Dm_00004998-RA"
"18","Dm_00005238-RA"
"19","Dm_00005448-RA"
"20","Dm_00005681-RA"
"21","Dm_00005535-RA"
"22","Dm_00020105-RA"
"23","Dm_00020206-RA"
"24","Dm_00020342-RA"
"25","Dm_00001787-RA"
"26","Dm_00001884-RA"
"27","Dm_00001881-RA"
"28","Dm_00001219-RA"
"29","Dm_00002313-RA"
"30","Dm_00001416-RA"
"31","Dm_00001869-RA"
"32","Dm_00001773-RA"
"33","Dm_00001822-RA"
"34","Dm_00001519-RA"
"35","Dm_00002128-RA"
"36","Dm_00001849-RA"
"37","Dm_00020691-RA"
"38","Dm_00003489-RA"
"39","Dm_00003509-RA"
"40","Dm_00003821-RA"
"41","Dm_00019933-RA"
"42","Dm_00019215-RA"
"43","Dm_00012722-RA"
"44","Dm_00014151-RA"
"45","Dm_00013228-RA"
"46","Dm_00010749-RA"
"47","Dm_00010274-RA"
"48","Dm_00017749-RA"
"49","Dm_00016470-RA"
"50","Dm_00008104-RA"
"51","Dm_00008673-RA"
"52","Dm_00006952-RA"
"53","Dm_00009636-RA"
"54","Dm_00008058-RA"
"55","Dm_00007965-RA"
"56","Dm_00008136-RA"
"57","Dm_00007438-RA"
"58","Dm_00006090-RA"
"59","Dm_00006432-RA"
"60","Dm_00006653-RA"
"61","Dm_00018681-RA"
"62","Dm_00016923-RA"
"63","Dm_00015022-RA"
"64","Dm_00014877-RA"
"65","Dm_00013708-RA"
"66","Dm_00012697-RA"
"67","Dm_00012539-RA"
"68","Dm_00012618-RA"
"69","Dm_00009956-RA"
"70","Dm_00010407-RA"
"71","Dm_00011025-RA"
"72","Dm_00011619-RA"
"73","Dm_00013244-RA"
"74","Dm_00001033-RA"
"75","Dm_00000977-RA"
"76","Dm_00000090-RA"
"77","Dm_00000150-RA"
"78","Dm_00001138-RA"
"79","Dm_00001147-RA"
"80","Dm_00000018-RA"
"81","Dm_00000671-RA"
"82","Dm_00000717-RA"
"83","Dm_00000638-RA"
"84","Dm_00000261-RA"
"85","Dm_00017541-RA"
"86","Dm_00004866-RA"
"87","Dm_00004567-RA"
"88","Dm_00004423-RA"
"89","Dm_00003242-RA"
"90","Dm_00004512-RA"
"91","Dm_00002880-RA"
"92","Dm_00002883-RA"
"93","Dm_00005141-RA"
"94","Dm_00004175-RA"
"95","Dm_00004183-RA"
"96","Dm_00007763-RA"
"97","Dm_00009034-RA"
"98","Dm_00013339-RA"
"99","Dm_00015852-RA"
"100","Dm_00017969-RA"
"101","Dm_00018220-RA"
"102","Dm_00007290-RA"
"103","Dm_00007112-RA"
"104","Dm_00005949-RA"
"105","Dm_00007195-RA"
"106","Dm_00010050-RA"
"107","Dm_00015270-RA"
"108","Dm_00007486-RA"
"109","Dm_00007601-RA"
"110","Dm_00008239-RA"
"111","Dm_00017338-RA"
"112","Dm_00010658-RA"
"113","Dm_00009532-RA"
"114","Dm_00016476-RA"
"115","Dm_00015639-RA"
"116","Dm_00020012-RA"
"117","Dm_00003422-RA"
"118","Dm_00002956-RA"
