"","beta0","betaNoPreyvsPrey","betaTime","betaTimexNoPrey","betaTime2","betaTime2xNoPrey"
"Dm_00009413-RA",3.69951413986379,0,0.0112774523081533,-0.00595370327404816,-7.77190859617087e-06,4.114200855244e-06
"Dm_00009749-RA",3.87705451934953,0,0.000391201128540149,0.00484636538589995,0,-3.53285037415989e-06
"Dm_00009367-RA",4.57287506264531,0,0.00431479438900571,-0.00372977766830981,-3.02459435959827e-06,2.72296816270955e-06
"Dm_00009953-RA",3.40691744991872,0,0.000192454687057155,-0.0083255870384421,0,5.54544740433853e-06
"Dm_00009307-RA",3.42668229273145,0,0.0171052757061435,-0.0169630379055218,-1.13364640655154e-05,1.11736675234663e-05
"Dm_00009351-RA",4.75525159014141,0,-0.00849688274800694,0.00776590903600855,5.59042401205322e-06,-5.2703595389311e-06
"Dm_00010119-RA",4.18731908158906,0,0.00422808358427355,-0.0105964841623193,-2.98485386048852e-06,7.38787256966362e-06
"Dm_00008368-RA",5.3708696237283,0,-0.0470385416014056,0.031398240545335,3.25881308175633e-05,-2.10825339027562e-05
"Dm_00008976-RA",3.21434869952123,0,0.00658474238938277,-0.00796521586212983,-4.31297862588193e-06,5.46091430123728e-06
"Dm_00007301-RA",3.8413433081698,0,-0.00863754523586932,0.000166050223139737,5.87044406278159e-06,0
"Dm_00012190-RA",3.81100574020509,0,0.000182386684710173,0.00895880232080616,0,-6.26920374723658e-06
"Dm_00016627-RA",4.35000200836132,0,0.00407193053323232,-0.00669042124677438,-2.95508458651376e-06,4.79274082772438e-06
"Dm_00015351-RA",3.08011744220236,0,-0.0139030899607073,0.000342257212528369,9.34702352411403e-06,0
"Dm_00015956-RA",5.92999567800235,0,0.000262001405888011,-0.00096806872713572,0,0
"Dm_00012636-RA",0.678808648856453,0.849887237536571,0.0280682758738812,-0.0194277212325416,-1.87869821955117e-05,1.26151101779826e-05
"Dm_00012260-RA",0,2.99702126920776,0.105686630638343,-0.06723006533252,-7.08658536008335e-05,4.31417678493837e-05
"Dm_00010398-RA",4.60893869052371,0.489921920720252,0.029164697564516,-0.0162347666903278,-1.97878038842386e-05,1.06799902578419e-05
"Dm_00010589-RA",4.58917478516573,0.401489948277896,0,0,1.99669935193973e-07,-3.18557760936139e-07
"Dm_00009648-RA",2.89440753673336,0,0,0.00603741131480237,3.46590302267478e-07,-4.48643884243703e-06
"Dm_00010572-RA",4.59994575907994,0,-0.0135413428817548,0.00939290207738677,9.10033470755111e-06,-6.29042814679046e-06
"Dm_00010599-RA",-1.32811118843263,0,0.00301617058609162,-0.0038653783924031,0,0
"Dm_00012073-RA",4.35393497229239,0,0.027910749483646,-0.00181719587302565,-1.85450579022059e-05,0
"Dm_00018975-RA",2.42596126269413,0,-0.0159594376745599,0.0106537038954599,1.09632216161242e-05,-7.40904091193885e-06
"Dm_00017385-RA",-1.75508250686254,0,0.00417899439649439,-0.00269765196750767,0,0
"Dm_00018931-RA",3.17893541706651,0.245682025164918,-0.000186571213086632,0,0,0
"Dm_00018806-RA",3.96090905063438,0,-0.00848816184902594,0.00024598284618269,5.68921533724424e-06,0
"Dm_00005516-RA",4.88306237969066,0,-0.0187907926817647,0.0166072424178853,1.38662632217814e-05,-1.20290863197118e-05
"Dm_00005520-RA",3.18154297569093,0,0.0151132355074194,-0.00888767319476914,-1.0281335904577e-05,5.89741535757849e-06
"Dm_00005515-RA",5.11212454908762,0,-0.0135012173831061,0,1.01595533277813e-05,-3.64759719438172e-07
"Dm_00006859-RA",0.785845672197607,0,0.0216965989338006,-0.000905013234931823,-1.42559790835019e-05,0
"Dm_00006857-RA",2.58549173436329,0,0.00992368935021755,-0.00628451492849484,-6.75560113958151e-06,4.18134845746549e-06
"Dm_00006565-RA",7.85417484878736,0,-0.00928050316816778,0.0185100015104621,6.29284452374286e-06,-1.28803846596478e-05
"Dm_00006071-RA",2.84829419559207,0,-0.0137518472957765,0.000498906869261322,9.07567197213337e-06,0
"Dm_00006067-RA",2.12508372502944,0,0,0.0201163339788887,0,-1.40293738999229e-05
"Dm_00006151-RA",5.74995340708228,0,-0.0219372887753765,0.017091961660043,1.46980656204537e-05,-1.15690740026716e-05
"Dm_00006390-RA",4.22008451038439,0,-0.00983938379475405,0,6.64275794157608e-06,2.14149999645493e-07
"Dm_00006404-RA",3.59600362288683,0.683603696209679,0.00156780799355577,0,0,-9.17906074000348e-07
"Dm_00005783-RA",3.49133434795969,0,0.00862313765374842,-0.000668742304336755,-5.56683538450927e-06,0
"Dm_00006686-RA",3.06499895242039,0,0,0.0196668506379747,0,-1.38332832118457e-05
"Dm_00006102-RA",4.0505240923639,0,0.00530237452657229,-0.0047720432654702,-3.7121373717509e-06,3.34408211454327e-06
"Dm_00004895-RA",2.49845534152349,-1.00388203696059,0,0,6.91078861916549e-07,0
"Dm_00006305-RA",3.75498197625123,-0.282204524448435,-0.00584398007601537,0,3.81815368165173e-06,3.17695845043095e-07
"Dm_00021005-RA",3.54151240249764,0,0.0179047410824859,0,-1.17564528860835e-05,-1.15063898636544e-06
"Dm_00021072-RA",0,0,0.00566526704439663,0,0,0
"Dm_00011712-RA",4.91128762866259,0,0.00749198079656258,-0.000201711774018484,-4.96428874207418e-06,0
"Dm_00011360-RA",4.86931495541267,0,0,-0.000332155185808711,2.37392363246606e-07,0
"Dm_00011381-RA",2.8167757546725,0,-0.0130539603688649,0.0141238964297531,9.51727565257428e-06,-1.03303238998788e-05
"Dm_00010505-RA",3.1888913943241,0,0.0174839356069748,-0.0107414517360778,-1.16992023253389e-05,6.99526613792715e-06
"Dm_00012014-RA",3.72324751378358,0.462708577507594,0.0226234269355496,-0.0148451005475483,-1.53194678382319e-05,9.79125531821274e-06
"Dm_00010933-RA",2.16030001020129,0,0.0203216299730424,-0.0176858824713415,-1.40907640755078e-05,1.23138758873968e-05
"Dm_00009547-RA",0,0,0.05575183575959,-0.00546923492184721,-3.51008721544258e-05,0
"Dm_00011642-RA",5.02954072088989,0,0.000933818343810908,-0.000684127617304754,0,0
