Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	1208	1208
OG0000001	1129	1127
OG0000002	858	858
OG0000003	477	477
OG0000004	421	421
OG0000005	431	421
OG0000006	357	357
OG0000007	298	280
OG0000008	265	245
OG0000009	266	260
OG0000010	274	274
OG0000011	236	228
OG0000012	268	268
OG0000013	255	249
OG0000014	250	250
OG0000015	199	189
OG0000016	191	185
OG0000017	217	217
OG0000018	175	171
OG0000019	213	213
OG0000020	202	195
OG0000021	173	164
OG0000022	178	167
OG0000023	174	163
OG0000024	166	158
OG0000025	159	153
OG0000026	161	143
OG0000027	127	112
OG0000028	168	151
OG0000029	154	140
OG0000030	159	153
OG0000031	140	130
OG0000032	170	164
OG0000033	191	191
OG0000034	150	140
OG0000035	186	186
OG0000036	187	187
OG0000037	146	135
OG0000038	138	127
OG0000039	181	181
OG0000040	152	142
OG0000041	89	72
OG0000042	133	124
OG0000043	135	125
OG0000044	98	87
OG0000045	167	165
OG0000046	106	95
OG0000047	93	69
OG0000048	129	119
OG0000049	157	151
OG0000050	129	109
OG0000051	138	125
OG0000052	149	142
OG0000053	158	158
OG0000054	158	158
OG0000055	77	68
OG0000056	125	116
OG0000057	153	153
OG0000058	114	108
OG0000059	116	105
OG0000060	120	100
OG0000061	149	149
OG0000062	149	149
OG0000063	93	83
OG0000064	143	143
OG0000065	109	93
OG0000066	143	143
OG0000067	119	117
OG0000068	120	118
OG0000069	141	141
OG0000070	86	74
OG0000071	63	58
OG0000072	86	43
OG0000073	127	121
OG0000074	133	133
OG0000075	108	99
OG0000076	123	117
OG0000077	87	78
OG0000078	101	94
OG0000079	109	104
OG0000080	129	129
OG0000081	130	130
OG0000082	130	130
OG0000083	129	129
OG0000084	113	109
OG0000085	58	54
OG0000086	124	124
OG0000087	76	71
OG0000088	96	89
OG0000089	92	89
OG0000090	94	88
OG0000091	80	72
OG0000092	90	66
OG0000093	95	83
OG0000094	124	124
OG0000095	89	86
OG0000096	95	93
OG0000097	85	72
OG0000098	63	55
OG0000099	99	95
OG0000100	120	120
OG0000101	93	85
OG0000102	86	79
OG0000103	76	70
OG0000104	82	77
OG0000105	70	67
OG0000106	95	92
OG0000107	80	78
OG0000108	84	83
OG0000109	83	83
OG0000110	87	80
OG0000111	110	110
OG0000112	79	59
OG0000113	60	51
OG0000114	88	85
OG0000115	70	61
OG0000116	62	16
OG0000117	94	89
OG0000118	54	31
OG0000119	84	74
OG0000120	54	49
OG0000121	68	60
OG0000122	60	39
OG0000123	83	82
OG0000124	68	64
OG0000125	66	60
OG0000126	92	83
OG0000127	70	66
OG0000128	88	74
OG0000129	86	83
OG0000130	106	106
OG0000131	76	73
OG0000132	104	104
OG0000133	105	105
OG0000134	79	73
OG0000135	55	49
OG0000136	59	52
OG0000137	86	81
OG0000138	53	39
OG0000139	78	72
OG0000140	85	81
OG0000141	102	102
OG0000142	91	88
OG0000143	73	68
OG0000144	58	50
OG0000145	83	80
OG0000146	71	62
OG0000147	70	66
OG0000148	65	62
OG0000149	64	57
OG0000150	101	101
OG0000151	101	101
OG0000152	60	48
OG0000153	66	59
OG0000154	59	44
OG0000155	74	72
OG0000156	51	42
OG0000157	67	61
OG0000158	99	99
OG0000159	68	64
OG0000160	68	68
OG0000161	75	70
OG0000162	63	63
OG0000163	54	45
OG0000164	57	55
OG0000165	86	76
OG0000166	96	96
OG0000167	93	88
OG0000168	74	70
OG0000169	67	60
OG0000170	49	43
OG0000171	53	44
OG0000172	74	73
OG0000173	87	79
OG0000174	94	94
OG0000175	91	90
OG0000176	95	95
OG0000177	88	78
OG0000178	86	82
OG0000179	51	48
OG0000180	68	65
OG0000181	73	71
OG0000182	57	48
OG0000183	73	71
OG0000184	61	57
OG0000185	57	55
OG0000186	81	78
OG0000187	38	27
OG0000188	65	61
OG0000189	65	61
OG0000190	81	75
OG0000191	66	56
OG0000192	55	50
OG0000193	69	64
OG0000194	87	83
OG0000195	90	90
OG0000196	91	91
OG0000197	91	91
OG0000198	46	33
OG0000199	35	28
OG0000200	56	51
OG0000201	59	52
OG0000202	78	75
OG0000203	76	73
OG0000204	88	88
OG0000205	89	89
OG0000206	51	50
OG0000207	34	27
OG0000208	68	65
OG0000209	89	89
OG0000210	89	89
OG0000211	52	43
OG0000212	59	50
OG0000213	62	56
OG0000214	75	71
OG0000215	53	23
OG0000216	57	57
OG0000217	72	68
OG0000218	67	65
OG0000219	68	60
OG0000220	56	53
OG0000221	54	50
OG0000222	37	32
OG0000223	69	65
OG0000224	60	60
OG0000225	86	86
OG0000226	86	86
OG0000227	59	55
OG0000228	54	50
OG0000229	68	67
OG0000230	51	45
OG0000231	64	63
OG0000232	67	61
OG0000233	83	83
OG0000234	85	85
OG0000235	57	56
OG0000236	46	45
OG0000237	66	60
OG0000238	68	63
OG0000239	83	83
OG0000240	47	42
OG0000241	55	49
OG0000242	66	65
OG0000243	60	54
OG0000244	44	39
OG0000245	66	65
OG0000246	70	68
OG0000247	62	59
OG0000248	45	42
OG0000249	41	30
OG0000250	51	47
OG0000251	51	42
OG0000252	63	61
OG0000253	70	66
OG0000254	60	57
OG0000255	63	55
OG0000256	57	55
OG0000257	58	57
OG0000258	81	81
OG0000259	81	81
OG0000260	82	82
OG0000261	82	82
OG0000262	41	34
OG0000263	60	54
OG0000264	60	59
OG0000265	56	54
OG0000266	63	63
OG0000267	63	59
OG0000268	57	53
OG0000269	62	62
OG0000270	61	57
OG0000271	67	65
OG0000272	78	78
OG0000273	72	66
OG0000274	81	81
OG0000275	81	81
OG0000276	37	37
OG0000277	28	25
OG0000278	49	47
OG0000279	56	54
OG0000280	59	59
OG0000281	80	80
OG0000282	80	80
OG0000283	80	80
OG0000284	80	80
OG0000285	63	60
OG0000286	41	34
OG0000287	63	59
OG0000288	59	55
OG0000289	67	66
OG0000290	54	49
OG0000291	47	47
OG0000292	59	56
OG0000293	48	44
OG0000294	60	59
OG0000295	42	39
OG0000296	50	48
OG0000297	52	45
OG0000298	42	34
OG0000299	54	52
OG0000300	60	56
OG0000301	67	65
OG0000302	35	33
OG0000303	58	57
OG0000304	72	71
OG0000305	78	78
OG0000306	78	78
OG0000307	78	78
OG0000308	56	53
OG0000309	58	56
OG0000310	58	51
OG0000311	62	59
OG0000312	77	77
OG0000313	45	45
OG0000314	42	37
OG0000315	56	55
OG0000316	57	57
OG0000317	56	55
OG0000318	65	64
OG0000319	64	62
OG0000320	75	73
OG0000321	36	29
OG0000322	60	57
OG0000323	47	44
OG0000324	42	20
OG0000325	57	57
OG0000326	46	43
OG0000327	39	37
OG0000328	61	56
OG0000329	53	49
OG0000330	48	46
OG0000331	53	50
OG0000332	55	50
OG0000333	76	76
OG0000334	74	74
OG0000335	46	39
OG0000336	45	38
OG0000337	59	59
OG0000338	42	34
OG0000339	51	50
OG0000340	49	47
OG0000341	65	62
OG0000342	47	43
OG0000343	64	61
OG0000344	56	51
OG0000345	53	51
OG0000346	53	52
OG0000347	50	49
OG0000348	46	42
OG0000349	40	33
OG0000350	52	47
OG0000351	46	44
OG0000352	34	32
OG0000353	56	53
OG0000354	48	44
OG0000355	73	73
OG0000356	73	73
OG0000357	74	74
OG0000358	71	71
OG0000359	74	74
OG0000360	54	51
OG0000361	41	22
OG0000362	46	45
OG0000363	41	39
OG0000364	38	36
OG0000365	62	60
OG0000366	53	53
OG0000367	43	39
OG0000368	55	55
OG0000369	58	56
OG0000370	43	42
OG0000371	53	48
OG0000372	57	56
OG0000373	59	58
OG0000374	73	73
OG0000375	39	36
OG0000376	55	45
OG0000377	41	40
OG0000378	48	46
OG0000379	47	46
OG0000380	46	40
OG0000381	45	44
OG0000382	51	50
OG0000383	58	53
OG0000384	39	38
OG0000385	53	50
OG0000386	72	72
OG0000387	54	51
OG0000388	55	55
OG0000389	42	42
OG0000390	51	51
OG0000391	48	46
OG0000392	50	48
OG0000393	51	42
OG0000394	50	49
OG0000395	38	36
OG0000396	48	47
OG0000397	46	44
OG0000398	30	20
OG0000399	34	28
OG0000400	34	28
OG0000401	43	27
OG0000402	52	48
OG0000403	48	41
OG0000404	47	45
OG0000405	44	44
OG0000406	31	30
OG0000407	39	38
OG0000408	47	45
OG0000409	53	53
OG0000410	48	44
OG0000411	59	58
OG0000412	32	31
OG0000413	37	34
OG0000414	53	53
OG0000415	42	42
OG0000416	54	53
OG0000417	49	49
OG0000418	39	37
OG0000419	46	43
OG0000420	49	48
OG0000421	37	32
OG0000422	37	36
OG0000423	41	40
OG0000424	58	58
OG0000425	55	54
OG0000426	57	57
OG0000427	44	41
OG0000428	42	40
OG0000429	69	69
OG0000430	68	68
OG0000431	52	52
OG0000432	55	52
OG0000433	51	49
OG0000434	57	57
OG0000435	34	29
OG0000436	45	39
OG0000437	27	24
OG0000438	54	52
OG0000439	39	37
OG0000440	38	32
