	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
A_coerulea.proteins	0.0	24894.0	25959.0	22418.0	25882.0	22166.0	22810.0	27308.0	26887.0	25992.0	27520.0	28414.0
A_hypochondriacus.proteins	17342.0	0.0	15541.0	14184.0	18454.0	13945.0	14505.0	16328.0	16211.0	18182.0	16476.0	16748.0
A_thaliana.proteins	32746.0	28625.0	0.0	25671.0	29475.0	25006.0	26088.0	31892.0	30887.0	29805.0	31442.0	32028.0
A_vesiculosa.proteins	19539.0	18211.0	17624.0	0.0	18649.0	18752.0	19008.0	19004.0	18181.0	18820.0	18757.0	18682.0
B_vulgaris.proteins	19107.0	19536.0	16925.0	15224.0	0.0	15014.0	15739.0	18162.0	17347.0	19943.0	17857.0	18087.0
D_muscipula.proteins	14911.0	13069.0	12748.0	14398.0	14130.0	0.0	15190.0	14901.0	13091.0	14279.0	13528.0	13782.0
D_spatulata.proteins	14658.0	13381.0	13184.0	13805.0	14042.0	13594.0	0.0	13785.0	13524.0	14128.0	13779.0	13934.0
G_max.proteins	56927.0	48470.0	51583.0	43770.0	50428.0	42917.0	44401.0	0.0	53215.0	50728.0	54499.0	56781.0
L_sativa.proteins	34672.0	29004.0	30485.0	25666.0	30062.0	25091.0	26166.0	32815.0	0.0	30459.0	34320.0	33918.0
P_amilis.proteins	25234.0	24409.0	22489.0	20436.0	26598.0	20352.0	21100.0	23749.0	23207.0	0.0	24011.0	24287.0
S_lycopersicum.proteins	21920.0	17796.0	18979.0	15538.0	18350.0	15346.0	16221.0	20326.0	20665.0	18834.0	0.0	21097.0
V_vinifera.proteins	38900.0	31767.0	32861.0	28110.0	32514.0	27647.0	28656.0	36387.0	35197.0	33427.0	36101.0	0.0
