	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
A_coerulea.proteins	0.0	12350.0	5670.0	8790.0	13249.0	11895.0	12243.0	2355.0	4420.0	8416.0	12144.0	6480.0
A_hypochondriacus.proteins	4423.0	0.0	2357.0	2541.0	5846.0	4310.0	4633.0	766.0	1919.0	3747.0	4229.0	3369.0
A_thaliana.proteins	12402.0	16574.0	0.0	10535.0	19168.0	15671.0	17039.0	2728.0	6381.0	11753.0	16805.0	10283.0
A_vesiculosa.proteins	6955.0	7838.0	3912.0	0.0	10361.0	9762.0	10036.0	1648.0	3185.0	6061.0	7770.0	5644.0
B_vulgaris.proteins	4146.0	5493.0	2360.0	3481.0	0.0	4690.0	4801.0	1384.0	1895.0	4096.0	4935.0	2945.0
D_muscipula.proteins	3506.0	2866.0	1621.0	2287.0	4005.0	0.0	4452.0	2123.0	1290.0	2740.0	2937.0	2525.0
D_spatulata.proteins	2860.0	2689.0	1662.0	1816.0	3501.0	2704.0	0.0	698.0	1197.0	2213.0	2669.0	2074.0
G_max.proteins	25397.0	32557.0	16025.0	19799.0	38977.0	30810.0	33784.0	0.0	13512.0	23590.0	34969.0	21847.0
L_sativa.proteins	14836.0	17267.0	9200.0	11377.0	20371.0	16537.0	17609.0	3849.0	0.0	13014.0	19065.0	12499.0
P_amilis.proteins	8998.0	11738.0	5255.0	7409.0	14503.0	11087.0	11605.0	2391.0	4135.0	0.0	10962.0	6819.0
S_lycopersicum.proteins	6541.0	5550.0	3470.0	3307.0	7110.0	5440.0	5894.0	1519.0	2813.0	4545.0	0.0	5083.0
V_vinifera.proteins	14411.0	19231.0	8663.0	12660.0	20748.0	17825.0	18943.0	3667.0	7529.0	13504.0	20562.0	0.0
