	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
A_coerulea.proteins	0.0	4486.0	2825.0	2992.0	5127.0	4162.0	4492.0	1012.0	2182.0	3554.0	4672.0	3523.0
A_hypochondriacus.proteins	4486.0	0.0	3550.0	4900.0	9291.0	6544.0	6884.0	1405.0	2915.0	6259.0	6872.0	4245.0
A_thaliana.proteins	2825.0	3550.0	0.0	2458.0	3984.0	3279.0	3418.0	878.0	1792.0	2936.0	3812.0	2772.0
A_vesiculosa.proteins	2992.0	4900.0	2458.0	0.0	4992.0	6158.0	5949.0	1014.0	1921.0	3654.0	4661.0	2763.0
B_vulgaris.proteins	5127.0	9291.0	3984.0	4992.0	0.0	7080.0	7614.0	1354.0	3120.0	6863.0	7442.0	4873.0
D_muscipula.proteins	4162.0	6544.0	3279.0	6158.0	7080.0	0.0	8450.0	1183.0	2560.0	4910.0	6181.0	3821.0
D_spatulata.proteins	4492.0	6884.0	3418.0	5949.0	7614.0	8450.0	0.0	1220.0	2698.0	5158.0	6563.0	4094.0
G_max.proteins	1012.0	1405.0	878.0	1014.0	1354.0	1183.0	1220.0	0.0	763.0	1152.0	1494.0	1198.0
L_sativa.proteins	2182.0	2915.0	1792.0	1921.0	3120.0	2560.0	2698.0	763.0	0.0	2405.0	3348.0	2208.0
P_amilis.proteins	3554.0	6259.0	2936.0	3654.0	6863.0	4910.0	5158.0	1152.0	2405.0	0.0	5308.0	3619.0
S_lycopersicum.proteins	4672.0	6872.0	3812.0	4661.0	7442.0	6181.0	6563.0	1494.0	3348.0	5308.0	0.0	4715.0
V_vinifera.proteins	3523.0	4245.0	2772.0	2763.0	4873.0	3821.0	4094.0	1198.0	2208.0	3619.0	4715.0	0.0
