"","x"
"1","Dm_00008771-RA"
"2","Dm_00009814-RA"
"3","Dm_00007301-RA"
"4","Dm_00009195-RA"
"5","Dm_00010384-RA"
"6","Dm_00018588-RA"
"7","Dm_00018806-RA"
"8","Dm_00005516-RA"
"9","Dm_00005515-RA"
"10","Dm_00006071-RA"
"11","Dm_00006372-RA"
"12","Dm_00006464-RA"
"13","Dm_00006465-RA"
"14","Dm_00011931-RA"
"15","Dm_00010504-RA"
"16","Dm_00011504-RA"
"17","Dm_00011684-RA"
"18","Dm_00015545-RA"
"19","Dm_00015676-RA"
"20","Dm_00012516-RA"
"21","Dm_00015455-RA"
"22","Dm_00005593-RA"
"23","Dm_00004987-RA"
"24","Dm_00004984-RA"
"25","Dm_00005535-RA"
"26","Dm_00004801-RA"
"27","Dm_00020342-RA"
"28","Dm_00001778-RA"
"29","Dm_00001884-RA"
"30","Dm_00001302-RA"
"31","Dm_00001310-RA"
"32","Dm_00002327-RA"
"33","Dm_00002223-RA"
"34","Dm_00001556-RA"
"35","Dm_00001414-RA"
"36","Dm_00001351-RA"
"37","Dm_00002077-RA"
"38","Dm_00001839-RA"
"39","Dm_00001454-RA"
"40","Dm_00001519-RA"
"41","Dm_00001591-RA"
"42","Dm_00002128-RA"
"43","Dm_00001377-RA"
"44","Dm_00003509-RA"
"45","Dm_00003793-RA"
"46","Dm_00004252-RA"
"47","Dm_00003552-RA"
"48","Dm_00003803-RA"
"49","Dm_00004413-RA"
"50","Dm_00019215-RA"
"51","Dm_00014287-RA"
"52","Dm_00014159-RA"
"53","Dm_00014151-RA"
"54","Dm_00014182-RA"
"55","Dm_00013686-RA"
"56","Dm_00012873-RA"
"57","Dm_00011346-RA"
"58","Dm_00012670-RA"
"59","Dm_00013037-RA"
"60","Dm_00007633-RA"
"61","Dm_00007346-RA"
"62","Dm_00007362-RA"
"63","Dm_00018122-RA"
"64","Dm_00017605-RA"
"65","Dm_00018073-RA"
"66","Dm_00014561-RA"
"67","Dm_00010749-RA"
"68","Dm_00007818-RA"
"69","Dm_00008436-RA"
"70","Dm_00009178-RA"
"71","Dm_00010598-RA"
"72","Dm_00017749-RA"
"73","Dm_00015108-RA"
"74","Dm_00017643-RA"
"75","Dm_00014678-RA"
"76","Dm_00008104-RA"
"77","Dm_00008729-RA"
"78","Dm_00008704-RA"
"79","Dm_00008983-RA"
"80","Dm_00009636-RA"
"81","Dm_00008933-RA"
"82","Dm_00008835-RA"
"83","Dm_00008318-RA"
"84","Dm_00007965-RA"
"85","Dm_00008975-RA"
"86","Dm_00007876-RA"
"87","Dm_00007264-RA"
"88","Dm_00007265-RA"
"89","Dm_00006091-RA"
"90","Dm_00005910-RA"
"91","Dm_00006651-RA"
"92","Dm_00018635-RA"
"93","Dm_00017934-RA"
"94","Dm_00018681-RA"
"95","Dm_00018505-RA"
"96","Dm_00018797-RA"
"97","Dm_00014877-RA"
"98","Dm_00014577-RA"
"99","Dm_00012539-RA"
"100","Dm_00011025-RA"
"101","Dm_00011619-RA"
"102","Dm_00013758-RA"
"103","Dm_00013977-RA"
"104","Dm_00014594-RA"
"105","Dm_00000507-RA"
"106","Dm_00001005-RA"
"107","Dm_00000804-RA"
"108","Dm_00000837-RA"
"109","Dm_00000842-RA"
"110","Dm_00000570-RA"
"111","Dm_00000595-RA"
"112","Dm_00000600-RA"
"113","Dm_00001163-RA"
"114","Dm_00000219-RA"
"115","Dm_00001118-RA"
"116","Dm_00001117-RA"
"117","Dm_00000698-RA"
"118","Dm_00000717-RA"
"119","Dm_00000913-RA"
"120","Dm_00001232-RA"
"121","Dm_00000638-RA"
"122","Dm_00000294-RA"
"123","Dm_00000304-RA"
"124","Dm_00019618-RA"
"125","Dm_00004446-RA"
"126","Dm_00004567-RA"
"127","Dm_00004299-RA"
"128","Dm_00004423-RA"
"129","Dm_00002870-RA"
"130","Dm_00002880-RA"
"131","Dm_00005141-RA"
"132","Dm_00007763-RA"
"133","Dm_00012528-RA"
"134","Dm_00013130-RA"
"135","Dm_00009804-RA"
"136","Dm_00013705-RA"
"137","Dm_00014854-RA"
"138","Dm_00015852-RA"
"139","Dm_00016130-RA"
"140","Dm_00016986-RA"
"141","Dm_00019003-RA"
"142","Dm_00014718-RA"
"143","Dm_00018142-RA"
"144","Dm_00007595-RA"
"145","Dm_00006200-RA"
"146","Dm_00005949-RA"
"147","Dm_00008268-RA"
"148","Dm_00007828-RA"
"149","Dm_00011090-RA"
"150","Dm_00010038-RA"
"151","Dm_00011431-RA"
"152","Dm_00009144-RA"
"153","Dm_00016229-RA"
"154","Dm_00017789-RA"
"155","Dm_00008787-RA"
"156","Dm_00007601-RA"
"157","Dm_00007966-RA"
"158","Dm_00007381-RA"
"159","Dm_00008706-RA"
"160","Dm_00007134-RA"
