"","p-value","R-squared","p.valor_beta0","p.valor_Time","p.valor_Time2","p.valor_Time3"
"Dm_00008771-RA",9.21616367431318e-09,0.72123733165624,5.22743993164828e-13,6.05726572465992e-05,5.95953045384233e-05,NA
"Dm_00009021-RA",1.08941982938822e-05,0.673434665707979,2.66381311654145e-06,0.0145114764196765,0.0214102199308182,0.0217919269351069
"Dm_00009775-RA",4.44913021020255e-06,0.64541233389486,1.41058279796658e-16,0.000400981703102632,0.000369188208837506,NA
"Dm_00009536-RA",0.000352125963788138,0.618571212753197,2.30050146623526e-12,0.0264907652177625,0.0378844569544193,0.0384958333717038
"Dm_00009814-RA",3.3222623884933e-07,0.654314711432058,6.23737950007558e-11,0.000360966550876776,0.000341078268537125,NA
"Dm_00009260-RA",2.21570124231843e-07,0.698113190127278,5.01675848439942e-15,0.0236042974566648,0.0423855556406813,0.0434813356851712
"Dm_00010164-RA",1.51237726695976e-08,0.733227569945969,2.6270520566653e-20,NA,0.000321329447350333,0.000324512364223343
"Dm_00007301-RA",7.52993671604293e-06,0.643165138141296,2.35901859318676e-18,0.000453943131870095,0.000409330468117996,NA
"Dm_00009195-RA",2.47612741097086e-08,0.729846129081151,1.66352115903837e-19,0.001336582204576,0.00100251257535118,NA
"Dm_00012190-RA",1.314234856159e-09,0.759031297557815,3.88661713215801e-18,2.82004781713352e-05,2.81799854532221e-05,NA
"Dm_00015956-RA",1.72955363509819e-05,0.637395169872165,1.10391179468258e-12,0.0268780283577064,0.0376916875330301,0.0382795383506353
"Dm_00012260-RA",1.53957923541887e-09,0.750832382249625,NA,0.0234698324002825,0.0318485559964446,0.0322990239674604
"Dm_00010384-RA",6.74223168859973e-05,0.665687249255332,2.8679474623897e-16,0.0199457918566825,0.0317839829159945,0.0324427223891232
"Dm_00010398-RA",2.65324580203794e-07,0.712579141392726,3.45299220369413e-15,0.000410397986562752,0.00035392324774939,NA
"Dm_00011074-RA",4.77278373887919e-09,0.781326544767463,1.11888770610414e-14,0.00171787522146793,0.00318935046134579,0.00327861894767376
"Dm_00010326-RA",3.73423474426169e-05,0.603187835735511,1.52701386391398e-09,0.00324019186139699,0.00266240482138116,NA
"Dm_00008558-RA",0.000277894536116179,0.617847065304008,1.18308336450986e-14,0.019078611961533,0.0270686108638843,0.0274986491388429
"Dm_00018588-RA",1.86876481325592e-05,0.623931447326598,5.1559131103717e-17,0.00100602318480949,0.000876501618962451,NA
"Dm_00018647-RA",1.49456146928094e-19,0.812190064602061,8.50564441732789e-06,0.000390353537049957,0.000851317443858369,0.000882277273079702
"Dm_00017967-RA",6.00162005998099e-09,0.708921184766437,NA,0.0103876661978011,0.0133267613295365,0.0134845175208463
