"","beta0","betaTime","betaTime2","betaTime3"
"Dm_00008771-RA",2.37580674780073,-0.0185450187851218,1.27810543589645e-05,0
"Dm_00009021-RA",3.28191200793045,0.330005546130576,-0.005093198535245,3.37781712672662e-06
"Dm_00009775-RA",2.94273934782481,0.00755182933078868,-5.21705185385583e-06,0
"Dm_00009536-RA",4.56089054394788,0.124187357607995,-0.00191661221797684,1.27112261573953e-06
"Dm_00009814-RA",3.12024136946906,-0.0344735433727934,2.39278798545048e-05,0
"Dm_00009260-RA",5.77115432168067,0.0969597561348458,-0.00142231114237767,9.41006628671939e-07
"Dm_00010164-RA",3.17989796587459,0,7.35566199024748e-05,-5.09931078730478e-08
"Dm_00007301-RA",3.83830785940958,-0.00759012296785118,5.26619049639761e-06,0
"Dm_00009195-RA",4.24778602259733,-0.00590206457308301,4.19684556581515e-06,0
"Dm_00012190-RA",3.78467114094311,0.00993755464655659,-6.80204139877417e-06,0
"Dm_00015956-RA",5.12176042825935,0.131194822081348,-0.0020342638946454,1.34934925302189e-06
"Dm_00012260-RA",0,0.732374392029196,-0.0111463805838979,7.38771757408233e-06
"Dm_00010384-RA",4.95039292187989,-0.0683737416050196,0.00103727862869597,-6.87400227554239e-07
"Dm_00010398-RA",4.92196227747541,0.0165695512403498,-1.1542998423698e-05,0
"Dm_00011074-RA",4.39561358146882,0.121225710860839,-0.00185544247031732,1.2301469775738e-06
"Dm_00010326-RA",2.61066876422734,0.0172794268238051,-1.21435271448023e-05,0
"Dm_00008558-RA",4.01389692285407,0.0750341795476089,-0.00116716077564644,7.7436246682294e-07
"Dm_00018588-RA",3.71868628908423,-0.0085274101457489,5.94846425430143e-06,0
"Dm_00018647-RA",3.0261100172432,0.566238457783535,-0.00853426177422003,5.65365583068579e-06
"Dm_00017967-RA",0,0.381620710110111,-0.00593803268602587,3.93971832712858e-06
"Dm_00018806-RA",3.84019111095367,0,-0.0001046444709243,7.26917555838018e-08
"Dm_00005516-RA",6.48799773004558,-0.328429029940971,0.00520326209926583,-3.45529911529392e-06
"Dm_00005515-RA",6.78286147550038,-0.355321279855994,0.00551277554269277,-3.65722414027144e-06
"Dm_00006565-RA",7.72885748703272,0.0118815491491523,-8.36096990298746e-06,0
"Dm_00005565-RA",4.52376500528032,0.00580215815238977,-3.93549834521521e-06,0
"Dm_00006133-RA",3.75921194141353,0.00936254522367427,-6.4248708722611e-06,0
"Dm_00006071-RA",2.87663425513477,-0.0127362649978986,8.70954454620128e-06,0
"Dm_00006067-RA",2.27816573940683,0.0175989701299289,-1.23472450695227e-05,0
"Dm_00006177-RA",4.15389987696012,0.149277433226556,-0.00234247409370465,1.55469652671367e-06
"Dm_00005779-RA",2.00525721533709,0.317378437863845,-0.0051659111738135,3.43464029839008e-06
"Dm_00006913-RA",4.31885801881784,0.00837393325827084,-5.75685393280463e-06,0
"Dm_00006372-RA",5.24067712546928,-0.00671188110573929,4.58767174030499e-06,0
"Dm_00006464-RA",3.71695074129451,0,-0.000177668795454285,1.23375932866272e-07
"Dm_00006465-RA",2.27478978030226,-0.0132182839837123,9.26647112234527e-06,0
"Dm_00006688-RA",2.81649304860714,0.0964392224741934,-0.00161329499862395,1.07384002938611e-06
"Dm_00006686-RA",3.0008777704286,0.0211362886699603,-1.48151723960991e-05,0
"Dm_00006687-RA",5.31309730879887,0.0101564764261563,-7.04839689417037e-06,0
"Dm_00004899-RA",3.98614037786701,0.00922670399113886,-6.44331773759219e-06,0
"Dm_00021005-RA",3.20099203801197,0.022940786022613,-1.62348456878513e-05,0
"Dm_00011709-RA",5.91588471888753,0.1325329450828,-0.0021384597985988,1.42106740054961e-06
"Dm_00011712-RA",4.96704220638905,0,0.000100899296474143,-7.00141385896094e-08
"Dm_00011931-RA",3.77108473163855,0,-8.99264428343249e-05,6.24363421284489e-08
"Dm_00010504-RA",3.50143963783758,-0.0266880490787573,1.84403947068191e-05,0
"Dm_00011504-RA",4.50423499975927,-0.0139594015538665,9.66423212708517e-06,0
"Dm_00011684-RA",1.68904234829434,-0.0276315975564565,1.91820623341054e-05,0
"Dm_00015545-RA",4.330406702424,-0.0146018776591807,1.00235142171913e-05,0
"Dm_00014758-RA",1.88991762936426,0.709561753389546,-0.0109822915779935,7.28464277976626e-06
"Dm_00015676-RA",3.57343152731854,-0.00673395821118719,0,3.24808233082965e-09
"Dm_00012516-RA",3.39850325892877,-0.00973647065765085,6.766019386163e-06,0
"Dm_00015455-RA",4.84337962282394,-0.0758769006639038,0.00114174073565264,-7.5635174042327e-07
"Dm_00005593-RA",4.48789815323754,0,-0.000188829027758242,1.31130058095108e-07
"Dm_00005189-RA",3.87691201579225,0.0231008499281582,-1.60115844444284e-05,0
"Dm_00005469-RA",3.01644282390404,0.010585500044121,-7.34700738470248e-06,0
"Dm_00004987-RA",4.88188701740854,-0.0125219849225769,8.70618543700922e-06,0
"Dm_00004984-RA",6.0227336390087,-0.133826743699806,0.00202391537692066,-1.34104169650058e-06
"Dm_00006036-RA",3.78580761489326,0,0.00016592920418476,-1.15126852749779e-07
"Dm_00005229-RA",4.94891730224073,0.00508570067670228,-3.59950017265095e-06,0
"Dm_00004639-RA",1.55387960175491,0.254911462829693,-0.00374780277421815,2.47982855309698e-06
"Dm_00003966-RA",2.76424740410433,0.0242304523592456,-1.67016914293414e-05,0
"Dm_00005528-RA",3.71266080831729,0.0229321959496721,-1.59596733236369e-05,0
"Dm_00005535-RA",3.34207275693491,0,-0.000187369632877663,1.30021084104693e-07
"Dm_00004801-RA",2.77479939024294,-0.0863081245018528,0.00130169337288383,-8.62378429463257e-07
"Dm_00020192-RA",2.58021199555193,0,0.000113488515650836,-7.88023740703952e-08
"Dm_00018389-RA",3.7708483021741,0.0202544508347834,-1.42301943987835e-05,0
"Dm_00020342-RA",3.47946225659976,-0.0103667345688911,7.22897117145583e-06,0
"Dm_00019998-RA",5.09088769540341,0,0.000161213095881356,-1.11884566014066e-07
"Dm_00001778-RA",3.80286273470925,-0.00893182239548394,6.1367949057288e-06,0
"Dm_00001784-RA",3.58072731442909,0,0.000132631579513915,-9.20074999348808e-08
"Dm_00001884-RA",3.72225737569159,-0.0120500661531339,8.31100586678396e-06,0
"Dm_00001891-RA",3.34974277820637,0.01000053590248,-6.88162464655158e-06,0
"Dm_00001897-RA",2.87090894116323,0.263698160475652,-0.00410452836104367,2.72324840243865e-06
"Dm_00001302-RA",3.01453509432645,-0.0176559928103038,1.22452059893435e-05,0
"Dm_00001319-RA",0,0.73814703224888,-0.0114403333383264,7.58894087672589e-06
"Dm_00001310-RA",3.67386385369169,-0.0147065725366934,1.00851216367597e-05,0
"Dm_00001225-RA",5.6999599213089,0.00855446494827857,-5.89982324249845e-06,0
"Dm_00001947-RA",0,0.806988422132603,-0.0127522003092655,8.46700871352118e-06
"Dm_00002327-RA",5.845588379304,-0.0141013867741517,9.71334378847657e-06,0
"Dm_00002223-RA",2.26126468306639,-0.0127523607109491,8.97217057661118e-06,0
"Dm_00001997-RA",2.56461826177851,0.0219061799761577,-1.53307144484834e-05,0
"Dm_00001995-RA",3.97106549126338,0.222053835838575,-0.00338752175701162,2.24535627181189e-06
"Dm_00001630-RA",4.53941257057799,0.0215206133672205,0,-1.05118084989094e-08
"Dm_00001629-RA",4.1055418582042,0.0195282447880738,-1.37289214060123e-05,0
"Dm_00001973-RA",3.03274022399328,0.0223380028768906,-1.5426347181347e-05,0
"Dm_00002176-RA",3.81435935901201,0,0.000166244927178044,-1.15379043745089e-07
"Dm_00002180-RA",2.7822327114575,0.013080308740862,-9.02650661498695e-06,0
"Dm_00002032-RA",5.69834983726649,0.135006325083977,-0.00209757388079724,1.39150695582927e-06
"Dm_00001554-RA",1.62993418002474,0.394197494687789,-0.00600278156987908,3.97869695003154e-06
"Dm_00001556-RA",4.60958329596458,-0.0480207864946944,0.000736179186384947,-4.88098943455417e-07
"Dm_00001414-RA",5.27694554461622,-0.00570380818126836,3.95748520596201e-06,0
"Dm_00001351-RA",3.89679047487862,-0.0100247994993702,6.94809376606398e-06,0
"Dm_00001350-RA",3.73990248483428,0.383433002836404,-0.00602933273973198,4.00211964841714e-06
"Dm_00001873-RA",3.83954622470161,0.0243742126344533,-1.69934922205051e-05,0
"Dm_00001876-RA",5.18673552284513,0.00957451932654822,-6.53704540175253e-06,0
"Dm_00002077-RA",2.43147699527738,-0.00966753053459212,6.69317228275376e-06,0
"Dm_00001839-RA",2.1182390275564,0,-0.00013520891244872,9.39602256371976e-08
"Dm_00001454-RA",3.73887830609427,-0.00924504617049425,6.402492147804e-06,0
"Dm_00001464-RA",2.28726380606077,0.0224049657379257,-1.56893671834179e-05,0
"Dm_00002158-RA",4.78917975527201,0.0101192335209011,-6.97268766188422e-06,0
"Dm_00002159-RA",3.27388912289598,0.0180746127421069,-1.26400394623721e-05,0
"Dm_00002160-RA",3.67302753808797,0.00974755938840598,-6.62523392836709e-06,0
"Dm_00001519-RA",3.57922459020071,0,-0.000301295352085162,2.09150582424106e-07
"Dm_00001591-RA",2.39649705359098,0,-0.00024119776731047,1.67518080595112e-07
"Dm_00002127-RA",5.19529099835625,0.15251628549135,-0.00243976307691022,1.62074183319146e-06
"Dm_00002126-RA",2.16893523450763,0,0.000207279253373091,-1.44044316414716e-07
"Dm_00002128-RA",3.43398178078955,-0.0144159809283067,9.99495504145866e-06,0
"Dm_00001377-RA",4.13667099908737,-0.00633870414024618,4.42127648969085e-06,0
"Dm_00001381-RA",4.0714095085833,0.0111872401826234,-7.76339006750337e-06,0
"Dm_00001386-RA",0.687156532634416,0.0290286737884987,-2.01576271399552e-05,0
"Dm_00001407-RA",4.89722279227091,0.00633728534970132,-4.35743729665769e-06,0
"Dm_00001711-RA",3.95912777873609,0.00412511793787858,-2.89808842289548e-06,0
"Dm_00003862-RA",2.15582738344587,0.550982150445958,-0.00845580685848354,5.60643474269822e-06
"Dm_00003855-RA",3.51455386469336,0.222235005329453,-0.00338558963011625,2.24389976330585e-06
"Dm_00003858-RA",3.86618264688544,0.0114979303261841,-8.0316062369073e-06,0
"Dm_00003874-RA",0.626961826905244,0.0180904010882768,-1.24647108562741e-05,0
"Dm_00004018-RA",1.8385427369823,0.643800860818077,-0.00996695460248108,6.61125435517391e-06
"Dm_00004017-RA",2.57291402579096,0.0214523240571883,0,-1.02253397990591e-08
"Dm_00003509-RA",4.70186416669925,-0.00769288819012476,5.30411625994154e-06,0
"Dm_00003793-RA",3.6095036747107,0,-0.000188783232064652,1.31070693256512e-07
"Dm_00004252-RA",3.23324318650471,-0.00896408100465798,6.2262137735067e-06,0
"Dm_00003687-RA",3.5224092685997,0.0129823817666385,-9.04426996488803e-06,0
"Dm_00003822-RA",0,0.3605487224832,-0.00578558803878094,3.8441918688878e-06
"Dm_00003552-RA",4.18797584817786,-0.108046571119951,0.00172783585859925,-1.14774184143143e-06
"Dm_00003803-RA",4.91417053303949,-0.0111714828840191,0,5.34390155485188e-09
"Dm_00004413-RA",4.76060032279231,-0.1630710354159,0.00247654356556691,-1.64132457165134e-06
"Dm_00004033-RA",2.41872524095113,0.028471707531639,-1.97502583556118e-05,0
"Dm_00004126-RA",4.78687337089496,0.0107496227422992,-7.37542285034857e-06,0
"Dm_00004129-RA",2.126006648481,0,0.000461396600628409,-3.20264234710649e-07
