"","x"
"1","Dm_00009413-RA"
"2","Dm_00010290-RA"
"3","Dm_00009774-RA"
"4","Dm_00012261-RA"
"5","Dm_00012260-RA"
"6","Dm_00010496-RA"
"7","Dm_00010398-RA"
"8","Dm_00011074-RA"
"9","Dm_00011159-RA"
"10","Dm_00018647-RA"
"11","Dm_00016992-RA"
"12","Dm_00017025-RA"
"13","Dm_00005520-RA"
"14","Dm_00006224-RA"
"15","Dm_00006219-RA"
"16","Dm_00006175-RA"
"17","Dm_00006177-RA"
"18","Dm_00005782-RA"
"19","Dm_00005281-RA"
"20","Dm_00006102-RA"
"21","Dm_00005804-RA"
"22","Dm_00011452-RA"
"23","Dm_00012445-RA"
"24","Dm_00012014-RA"
"25","Dm_00010089-RA"
"26","Dm_00013162-RA"
"27","Dm_00014995-RA"
"28","Dm_00014758-RA"
"29","Dm_00014449-RA"
"30","Dm_00014668-RA"
"31","Dm_00014667-RA"
"32","Dm_00015464-RA"
"33","Dm_00005597-RA"
"34","Dm_00005956-RA"
"35","Dm_00005483-RA"
"36","Dm_00004620-RA"
"37","Dm_00004635-RA"
"38","Dm_00004639-RA"
"39","Dm_00004637-RA"
"40","Dm_00004630-RA"
"41","Dm_00004385-RA"
"42","Dm_00005444-RA"
"43","Dm_00004943-RA"
"44","Dm_00005767-RA"
"45","Dm_00005369-RA"
"46","Dm_00004470-RA"
"47","Dm_00004471-RA"
"48","Dm_00005528-RA"
"49","Dm_00018389-RA"
"50","Dm_00020311-RA"
"51","Dm_00019791-RA"
"52","Dm_00001783-RA"
"53","Dm_00001897-RA"
"54","Dm_00001307-RA"
"55","Dm_00001319-RA"
"56","Dm_00001309-RA"
"57","Dm_00001225-RA"
"58","Dm_00001947-RA"
"59","Dm_00001339-RA"
"60","Dm_00002227-RA"
"61","Dm_00002000-RA"
"62","Dm_00001997-RA"
"63","Dm_00001996-RA"
"64","Dm_00001629-RA"
"65","Dm_00001973-RA"
"66","Dm_00002185-RA"
"67","Dm_00002032-RA"
"68","Dm_00001554-RA"
"69","Dm_00001555-RA"
"70","Dm_00001438-RA"
"71","Dm_00001439-RA"
"72","Dm_00001478-RA"
"73","Dm_00001744-RA"
"74","Dm_00001361-RA"
"75","Dm_00001363-RA"
"76","Dm_00001366-RA"
"77","Dm_00001873-RA"
"78","Dm_00001872-RA"
"79","Dm_00002072-RA"
"80","Dm_00001645-RA"
"81","Dm_00001649-RA"
"82","Dm_00001834-RA"
"83","Dm_00002159-RA"
"84","Dm_00002165-RA"
"85","Dm_00002166-RA"
"86","Dm_00001920-RA"
"87","Dm_00001386-RA"
"88","Dm_00001392-RA"
"89","Dm_00001408-RA"
"90","Dm_00001860-RA"
"91","Dm_00020717-RA"
"92","Dm_00020669-RA"
"93","Dm_00018382-RA"
"94","Dm_00003487-RA"
"95","Dm_00003855-RA"
"96","Dm_00003858-RA"
"97","Dm_00004428-RA"
"98","Dm_00004454-RA"
"99","Dm_00003868-RA"
"100","Dm_00003873-RA"
"101","Dm_00004018-RA"
"102","Dm_00004017-RA"
"103","Dm_00004019-RA"
"104","Dm_00003515-RA"
"105","Dm_00004057-RA"
"106","Dm_00003955-RA"
"107","Dm_00003954-RA"
"108","Dm_00003378-RA"
"109","Dm_00003384-RA"
"110","Dm_00004253-RA"
"111","Dm_00003532-RA"
"112","Dm_00004207-RA"
"113","Dm_00003830-RA"
"114","Dm_00003556-RA"
"115","Dm_00003746-RA"
"116","Dm_00003749-RA"
"117","Dm_00004153-RA"
"118","Dm_00004101-RA"
"119","Dm_00004483-RA"
"120","Dm_00004078-RA"
"121","Dm_00004025-RA"
"122","Dm_00004028-RA"
