"","x"
"1","Dm_00014758-RA"
"2","Dm_00004639-RA"
"3","Dm_00018389-RA"
"4","Dm_00001995-RA"
"5","Dm_00001554-RA"
"6","Dm_00003858-RA"
"7","Dm_00003868-RA"
"8","Dm_00003828-RA"
"9","Dm_00011404-RA"
"10","Dm_00012597-RA"
"11","Dm_00007448-RA"
"12","Dm_00015937-RA"
"13","Dm_00010675-RA"
"14","Dm_00009996-RA"
"15","Dm_00016379-RA"
"16","Dm_00008102-RA"
"17","Dm_00019309-RA"
"18","Dm_00005277-RA"
"19","Dm_00018615-RA"
"20","Dm_00019080-RA"
"21","Dm_00000501-RA"
"22","Dm_00000092-RA"
"23","Dm_00000111-RA"
"24","Dm_00001113-RA"
"25","Dm_00001083-RA"
"26","Dm_00000526-RA"
"27","Dm_00003991-RA"
"28","Dm_00014878-RA"
"29","Dm_00014810-RA"
"30","Dm_00003067-RA"
"31","Dm_00002852-RA"
"32","Dm_00005898-RA"
"33","Dm_00016483-RA"
"34","Dm_00008359-RA"
"35","Dm_00021051-RA"
"36","Dm_00006285-RA"
"37","Dm_00006619-RA"
"38","Dm_00018338-RA"
"39","Dm_00004771-RA"
"40","Dm_00004548-RA"
"41","Dm_00014726-RA"
"42","Dm_00013313-RA"
"43","Dm_00011212-RA"
"44","Dm_00012820-RA"
"45","Dm_00018969-RA"
"46","Dm_00020993-RA"
"47","Dm_00007394-RA"
"48","Dm_00020767-RA"
