"","p-value","R-squared","p.valor_beta0","p.valor_NoPreyvsPrey","p.valor_Time","p.valor_TimexNoPrey","p.valor_Time2","p.valor_Time2xNoPrey"
"Dm_00009413-RA",1.25353895689435e-06,0.621612400815317,2.5842592618229e-21,NA,5.31133197785996e-05,0.0200434639645491,4.84964940203973e-05,0.0206812558774539
"Dm_00009749-RA",6.63514811463147e-07,0.612293162600452,2.05345713271702e-25,NA,3.01874612315642e-05,0.015959758900502,NA,0.0120247381005542
"Dm_00009367-RA",8.90855994363392e-07,0.632715051836065,6.64480952757396e-29,NA,0.000864128333155128,0.00529838909781746,0.000692322435678676,0.00371178082268316
"Dm_00009953-RA",1.79599953084102e-07,0.631425923426555,4.07130698253142e-24,NA,0.0181139603414901,0.000508977754744734,NA,0.000759428334262515
"Dm_00009307-RA",2.62315414871776e-28,0.872473958582828,2.05506547597686e-19,NA,1.52290369259051e-06,5.94483522035687e-06,2.31141034577767e-06,1.18099423813967e-05
"Dm_00009351-RA",2.67197948695181e-15,0.795183354464452,2.59414731049448e-26,NA,3.72338079097633e-05,0.000233166967517242,5.89393172795259e-05,0.000297153028330361
"Dm_00010119-RA",5.69472244853624e-08,0.675642556554635,2.9590091177577e-25,NA,0.0135670229907726,5.95661038541014e-06,0.0112340346025738,5.7216835231037e-06
"Dm_00008368-RA",2.01724040111926e-14,0.710836861537131,4.67689743390248e-15,NA,1.80439671392215e-05,0.00201124260439216,1.62094538961769e-05,0.00264487765221453
"Dm_00008976-RA",1.45748551634896e-07,0.661515421250705,2.34043787942597e-20,NA,0.0059301334796342,0.00291800008453177,0.00791328578028369,0.00323933247805996
"Dm_00007301-RA",2.6990632027511e-08,0.655357063024546,1.71195713803609e-24,NA,1.56690759290152e-05,0.0450229656235524,1.58178977552455e-05,NA
"Dm_00012190-RA",7.44235063281159e-08,0.653957303483185,1.4908251441261e-26,NA,0.00959245082355909,1.37039630209171e-05,NA,1.25141686637945e-05
"Dm_00016627-RA",6.56793009159914e-07,0.649413815286211,4.57186845283138e-26,NA,0.0119743660323386,0.000498465930760209,0.00827295106448776,0.000372025321135242
"Dm_00015351-RA",2.22775518268713e-10,0.711201572840346,7.52716126044307e-20,NA,4.04561404887686e-06,0.00651095553138462,4.85082330614695e-06,NA
"Dm_00015956-RA",1.32164752194584e-08,0.603207781364294,8.15242661782806e-27,NA,0.0461768056321789,3.77396612778268e-06,NA,NA
"Dm_00012636-RA",6.13616443206596e-08,0.688185385111542,0.0296262295465542,0.0297525403189687,0.000140431907935368,0.0208498028966384,0.000150556550547514,0.0255769162278645
"Dm_00012260-RA",1.49358662501158e-15,0.74639508376203,NA,0.00817120267288731,8.24966807742045e-06,0.00487995439010133,8.57043693877584e-06,0.00688693196580759
"Dm_00010398-RA",3.96173345892268e-17,0.807887152559544,2.43486710790632e-16,0.0470923896943644,7.36633802192286e-07,0.00919449875508829,7.49547304860105e-07,0.011230569288046
"Dm_00010589-RA",8.6533171358666e-07,0.605863109823745,1.54512176894609e-26,7.14969507778944e-05,NA,NA,0.000432971331131027,0.000123965402234147
"Dm_00009648-RA",2.51447263138964e-08,0.670175482687318,3.49296713107321e-21,NA,NA,0.0139680740080365,9.8721610346083e-06,0.00927572619886624
"Dm_00010572-RA",2.13325182657843e-11,0.738741989511215,6.15052052618967e-24,NA,3.25980098174605e-06,0.000528082809295801,4.18976186997573e-06,0.000746811690133621
"Dm_00010599-RA",1.30943607558849e-31,0.793813805991501,0.0259959059995783,NA,3.56947440715282e-07,0.0118795254333476,NA,NA
"Dm_00012073-RA",7.40177914690765e-12,0.698356873659243,3.24748772675377e-14,NA,6.31361693508987e-05,5.92990892147011e-06,8.09689626672522e-05,NA
"Dm_00018975-RA",1.49406448075355e-06,0.622007896023169,2.81748866584803e-17,NA,2.35075082812438e-05,0.00264249097328895,2.35212823865706e-05,0.00262714058612835
"Dm_00017385-RA",2.26418411368014e-55,0.880144037460639,0.0333739475729848,NA,2.2779602137902e-07,2.97645464466362e-06,NA,NA
"Dm_00018931-RA",1.03182886988788e-07,0.612492703699085,1.30190833126869e-25,0.000636592520851346,0.000665896837281311,NA,NA,NA
"Dm_00018806-RA",3.94325509325479e-08,0.645969255115243,1.81126571581715e-24,NA,2.84441522505865e-05,0.00655955590507431,3.39347731302305e-05,NA
"Dm_00005516-RA",5.89624431367172e-21,0.82563874620872,3.32455846744212e-17,NA,0.00157276048869137,0.00688176945239062,0.000820651481726691,0.00517477090648028
"Dm_00005520-RA",7.22541821902176e-11,0.73213525739493,1.14936393663503e-18,NA,9.35242962303152e-06,0.00400152345546939,9.87802937610108e-06,0.00558352390266556
"Dm_00005515-RA",9.51088734052803e-21,0.816814375380093,7.31839693599174e-18,NA,0.00566499666079191,NA,0.00266936643513292,0.0249737661810373
"Dm_00006859-RA",2.60669348014882e-09,0.654973999383653,0.00311664201650811,NA,0.000259054698999978,0.000706742051355718,0.000339922047186064,NA
"Dm_00006857-RA",9.40160633846931e-07,0.628908082071267,1.64110930596857e-18,NA,0.000132760595432575,0.0113519095225905,0.000137739737070971,0.0147248138078946
"Dm_00006565-RA",1.39849613740746e-07,0.642199778540887,2.06015839756176e-24,NA,0.010367030232051,4.64662801846356e-05,0.0109693069535352,4.58432711280294e-05
"Dm_00006071-RA",1.858421054601e-11,0.722812041969233,8.31937203901852e-19,NA,9.5174327309694e-06,0.00083650965416406,1.44071384683866e-05,NA
"Dm_00006067-RA",2.07809802987299e-15,0.76678454814407,2.08689134803301e-17,NA,NA,2.27863380036917e-07,NA,1.80227464228462e-07
"Dm_00006151-RA",1.13002026736954e-12,0.75266526174914,4.30212258051609e-22,NA,1.82767581725919e-06,0.000102609869503494,2.45583030251549e-06,0.000136747750785466
"Dm_00006390-RA",9.79909808927881e-12,0.738569494124298,7.90940750191406e-25,NA,5.65432472672012e-06,NA,6.28908754956525e-06,0.00124857584909579
"Dm_00006404-RA",1.17541845246316e-12,0.721743590464168,7.52122357034025e-14,0.019157626055652,8.67861949370041e-07,NA,NA,0.000384287367129124
"Dm_00005783-RA",6.28089008522407e-08,0.657131231009704,1.81185843040662e-18,NA,0.00427481041860159,9.35169338679227e-05,0.00613169772280175,NA
"Dm_00006686-RA",5.32475000560094e-12,0.68825932975177,1.3423038618433e-19,NA,NA,5.89627157110626e-06,NA,4.36209951178158e-06
"Dm_00006102-RA",5.46210432098684e-09,0.69265531930012,1.44798182745192e-28,NA,4.21404412762356e-05,0.000319545522807217,3.2092910961686e-05,0.000294467618999008
"Dm_00004895-RA",1.76854956404463e-14,0.747179340587985,6.62007743880723e-12,0.000450956462453678,NA,NA,5.40967551331542e-06,NA
