target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	828.191	41	9.36125
Dm_00008772-RA	1272	1083.19	42.7833	7.46878
Dm_00008770-RA	1722	1533.19	135	16.6501
Dm_00008771-RA	636	447.348	39	16.4854
Dm_00008682-RA	906	717.191	8	2.10929
Dm_00008591-RA	1308	1119.19	17	2.87227
Dm_00008592-RA	2436	2247.19	357	30.0406
Dm_00008593-RA	759	570.253	540	179.063
Dm_00008594-RA	969	780.191	521	126.275
Dm_00010209-RA	468	279.762	0	0
Dm_00010051-RA	693	504.253	3	1.125
Dm_00009727-RA	234	59.6229	0	0
Dm_00009728-RA	1161	972.191	0	0
Dm_00009413-RA	1368	1179.19	270	43.2972
Dm_00009412-RA	2105	1916.19	299	29.5062
Dm_00009411-RA	2682	2493.19	92	6.97771
Dm_00009410-RA	432	244.102	5	3.87328
Dm_00009021-RA	1668	1479.19	774	98.9458
Dm_00009020-RA	414	226.337	6	5.01274
Dm_00009748-RA	1554	1365.19	212	29.3645
Dm_00009749-RA	1092	903.191	150	31.4045
Dm_00009750-RA	941	752.191	114	28.6588
Dm_00010290-RA	1116	927.191	74	15.0919
Dm_00010291-RA	969	780.191	22	5.33215
Dm_00007855-RA	945	756.191	274	68.5172
Dm_00007856-RA	786	597.253	99	31.3442
Dm_00007858-RA	2466	2277.19	414	34.3781
Dm_00007859-RA	2304	2115.19	227	20.2935
Dm_00007857-RA	873	684.191	183	50.5772
Dm_00009353-RA	471	282.762	30	20.0623
Dm_00009317-RA	312	127.208	72	107.028
Dm_00010173-RA	1548	1359.19	262	36.4503
Dm_00010171-RA	228	54.9051	16	55.1046
Dm_00010172-RA	258	78.9664	1	2.39463
Dm_00009367-RA	1566	1377.19	437	60.0023
Dm_00009368-RA	171	16.5414	44	502.993
Dm_00009369-RA	984	795.191	174	41.3769
Dm_00009983-RA	1065	876.191	24	5.17956
Dm_00009982-RA	975	786.191	2	0.481042
Dm_00009984-RA	537	348.511	0	0
Dm_00009718-RA	1158	969.191	1090	212.666
Dm_00009717-RA	753	564.253	105	35.1881
Dm_00009950-RA	1842	1653.19	3	0.343146
Dm_00009953-RA	1437	1248.19	104	15.7555
Dm_00009948-RA	1638	1449.19	449	58.587
Dm_00009949-RA	879	690.191	64	17.5344
Dm_00009951-RA	729	540.253	0	0
Dm_00009952-RA	444	255.976	0	0
Dm_00009009-RA	738	549.253	3	1.03283
Dm_00009010-RA	303	118.974	1.0106	1.60623
Dm_00009007-RA	891	702.191	0	0
Dm_00009008-RA	1164	975.191	51	9.8892
Dm_00009011-RA	3048	2859.19	3.0035	0.19864
Dm_00009012-RA	684	495.303	0	0
Dm_00010080-RA	1113	924.191	9	1.84146
Dm_00010081-RA	354	167.438	127	143.427
Dm_00010084-RA	1518	1329.19	233	33.1474
