sample,minutes,path,,,,,Rep #,,
JMIJ,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHK,,,,,1,"LeafTrap_Time0_rep1',",'JMIJ'
JMHF,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHF,,,,,2,"'LeafTrap_Time0_rep2',",'JMHF'
JMHQ,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHQ,,,,,3,"'LeafTrap_Time0_rep3',",'JMHQ'
JMIB,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMIB,,,,,4,"'LeafTrap_Time0_rep4',",'JMIB'
JMIK,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHK,,,,,1,"'LeafTrap_Time5_rep1',",'JMIK'
JMIL,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHL,,,,,2,"'LeafTrap_Time5_rep2',",'JMIL'
JMIM,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHM,,,,,3,"'LeafTrap_Time5_rep3',",'JMIM'
JMIN,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHN,,,,,4,"'LeafTrap_Time5_rep4',",'JMIN'
JMIP,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMIP,,,,,1,"'LeafTrap_Time60_rep1',",'JMIP'
JMGU,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGU,,,,,2,"'LeafTrap_Time60_rep2',",'JMGU'
JMGW,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGW,,,,,3,"'LeafTrap_Time60_rep3',",'JMGW'
JMGX,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGX,,,,,4,"'LeafTrap_Time60_rep4',",'JMGX'
JMGY,180,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGY,,,,,1,"'LeafTrap_Time180_rep1',",'JMGY'
JMGZ,180,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGZ,,,,,2,"'LeafTrap_Time180_rep2',",'JMGZ'
JMHA,180,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHA,,,,,3,"'LeafTrap_Time180_rep3',",'JMHA'
JMHB,180,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHB,,,,,4,"'LeafTrap_Time180_rep4',",'JMHB'
JMIC,720,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMIC,,,,,1,"'LeafTrap_Time720_rep1',",'JMIC'
JMID,720,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMID,,,,,2,"'LeafTrap_Time720_rep2',",'JMID'
JMIE,720,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMIE,,,,,3,"'LeafTrap_Time720_rep3',",'JMIE'
JMIF,720,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMIF,,,,,4,"'LeafTrap_Time720_rep4',",'JMIF'
JMHH,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHH,,,,,1,"'LeafTrap_Time1440_rep1',",'JMHH'
JMHI,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHI,,,,,2,"'LeafTrap_Time1440_rep2',",'JMHI'
JMHJ,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHJ,,,,,3,"'LeafTrap_Time1440_rep3',",'JMHJ'
JMHK,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHK,,,,,4,"'LeafTrap_Time1440_rep4',",'JMHK'
JMHL,2880,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHL,,,,,1,"'LeafTrap_Time2880_rep1',",'JMHL'
JMHM,2880,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHM,,,,,2,"'LeafTrap_Time2880_rep2',",'JMHM'
JMHN,2880,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHN,,,,,3,"'LeafTrap_Time2880_rep3',",'JMHN'
JMHP,2880,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHP,,,,,4,"'LeafTrap_Time2880_rep4',",'JMHP'
JMHC,4320,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHC,,,,,1,"'LeafTrap_Time4320_rep1',",'JMHC'
JMHD,4320,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHC,,,,,2,"'LeafTrap_Time4320_rep2',",'JMHD'
JMHE,4320,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHE,,,,,3,"'LeafTrap_Time4320_rep3',",'JMHE'
JMHG,4320,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHG,,,,,4,'LeafTrap_Time4320_rep4','JMHG'
