sample,tissue,condition,minutes,path,,,,,,
JMGQ,LeafTrap,NoPrey,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGQ,,,,,,"'LeafTrap_NoPrey_60',"
JMGR,LeafTrap,NoPrey,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGR,,,,,,"'LeafTrap_NoPrey_5',"
JMGS,Petiole,NoPrey,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGS,,,,,,"'Petiole_NoPrey_0',"
JMGT,LeafTrap,NoPrey,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGT,,,,,,"'LeafTrap_NoPrey_5',"
JMGU,LeafTrap,Prey,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGU,,,,,,"'LeafTrap_Prey_60',"
JMGW,LeafTrap,Prey,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGW,,,,,,"'LeafTrap_Prey_60',"
JMGX,LeafTrap,Prey,60,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGX,,,,,,"'LeafTrap_Prey_60',"
JMGY,LeafTrap,Prey,180,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGY,,,,,,"'LeafTrap_Prey_180',"
JMGZ,LeafTrap,Prey,180,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMGZ,,,,,,"'LeafTrap_Prey_180',"
JMHA,LeafTrap,Prey,180,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHA,,,,,,"'LeafTrap_Prey_180',"
JMHB,LeafTrap,Prey,180,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHB,,,,,,"'LeafTrap_Prey_180',"
JMHC,LeafTrap,Prey,4320,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHC,,,,,,"'LeafTrap_Prey_4320',"
JMHD,LeafTrap,Prey,4320,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHC,,,,,,"'LeafTrap_Prey_4320',"
JMHE,LeafTrap,Prey,4320,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHE,,,,,,"'LeafTrap_Prey_4320',"
JMHF,LeafTrap,NoPrey,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHF,,,,,,"'LeafTrap_NoPrey_0',"
JMHG,LeafTrap,Prey,4320,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHG,,,,,,"'LeafTrap_Prey_4320',"
JMHH,LeafTrap,Prey,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHH,,,,,,"'LeafTrap_Prey_1440',"
JMHI,LeafTrap,Prey,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHI,,,,,,"'LeafTrap_Prey_1440',"
JMHJ,LeafTrap,Prey,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHJ,,,,,,"'LeafTrap_Prey_1440',"
JMHK,LeafTrap,Prey,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHK,,,,,,"'LeafTrap_Prey_1440',"
JMHL,LeafTrap,Prey,2880,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHL,,,,,,"'LeafTrap_Prey_2880',"
JMHM,LeafTrap,Prey,2880,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHM,,,,,,"'LeafTrap_Prey_2880',"
JMHN,LeafTrap,Prey,2880,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHN,,,,,,"'LeafTrap_Prey_2880',"
JMHP,LeafTrap,Prey,2880,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHP,,,,,,"'LeafTrap_Prey_2880',"
JMHQ,LeafTrap,NoPrey,0,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHQ,,,,,,"'LeafTrap_NoPrey_0',"
JMHR,LeafTrap,NoPrey,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHR,,,,,,"'LeafTrap_NoPrey_5',"
JMHS,LeafTrap,NoPrey,5,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHS,,,,,,"'LeafTrap_NoPrey_5',"
JMHT,LeafTrap,NoPrey,1440,/scratch/srb67793/2022VenusFlyTrap/kallisto/quant/JMHT,,,,,,"'LeafTrap_NoPrey_1440',"
