target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	818.622	18	6.80657
Dm_00008772-RA	1272	1073.62	22	6.34323
Dm_00008770-RA	1722	1523.62	28	5.68879
Dm_00008771-RA	636	437.816	3	2.12114
Dm_00008682-RA	906	707.622	51	22.3104
Dm_00008591-RA	1308	1109.62	27	7.5323
Dm_00008592-RA	2436	2237.62	118	16.3243
Dm_00008593-RA	759	560.622	570	314.734
Dm_00008594-RA	969	770.622	182	73.1087
Dm_00010209-RA	468	270.649	0	0
Dm_00010051-RA	693	494.726	2	1.25142
Dm_00009727-RA	234	58.0579	0	0
Dm_00009728-RA	1161	962.622	0	0
Dm_00009413-RA	1368	1169.62	63	16.6738
Dm_00009412-RA	2105	1906.62	112	18.1841
Dm_00009411-RA	2682	2483.62	23	2.86669
Dm_00009410-RA	432	235.182	0	0
Dm_00009021-RA	1668	1469.62	601	126.592
Dm_00009020-RA	414	217.678	2	2.84416
Dm_00009748-RA	1554	1355.62	151	34.4808
Dm_00009749-RA	1092	893.622	112	38.7975
Dm_00009750-RA	941	742.622	63	26.261
Dm_00010290-RA	1116	917.622	31	10.4577
Dm_00010291-RA	969	770.622	193	77.5274
Dm_00007855-RA	945	746.622	70	29.0226
Dm_00007856-RA	786	587.622	53	27.9201
Dm_00007858-RA	2466	2267.62	141	19.2481
Dm_00007859-RA	2304	2105.62	15	2.20521
Dm_00007857-RA	873	674.622	23	10.5537
Dm_00009353-RA	471	273.595	4	4.52576
Dm_00009317-RA	312	122.008	51	129.396
Dm_00010173-RA	1548	1349.62	98	22.4778
Dm_00010171-RA	228	53.5476	3	17.3428
Dm_00010172-RA	258	76.5103	1	4.04594
Dm_00009367-RA	1566	1367.62	119	26.9352
Dm_00009368-RA	171	16.3521	31	586.851
Dm_00009369-RA	984	785.622	67	26.3998
Dm_00009983-RA	1065	866.622	4	1.42879
Dm_00009982-RA	975	776.622	3	1.19578
Dm_00009984-RA	537	339.009	0	0
Dm_00009718-RA	1158	959.622	667	215.162
Dm_00009717-RA	753	554.622	42	23.4418
Dm_00009950-RA	1842	1643.62	1	0.188338
Dm_00009953-RA	1437	1238.62	58	14.4953
Dm_00009948-RA	1638	1439.62	163	35.0492
Dm_00009949-RA	879	680.622	63	28.6532
Dm_00009951-RA	729	530.676	3	1.74997
Dm_00009952-RA	444	247.038	0	0
Dm_00009009-RA	738	539.622	0	0
Dm_00009010-RA	303	113.929	0	0
Dm_00009007-RA	891	692.622	0	0
Dm_00009008-RA	1164	965.622	12	3.84692
Dm_00009011-RA	3048	2849.62	0	0
Dm_00009012-RA	684	485.726	0	0
Dm_00010080-RA	1113	914.622	1	0.338452
Dm_00010081-RA	354	160.434	51	98.4039
Dm_00010084-RA	1518	1319.62	92	21.5813
Dm_00010083-RA	1140	941.622	26	8.54744
Dm_00010082-RA	375	180.283	16	27.4729
Dm_00010098-RA	1200	1001.62	0	0
Dm_00010096-RA	390	194.622	0	0
Dm_00010097-RA	666	467.726	27	17.8695
Dm_00008796-RA	414	217.678	0	0
Dm_00010370-RA	1886	1687.62	180	33.0169
Dm_00010369-RA	192	28.7129	0	0
Dm_00009774-RA	1998	1799.62	193	33.1982
Dm_00009775-RA	354	160.434	28	54.0257
Dm_00010288-RA	1401	1202.62	83	21.3643
Dm_00009493-RA	963	764.622	86	34.817
Dm_00009494-RA	984	785.622	27	10.6387
Dm_00009495-RA	714	515.676	1	0.600292
Dm_00006316-RA	993	794.622	2	0.779127
Dm_00008938-RA	897	698.622	95	42.094
Dm_00008942-RA	1680	1481.62	97	20.2663
Dm_00008940-RA	834	635.622	23	11.2013
Dm_00008939-RA	651	452.771	26	17.776
Dm_00008941-RA	531	333.009	18	16.7323
Dm_00010031-RA	3168	2969.62	126	13.1343
Dm_00009533-RA	1185	986.622	22	6.90257
Dm_00009536-RA	1041	842.622	110.531	40.6059
Dm_00009535-RA	792	593.622	244	127.239
Dm_00009534-RA	1146	947.622	433	141.446
Dm_00009696-RA	606	407.816	0	0
Dm_00009720-RA	456	258.834	0	0
Dm_00009719-RA	795	596.622	0	0
Dm_00009254-RA	1287	1088.62	14	3.98098
Dm_00009255-RA	4353	4154.62	17	1.26665
Dm_00009256-RA	834	635.622	85	41.3961
Dm_00009072-RA	282	95.8817	0	0
Dm_00009813-RA	6525	6326.62	113	5.52899
Dm_00009814-RA	2781	2582.62	9	1.07875
Dm_00009915-RA	564	365.974	0	0
Dm_00009914-RA	258	76.5103	0	0
Dm_00009695-RA	2650	2451.62	158	19.95
Dm_00009694-RA	624	425.816	58	42.1643
Dm_00009693-RA	861	662.622	84	39.2421
Dm_00008273-RA	1188	989.622	1	0.312802
Dm_00008274-RA	912	713.622	57	24.7255
Dm_00008656-RA	612	413.816	0	0
Dm_00009771-RA	1848	1649.62	6	1.12592
Dm_00010784-RA	594	395.897	0	0
Dm_00010112-RA	711	512.676	380	229.446
Dm_00010111-RA	402	206.082	32	48.0673
Dm_00009955-RA	255	74.0893	5	20.8907
Dm_00009954-RA	1899	1700.62	39	7.09898
Dm_00010107-RA	1728	1529.62	105	21.2493
Dm_00010108-RA	582	383.936	0	0
Dm_00010391-RA	2043	1844.62	201	33.7309
Dm_00010390-RA	711	512.676	0	0
Dm_00008774-RA	1182	983.622	74	23.2886
