"Dm_00000013-RA",2	"Dm_00000013-RA",1
"Dm_00000028-RA",2	"Dm_00000028-RA",3
"Dm_00000048-RA",2	"Dm_00000048-RA",2
"Dm_00000052-RA",2	"Dm_00000052-RA",2
"Dm_00000057-RA",2	"Dm_00000057-RA",5
"Dm_00000092-RA",2	"Dm_00000092-RA",2
"Dm_00000121-RA",1	"Dm_00000121-RA",1
"Dm_00000140-RA",1	"Dm_00000140-RA",4
"Dm_00000150-RA",1	"Dm_00000150-RA",7
"Dm_00000156-RA",2	"Dm_00000156-RA",2
"Dm_00000163-RA",2	"Dm_00000163-RA",2
"Dm_00000215-RA",2	"Dm_00000215-RA",7
"Dm_00000219-RA",1	"Dm_00000219-RA",8
"Dm_00000239-RA",2	"Dm_00000239-RA",2
"Dm_00000240-RA",2	"Dm_00000240-RA",7
"Dm_00000248-RA",1	"Dm_00000248-RA",3
"Dm_00000261-RA",1	"Dm_00000261-RA",7
"Dm_00000262-RA",2	"Dm_00000262-RA",2
"Dm_00000264-RA",2	"Dm_00000264-RA",2
"Dm_00000265-RA",2	"Dm_00000265-RA",1
"Dm_00000268-RA",2	"Dm_00000268-RA",8
"Dm_00000283-RA",2	"Dm_00000283-RA",5
"Dm_00000295-RA",2	"Dm_00000295-RA",3
"Dm_00000296-RA",2	"Dm_00000296-RA",2
"Dm_00000301-RA",1	"Dm_00000301-RA",6
"Dm_00000303-RA",2	"Dm_00000303-RA",3
"Dm_00000316-RA",2	"Dm_00000316-RA",1
"Dm_00000345-RA",2	"Dm_00000345-RA",1
"Dm_00000365-RA",2	"Dm_00000365-RA",3
"Dm_00000389-RA",2	"Dm_00000389-RA",2
"Dm_00000395-RA",2	"Dm_00000395-RA",8
"Dm_00000408-RA",2	"Dm_00000408-RA",2
"Dm_00000414-RA",2	"Dm_00000414-RA",2
"Dm_00000421-RA",1	"Dm_00000421-RA",6
"Dm_00000446-RA",1	"Dm_00000446-RA",4
"Dm_00000467-RA",1	"Dm_00000467-RA",4
"Dm_00000488-RA",2	"Dm_00000488-RA",5
"Dm_00000501-RA",2	"Dm_00000501-RA",2
"Dm_00000507-RA",1	"Dm_00000507-RA",3
"Dm_00000519-RA",2	"Dm_00000519-RA",1
"Dm_00000520-RA",2	"Dm_00000520-RA",7
"Dm_00000524-RA",2	"Dm_00000524-RA",2
"Dm_00000526-RA",2	"Dm_00000526-RA",8
"Dm_00000542-RA",2	"Dm_00000542-RA",1
"Dm_00000558-RA",2	"Dm_00000558-RA",5
"Dm_00000575-RA",2	"Dm_00000575-RA",3
"Dm_00000587-RA",1	"Dm_00000587-RA",4
"Dm_00000608-RA",2	"Dm_00000608-RA",2
"Dm_00000609-RA",2	"Dm_00000609-RA",1
"Dm_00000618-RA",2	"Dm_00000618-RA",1
"Dm_00000624-RA",2	"Dm_00000624-RA",2
"Dm_00000638-RA",1	"Dm_00000638-RA",6
"Dm_00000651-RA",2	"Dm_00000651-RA",2
"Dm_00000667-RA",1	"Dm_00000667-RA",4
"Dm_00000672-RA",2	"Dm_00000672-RA",2
"Dm_00000673-RA",2	"Dm_00000673-RA",8
"Dm_00000698-RA",1	"Dm_00000698-RA",1
"Dm_00000701-RA",1	"Dm_00000701-RA",1
"Dm_00000722-RA",2	"Dm_00000722-RA",2
"Dm_00000740-RA",1	"Dm_00000740-RA",6
"Dm_00000749-RA",2	"Dm_00000749-RA",8
"Dm_00000764-RA",2	"Dm_00000764-RA",2
"Dm_00000779-RA",2	"Dm_00000779-RA",2
"Dm_00000791-RA",2	"Dm_00000791-RA",1
"Dm_00000842-RA",1	"Dm_00000842-RA",3
"Dm_00000858-RA",1	"Dm_00000858-RA",6
"Dm_00000864-RA",2	"Dm_00000864-RA",2
"Dm_00000869-RA",2	"Dm_00000869-RA",7
"Dm_00000885-RA",2	"Dm_00000885-RA",1
"Dm_00000893-RA",1	"Dm_00000893-RA",7
"Dm_00000913-RA",1	"Dm_00000913-RA",6
"Dm_00000968-RA",2	"Dm_00000968-RA",4
"Dm_00000977-RA",1	"Dm_00000977-RA",6
"Dm_00000991-RA",2	"Dm_00000991-RA",2
"Dm_00001005-RA",1	"Dm_00001005-RA",6
"Dm_00001016-RA",2	"Dm_00001016-RA",5
"Dm_00001027-RA",2	"Dm_00001027-RA",8
"Dm_00001035-RA",2	"Dm_00001035-RA",5
"Dm_00001065-RA",2	"Dm_00001065-RA",4
"Dm_00001079-RA",2	"Dm_00001079-RA",2
"Dm_00001083-RA",2	"Dm_00001083-RA",2
"Dm_00001084-RA",2	"Dm_00001084-RA",2
"Dm_00001113-RA",2	"Dm_00001113-RA",2
"Dm_00001135-RA",2	"Dm_00001135-RA",8
"Dm_00001163-RA",1	"Dm_00001163-RA",6
"Dm_00001189-RA",2	"Dm_00001189-RA",5
"Dm_00001205-RA",2	"Dm_00001205-RA",1
"Dm_00001225-RA",2	"Dm_00001225-RA",5
"Dm_00001241-RA",2	"Dm_00001241-RA",1
"Dm_00001245-RA",2	"Dm_00001245-RA",8
"Dm_00001258-RA",2	"Dm_00001258-RA",2
"Dm_00001259-RA",2	"Dm_00001259-RA",2
