Orthogroup	D_spatulata.proteins	A_vesiculosa.proteins
OG0000008	Ds_00005008-RA	Av_00016512-RA
OG0000008	Ds_00004058-RA, Ds_00005252-RA, Ds_00011612-RA	Av_00017274-RA
OG0000008	Ds_00001046-RA, Ds_00004374-RA, Ds_00004371-RA, Ds_00009680-RA, Ds_00006455-RA	Av_00024183-RA
OG0000009	Ds_00013068-RA	Av_00017212-RA, Av_00017786-RA
OG0000011	Ds_00014454-RA, Ds_00015367-RA	Av_00002197-RA
OG0000013	Ds_00018006-RA	Av_00021381-RA
OG0000013	Ds_00013865-RA, Ds_00016661-RA, Ds_00017474-RA, Ds_00007048-RA, Ds_00007851-RA, Ds_00011334-RA, Ds_00010326-RA, Ds_00008961-RA, Ds_00017098-RA, Ds_00015155-RA, Ds_00007835-RA	Av_00024358-RA, Av_00022875-RA, Av_00020439-RA, Av_00022149-RA
OG0000015	Ds_00013984-RA, Ds_00015603-RA	Av_00005634-RA
OG0000015	Ds_00016102-RA	Av_00010123-RA
OG0000015	Ds_00004166-RA	Av_00014290-RA
OG0000016	Ds_00000802-RA, Ds_00013779-RA, Ds_00012502-RA, Ds_00011161-RA, Ds_00004889-RA, Ds_00009386-RA, Ds_00009382-RA, Ds_00014480-RA	Av_00024235-RA
OG0000018	Ds_00006436-RA, Ds_00006435-RA	Av_00017038-RA
OG0000018	Ds_00014529-RA, Ds_00003183-RA	Av_00013504-RA
OG0000018	Ds_00015426-RA	Av_00002303-RA, Av_00009695-RA
OG0000020	Ds_00017581-RA	Av_00024519-RA, Av_00021422-RA, Av_00019988-RA, Av_00024756-RA, Av_00024215-RA, Av_00021800-RA, Av_00023495-RA, Av_00021451-RA
OG0000020	Ds_00009233-RA, Ds_00013241-RA	Av_00019093-RA
OG0000021	Ds_00010245-RA	Av_00016821-RA, Av_00016683-RA
OG0000021	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA	Av_00016682-RA
OG0000022	Ds_00000786-RA, Ds_00000789-RA, Ds_00013099-RA, Ds_00000790-RA, Ds_00000787-RA, Ds_00000788-RA	Av_00004844-RA
OG0000022	Ds_00003849-RA, Ds_00003832-RA, Ds_00007689-RA, Ds_00013775-RA, Ds_00009114-RA, Ds_00005092-RA	Av_00004845-RA, Av_00003462-RA, Av_00003476-RA, Av_00003461-RA, Av_00004843-RA, Av_00021879-RA, Av_00002137-RA, Av_00001706-RA, Av_00009282-RA
OG0000023	Ds_00012138-RA	Av_00008789-RA
OG0000023	Ds_00005184-RA, Ds_00006219-RA	Av_00019809-RA
OG0000024	Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA	Av_00007869-RA
OG0000024	Ds_00007357-RA, Ds_00007354-RA	Av_00004852-RA
OG0000025	Ds_00000314-RA	Av_00000980-RA, Av_00012375-RA
OG0000025	Ds_00011235-RA	Av_00008810-RA, Av_00007185-RA, Av_00020767-RA
OG0000027	Ds_00016246-RA	Av_00013864-RA, Av_00001746-RA, Av_00017675-RA, Av_00011272-RA
OG0000027	Ds_00002306-RA	Av_00004078-RA, Av_00023371-RA
OG0000027	Ds_00000646-RA	Av_00006838-RA, Av_00007948-RA, Av_00015408-RA
OG0000027	Ds_00007953-RA, Ds_00009832-RA	Av_00001022-RA, Av_00004483-RA, Av_00024230-RA, Av_00011040-RA, Av_00023589-RA, Av_00018214-RA, Av_00017102-RA
OG0000027	Ds_00007193-RA	Av_00009069-RA
OG0000028	Ds_00011383-RA, Ds_00011387-RA, Ds_00011371-RA, Ds_00011381-RA, Ds_00011382-RA, Ds_00011384-RA, Ds_00007266-RA, Ds_00017487-RA, Ds_00017857-RA, Ds_00017485-RA, Ds_00011376-RA, Ds_00017484-RA, Ds_00017856-RA, Ds_00017796-RA	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA
OG0000028	Ds_00011377-RA, Ds_00011385-RA	Av_00011314-RA
OG0000028	Ds_00017488-RA	Av_00014202-RA
OG0000029	Ds_00003603-RA, Ds_00014221-RA	Av_00016651-RA
OG0000029	Ds_00008364-RA, Ds_00015383-RA, Ds_00015428-RA, Ds_00002808-RA, Ds_00015382-RA	Av_00023395-RA
OG0000031	Ds_00009778-RA, Ds_00017965-RA, Ds_00017922-RA, Ds_00002506-RA	Av_00004188-RA, Av_00015999-RA
OG0000031	Ds_00004983-RA, Ds_00004982-RA	Av_00023881-RA, Av_00019981-RA
OG0000031	Ds_00001472-RA	Av_00023880-RA
OG0000034	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA	Av_00010139-RA
OG0000034	Ds_00015077-RA	Av_00014124-RA, Av_00014125-RA
OG0000037	Ds_00010987-RA	Av_00004452-RA
OG0000037	Ds_00009807-RA	Av_00001047-RA
OG0000037	Ds_00015216-RA	Av_00005925-RA
OG0000038	Ds_00013786-RA	Av_00017650-RA, Av_00017651-RA, Av_00017652-RA, Av_00010482-RA
OG0000038	Ds_00017774-RA	Av_00000257-RA
OG0000038	Ds_00013784-RA, Ds_00013785-RA	Av_00001694-RA
OG0000040	Ds_00008461-RA, Ds_00008462-RA	Av_00004970-RA
OG0000041	Ds_00000048-RA	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA
OG0000041	Ds_00013581-RA	Av_00004285-RA, Av_00015969-RA, Av_00011385-RA
OG0000041	Ds_00016658-RA	Av_00012197-RA, Av_00005774-RA
OG0000041	Ds_00008539-RA, Ds_00005900-RA	Av_00003333-RA, Av_00021658-RA, Av_00002584-RA
OG0000041	Ds_00009329-RA	Av_00000583-RA, Av_00019204-RA
OG0000041	Ds_00012521-RA	Av_00023746-RA, Av_00022768-RA
OG0000041	Ds_00003435-RA	Av_00021262-RA, Av_00001083-RA
OG0000041	Ds_00016022-RA	Av_00009917-RA, Av_00011128-RA
OG0000041	Ds_00000091-RA	Av_00013005-RA
OG0000041	Ds_00006077-RA	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA
OG0000042	Ds_00012464-RA	Av_00019089-RA
