target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	815.782	54	10.1214
Dm_00008772-RA	1272	1070.78	37	5.28352
Dm_00008770-RA	1722	1520.78	114	11.462
Dm_00008771-RA	636	435.316	22	7.72753
Dm_00008682-RA	906	704.782	26	5.64081
Dm_00008591-RA	1308	1106.78	21	2.90122
Dm_00008592-RA	2436	2234.78	257	17.5841
Dm_00008593-RA	759	558.074	1991	545.51
Dm_00008594-RA	969	767.782	423	84.2413
Dm_00010209-RA	468	268.117	0	0
Dm_00010051-RA	693	492.179	3	0.932011
Dm_00009727-RA	234	56.9281	0	0
Dm_00009728-RA	1161	959.782	0	0
Dm_00009413-RA	1368	1166.78	139	18.2158
Dm_00009412-RA	2105	1903.78	72	5.7828
Dm_00009411-RA	2682	2480.78	66	4.06797
Dm_00009410-RA	432	232.841	5	3.28347
Dm_00009021-RA	1668	1466.78	153	15.9496
Dm_00009020-RA	414	215.089	4	2.84358
Dm_00009748-RA	1554	1352.78	67	7.57303
Dm_00009749-RA	1092	890.782	377	64.7132
Dm_00009750-RA	941	739.782	133	27.4897
Dm_00010290-RA	1116	914.782	43	7.18743
Dm_00010291-RA	969	767.782	204	40.627
Dm_00007855-RA	945	743.782	254	52.2169
Dm_00007856-RA	786	584.96	109	28.492
Dm_00007858-RA	2466	2264.78	459	30.9891
Dm_00007859-RA	2304	2102.78	149	10.8346
Dm_00007857-RA	873	671.782	91	20.7127
Dm_00009353-RA	471	271.063	14	7.89732
Dm_00009317-RA	312	120.004	44	56.0632
Dm_00010173-RA	1548	1346.78	97	11.0128
Dm_00010171-RA	228	52.5128	11	32.0295
Dm_00010172-RA	258	75.0426	2	4.07516
Dm_00009367-RA	1566	1364.78	353	39.5489
Dm_00009368-RA	171	16.0396	52	495.717
Dm_00009369-RA	984	782.782	124	24.2216
Dm_00009983-RA	1065	863.782	86	15.2236
Dm_00009982-RA	975	773.782	1	0.197608
Dm_00009984-RA	537	336.673	1	0.454166
Dm_00009718-RA	1158	956.782	998	159.493
Dm_00009717-RA	753	552.074	72	19.9415
Dm_00009950-RA	1842	1640.78	10	0.931906
Dm_00009953-RA	1437	1235.78	186	23.0141
Dm_00009948-RA	1638	1436.78	111	11.8129
Dm_00009949-RA	879	677.782	97	21.8829
Dm_00009951-RA	729	528.128	0	0
Dm_00009952-RA	444	244.529	1	0.625305
Dm_00009009-RA	738	537.128	0	0
Dm_00009010-RA	303	111.996	0	0
Dm_00009007-RA	891	689.782	0	0
Dm_00009008-RA	1164	962.782	26	4.12922
Dm_00009011-RA	3048	2846.78	15.0064	0.806019
Dm_00009012-RA	684	483.179	0	0
Dm_00010080-RA	1113	911.782	3	0.503099
Dm_00010081-RA	354	158.028	190	183.841
Dm_00010084-RA	1518	1316.78	235	27.2883
Dm_00010083-RA	1140	938.782	92	14.9846
Dm_00010082-RA	375	177.805	43	36.9782
Dm_00010098-RA	1200	998.782	0	0
Dm_00010096-RA	390	192.176	0	0
Dm_00010097-RA	666	465.179	42	13.8055
Dm_00008796-RA	414	215.089	0	0
Dm_00010370-RA	1886	1684.78	234	21.2371
Dm_00010369-RA	192	28.4118	0	0
Dm_00009774-RA	1998	1796.78	89	7.57386
Dm_00009775-RA	354	158.028	81	78.3743
Dm_00010288-RA	1401	1199.78	365	46.5172
Dm_00009493-RA	963	761.782	148	29.7067
Dm_00009494-RA	984	782.782	48	9.37612
Dm_00009495-RA	714	513.128	0	0
Dm_00006316-RA	993	791.782	0	0
Dm_00008938-RA	897	695.782	163	35.821
Dm_00008942-RA	1680	1478.78	165	17.0609
Dm_00008940-RA	834	632.782	52	12.5653
Dm_00008939-RA	651	450.271	40	13.5834
Dm_00008941-RA	531	330.673	44	20.3459
Dm_00010031-RA	3168	2966.78	233	12.0086
Dm_00009533-RA	1185	983.782	0	0
Dm_00009536-RA	1041	839.782	17	3.09532
Dm_00009535-RA	792	590.902	589	152.413
Dm_00009534-RA	1146	944.782	347	56.1592
Dm_00009696-RA	606	405.316	0	0
Dm_00009720-RA	456	256.353	0	0
Dm_00009719-RA	795	593.902	0	0
Dm_00009254-RA	1287	1085.78	45	6.33713
Dm_00009255-RA	4353	4151.78	29	1.06804
Dm_00009256-RA	834	632.782	226	54.6106
Dm_00009072-RA	282	94.6992	0	0
Dm_00009813-RA	6525	6323.78	173	4.18304
Dm_00009814-RA	2781	2579.78	20	1.18541
Dm_00009915-RA	564	363.356	0	0
Dm_00009914-RA	258	75.0426	0	0
Dm_00009695-RA	2650	2448.78	338	21.1052
Dm_00009694-RA	624	423.316	90	32.5088
Dm_00009693-RA	861	659.782	121	28.0419
Dm_00008273-RA	1188	986.782	3	0.464861
Dm_00008274-RA	912	710.782	116	24.9542
Dm_00008656-RA	612	411.316	0	0
Dm_00009771-RA	1848	1646.78	129	11.9778
Dm_00010784-RA	594	393.356	0	0
Dm_00010112-RA	711	510.128	1239	371.377
Dm_00010111-RA	402	203.635	161	120.892
Dm_00009955-RA	255	72.6585	14	29.4621
Dm_00009954-RA	1899	1697.78	92	8.28569
Dm_00010107-RA	1728	1526.78	241	24.1359
Dm_00010108-RA	582	381.356	0	0
Dm_00010391-RA	2043	1841.78	712	59.1105
Dm_00010390-RA	711	510.128	0	0
Dm_00008774-RA	1182	980.782	87	13.5634
Dm_00008773-RA	2106	1904.78	157	12.6031
Dm_00009260-RA	264	79.8297	1410	2700.71
Dm_00009262-RA	1596	1394.78	429	47.0299
Dm_00009259-RA	873	671.782	47.2057	10.7446
Dm_00009261-RA	858	656.782	166	38.6465
Dm_00010532-RA	2697	2495.78	44	2.69568
Dm_00008895-RA	687	486.179	258	81.1421
Dm_00010337-RA	1866	1664.78	650	59.7006
Dm_00010336-RA	1530	1328.78	287	33.0256
Dm_00010339-RA	1194	992.782	22	3.38838
Dm_00010335-RA	630	429.316	599	213.34
Dm_00010338-RA	594	393.356	141	54.8096
Dm_00008749-RA	558	357.5	192	82.1199
Dm_00008748-RA	213	41.9993	2.10452	7.66184
Dm_00008876-RA	1122	920.782	46	7.63878
Dm_00008877-RA	1599	1397.78	0	0
Dm_00008875-RA	630	429.316	0	0
Dm_00009056-RA	951	749.782	0	0
Dm_00010140-RA	3342	3140.78	13	0.63289
Dm_00009531-RA	459	259.223	0	0
Dm_00009530-RA	525	324.706	0	0
Dm_00009739-RA	1890	1688.78	68	6.15684
Dm_00009740-RA	1218	1016.78	31	4.66183
Dm_00009741-RA	2091	1889.78	198	16.0205
Dm_00010362-RA	240	61.1148	188	470.364
Dm_00010363-RA	1167	965.782	0	0
Dm_00010361-RA	534	333.673	0	0
Dm_00009129-RA	2028	1826.78	296	24.7758
Dm_00009128-RA	915	713.782	9	1.92797
Dm_00009306-RA	1404	1202.78	0	0
Dm_00009305-RA	1164	962.782	155	24.6165
Dm_00009307-RA	1806	1604.78	440	41.9237
Dm_00009499-RA	183	22.827	149	998.067
Dm_00009501-RA	870	668.782	2	0.457265
Dm_00009500-RA	498	297.921	664	340.792
Dm_00010493-RA	3159	2957.78	8	0.413568
Dm_00010494-RA	1440	1238.78	1091	134.664
Dm_00009313-RA	1662	1460.78	91.7549	9.60432
Dm_00009314-RA	420	221.001	8.03221	5.5573
