target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	813.856	86	9.3693
Dm_00008772-RA	1272	1068.86	75	6.22155
Dm_00008770-RA	1722	1518.86	185	10.7997
Dm_00008771-RA	636	433.186	33	6.75455
Dm_00008682-RA	906	702.856	5	0.630754
Dm_00008591-RA	1308	1104.86	102	8.18561
Dm_00008592-RA	2436	2232.86	736	29.2263
Dm_00008593-RA	759	555.856	1234	196.838
Dm_00008594-RA	969	765.856	889	102.923
Dm_00010209-RA	468	267.157	0	0
Dm_00010051-RA	693	489.958	10	1.80966
Dm_00009727-RA	234	57.1409	0	0
Dm_00009728-RA	1161	957.856	0	0
Dm_00009413-RA	1368	1164.86	388	29.5336
Dm_00009412-RA	2105	1901.86	1490	69.4649
Dm_00009411-RA	2682	2478.86	202	7.22531
Dm_00009410-RA	432	232.085	3	1.14612
Dm_00009021-RA	1668	1464.86	570	34.5014
Dm_00009020-RA	414	214.687	35	14.455
Dm_00009748-RA	1554	1350.86	89	5.84168
Dm_00009749-RA	1092	888.856	304	30.3248
Dm_00009750-RA	941	737.856	244	29.3207
Dm_00010290-RA	1116	912.856	130	12.6269
Dm_00010291-RA	969	765.856	19	2.1997
Dm_00007855-RA	945	741.856	409	48.8833
Dm_00007856-RA	786	582.856	165	25.1003
Dm_00007858-RA	2466	2262.86	546	21.394
Dm_00007859-RA	2304	2100.86	191	8.06109
Dm_00007857-RA	873	669.856	71	9.39796
Dm_00009353-RA	471	270.103	49	16.0851
Dm_00009317-RA	312	120.193	199	146.802
Dm_00010173-RA	1548	1344.86	522	34.4153
Dm_00010171-RA	228	52.7901	32	53.747
Dm_00010172-RA	258	75.5014	4	4.69744
Dm_00009367-RA	1566	1362.86	627	40.7919
Dm_00009368-RA	171	16.1569	55	301.829
Dm_00009369-RA	984	780.856	187	21.2338
Dm_00009983-RA	1065	861.856	53	5.45252
Dm_00009982-RA	975	771.856	6	0.689242
Dm_00009984-RA	537	334.985	0	0
Dm_00009718-RA	1158	954.856	1782	165.473
Dm_00009717-RA	753	549.856	227	36.6044
Dm_00009950-RA	1842	1638.86	3	0.162307
Dm_00009953-RA	1437	1233.86	154	11.0666
Dm_00009948-RA	1638	1434.86	679	41.9583
Dm_00009949-RA	879	675.856	117	15.3493
Dm_00009951-RA	729	525.856	1	0.168612
Dm_00009952-RA	444	243.771	0	0
Dm_00009009-RA	738	534.856	0	0
Dm_00009010-RA	303	112.42	0	0
Dm_00009007-RA	891	687.856	0	0
Dm_00009008-RA	1164	960.856	63.6505	5.87354
Dm_00009011-RA	3048	2844.86	2.00122	0.0623722
Dm_00009012-RA	684	480.958	0	0
Dm_00010080-RA	1113	909.856	9	0.877054
Dm_00010081-RA	354	157.964	308	172.881
Dm_00010084-RA	1518	1314.86	505	34.0541
Dm_00010083-RA	1140	936.856	179.444	16.9829
Dm_00010082-RA	375	177.446	94	46.9698
Dm_00010098-RA	1200	996.856	1	0.0889455
Dm_00010096-RA	390	191.842	0	0
Dm_00010097-RA	666	463.053	207	39.6366
Dm_00008796-RA	414	214.687	0	0
Dm_00010370-RA	1886	1682.86	516	27.1869
Dm_00010369-RA	192	28.3433	0	0
Dm_00009774-RA	1998	1794.86	381	18.8214
Dm_00009775-RA	354	157.964	155	87.0019
Dm_00010288-RA	1401	1197.86	193	14.286
Dm_00009493-RA	963	759.856	234	27.3049
Dm_00009494-RA	984	780.856	308	34.9733
Dm_00009495-RA	714	510.907	0	0
Dm_00006316-RA	993	789.856	5	0.561279
Dm_00008938-RA	897	693.856	437	55.843
Dm_00008942-RA	1680	1476.86	544	32.6601
Dm_00008940-RA	834	630.856	119	16.7253
