"","target_id","ATgene_ID","TopBLASTHit_Name","tissue","module"
"1","Dm_00000041","AT3G08850.1",NA,NA,2
"2","Dm_00000090","AT2G02160.1",NA,NA,2
"3","Dm_00000248","AT4G17900.1",NA,NA,2
"4","Dm_00000398","AT2G01600.1",NA,NA,2
"5","Dm_00000399","AT1G14910.2",NA,NA,2
"6","Dm_00000499","AT2G30880.1",NA,NA,2
"7","Dm_00000598","AT1G09060.4",NA,NA,2
"8","Dm_00000632","AT4G32620.1",NA,NA,2
"9","Dm_00000874","AT5G47370.1",NA,NA,2
"10","Dm_00000923","AT3G24880.3",NA,NA,2
"11","Dm_00001009","AT5G57830.1",NA,NA,2
"12","Dm_00001106","AT2G24290.1",NA,NA,2
"13","Dm_00001194","AT4G27990.1",NA,NA,2
"14","Dm_00001215","AT4G26640.6",NA,NA,2
"15","Dm_00001337","AT5G51340.1",NA,NA,2
"16","Dm_00001426","AT1G21150.3",NA,NA,2
"17","Dm_00001480","AT5G42090.1",NA,NA,2
"18","Dm_00001574","AT3G08760.3",NA,NA,2
"19","Dm_00002062","AT2G17980.1",NA,"GlIn",2
"20","Dm_00002396","AT3G42050.1",NA,NA,2
"21","Dm_00003216","AT3G50590.2",NA,NA,2
"22","Dm_00003333","AT5G07900.1",NA,NA,2
"23","Dm_00003400","AT5G42940.2",NA,NA,2
"24","Dm_00003574","AT3G61690.3",NA,NA,2
"25","Dm_00003912","AT4G26640.6",NA,NA,2
"26","Dm_00004283","AT1G62310.1",NA,NA,2
"27","Dm_00004455","AT5G01160.2",NA,NA,2
"28","Dm_00004704","AT5G66030.2",NA,NA,2
"29","Dm_00004757","AT1G11950.3",NA,NA,2
"30","Dm_00004829","AT3G02090.1",NA,NA,2
"31","Dm_00004884","AT1G04970.1",NA,NA,2
"32","Dm_00005065","AT1G12230.1",NA,NA,2
"33","Dm_00005129","AT1G71820.1",NA,NA,2
"34","Dm_00005532","AT1G77800.4",NA,NA,2
"35","Dm_00005533","AT1G77800.5",NA,NA,2
"36","Dm_00005557","AT3G46960.2",NA,NA,2
"37","Dm_00005679","AT1G08600.4",NA,NA,2
"38","Dm_00005680","AT1G08600.4",NA,NA,2
"39","Dm_00005753","AT5G16280.2",NA,NA,2
"40","Dm_00005755","AT2G37150.9",NA,NA,2
"41","Dm_00005916","AT3G63460.2",NA,NA,2
"42","Dm_00005917","AT3G63460.1",NA,NA,2
"43","Dm_00006041","AT5G54880.1",NA,NA,2
"44","Dm_00006056","AT1G02080.2",NA,NA,2
"45","Dm_00006057","AT1G02080.3",NA,NA,2
"46","Dm_00006059","AT1G02080.1",NA,NA,2
"47","Dm_00006060","AT1G02080.2",NA,NA,2
"48","Dm_00006183","AT2G17930.1",NA,NA,2
"49","Dm_00006305","AT3G27550.3",NA,NA,2
"50","Dm_00006426","AT5G65780.1",NA,NA,2
"51","Dm_00006432","AT2G47350.1",NA,NA,2
"52","Dm_00006585","AT1G22870.1",NA,NA,2
"53","Dm_00006817","AT3G24880.3",NA,NA,2
"54","Dm_00006818","AT3G24880.3",NA,NA,2
"55","Dm_00007633","AT4G32620.2",NA,NA,2
"56","Dm_00007966","AT5G07900.1",NA,NA,2
"57","Dm_00008365","AT2G30690.2",NA,NA,2
"58","Dm_00008529","AT5G18420.1",NA,NA,2
"59","Dm_00008771","AT3G01720.1",NA,NA,2
"60","Dm_00008889","AT3G10650.2",NA,NA,2
"61","Dm_00008994","AT4G12610.1",NA,NA,2
"62","Dm_00009088","AT5G07900.1",NA,NA,2
"63","Dm_00009217","AT3G14120.2",NA,NA,2
"64","Dm_00009222","AT3G01780.1",NA,NA,2
"65","Dm_00009265","AT1G61690.1",NA,NA,2
"66","Dm_00009417","AT5G50020.1",NA,NA,2
"67","Dm_00009522","AT3G63460.1",NA,NA,2
"68","Dm_00009523","AT3G63460.2",NA,NA,2
"69","Dm_00009739","AT5G65540.1",NA,NA,2
"70","Dm_00009782","AT5G21170.1",NA,NA,2
"71","Dm_00009848","AT5G07900.1",NA,NA,2
"72","Dm_00010139","AT1G12930.1",NA,NA,2
"73","Dm_00010511","AT1G58350.4",NA,NA,2
"74","Dm_00010700","AT5G46400.1",NA,NA,2
"75","Dm_00010798","AT1G71980.1",NA,NA,2
"76","Dm_00010964","AT5G08520.1",NA,NA,2
"77","Dm_00011251","AT1G21460.1",NA,NA,2
"78","Dm_00011720","AT1G67890.3",NA,NA,2
"79","Dm_00012434","AT3G26020.6",NA,NA,2
"80","Dm_00012662","AT5G47690.1",NA,NA,2
"81","Dm_00012781","AT2G31890.1",NA,NA,2
"82","Dm_00012860","AT2G04620.1",NA,NA,2
"83","Dm_00013087","AT5G18610.3",NA,NA,2
"84","Dm_00013088","AT3G07030.5",NA,NA,2
"85","Dm_00013154","AT2G22400.1",NA,NA,2
"86","Dm_00013329","AT2G01070.2",NA,NA,2
"87","Dm_00013389","AT2G42450.1",NA,NA,2
"88","Dm_00013412","AT4G35870.1",NA,NA,2
"89","Dm_00014266","AT2G43410.4",NA,NA,2
"90","Dm_00014330","AT2G24530.2",NA,NA,2
"91","Dm_00015058","AT4G31880.1",NA,NA,2
"92","Dm_00015059","AT4G31880.1",NA,NA,2
"93","Dm_00015190","AT1G50920.1",NA,NA,2
"94","Dm_00015455","AT2G39190.2",NA,NA,2
"95","Dm_00015565","AT2G47350.1",NA,NA,2
"96","Dm_00015701","AT5G07900.1",NA,NA,2
"97","Dm_00016056","AT5G07900.1",NA,NA,2
"98","Dm_00016057","AT5G07900.1",NA,NA,2
"99","Dm_00016459","AT1G11960.2",NA,NA,2
"100","Dm_00016705","AT5G22070.1",NA,NA,2
"101","Dm_00016900","AT4G31880.2",NA,NA,2
"102","Dm_00017011","AT5G11650.1",NA,NA,2
"103","Dm_00017434","AT5G10310.1",NA,NA,2
"104","Dm_00018588","AT5G06560.1",NA,NA,2
"105","Dm_00018626","AT1G24330.2",NA,NA,2
"106","Dm_00018830","AT1G78690.5",NA,NA,2
"107","Dm_00019083","AT4G15480.1",NA,NA,2
"108","Dm_00019299","AT1G11950.3",NA,NA,2
"109","Dm_00019764","AT4G19600.1",NA,NA,2
