,gene_ID,module,ATgene_ID,TopBLASTHit_Symbol,TopBLASTHit_Name,TopBLASTHit_Position,,Orthogroup
1,Dm_00007003-RA,2,AT1G69830.1,"Symbols: ATAMY3, AMY3","ALPHA-AMYLASE-LIKE 3, alpha-amylase-like 3",chr1:26288518-26293003 REVERSE LENGTH=887,,OG0006772
2,Dm_00004577-RA,2,AT2G45880.1,"Symbols: BMY4, BAM7","BETA-AMYLASE 4, beta-amylase 7",chr2:18878674-18881824 REVERSE LENGTH=691,,OG0003648
3,Dm_00007272-RA,2,AT2G32290.1,"Symbols: BMY5, BAM6","BETA-AMYLASE 5, beta-amylase 6",chr2:13714643-13716906 REVERSE LENGTH=577,,OG0002039
4,Dm_00005210-RA,2,AT4G09020.1,"Symbols: ATISA3, ISA3",isoamylase 3,chr4:5784099-5788839 FORWARD LENGTH=764,,NA
5,Dm_00011753-RA,2,AT5G47010.1,"Symbols: UPF1, LBA1, ATUPF1","UP-FRAMESHIFT1, LOW-LEVEL BETA-AMYLASE 1",chr5:19072009-19078856 FORWARD LENGTH=1254,,OG0023041
6,Dm_00014373-RA,2,AT5G47010.1,"Symbols: UPF1, LBA1, ATUPF1","UP-FRAMESHIFT1, LOW-LEVEL BETA-AMYLASE 1",chr5:19072009-19078856 FORWARD LENGTH=1254,,OG0022259
7,Dm_00014374-RA,2,AT5G47010.1,"Symbols: UPF1, LBA1, ATUPF1","UP-FRAMESHIFT1, LOW-LEVEL BETA-AMYLASE 1",chr5:19072009-19078856 FORWARD LENGTH=1254,,OG0023041
8,Dm_00016358-RA,2,AT5G47010.1,"Symbols: UPF1, LBA1, ATUPF1","UP-FRAMESHIFT1, LOW-LEVEL BETA-AMYLASE 1",chr5:19072009-19078856 FORWARD LENGTH=1254,,OG0022259
9,Dm_00000131-RA,3,AT1G76130.2,"Symbols: ATAMY2, AMY2","alpha-amylase-like 2, ARABIDOPSIS THALIANA ALPHA-AMYLASE-LIKE 2",chr1:28561647-28563914 FORWARD LENGTH=413,,OG0008752
10,Dm_00017862-RA,3,AT3G23920.1,"Symbols: BMY7, AtBAM1, BAM1, TR-BAMY","beta-amylase 1, BETA-AMYLASE 7",chr3:8641722-8644199 FORWARD LENGTH=575,,OG0008415
11,Dm_00017760-RA,3,AT4G17090.1,"Symbols: CT-BMY, BMY8, AtBAM3, BAM3","BETA-AMYLASE 8, BETA-AMYLASE 3, chloroplast beta-amylase",chr4:9605266-9607250 REVERSE LENGTH=548,,OG0009817
12,Dm_00007918-RA,3,AT5G18670.1,"Symbols: BAM9, BMY3","BETA-AMYLASE 9, beta-amylase 3",chr5:6226138-6227999 FORWARD LENGTH=536,,OG0010016
13,Dm_00015068-RA,10,AT4G25000.1,"Symbols: ATAMY1, AMY1",alpha-amylase-like,chr4:12852109-12853825 REVERSE LENGTH=423,,OG0001444
14,Dm_00013377-RA,10,AT4G17090.1,"Symbols: CT-BMY, BMY8, AtBAM3, BAM3","BETA-AMYLASE 8, BETA-AMYLASE 3, chloroplast beta-amylase",chr4:9605266-9607250 REVERSE LENGTH=548,,NA
15,Dm_00000730-RA,16,AT2G39930.1,"Symbols: ATISA1, ISA1","isoamylase 1, ARABIDOPSIS THALIANA ISOAMYLASE 1",chr2:16666078-16672183 FORWARD LENGTH=783,,OG0009565
16,Dm_00005209-RA,16,AT4G09020.1,"Symbols: ATISA3, ISA3",isoamylase 3,chr4:5784099-5788839 FORWARD LENGTH=764,,OG0008726
