Orthogroup	G_max.proteins	B_vulgaris.proteins
OG0000009	GmISU01.13G229500.1.p	Bevul.8G212100.1.p, Bevul.1G086700.1.p, Bevul.1G091900.1.p, Bevul.7G138300.1.p, Bevul.8G195200.1.p
OG0000011	GmISU01.14G044700.1.p, GmISU01.14G044300.1.p, GmISU01.14G044500.1.p, GmISU01.02G229500.1.p, GmISU01.18G194700.1.p, GmISU01.18G195400.1.p, GmISU01.18G194900.1.p, GmISU01.09G200100.1.p, GmISU01.09G199900.1.p, GmISU01.16G059100.1.p, GmISU01.16G058300.1.p, GmISU01.16G058900.1.p, GmISU01.16G058000.1.p, GmISU01.16G058100.1.p, GmISU01.16G058300.2.p, GmISU01.16G058100.2.p, GmISU01.16G058800.1.p, GmISU01.16G057900.1.p, GmISU01.16G058400.1.p, GmISU01.16G058500.1.p, GmISU01.16G057800.1.p, GmISU01.16G057700.1.p, GmISU01.19G061700.1.p, GmISU01.18G147800.2.p, GmISU01.18G147800.3.p, GmISU01.18G147800.1.p, GmISU01.18G148600.1.p, GmISU01.18G148500.1.p	Bevul.9G145000.1.p
OG0000011	GmISU01.18G201800.1.p, GmISU01.03G020400.1.p, GmISU01.03G020400.3.p, GmISU01.03G023800.1.p, GmISU01.18G198300.1.p, GmISU01.18G199000.1.p, GmISU01.18G199100.1.p, GmISU01.18G198900.1.p, GmISU01.18G198900.2.p, GmISU01.18G202300.1.p, GmISU01.18G198600.1.p, GmISU01.18G198700.1.p, GmISU01.18G210800.1.p	Bevul.3G168100.1.p
OG0000011	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p	Bevul.7G111500.1.p, Bevul.7G111300.1.p
OG0000015	GmISU01.08G055600.2.p, GmISU01.08G055600.3.p, GmISU01.08G055600.1.p, GmISU01.15G061500.3.p, GmISU01.15G061500.4.p, GmISU01.15G061500.1.p, GmISU01.15G061500.2.p, GmISU01.13G214800.1.p	Bevul.8G062600.1.p
OG0000015	GmISU01.06G218200.1.p	Bevul.9G113800.1.p, Bevul.9G113800.4.p, Bevul.9G113800.3.p, Bevul.9G113800.5.p, Bevul.9G113800.2.p, Bevul.9G014400.2.p, Bevul.9G014400.3.p, Bevul.9G014400.1.p
OG0000016	GmISU01.07G135800.1.p, GmISU01.09G176600.1.p, GmISU01.09G047000.2.p, GmISU01.09G047000.1.p, GmISU01.09G175700.2.p, GmISU01.09G175700.1.p, GmISU01.01G116100.1.p, GmISU01.01G118200.1.p, GmISU01.15G176300.1.p, GmISU01.03G072500.1.p, GmISU01.13G231200.1.p, GmISU01.09G176400.1.p, GmISU01.04G104000.1.p, GmISU01.01G116000.1.p	Bevul.9G175500.1.p, Bevul.9G175500.3.p, Bevul.9G175500.2.p, Bevul.9G175700.1.p, Bevul.9G175800.1.p, Bevul.9G176100.1.p, Bevul.9G176000.1.p, Bevul.9G176400.1.p, Bevul.8G121500.1.p, Bevul.9G175900.1.p, Bevul.9G176500.1.p
OG0000018	GmISU01.18G125000.1.p, GmISU01.08G313800.1.p, GmISU01.08G313900.1.p, GmISU01.08G314000.1.p, GmISU01.09G114300.1.p	Bevul.6G029800.1.p, Bevul.3G012700.1.p, Bevul.3G012800.1.p
OG0000018	GmISU01.10G007000.1.p, GmISU01.10G007000.2.p, GmISU01.10G007000.3.p, GmISU01.10G006800.1.p, GmISU01.15G213400.1.p, GmISU01.07G106200.1.p, GmISU01.03G077100.1.p	Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p, Bevul.3G190300.1.p
OG0000018	GmISU01.13G093800.1.p	Bevul.3G188900.1.p, Bevul.3G012200.1.p, Bevul.3G012300.1.p, Bevul.3G012500.1.p, Bevul.3G012400.1.p, Bevul.5G246300.1.p
OG0000021	GmISU01.10G209300.1.p, GmISU01.10G209200.1.p, GmISU01.20G112900.1.p, GmISU01.20G113000.1.p, GmISU01.10G167700.1.p, GmISU01.11G099600.1.p, GmISU01.13G228800.1.p	Bevul.5G038600.1.p, Bevul.2G167900.1.p, Bevul.8G145800.1.p, Bevul.8G146100.1.p, Bevul.5G040400.1.p
OG0000021	GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p	Bevul.5G145300.1.p, Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p, Bevul.2G184100.1.p, Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p, Bevul.1G207900.1.p, Bevul.1G207800.1.p
OG0000022	GmISU01.15G141400.1.p	Bevul.7G006300.1.p
OG0000022	GmISU01.08G098000.1.p	Bevul.1G097600.1.p
OG0000023	GmISU01.20G031800.1.p, GmISU01.20G031800.5.p, GmISU01.20G031800.4.p, GmISU01.20G031800.3.p, GmISU01.20G031800.2.p, GmISU01.13G051100.1.p	Bevul.1G139100.1.p, Bevul.3G136100.1.p, Bevul.3G136400.1.p, Bevul.3G136300.1.p
OG0000023	GmISU01.06G165800.1.p, GmISU01.13G189500.1.p, GmISU01.15G083700.1.p, GmISU01.06G042600.1.p, GmISU01.03G052600.2.p, GmISU01.03G052600.1.p	Bevul.1G009300.1.p
OG0000024	GmISU01.06G198800.2.p, GmISU01.06G198800.1.p	Bevul.7G020900.1.p, Bevul.7G020600.1.p
OG0000025	GmISU01.09G178800.1.p, GmISU01.09G177900.1.p, GmISU01.12G030900.1.p	Bevul.9G156900.1.p
OG0000025	GmISU01.06G005700.1.p	Bevul.9G157100.1.p
