Orthogroup	A_coerulea.proteins	L_sativa.proteins
OG0000008	Aqcoe5G395200.1.p, Aqcoe5G128900.1.p	Lsat_1_v5_gn_3_111360.3, Lsat_1_v5_gn_3_111340.3, Lsat_1_v5_gn_3_111340.1
OG0000008	Aqcoe2G139900.1.p	Lsat_1_v5_gn_0_17660.1, Lsat_1_v5_gn_0_17660.2, Lsat_1_v5_gn_3_111521.1, Lsat_1_v5_gn_3_111521.2, Lsat_1_v5_gn_3_111261.1, Lsat_1_v5_gn_3_111360.1, Lsat_1_v5_gn_3_111360.2, Lsat_1_v5_gn_3_111320.2, Lsat_1_v5_gn_3_111320.1, Lsat_1_v5_gn_3_111021.1, Lsat_1_v5_gn_3_111640.1, Lsat_1_v5_gn_3_109840.1, Lsat_1_v5_gn_3_111041.3, Lsat_1_v5_gn_3_111041.1, Lsat_1_v5_gn_3_95641.1, Lsat_1_v5_gn_3_115200.1, Lsat_1_v5_gn_3_111340.2
OG0000008	Aqcoe4G095300.1.p, Aqcoe5G367200.1.p, Aqcoe5G367200.2.p, Aqcoe5G355800.1.p, Aqcoe5G370400.1.p, Aqcoe5G366700.1.p, Aqcoe5G370300.5.p, Aqcoe5G370300.4.p, Aqcoe5G370300.1.p, Aqcoe5G370300.2.p, Aqcoe5G369000.1.p, Aqcoe6G222400.1.p, Aqcoe5G368700.1.p, Aqcoe5G371800.1.p, Aqcoe5G452800.2.p, Aqcoe5G452800.1.p, Aqcoe5G379400.1.p, Aqcoe5G367100.1.p, Aqcoe5G378200.1.p	Lsat_1_v5_gn_9_9621.1, Lsat_1_v5_gn_9_9621.2
OG0000008	Aqcoe5G035200.1.p, Aqcoe3G020700.1.p, Aqcoe7G038000.1.p, Aqcoe4G132600.1.p, Aqcoe5G313900.1.p, Aqcoe5G185200.1.p	Lsat_1_v5_gn_2_107320.4
OG0000011	Aqcoe4G037600.1.p, Aqcoe4G019500.1.p, Aqcoe4G037100.1.p, Aqcoe4G037700.1.p, Aqcoe4G019600.1.p, Aqcoe4G037300.1.p, Aqcoe4G037900.1.p, Aqcoe7G310000.1.p, Aqcoe4G037800.1.p, Aqcoe4G038000.1.p, Aqcoe4G037200.1.p, Aqcoe4G037500.1.p, Aqcoe4G109700.1.p, Aqcoe4G156400.1.p, Aqcoe4G156400.2.p, Aqcoe4G037000.1.p, Aqcoe4G077100.1.p, Aqcoe4G077300.1.p, Aqcoe4G228700.1.p, Aqcoe4G039300.1.p, Aqcoe4G210900.1.p, Aqcoe4G104100.1.p, Aqcoe4G072100.1.p	Lsat_1_v5_gn_6_100741.1, Lsat_1_v5_gn_9_41461.1, Lsat_1_v5_gn_4_41280.1, Lsat_1_v5_gn_4_41340.1, Lsat_1_v5_gn_4_41240.1, Lsat_1_v5_gn_1_81560.1, Lsat_1_v5_gn_1_81560.2
OG0000011	Aqcoe5G458900.1.p, Aqcoe3G339400.2.p, Aqcoe3G339400.1.p, Aqcoe3G312000.1.p	Lsat_1_v5_gn_1_47320.1, Lsat_1_v5_gn_1_47320.4, Lsat_1_v5_gn_2_11081.3, Lsat_1_v5_gn_2_11081.1, Lsat_1_v5_gn_4_26720.3
OG0000011	Aqcoe5G018800.1.p, Aqcoe5G018900.1.p	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3
OG0000015	Aqcoe3G211700.1.p	Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1
OG0000015	Aqcoe4G310300.2.p, Aqcoe4G310300.3.p, Aqcoe4G310300.1.p, Aqcoe4G268700.2.p, Aqcoe4G268700.1.p, Aqcoe4G268700.3.p, Aqcoe4G268100.1.p, Aqcoe4G268000.1.p, Aqcoe4G268200.1.p, Aqcoe5G403000.1.p, Aqcoe4G267500.1.p	Lsat_1_v5_gn_9_95221.2, Lsat_1_v5_gn_9_95221.1, Lsat_1_v5_gn_9_95221.3, Lsat_1_v5_gn_7_105821.1
OG0000015	Aqcoe3G250200.1.p	Lsat_1_v5_gn_5_49520.2
