Orthogroup	D_muscipula.proteins	A_thaliana.proteins
OG0000008	Dm_00017627-RA	AT4G26800.1
OG0000011	Dm_00003465-RA	AT4G08850.1, AT4G08850.2, AT1G35710.1
OG0000015	Dm_00009736-RA	AT4G21380.1, AT4G21380.2, AT1G65800.2, AT1G65800.1, AT1G65790.3, AT1G65790.2, AT1G65790.1
OG0000015	Dm_00001315-RA	AT4G27290.2, AT4G27290.1
OG0000018	Dm_00020011-RA	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1
OG0000021	Dm_00010968-RA, Dm_00020262-RA, Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA, Dm_00010156-RA	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1
OG0000022	Dm_00009918-RA	AT5G64950.1
OG0000023	Dm_00010852-RA	AT3G12220.3, AT3G12220.1, AT3G12220.2, AT3G12240.1, AT3G12230.1, AT3G12203.3, AT3G12203.2, AT3G12203.1
OG0000023	Dm_00006887-RA, Dm_00006652-RA	AT1G33540.1, AT1G33540.2
OG0000023	Dm_00007864-RA, Dm_00007863-RA	AT2G22920.3, AT3G10450.4, AT3G10450.2, AT3G10450.3, AT3G10450.1, AT1G73290.1, AT1G73290.2, AT1G73280.2, AT1G73290.3, AT1G73310.2, AT1G73310.1, AT1G73300.1, AT1G73280.4, AT1G73280.3, AT5G36180.3, AT5G36180.2, AT1G73310.3, AT5G36180.4, AT5G36180.5, AT1G73280.1, AT5G36180.1, AT1G73300.2, AT1G73270.1, AT1G73270.2, AT2G23010.2, AT2G23010.1, AT2G22990.4, AT2G22990.2, AT2G22990.6, AT2G22990.5, AT2G22990.3, AT2G22990.1, AT2G23000.1, AT2G23000.2, AT2G22970.4, AT2G22970.3, AT2G22920.1, AT2G22920.4, AT2G22970.2, AT2G22970.1, AT2G22980.1, AT2G22980.3, AT2G22980.5, AT2G22980.4, AT2G22980.2, AT2G22920.2, AT5G09640.1
OG0000025	Dm_00003442-RA, Dm_00003443-RA, Dm_00007239-RA	AT4G34800.1
OG0000027	Dm_00002324-RA, Dm_00004939-RA	AT2G24520.4, AT5G57350.3
OG0000027	Dm_00000274-RA	AT2G07560.1, AT3G42640.1
OG0000028	Dm_00006419-RA, Dm_00006416-RA, Dm_00006418-RA, Dm_00001425-RA, Dm_00020344-RA, Dm_00016376-RA, Dm_00001424-RA, Dm_00006415-RA, Dm_00001427-RA, Dm_00006417-RA, Dm_00006319-RA, Dm_00006317-RA, Dm_00005629-RA, Dm_00015141-RA, Dm_00006322-RA, Dm_00006318-RA, Dm_00002878-RA, Dm_00002994-RA, Dm_00005634-RA, Dm_00016871-RA, Dm_00002995-RA, Dm_00006320-RA, Dm_00006321-RA, Dm_00001442-RA, Dm_00001444-RA, Dm_00006805-RA, Dm_00008234-RA, Dm_00012131-RA, Dm_00020576-RA, Dm_00006032-RA, Dm_00006033-RA, Dm_00006031-RA	AT1G47890.1, AT1G45616.1
OG0000030	Dm_00000141-RA	AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1
OG0000032	Dm_00020696-RA	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1
