Orthogroup	G_max.proteins	A_hypochondriacus.proteins
OG0000008	GmISU01.07G091700.1.p, GmISU01.09G219400.1.p, GmISU01.15G175000.1.p, GmISU01.16G175550.1.p, GmISU01.09G122300.2.p	AH000127-RA
OG0000011	GmISU01.14G044700.1.p, GmISU01.14G044300.1.p, GmISU01.14G044500.1.p, GmISU01.02G229500.1.p, GmISU01.18G194700.1.p, GmISU01.18G195400.1.p, GmISU01.18G194900.1.p, GmISU01.09G200100.1.p, GmISU01.09G199900.1.p, GmISU01.16G059100.1.p, GmISU01.16G058300.1.p, GmISU01.16G058900.1.p, GmISU01.16G058000.1.p, GmISU01.16G058100.1.p, GmISU01.16G058300.2.p, GmISU01.16G058100.2.p, GmISU01.16G058800.1.p, GmISU01.16G057900.1.p, GmISU01.16G058400.1.p, GmISU01.16G058500.1.p, GmISU01.16G057800.1.p, GmISU01.16G057700.1.p, GmISU01.19G061700.1.p, GmISU01.18G147800.2.p, GmISU01.18G147800.3.p, GmISU01.18G147800.1.p, GmISU01.18G148600.1.p, GmISU01.18G148500.1.p	AH002194-RA
OG0000011	GmISU01.18G201800.1.p, GmISU01.03G020400.1.p, GmISU01.03G020400.3.p, GmISU01.03G023800.1.p, GmISU01.18G198300.1.p, GmISU01.18G199000.1.p, GmISU01.18G199100.1.p, GmISU01.18G198900.1.p, GmISU01.18G198900.2.p, GmISU01.18G202300.1.p, GmISU01.18G198600.1.p, GmISU01.18G198700.1.p, GmISU01.18G210800.1.p	AH001485-RA, AH001483-RA, AH001487-RA
OG0000011	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p	AH022040-RA, AH022041-RA, AH022042-RA, AH022043-RA
OG0000015	GmISU01.08G055600.2.p, GmISU01.08G055600.3.p, GmISU01.08G055600.1.p, GmISU01.15G061500.3.p, GmISU01.15G061500.4.p, GmISU01.15G061500.1.p, GmISU01.15G061500.2.p, GmISU01.13G214800.1.p	AH015162-RA, AH021574-RA
OG0000016	GmISU01.07G135800.1.p, GmISU01.09G176600.1.p, GmISU01.09G047000.2.p, GmISU01.09G047000.1.p, GmISU01.09G175700.2.p, GmISU01.09G175700.1.p, GmISU01.01G116100.1.p, GmISU01.01G118200.1.p, GmISU01.15G176300.1.p, GmISU01.03G072500.1.p, GmISU01.13G231200.1.p, GmISU01.09G176400.1.p, GmISU01.04G104000.1.p, GmISU01.01G116000.1.p	AH007101-RA
OG0000018	GmISU01.10G007000.1.p, GmISU01.10G007000.2.p, GmISU01.10G007000.3.p, GmISU01.10G006800.1.p, GmISU01.15G213400.1.p, GmISU01.07G106200.1.p, GmISU01.03G077100.1.p	AH019393-RA
OG0000018	GmISU01.13G093800.1.p	AH019902-RA, AH019903-RA, AH007232-RA, AH007233-RA
OG0000021	GmISU01.10G209300.1.p, GmISU01.10G209200.1.p, GmISU01.20G112900.1.p, GmISU01.20G113000.1.p, GmISU01.10G167700.1.p, GmISU01.11G099600.1.p, GmISU01.13G228800.1.p	AH003127-RA, AH003133-RA
OG0000021	GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA, AH022149-RA, AH022148-RA
OG0000023	GmISU01.20G031800.1.p, GmISU01.20G031800.5.p, GmISU01.20G031800.4.p, GmISU01.20G031800.3.p, GmISU01.20G031800.2.p, GmISU01.13G051100.1.p	AH013573-RA, AH014496-RA, AH007059-RA, AH021142-RA
OG0000024	GmISU01.06G198800.2.p, GmISU01.06G198800.1.p	AH012583-RA
OG0000025	GmISU01.09G178800.1.p, GmISU01.09G177900.1.p, GmISU01.12G030900.1.p	AH001710-RA, AH001709-RA, AH023136-RA
OG0000025	GmISU01.06G005600.1.p, GmISU01.04G006100.1.p, GmISU01.12G030800.2.p, GmISU01.09G177800.1.p	AH001716-RA
