"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"1","GO:0008150","biological_process",10199,1106,866.47,"< 1e-30"
"2","GO:0042742","defense response to bacterium",373,98,31.69,"2.8e-25"
"3","GO:0050832","defense response to fungus",237,65,20.13,"2.1e-20"
"4","GO:0006355","regulation of DNA-templated transcription",911,154,77.4,"1.4e-17"
"5","GO:0071456","cellular response to hypoxia",89,35,7.56,"5.9e-17"
"6","GO:0009751","response to salicylic acid",137,46,11.64,"4.8e-16"
"7","GO:0010200","response to chitin",94,34,7.99,"3.3e-15"
"8","GO:0009737","response to abscisic acid",486,100,41.29,"7.5e-15"
"9","GO:0031347","regulation of defense response",266,68,22.6,"1.3e-14"
"10","GO:1901701","cellular response to oxygen-containing compound",579,122,49.19,"2.1e-13"
"11","GO:0009414","response to water deprivation",407,75,34.58,"5.1e-13"
"12","GO:0007165","signal transduction",1077,220,91.5,"2.6e-12"
"13","GO:0002376","immune system process",204,62,17.33,"6.3e-12"
"14","GO:0006468","protein phosphorylation",469,86,39.84,"1.9e-10"
"15","GO:0009987","cellular process",7901,879,671.24,"2.7e-10"
"16","GO:0009755","hormone-mediated signaling pathway",496,113,42.14,"3.3e-10"
"17","GO:0009611","response to wounding",296,55,25.15,"5.0e-10"
"18","GO:0009651","response to salt stress",316,54,26.85,"1.6e-08"
"19","GO:0098542","defense response to other organism",770,171,65.42,"2.5e-08"
"20","GO:0048589","developmental growth",624,94,53.01,"5.2e-08"
"21","GO:0009409","response to cold",252,49,21.41,"1.6e-07"
"22","GO:0009738","abscisic acid-activated signaling pathway",135,29,11.47,"2.8e-07"
"23","GO:0042546","cell wall biogenesis",244,51,20.73,"2.6e-06"
"24","GO:0046777","protein autophosphorylation",93,21,7.9,"5.3e-06"
"25","GO:0032870","cellular response to hormone stimulus",597,134,50.72,"6.7e-06"
"26","GO:0010243","response to organonitrogen compound",237,63,20.13,"7.9e-06"
"27","GO:0048364","root development",506,78,42.99,"8.4e-06"
"28","GO:0071407","cellular response to organic cyclic compound",120,32,10.19,"9.9e-06"
"29","GO:0009416","response to light stimulus",1020,117,86.66,"1.3e-05"
"30","GO:0052324","plant-type cell wall cellulose biosynthetic process",9,6,0.76,"1.3e-05"
"31","GO:0006979","response to oxidative stress",249,42,21.15,"1.5e-05"
"32","GO:0033993","response to lipid",833,166,70.77,"1.6e-05"
"33","GO:0009873","ethylene-activated signaling pathway",51,14,4.33,"1.9e-05"
"34","GO:0009723","response to ethylene",116,30,9.85,"2.0e-05"
"35","GO:0045489","pectin biosynthetic process",39,12,3.31,"2.1e-05"
"36","GO:0009725","response to hormone",1088,223,92.43,"2.2e-05"
"37","GO:0010015","root morphogenesis",293,43,24.89,"2.5e-05"
"38","GO:0071310","cellular response to organic substance",763,169,64.82,"3.2e-05"
"39","GO:0019748","secondary metabolic process",290,45,24.64,"3.5e-05"
"40","GO:0030154","cell differentiation",611,74,51.91,"4.6e-05"
"41","GO:0014070","response to organic cyclic compound",289,81,24.55,"4.9e-05"
"42","GO:0071669","plant-type cell wall organization or biogenesis",271,55,23.02,"5.0e-05"
"43","GO:0044255","cellular lipid metabolic process",554,71,47.07,"5.5e-05"
"44","GO:0002221","pattern recognition receptor signaling pathway",15,7,1.27,"5.5e-05"
"45","GO:0009617","response to bacterium",458,115,38.91,"5.9e-05"
"46","GO:0010411","xyloglucan metabolic process",31,10,2.63,"6.5e-05"
"47","GO:0006970","response to osmotic stress",428,75,36.36,"6.8e-05"
"48","GO:0071695","anatomical structure maturation",171,28,14.53,"9.7e-05"
"49","GO:0009888","tissue development",855,105,72.64,"0.00013"
"50","GO:0007166","cell surface receptor signaling pathway",17,7,1.44,"0.00015"
"51","GO:0009620","response to fungus",335,85,28.46,"0.00015"
"52","GO:0080135","regulation of cellular response to stress",56,13,4.76,"0.00024"
"53","GO:0009626","plant-type hypersensitive response",36,10,3.06,"0.00026"
"54","GO:0006952","defense response",901,190,76.55,"0.00027"
"55","GO:0002237","response to molecule of bacterial origin",45,13,3.82,"0.00029"
"56","GO:0009739","response to gibberellin",72,15,6.12,"0.00029"
"57","GO:0009733","response to auxin",190,34,16.14,"0.00030"
"58","GO:0045087","innate immune response",101,27,8.58,"0.00033"
"59","GO:0009863","salicylic acid mediated signaling pathway",37,10,3.14,"0.00034"
"60","GO:0030307","positive regulation of cell growth",14,6,1.19,"0.00034"
"61","GO:0009867","jasmonic acid mediated signaling pathway",73,15,6.2,"0.00035"
"62","GO:1901615","organic hydroxy compound metabolic process",222,47,18.86,"0.00038"
"63","GO:0009415","response to water",433,83,36.79,"0.00038"
"64","GO:0002682","regulation of immune system process",65,22,5.52,"0.00040"
"65","GO:1901617","organic hydroxy compound biosynthetic process",124,26,10.53,"0.00046"
"66","GO:0005992","trehalose biosynthetic process",10,5,0.85,"0.00047"
"67","GO:0016192","vesicle-mediated transport",313,41,26.59,"0.00047"
"68","GO:0019722","calcium-mediated signaling",20,7,1.7,"0.00048"
"69","GO:0009408","response to heat",178,32,15.12,"0.00058"
"70","GO:0044281","small molecule metabolic process",1434,170,121.83,"0.00059"
"71","GO:0009631","cold acclimation",33,9,2.8,"0.00062"
"72","GO:0010286","heat acclimation",33,9,2.8,"0.00062"
"73","GO:0010150","leaf senescence",111,19,9.43,"0.00070"
"74","GO:0090558","plant epidermis development",300,39,25.49,"0.00075"
"75","GO:0002218","activation of innate immune response",16,6,1.36,"0.00080"
"76","GO:0045892","negative regulation of DNA-templated transcription",130,21,11.04,"0.00083"
"77","GO:0060548","negative regulation of cell death",22,7,1.87,"0.00091"
"78","GO:0045893","positive regulation of DNA-templated transcription",227,31,19.29,"0.00113"
"79","GO:0045926","negative regulation of growth",17,6,1.44,"0.00116"
"80","GO:0009266","response to temperature stimulus",466,85,39.59,"0.00120"
"81","GO:0001666","response to hypoxia",119,43,10.11,"0.00122"
"82","GO:0010035","response to inorganic substance",908,143,77.14,"0.00132"
"83","GO:0008610","lipid biosynthetic process",437,54,37.13,"0.00144"
"84","GO:0005513","detection of calcium ion",4,3,0.34,"0.00168"
"85","GO:0009734","auxin-activated signaling pathway",60,12,5.1,"0.00169"
"86","GO:0010337","regulation of salicylic acid metabolic process",13,7,1.1,"0.00183"
"87","GO:0031348","negative regulation of defense response",38,9,3.23,"0.00185"
"88","GO:0009966","regulation of signal transduction",201,32,17.08,"0.00191"
"89","GO:0071248","cellular response to metal ion",13,5,1.1,"0.00197"
"90","GO:0009768","photosynthesis, light harvesting in photosystem I",13,5,1.1,"0.00197"
"91","GO:0072330","monocarboxylic acid biosynthetic process",148,27,12.57,"0.00227"
"92","GO:0048580","regulation of post-embryonic development",232,34,19.71,"0.00227"
"93","GO:0006082","organic acid metabolic process",1016,118,86.32,"0.00247"
"94","GO:0071396","cellular response to lipid",327,67,27.78,"0.00265"
"95","GO:0008219","cell death",116,28,9.85,"0.00269"
"96","GO:0052542","defense response by callose deposition",14,5,1.19,"0.00288"
"97","GO:0052543","callose deposition in cell wall",14,5,1.19,"0.00288"
"98","GO:0010187","negative regulation of seed germination",14,5,1.19,"0.00288"
"99","GO:0009753","response to jasmonic acid",218,36,18.52,"0.00301"
"100","GO:0097305","response to alcohol",529,109,44.94,"0.00302"
"101","GO:0046885","regulation of hormone biosynthetic process",9,4,0.76,"0.00312"
"102","GO:1900424","regulation of defense response to bacterium",27,7,2.29,"0.00340"
"103","GO:0009742","brassinosteroid mediated signaling pathway",34,8,2.89,"0.00342"
"104","GO:0010119","regulation of stomatal movement",65,15,5.52,"0.00374"
"105","GO:0009741","response to brassinosteroid",55,14,4.67,"0.00382"
"106","GO:1990019","protein storage vacuole organization",5,3,0.42,"0.00395"
"107","GO:0010161","red light signaling pathway",5,3,0.42,"0.00395"
"108","GO:0080142","regulation of salicylic acid biosynthetic process",5,3,0.42,"0.00395"
"109","GO:0043200","response to amino acid",15,5,1.27,"0.00405"
"110","GO:0010375","stomatal complex patterning",15,5,1.27,"0.00405"
"111","GO:0009967","positive regulation of signal transduction",43,9,3.65,"0.00453"
"112","GO:0050829","defense response to Gram-negative bacterium",10,4,0.85,"0.00489"
"113","GO:0071495","cellular response to endogenous stimulus",614,139,52.16,"0.00507"
"114","GO:0006486","protein glycosylation",95,15,8.07,"0.00543"
"115","GO:0010193","response to ozone",16,5,1.36,"0.00552"
"116","GO:0009826","unidimensional cell growth",220,32,18.69,"0.00566"
"117","GO:0030243","cellulose metabolic process",46,14,3.91,"0.00577"
"118","GO:0042545","cell wall modification",75,16,6.37,"0.00581"
"119","GO:0006556","S-adenosylmethionine biosynthetic process",2,2,0.17,"0.00583"
"120","GO:0009769","photosynthesis, light harvesting in photosystem II",2,2,0.17,"0.00583"
"121","GO:0045227","capsule polysaccharide biosynthetic process",2,2,0.17,"0.00583"
"122","GO:0015812","gamma-aminobutyric acid transport",2,2,0.17,"0.00583"
"123","GO:0071629","cytoplasm protein quality control by the ubiquitin-proteasome system",2,2,0.17,"0.00583"
"124","GO:0033358","UDP-L-arabinose biosynthetic process",2,2,0.17,"0.00583"
"125","GO:0032490","detection of molecule of bacterial origin",2,2,0.17,"0.00583"
"126","GO:0019567","arabinose biosynthetic process",2,2,0.17,"0.00583"
"127","GO:0070592","cell wall polysaccharide biosynthetic process",54,15,4.59,"0.00601"
"128","GO:0090333","regulation of stomatal closure",23,6,1.95,"0.00639"
"129","GO:0009834","plant-type secondary cell wall biogenesis",79,13,6.71,"0.00655"
"130","GO:2000241","regulation of reproductive process",265,32,22.51,"0.00662"
"131","GO:0009908","flower development",361,41,30.67,"0.00683"
"132","GO:0043067","regulation of programmed cell death",38,8,3.23,"0.00703"
"133","GO:0006869","lipid transport",46,9,3.91,"0.00720"
"134","GO:0000165","MAPK cascade",11,4,0.93,"0.00723"
"135","GO:0010115","regulation of abscisic acid biosynthetic process",11,4,0.93,"0.00723"
"136","GO:0048367","shoot system development",786,96,66.78,"0.00736"
"137","GO:0032107","regulation of response to nutrient levels",6,3,0.51,"0.00746"
"138","GO:0010483","pollen tube reception",6,3,0.51,"0.00746"
"139","GO:1990641","response to iron ion starvation",6,3,0.51,"0.00746"
"140","GO:0002238","response to molecule of fungal origin",6,3,0.51,"0.00746"
"141","GO:0009664","plant-type cell wall organization",87,22,7.39,"0.00760"
"142","GO:0009636","response to toxic substance",72,12,6.12,"0.00796"
"143","GO:0052546","cell wall pectin metabolic process",24,6,2.04,"0.00798"
"144","GO:0035970","peptidyl-threonine dephosphorylation",24,6,2.04,"0.00798"
"145","GO:0010191","mucilage metabolic process",24,6,2.04,"0.00798"
"146","GO:0010183","pollen tube guidance",24,6,2.04,"0.00798"
"147","GO:0044237","cellular metabolic process",5522,611,469.13,"0.00894"
"148","GO:0048518","positive regulation of biological process",772,101,65.59,"0.00919"
"149","GO:0051510","regulation of unidimensional cell growth",48,9,4.08,"0.00956"
"150","GO:0002252","immune effector process",12,4,1.02,"0.01020"
"151","GO:0007267","cell-cell signaling",12,4,1.02,"0.01020"
"152","GO:0048827","phyllome development",420,54,35.68,"0.01068"
"153","GO:0044419","biological process involved in interspecies interaction between organisms",923,198,78.41,"0.01119"
"154","GO:0032787","monocarboxylic acid metabolic process",371,57,31.52,"0.01131"
"155","GO:0009743","response to carbohydrate",108,19,9.18,"0.01142"
"156","GO:0016143","S-glycoside metabolic process",58,10,4.93,"0.01170"
"157","GO:0019760","glucosinolate metabolic process",58,10,4.93,"0.01170"
"158","GO:0019757","glycosinolate metabolic process",58,10,4.93,"0.01170"
"159","GO:0009789","positive regulation of abscisic acid-activated signaling pathway",26,6,2.21,"0.01198"
"160","GO:1901657","glycosyl compound metabolic process",85,13,7.22,"0.01203"
"161","GO:0010600","regulation of auxin biosynthetic process",7,3,0.59,"0.01232"
"162","GO:0046184","aldehyde biosynthetic process",7,3,0.59,"0.01232"
"163","GO:0016311","dephosphorylation",138,22,11.72,"0.01243"
