target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	820.583	88	10.4297
Dm_00008772-RA	1272	1075.58	83	7.50491
Dm_00008770-RA	1722	1525.58	141	8.98865
Dm_00008771-RA	636	439.735	45	9.95251
Dm_00008682-RA	906	709.583	201	27.5489
Dm_00008591-RA	1308	1111.58	44	3.84966
Dm_00008592-RA	2436	2239.58	654	28.4002
Dm_00008593-RA	759	562.583	2261	390.864
Dm_00008594-RA	969	772.583	750	94.412
Dm_00010209-RA	468	272.748	0	0
Dm_00010051-RA	693	496.69	8	1.56645
Dm_00009727-RA	234	57.8136	0	0
Dm_00009728-RA	1161	964.583	0	0
Dm_00009413-RA	1368	1171.58	254	21.0849
Dm_00009412-RA	2105	1908.58	549	27.9752
Dm_00009411-RA	2682	2485.58	150	5.86914
Dm_00009410-RA	432	237.233	9	3.6896
Dm_00009021-RA	1668	1471.58	103	6.80712
Dm_00009020-RA	414	219.643	72	31.8806
Dm_00009748-RA	1554	1357.58	165	11.8203
Dm_00009749-RA	1092	895.583	296	32.1438
Dm_00009750-RA	941	744.583	203	26.5152
Dm_00010290-RA	1116	919.583	104	10.999
Dm_00010291-RA	969	772.583	3	0.377648
Dm_00007855-RA	945	748.583	510	66.2585
Dm_00007856-RA	786	589.583	178	29.362
Dm_00007858-RA	2466	2269.58	335	14.3552
Dm_00007859-RA	2304	2107.58	162	7.47552
Dm_00007857-RA	873	676.583	109	15.6681
Dm_00009353-RA	471	275.721	27	9.52369
Dm_00009317-RA	312	123.123	259	204.584
Dm_00010173-RA	1548	1351.58	442	31.8047
Dm_00010171-RA	228	53.3645	31	56.4964
Dm_00010172-RA	258	76.4643	3	3.8157
Dm_00009367-RA	1566	1369.58	603	42.8194
Dm_00009368-RA	171	16.348	83	493.769
Dm_00009369-RA	984	787.583	82	10.1258
Dm_00009983-RA	1065	868.583	43	4.81469
Dm_00009982-RA	975	778.583	26	3.24773
Dm_00009984-RA	537	341.147	0	0
Dm_00009718-RA	1158	961.583	2080	210.372
Dm_00009717-RA	753	556.583	220	38.4418
Dm_00009950-RA	1842	1645.58	1	0.0591005
Dm_00009953-RA	1437	1240.58	144	11.2888
Dm_00009948-RA	1638	1441.58	753	50.8003
Dm_00009949-RA	879	682.583	129	18.38
Dm_00009951-RA	729	532.637	0	0
Dm_00009952-RA	444	249.013	0	0
Dm_00009009-RA	738	541.583	1.01752	0.182721
Dm_00009010-RA	303	115.121	3.05932	2.58454
Dm_00009007-RA	891	694.583	0	0
Dm_00009008-RA	1164	967.583	89	8.94567
Dm_00009011-RA	3048	2851.58	2.00217	0.0682852
Dm_00009012-RA	684	487.69	0	0
Dm_00010080-RA	1113	916.583	17	1.8038
Dm_00010081-RA	354	161.96	279	167.536
Dm_00010084-RA	1518	1321.58	370	27.2282
Dm_00010083-RA	1140	943.583	159	16.3881
Dm_00010082-RA	375	182.021	77	41.1415
Dm_00010098-RA	1200	1003.58	0	0
Dm_00010096-RA	390	196.429	0	0
Dm_00010097-RA	666	469.69	304	62.9468
Dm_00008796-RA	414	219.643	0	0
Dm_00010370-RA	1886	1689.58	495	28.4929
Dm_00010369-RA	192	28.759	0	0
Dm_00009774-RA	1998	1801.58	359	19.3799
Dm_00009775-RA	354	161.96	145	87.0706
Dm_00010288-RA	1401	1204.58	97	7.83152
Dm_00009493-RA	963	766.583	251	31.8439
Dm_00009494-RA	984	787.583	245	30.2539
Dm_00009495-RA	714	517.69	0	0
Dm_00006316-RA	993	796.583	6	0.73254
Dm_00008938-RA	897	700.583	530	73.5745
Dm_00008942-RA	1680	1483.58	380	24.9105
Dm_00008940-RA	834	637.583	107	16.3214
Dm_00008939-RA	651	454.69	92	19.6781
Dm_00008941-RA	531	335.215	65	18.8583
Dm_00010031-RA	3168	2971.58	564	18.4588
Dm_00009533-RA	1185	988.583	206	20.2659
Dm_00009536-RA	1041	844.583	1044.42	120.266
Dm_00009535-RA	792	595.583	1644	268.455
Dm_00009534-RA	1146	949.583	3440	352.32
Dm_00009696-RA	606	409.779	0	0
Dm_00009720-RA	456	260.91	20	7.45506
Dm_00009719-RA	795	598.583	0	0
Dm_00009254-RA	1287	1090.58	133	11.8605
Dm_00009255-RA	4353	4156.58	61	1.42727
Dm_00009256-RA	834	637.583	238	36.3037
Dm_00009072-RA	282	96.6268	0	0
Dm_00009813-RA	6525	6328.58	423	6.50048
Dm_00009814-RA	2781	2584.58	71	2.67165
Dm_00009915-RA	564	367.969	0	0
Dm_00009914-RA	258	76.4643	0	0
Dm_00009695-RA	2650	2453.58	872	34.5642
Dm_00009694-RA	624	427.779	245	55.7003
Dm_00009693-RA	861	664.583	178	26.0485
Dm_00008273-RA	1188	991.583	12	1.17696
Dm_00008274-RA	912	715.583	73	9.92143
Dm_00008656-RA	612	415.779	0	0
Dm_00009771-RA	1848	1651.58	25	1.47215
Dm_00010784-RA	594	397.779	0	0
Dm_00010112-RA	711	514.69	1177	222.404
Dm_00010111-RA	402	207.941	217	101.492
Dm_00009955-RA	255	74.1152	34	44.6152
Dm_00009954-RA	1899	1702.58	254	14.509
Dm_00010107-RA	1728	1531.58	425	26.9873
Dm_00010108-RA	582	385.818	10	2.52074
Dm_00010391-RA	2043	1846.58	1200	63.201
Dm_00010390-RA	711	514.69	1	0.188958
Dm_00008774-RA	1182	985.583	468	46.1811
Dm_00008773-RA	2106	1909.58	455	23.1731
Dm_00009260-RA	264	81.3694	3446	4118.75
Dm_00009262-RA	1596	1399.58	1104	76.7152
Dm_00009259-RA	873	676.583	7	1.00621
Dm_00009261-RA	858	661.583	333	48.9521
Dm_00010532-RA	2697	2500.58	165	6.41732
Dm_00008895-RA	687	490.69	871	172.632
Dm_00010337-RA	1866	1669.58	2295	133.686
Dm_00010336-RA	1530	1333.58	462	33.6925
Dm_00010339-RA	1194	997.583	43	4.19209
Dm_00010335-RA	630	433.779	307	68.8305
Dm_00010338-RA	594	397.779	267	65.2801
Dm_00008749-RA	558	362.006	448	120.358
Dm_00008748-RA	213	42.7071	42.2908	96.307
Dm_00008876-RA	1122	925.583	314	32.9933
Dm_00008877-RA	1599	1402.58	3	0.208019
Dm_00008875-RA	630	433.779	0	0
Dm_00009056-RA	951	754.583	0	0
Dm_00010140-RA	3342	3145.58	19	0.58744
Dm_00009531-RA	459	263.884	0	0
Dm_00009530-RA	525	329.314	0	0
Dm_00009739-RA	1890	1693.58	223	12.8059
Dm_00009740-RA	1218	1021.58	37	3.52241
Dm_00009741-RA	2091	1894.58	382	19.6093
Dm_00010362-RA	240	62.53	355	552.142
Dm_00010363-RA	1167	970.583	0	0
Dm_00010361-RA	534	338.215	0	0
Dm_00009129-RA	2028	1831.58	236	12.5313
Dm_00009128-RA	915	718.583	81	10.9627
Dm_00009306-RA	1404	1207.58	138	11.1141
Dm_00009305-RA	1164	967.583	147	14.7754
Dm_00009307-RA	1806	1609.58	174	10.5135
Dm_00009499-RA	183	23.3675	245	1019.68
Dm_00009501-RA	870	673.583	1	0.144384
Dm_00009500-RA	498	302.437	1400	450.199
Dm_00010493-RA	3159	2962.58	71	2.33077
Dm_00010494-RA	1440	1243.58	1485	116.135
Dm_00009313-RA	1662	1465.58	247.111	16.3981
Dm_00009314-RA	420	225.487	18.5054	7.9816
Dm_00009349-RA	687	490.69	493	97.7127
Dm_00009351-RA	1443	1246.58	674	52.5836
Dm_00009352-RA	3111	2914.58	11	0.367052
Dm_00009350-RA	648	451.735	3	0.645875
Dm_00009554-RA	933	736.583	89	11.7511
Dm_00010117-RA	876	679.583	136	19.4629
Dm_00010120-RA	1881	1684.58	133	7.6784
Dm_00010119-RA	4431	4234.58	370	8.49772
Dm_00010118-RA	1494	1297.58	201	15.0651
Dm_00007975-RA	1485	1288.58	373	28.1519
Dm_00007974-RA	942	745.583	509	66.3946
Dm_00007970-RA	447	252.013	76	29.3294
Dm_00007971-RA	1302	1105.58	553.912	48.726
Dm_00007973-RA	762	565.583	3	0.515865
Dm_00007972-RA	1257	1060.58	51.0877	4.68471
Dm_00008368-RA	1161	964.583	685	69.0657
Dm_00008369-RA	585	388.818	17	4.2522
Dm_00008843-RA	1494	1297.58	564	42.2722
Dm_00008840-RA	2103	1906.58	136.185	6.94678
Dm_00008839-RA	1515	1318.58	80.8155	5.96072
Dm_00008841-RA	1482	1285.58	166	12.558
Dm_00008842-RA	942	745.583	169	22.0446
Dm_00008381-RA	606	409.779	106	25.1575
Dm_00008383-RA	846	649.583	155.701	23.3113
Dm_00008384-RA	387	193.547	62	31.1542
Dm_00008382-RA	384	190.663	121.299	61.8733
Dm_00009073-RA	546	350.112	0	0
Dm_00010371-RA	240	62.53	418	650.128
Dm_00008977-RA	2196	1999.58	556.383	27.0611
Dm_00008976-RA	996	799.583	135	16.4203
Dm_00008269-RA	1308	1111.58	10	0.874922
Dm_00008270-RA	723	526.69	0	0
Dm_00009303-RA	801	604.583	296	47.6154
Dm_00009304-RA	408	213.708	1.57885	0.718507
Dm_00009862-RA	462	266.884	0	0
Dm_00010316-RA	594	397.779	0	0
Dm_00008332-RA	1092	895.583	170	18.461
Dm_00008333-RA	789	592.583	98.7017	16.1989
