Orthogroup	G_max.proteins	L_sativa.proteins
OG0000008	GmISU01.07G091700.1.p	Lsat_1_v5_gn_3_111360.3, Lsat_1_v5_gn_3_111340.3, Lsat_1_v5_gn_3_111340.1
OG0000008	GmISU01.18G174900.1.p, GmISU01.09G219400.2.p, GmISU01.10G002600.4.p, GmISU01.10G002600.3.p, GmISU01.10G002600.1.p, GmISU01.02G002600.1.p	Lsat_1_v5_gn_1_11620.1, Lsat_1_v5_gn_1_11620.3, Lsat_1_v5_gn_1_11600.1, Lsat_1_v5_gn_1_11600.2, Lsat_1_v5_gn_2_107460.1, Lsat_1_v5_gn_2_107460.2, Lsat_1_v5_gn_8_22501.1, Lsat_1_v5_gn_0_27560.1, Lsat_1_v5_gn_0_27560.2, Lsat_1_v5_gn_2_126841.1, Lsat_1_v5_gn_3_123361.3, Lsat_1_v5_gn_3_123361.1
OG0000011	GmISU01.14G044700.1.p, GmISU01.14G044300.1.p, GmISU01.14G044500.1.p, GmISU01.02G229500.1.p, GmISU01.18G194700.1.p, GmISU01.18G195400.1.p, GmISU01.18G194900.1.p, GmISU01.09G200100.1.p, GmISU01.09G199900.1.p, GmISU01.16G059100.1.p, GmISU01.16G058300.1.p, GmISU01.16G058900.1.p, GmISU01.16G058000.1.p, GmISU01.16G058100.1.p, GmISU01.16G058300.2.p, GmISU01.16G058100.2.p, GmISU01.16G058800.1.p, GmISU01.16G057900.1.p, GmISU01.16G058400.1.p, GmISU01.16G058500.1.p, GmISU01.16G057800.1.p, GmISU01.16G057700.1.p, GmISU01.19G061700.1.p, GmISU01.18G147800.2.p, GmISU01.18G147800.3.p, GmISU01.18G147800.1.p, GmISU01.18G148600.1.p, GmISU01.18G148500.1.p	Lsat_1_v5_gn_6_100741.1
OG0000011	GmISU01.18G201800.1.p, GmISU01.03G020400.1.p, GmISU01.03G020400.3.p, GmISU01.03G023800.1.p, GmISU01.18G198300.1.p, GmISU01.18G199000.1.p, GmISU01.18G199100.1.p, GmISU01.18G198900.1.p, GmISU01.18G198900.2.p, GmISU01.18G202300.1.p, GmISU01.18G198600.1.p, GmISU01.18G198700.1.p, GmISU01.18G210800.1.p	Lsat_1_v5_gn_1_47320.1, Lsat_1_v5_gn_1_47320.4, Lsat_1_v5_gn_2_11081.3, Lsat_1_v5_gn_2_11081.1, Lsat_1_v5_gn_4_26720.3
OG0000011	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3
OG0000011	GmISU01.18G210900.1.p, GmISU01.18G198800.1.p	Lsat_1_v5_gn_7_14720.1, Lsat_1_v5_gn_3_60400.3
OG0000015	GmISU01.08G055600.2.p, GmISU01.08G055600.3.p, GmISU01.08G055600.1.p, GmISU01.15G061500.3.p, GmISU01.15G061500.4.p, GmISU01.15G061500.1.p, GmISU01.15G061500.2.p, GmISU01.13G214800.1.p	Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1
OG0000015	GmISU01.06G220300.1.p, GmISU01.06G220400.1.p, GmISU01.06G220200.2.p, GmISU01.06G220200.3.p, GmISU01.06G220200.1.p, GmISU01.12G118800.1.p, GmISU01.13G246900.3.p, GmISU01.13G246900.6.p, GmISU01.13G246900.4.p, GmISU01.13G246900.1.p, GmISU01.13G246900.2.p, GmISU01.13G246900.5.p	Lsat_1_v5_gn_9_95221.2, Lsat_1_v5_gn_9_95221.1, Lsat_1_v5_gn_9_95221.3, Lsat_1_v5_gn_7_105821.1
OG0000015	GmISU01.06G218200.1.p	Lsat_1_v5_gn_8_19401.4, Lsat_1_v5_gn_8_19401.6, Lsat_1_v5_gn_7_49320.1, Lsat_1_v5_gn_7_49320.3, Lsat_1_v5_gn_8_19481.2, Lsat_1_v5_gn_8_19481.1, Lsat_1_v5_gn_8_19501.1, Lsat_1_v5_gn_8_19501.3, Lsat_1_v5_gn_8_19521.3, Lsat_1_v5_gn_8_19521.1, Lsat_1_v5_gn_8_19641.3, Lsat_1_v5_gn_8_19641.1, Lsat_1_v5_gn_1_113320.2, Lsat_1_v5_gn_1_113320.1, Lsat_1_v5_gn_1_113320.3, Lsat_1_v5_gn_8_19381.1, Lsat_1_v5_gn_8_19381.2, Lsat_1_v5_gn_3_33700.1, Lsat_1_v5_gn_3_33700.3, Lsat_1_v5_gn_8_142060.1, Lsat_1_v5_gn_8_142060.3, Lsat_1_v5_gn_8_142140.2, Lsat_1_v5_gn_8_142140.1, Lsat_1_v5_gn_7_80960.2, Lsat_1_v5_gn_7_80960.1, Lsat_1_v5_gn_8_19660.3, Lsat_1_v5_gn_8_19660.1, Lsat_1_v5_gn_8_19660.2, Lsat_1_v5_gn_2_113361.1, Lsat_1_v5_gn_6_112280.5, Lsat_1_v5_gn_2_113381.1, Lsat_1_v5_gn_2_113381.2, Lsat_1_v5_gn_2_113381.3, Lsat_1_v5_gn_2_113361.3, Lsat_1_v5_gn_2_113341.3, Lsat_1_v5_gn_2_113341.1
OG0000015	GmISU01.12G120000.2.p, GmISU01.12G120000.4.p, GmISU01.12G120000.3.p, GmISU01.12G120000.1.p, GmISU01.06G216900.1.p, GmISU01.06G217300.1.p, GmISU01.15G188700.1.p, GmISU01.06G216700.2.p, GmISU01.06G216700.1.p, GmISU01.06G216300.3.p, GmISU01.06G216300.1.p, GmISU01.12G120400.3.p, GmISU01.12G120400.1.p, GmISU01.12G120400.2.p, GmISU01.12G120400.4.p, GmISU01.12G120200.1.p, GmISU01.06G217000.1.p, GmISU01.13G133300.1.p	Lsat_1_v5_gn_7_107440.3, Lsat_1_v5_gn_7_107440.1
OG0000016	GmISU01.07G135800.1.p, GmISU01.09G176600.1.p, GmISU01.09G047000.2.p, GmISU01.09G047000.1.p, GmISU01.09G175700.2.p, GmISU01.09G175700.1.p, GmISU01.01G116100.1.p, GmISU01.01G118200.1.p, GmISU01.15G176300.1.p, GmISU01.03G072500.1.p, GmISU01.13G231200.1.p, GmISU01.09G176400.1.p, GmISU01.04G104000.1.p, GmISU01.01G116000.1.p	Lsat_1_v5_gn_2_120801.1, Lsat_1_v5_gn_2_120441.2, Lsat_1_v5_gn_3_43541.1, Lsat_1_v5_gn_2_120781.1, Lsat_1_v5_gn_2_44620.1, Lsat_1_v5_gn_9_104161.1, Lsat_1_v5_gn_9_104161.3, Lsat_1_v5_gn_2_38141.1, Lsat_1_v5_gn_2_38141.3, Lsat_1_v5_gn_2_121160.1, Lsat_1_v5_gn_2_121060.1, Lsat_1_v5_gn_2_121060.2, Lsat_1_v5_gn_2_120901.1, Lsat_1_v5_gn_2_120901.3, Lsat_1_v5_gn_2_122340.1, Lsat_1_v5_gn_2_122340.3, Lsat_1_v5_gn_2_120441.1, Lsat_1_v5_gn_2_120741.4, Lsat_1_v5_gn_2_120821.1, Lsat_1_v5_gn_2_120441.4, Lsat_1_v5_gn_2_120741.5, Lsat_1_v5_gn_2_120501.4, Lsat_1_v5_gn_2_120501.1, Lsat_1_v5_gn_2_120461.1, Lsat_1_v5_gn_2_120461.3, Lsat_1_v5_gn_2_120861.1, Lsat_1_v5_gn_2_117861.1, Lsat_1_v5_gn_2_121001.1, Lsat_1_v5_gn_2_122160.2, Lsat_1_v5_gn_2_122160.3, Lsat_1_v5_gn_2_122160.1, Lsat_1_v5_gn_2_120701.1, Lsat_1_v5_gn_2_120741.1
OG0000018	GmISU01.18G125000.1.p, GmISU01.08G313800.1.p, GmISU01.08G313900.1.p, GmISU01.08G314000.1.p, GmISU01.09G114300.1.p	Lsat_1_v5_gn_3_111780.1
OG0000018	GmISU01.10G007000.1.p, GmISU01.10G007000.2.p, GmISU01.10G007000.3.p, GmISU01.10G006800.1.p, GmISU01.15G213400.1.p, GmISU01.07G106200.1.p, GmISU01.03G077100.1.p	Lsat_1_v5_gn_5_159640.1, Lsat_1_v5_gn_3_63520.1, Lsat_1_v5_gn_3_63520.2, Lsat_1_v5_gn_9_62660.1, Lsat_1_v5_gn_5_159640.3, Lsat_1_v5_gn_4_165860.3, Lsat_1_v5_gn_4_165860.1, Lsat_1_v5_gn_6_18560.1, Lsat_1_v5_gn_4_168381.1, Lsat_1_v5_gn_5_11300.2, Lsat_1_v5_gn_3_121100.3, Lsat_1_v5_gn_3_121100.1, Lsat_1_v5_gn_3_121180.5, Lsat_1_v5_gn_3_121180.4, Lsat_1_v5_gn_3_120981.1, Lsat_1_v5_gn_3_120981.3, Lsat_1_v5_gn_3_121041.1, Lsat_1_v5_gn_3_121081.1, Lsat_1_v5_gn_3_121300.2, Lsat_1_v5_gn_3_121300.1, Lsat_1_v5_gn_3_121280.1, Lsat_1_v5_gn_3_120060.1, Lsat_1_v5_gn_3_120060.2, Lsat_1_v5_gn_3_121660.1, Lsat_1_v5_gn_3_122040.1, Lsat_1_v5_gn_3_122040.2, Lsat_1_v5_gn_3_121600.1, Lsat_1_v5_gn_3_121560.1, Lsat_1_v5_gn_3_121560.3, Lsat_1_v5_gn_0_19261.2, Lsat_1_v5_gn_0_19261.1, Lsat_1_v5_gn_3_121180.1, Lsat_1_v5_gn_3_121021.1, Lsat_1_v5_gn_3_121220.3, Lsat_1_v5_gn_5_124860.1
OG0000018	GmISU01.16G167400.1.p, GmISU01.16G167700.1.p	Lsat_1_v5_gn_3_119000.1, Lsat_1_v5_gn_3_121680.2, Lsat_1_v5_gn_3_121680.1, Lsat_1_v5_gn_3_121600.3, Lsat_1_v5_gn_3_121220.4, Lsat_1_v5_gn_3_121220.1
OG0000018	GmISU01.13G093800.1.p	Lsat_1_v5_gn_5_71340.1, Lsat_1_v5_gn_5_71340.3, Lsat_1_v5_gn_5_71221.1, Lsat_1_v5_gn_9_8761.2, Lsat_1_v5_gn_9_8761.1, Lsat_1_v5_gn_9_8761.3
OG0000021	GmISU01.10G209300.1.p, GmISU01.10G209200.1.p, GmISU01.20G112900.1.p, GmISU01.20G113000.1.p, GmISU01.10G167700.1.p, GmISU01.11G099600.1.p, GmISU01.13G228800.1.p	Lsat_1_v5_gn_3_92740.2, Lsat_1_v5_gn_3_92680.1, Lsat_1_v5_gn_3_92680.2, Lsat_1_v5_gn_8_141960.3, Lsat_1_v5_gn_3_92740.1, Lsat_1_v5_gn_3_91981.1, Lsat_1_v5_gn_8_141960.1, Lsat_1_v5_gn_8_141960.4, Lsat_1_v5_gn_3_92640.1, Lsat_1_v5_gn_8_141940.1
OG0000021	GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p	Lsat_1_v5_gn_7_7821.2, Lsat_1_v5_gn_4_37601.2, Lsat_1_v5_gn_4_37601.1, Lsat_1_v5_gn_7_7921.1, Lsat_1_v5_gn_7_7781.1, Lsat_1_v5_gn_7_7681.1, Lsat_1_v5_gn_7_7761.1, Lsat_1_v5_gn_7_7761.2, Lsat_1_v5_gn_7_65320.1, Lsat_1_v5_gn_8_157801.1
OG0000022	GmISU01.15G141400.1.p	Lsat_1_v5_gn_8_75100.4, Lsat_1_v5_gn_8_75100.3, Lsat_1_v5_gn_8_75000.7, Lsat_1_v5_gn_8_75000.4, Lsat_1_v5_gn_8_75000.1, Lsat_1_v5_gn_8_75100.1, Lsat_1_v5_gn_8_75000.6, Lsat_1_v5_gn_8_83101.1
OG0000022	GmISU01.08G098000.1.p	Lsat_1_v5_gn_3_115260.1, Lsat_1_v5_gn_3_115260.3
OG0000023	GmISU01.20G031800.1.p, GmISU01.20G031800.5.p, GmISU01.20G031800.4.p, GmISU01.20G031800.3.p, GmISU01.20G031800.2.p, GmISU01.13G051100.1.p	Lsat_1_v5_gn_5_78901.2, Lsat_1_v5_gn_5_109840.2, Lsat_1_v5_gn_5_62800.4, Lsat_1_v5_gn_5_62800.3, Lsat_1_v5_gn_0_39321.3, Lsat_1_v5_gn_0_39321.1, Lsat_1_v5_gn_0_39321.2
OG0000024	GmISU01.15G203300.1.p, GmISU01.15G203400.1.p, GmISU01.13G226000.1.p, GmISU01.13G240000.1.p, GmISU01.03G185200.1.p	Lsat_1_v5_gn_5_126200.1
OG0000025	GmISU01.04G006500.1.p, GmISU01.06G006000.1.p, GmISU01.04G006600.1.p, GmISU01.06G006100.1.p	Lsat_1_v5_gn_4_67821.1, Lsat_1_v5_gn_4_67821.8, Lsat_1_v5_gn_4_67821.3, Lsat_1_v5_gn_4_67821.9, Lsat_1_v5_gn_4_67821.12, Lsat_1_v5_gn_4_67821.10
OG0000025	GmISU01.09G177900.1.p, GmISU01.12G030900.1.p	Lsat_1_v5_gn_3_45161.1
OG0000025	GmISU01.09G180500.1.p, GmISU01.09G180200.1.p, GmISU01.12G032000.1.p, GmISU01.04G006200.2.p, GmISU01.04G006300.1.p	Lsat_1_v5_gn_8_127440.1
OG0000025	GmISU01.06G005600.1.p, GmISU01.04G006100.1.p, GmISU01.12G030800.2.p, GmISU01.09G177800.1.p	Lsat_1_v5_gn_3_45220.2, Lsat_1_v5_gn_3_45220.1, Lsat_1_v5_gn_3_45260.1, Lsat_1_v5_gn_3_45260.2
OG0000026	GmISU01.12G181500.1.p, GmISU01.13G247600.1.p	Lsat_1_v5_gn_3_23121.1, Lsat_1_v5_gn_3_23121.3, Lsat_1_v5_gn_5_42681.1, Lsat_1_v5_gn_5_40321.1, Lsat_1_v5_gn_5_40321.4, Lsat_1_v5_gn_5_42681.4, Lsat_1_v5_gn_9_20380.2, Lsat_1_v5_gn_9_20380.3, Lsat_1_v5_gn_9_20380.1, Lsat_1_v5_gn_6_21340.3, Lsat_1_v5_gn_6_21340.1, Lsat_1_v5_gn_0_28161.1, Lsat_1_v5_gn_1_84540.1, Lsat_1_v5_gn_1_5141.3, Lsat_1_v5_gn_1_5141.1, Lsat_1_v5_gn_1_5240.2, Lsat_1_v5_gn_1_5240.1, Lsat_1_v5_gn_9_20320.2, Lsat_1_v5_gn_9_20260.3, Lsat_1_v5_gn_6_58980.1, Lsat_1_v5_gn_6_58980.2, Lsat_1_v5_gn_9_20260.1, Lsat_1_v5_gn_9_20320.1, Lsat_1_v5_gn_0_8301.1, Lsat_1_v5_gn_0_8301.3, Lsat_1_v5_gn_6_58961.3, Lsat_1_v5_gn_6_58961.2, Lsat_1_v5_gn_6_58961.1, Lsat_1_v5_gn_6_59741.3, Lsat_1_v5_gn_6_59741.1, Lsat_1_v5_gn_6_59741.2
OG0000027	GmISU01.17G087900.3.p, GmISU01.17G087900.4.p, GmISU01.17G087900.1.p, GmISU01.17G087900.7.p, GmISU01.05G027900.3.p, GmISU01.05G027900.1.p, GmISU01.05G027900.4.p, GmISU01.05G027900.5.p, GmISU01.17G087900.6.p, GmISU01.17G087900.5.p, GmISU01.05G027900.2.p, GmISU01.04G141400.1.p, GmISU01.04G141400.3.p, GmISU01.06G173000.1.p, GmISU01.13G043700.1.p, GmISU01.19G016900.1.p	Lsat_1_v5_gn_5_19060.1
OG0000027	GmISU01.07G101400.2.p, GmISU01.07G101400.3.p, GmISU01.07G101400.1.p, GmISU01.03G083300.2.p, GmISU01.07G101400.4.p, GmISU01.03G083300.1.p	Lsat_1_v5_gn_3_131620.1, Lsat_1_v5_gn_6_65981.1, Lsat_1_v5_gn_6_65981.2
OG0000027	GmISU01.09G051300.3.p, GmISU01.09G051300.2.p, GmISU01.09G051300.1.p, GmISU01.15G147800.1.p, GmISU01.15G147800.2.p, GmISU01.13G070700.1.p, GmISU01.17G056800.1.p, GmISU01.04G069000.3.p, GmISU01.04G069000.1.p, GmISU01.06G069900.1.p, GmISU01.14G113600.1.p, GmISU01.17G172700.1.p	Lsat_1_v5_gn_5_85480.1, Lsat_1_v5_gn_8_68180.1
OG0000027	GmISU01.13G129000.1.p, GmISU01.17G095200.1.p, GmISU01.15G177700.1.p, GmISU01.13G129000.2.p, GmISU01.13G129000.3.p, GmISU01.17G095200.5.p, GmISU01.17G095200.6.p, GmISU01.17G095200.4.p, GmISU01.17G095200.3.p, GmISU01.17G095200.2.p	Lsat_1_v5_gn_5_90761.1
OG0000027	GmISU01.13G326900.3.p, GmISU01.13G326900.4.p, GmISU01.15G003900.2.p, GmISU01.13G326900.1.p, GmISU01.15G003900.1.p, GmISU01.08G201200.2.p, GmISU01.07G023600.3.p, GmISU01.08G201200.1.p, GmISU01.07G023600.2.p, GmISU01.07G023600.1.p	Lsat_1_v5_gn_4_85900.1, Lsat_1_v5_gn_4_85900.2, Lsat_1_v5_gn_1_31841.1
OG0000028	GmISU01.09G114900.1.p, GmISU01.14G143700.1.p, GmISU01.15G136000.1.p	Lsat_1_v5_gn_7_98860.4, Lsat_1_v5_gn_7_98860.1, Lsat_1_v5_gn_7_98841.1, Lsat_1_v5_gn_7_98860.3
OG0000029	GmISU01.04G201100.1.p, GmISU01.06G109100.1.p	Lsat_1_v5_gn_8_32960.4
OG0000029	GmISU01.13G017500.3.p, GmISU01.13G017500.1.p, GmISU01.13G017500.2.p, GmISU01.14G128400.1.p, GmISU01.14G128600.2.p, GmISU01.14G128600.1.p, GmISU01.14G128600.3.p, GmISU01.14G128500.2.p, GmISU01.14G128500.1.p, GmISU01.14G128700.1.p, GmISU01.14G128700.2.p, GmISU01.13G017400.1.p, GmISU01.14G128200.1.p, GmISU01.14G128100.1.p, GmISU01.13G017200.1.p	Lsat_1_v5_gn_8_32981.1, Lsat_1_v5_gn_8_32981.3, Lsat_1_v5_gn_8_33001.2, Lsat_1_v5_gn_8_33001.1, Lsat_1_v5_gn_8_32960.1, Lsat_1_v5_gn_8_32960.3, Lsat_1_v5_gn_8_32880.1
OG0000029	GmISU01.09G026100.1.p	Lsat_1_v5_gn_7_30861.4
OG0000030	GmISU01.16G098900.1.p, GmISU01.02G039700.1.p, GmISU01.11G076200.1.p, GmISU01.01G123500.1.p	Lsat_1_v5_gn_3_70480.1
OG0000030	GmISU01.04G010900.2.p, GmISU01.04G010900.1.p, GmISU01.06G010100.1.p, GmISU01.11G106600.1.p, GmISU01.12G037500.1.p, GmISU01.11G106666.1.p, GmISU01.11G106732.1.p, GmISU01.12G037800.1.p, GmISU01.12G037600.1.p, GmISU01.12G038000.1.p, GmISU01.11G106900.1.p, GmISU01.04G010700.1.p, GmISU01.06G010000.1.p, GmISU01.04G011100.1.p, GmISU01.04G011000.1.p, GmISU01.11G107000.1.p, GmISU01.04G010600.1.p, GmISU01.06G009800.1.p, GmISU01.12G037900.1.p, GmISU01.11G106800.1.p, GmISU01.06G009900.1.p, GmISU01.04G011200.1.p, GmISU01.04G010800.1.p, GmISU01.12G038100.1.p, GmISU01.12G038200.1.p, GmISU01.12G038300.1.p, GmISU01.19G061000.1.p, GmISU01.11G107100.1.p, GmISU01.11G107200.1.p	Lsat_1_v5_gn_4_71121.1, Lsat_1_v5_gn_4_71020.1, Lsat_1_v5_gn_4_71060.2, Lsat_1_v5_gn_4_71060.1, Lsat_1_v5_gn_4_71080.1, Lsat_1_v5_gn_4_71101.1
OG0000030	GmISU01.01G123900.1.p, GmISU01.01G123600.1.p, GmISU01.11G076100.1.p, GmISU01.01G123800.1.p, GmISU01.11G075800.2.p, GmISU01.11G075900.1.p, GmISU01.01G124000.1.p, GmISU01.11G075700.1.p, GmISU01.02G039400.1.p, GmISU01.02G039500.1.p	Lsat_1_v5_gn_2_74680.1, Lsat_1_v5_gn_2_74580.1, Lsat_1_v5_gn_4_143581.1, Lsat_1_v5_gn_3_71001.1, Lsat_1_v5_gn_3_70040.1, Lsat_1_v5_gn_5_162820.1, Lsat_1_v5_gn_3_70961.1, Lsat_1_v5_gn_3_70901.1
OG0000031	GmISU01.16G109500.2.p, GmISU01.16G109500.1.p, GmISU01.02G049100.1.p, GmISU01.02G049200.1.p, GmISU01.16G109800.1.p, GmISU01.16G109800.2.p, GmISU01.16G109866.1.p, GmISU01.16G109600.1.p, GmISU01.16G109932.1.p, GmISU01.01G133900.1.p	Lsat_1_v5_gn_3_77400.2, Lsat_1_v5_gn_3_77400.1, Lsat_1_v5_gn_3_77440.2, Lsat_1_v5_gn_3_77440.1, Lsat_1_v5_gn_4_149540.1
OG0000031	GmISU01.01G054000.1.p, GmISU01.02G107300.1.p	Lsat_1_v5_gn_3_75880.1
OG0000031	GmISU01.14G068000.1.p, GmISU01.17G219400.1.p	Lsat_1_v5_gn_1_16900.1, Lsat_1_v5_gn_1_16900.3
