target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	834.453	51	6.35868
Dm_00008772-RA	1272	1089.45	59	5.63433
Dm_00008770-RA	1722	1539.45	114	7.70437
Dm_00008771-RA	636	453.5	7	1.6059
Dm_00008682-RA	906	723.453	486	69.8916
Dm_00008591-RA	1308	1125.45	28	2.58839
Dm_00008592-RA	2436	2253.45	335	15.4666
Dm_00008593-RA	759	576.453	1055	190.409
Dm_00008594-RA	969	786.453	276	36.512
Dm_00010209-RA	468	285.681	0	0
Dm_00010051-RA	693	510.453	6	1.22291
Dm_00009727-RA	234	61.6578	0	0
Dm_00009728-RA	1161	978.453	0	0
Dm_00009413-RA	1368	1185.45	185	16.2363
Dm_00009412-RA	2105	1922.45	560	30.3062
Dm_00009411-RA	2682	2499.45	73	3.03862
Dm_00009410-RA	432	249.839	0	0
Dm_00009021-RA	1668	1485.45	1072	75.0818
Dm_00009020-RA	414	232.055	23	10.3118
Dm_00009748-RA	1554	1371.45	111	8.42056
Dm_00009749-RA	1092	909.453	414	47.3608
Dm_00009750-RA	941	758.453	254	34.8421
Dm_00010290-RA	1116	933.453	62	6.91032
Dm_00010291-RA	969	786.453	3	0.396869
Dm_00007855-RA	945	762.453	237	32.3396
Dm_00007856-RA	786	603.453	81	13.965
Dm_00007858-RA	2466	2283.45	392	17.8605
Dm_00007859-RA	2304	2121.45	4	0.196167
Dm_00007857-RA	873	690.453	76	11.4519
Dm_00009353-RA	471	288.681	37	13.3347
Dm_00009317-RA	312	131.822	705	556.416
Dm_00010173-RA	1548	1365.45	318	24.2298
Dm_00010171-RA	228	56.8109	33	60.434
Dm_00010172-RA	258	81.8371	0	0
Dm_00009367-RA	1566	1383.45	451	33.9165
Dm_00009368-RA	171	16.8791	136	838.279
Dm_00009369-RA	984	801.453	273	35.4392
Dm_00009983-RA	1065	882.453	11	1.29688
Dm_00009982-RA	975	792.453	5	0.65644
Dm_00009984-RA	537	354.619	0	0
Dm_00009718-RA	1158	975.453	1369	146.014
Dm_00009717-RA	753	570.453	157	28.6338
Dm_00009950-RA	1842	1659.45	2	0.12539
Dm_00009953-RA	1437	1254.45	57	4.72737
Dm_00009948-RA	1638	1455.45	204	14.5825
Dm_00009949-RA	879	696.453	69	10.3076
Dm_00009951-RA	729	546.453	0	0
Dm_00009952-RA	444	261.736	0	0
Dm_00009009-RA	738	555.453	0	0
Dm_00009010-RA	303	123.312	7.21857	6.09038
Dm_00009007-RA	891	708.453	0	0
Dm_00009008-RA	1164	981.453	54	5.72431
Dm_00009011-RA	3048	2865.45	6.01047	0.21823
Dm_00009012-RA	684	501.453	0	0
Dm_00010080-RA	1113	930.453	2	0.223632
Dm_00010081-RA	354	172.796	345	207.722
Dm_00010084-RA	1518	1335.45	253	19.7102
Dm_00010083-RA	1140	957.453	91	9.88832
Dm_00010082-RA	375	193.451	91	48.9405
Dm_00010098-RA	1200	1017.45	0	0
Dm_00010096-RA	390	208.229	0	0
Dm_00010097-RA	666	483.453	200	43.0402
Dm_00008796-RA	414	232.055	0	0
Dm_00010370-RA	1886	1703.45	403	24.6135
Dm_00010369-RA	192	30.3508	0	0
Dm_00009774-RA	1998	1815.45	743	42.5797
Dm_00009775-RA	354	172.796	151	90.9161
Dm_00010288-RA	1401	1218.45	52	4.44011
Dm_00009493-RA	963	780.453	180	23.9952
Dm_00009494-RA	984	801.453	144	18.6932
Dm_00009495-RA	714	531.453	0	0
Dm_00006316-RA	993	810.453	12	1.54047
Dm_00008938-RA	897	714.453	352	51.2587
Dm_00008942-RA	1680	1497.45	198	13.7566
Dm_00008940-RA	834	651.453	34	5.42994
Dm_00008939-RA	651	468.5	69	15.3228
Dm_00008941-RA	531	348.619	24	7.16241
Dm_00010031-RA	3168	2985.45	206	7.17886
Dm_00009533-RA	1185	1002.45	31	3.21734
Dm_00009536-RA	1041	858.453	804.375	97.4856
Dm_00009535-RA	792	609.453	1958	334.25
Dm_00009534-RA	1146	963.453	2222	239.945
Dm_00009696-RA	606	423.5	0	0
Dm_00009720-RA	456	273.736	5	1.90036
Dm_00009719-RA	795	612.453	1	0.169874
Dm_00009254-RA	1287	1104.45	42	3.95641
Dm_00009255-RA	4353	4170.45	80	1.99575
Dm_00009256-RA	834	651.453	200	31.9408
Dm_00009072-RA	282	103.641	0	0
Dm_00009813-RA	6525	6342.45	312	5.11795
Dm_00009814-RA	2781	2598.45	1	0.0400391
Dm_00009915-RA	564	381.582	0	0
Dm_00009914-RA	258	81.8371	0	0
Dm_00009695-RA	2650	2467.45	455	19.185
Dm_00009694-RA	624	441.5	386	90.9609
