Orthogroup	S_lycopersicum.proteins	D_spatulata.proteins
OG0000011	Solyc04g071680.2.1, Solyc04g074020.2.1, Solyc04g074050.3.1, Solyc04g074030.3.1, Solyc04g074000.3.1	Ds_00013568-RA
OG0000011	Solyc09g072810.3.1	Ds_00014454-RA, Ds_00015367-RA
OG0000015	Solyc02g030383.1.1, Solyc02g030300.3.1, Solyc02g030380.2.1	Ds_00013983-RA
OG0000016	Solyc07g018180.2.1	Ds_00000802-RA, Ds_00013779-RA, Ds_00012502-RA, Ds_00011161-RA, Ds_00004889-RA, Ds_00009386-RA, Ds_00009382-RA, Ds_00014480-RA
OG0000018	Solyc09g089770.3.1	Ds_00006436-RA, Ds_00006435-RA, Ds_00014529-RA, Ds_00003183-RA
OG0000018	Solyc09g010000.3.1, Solyc09g089580.3.1, Solyc03g095900.3.1, Solyc09g089740.3.1, Solyc09g089730.3.1, Solyc09g089720.2.1, Solyc09g089760.1.1, Solyc09g089690.3.1, Solyc12g006380.2.1, Solyc09g089680.3.1, Solyc09g009985.1.1, Solyc09g010040.2.1	Ds_00003181-RA
OG0000018	Solyc09g089790.3.1, Solyc09g089830.3.1, Solyc09g089810.1.1, Solyc09g089800.2.1, Solyc09g089780.3.1, Solyc09g089820.2.1	Ds_00006689-RA
OG0000021	Solyc02g090265.1.1	Ds_00010245-RA
OG0000021	Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA
OG0000022	Solyc04g051880.2.1	Ds_00000786-RA, Ds_00000789-RA, Ds_00013099-RA, Ds_00000790-RA, Ds_00000787-RA, Ds_00000788-RA
OG0000023	Solyc12g088250.2.1, Solyc04g077670.3.1, Solyc04g079070.3.1, Solyc04g079047.1.1, Solyc04g079060.3.1, Solyc04g079040.3.1, Solyc12g088280.2.1, Solyc12g019570.2.1, Solyc04g077640.3.1, Solyc04g077630.3.1, Solyc04g077650.3.1, Solyc05g050770.3.1, Solyc05g050780.3.1	Ds_00016053-RA
OG0000024	Solyc07g052070.2.1	Ds_00004822-RA, Ds_00007355-RA, Ds_00014543-RA, Ds_00017860-RA
OG0000024	Solyc07g052073.1.1, Solyc10g007930.3.1, Solyc10g007900.3.1, Solyc06g084770.2.1, Solyc07g052025.1.1	Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA
OG0000024	Solyc10g007890.3.1, Solyc10g051020.2.1, Solyc10g007880.3.1, Solyc07g006145.1.1, Solyc07g062520.3.1, Solyc07g062510.2.1, Solyc06g084760.2.1, Solyc07g062500.3.1, Solyc07g055350.3.1, Solyc07g055560.3.1, Solyc07g055550.2.1, Solyc07g055440.2.1, Solyc07g055450.2.1, Solyc07g055362.1.1, Solyc07g055460.3.1, Solyc07g055530.3.1, Solyc07g055480.2.1, Solyc07g055470.3.1, Solyc07g055540.3.1, Solyc07g055490.3.1	Ds_00007357-RA, Ds_00007354-RA, Ds_00014538-RA
