"gene_ID","AT_gene_id","annotation"
"Dm_00013628-RA","AT5G11520.1","| Symbols: YLS4, ASP3 | aspartate aminotransferase 3, YELLOW-LEAF-SPECIFIC GENE 4 | chr5:3685257-3687721 REVERSE LENGTH=449"
"Dm_00013629-RA","AT5G19550.1","| Symbols: AAT2, ASP2 | ASPARTATE AMINOTRANSFERASE 2, aspartate aminotransferase 2 | chr5:6598201-6601597 FORWARD LENGTH=405"
"Dm_00014025-RA","AT5G49900.3","| Symbols: no symbol available | no full name available | chr5:20297235-20302019 REVERSE LENGTH=957"
"Dm_00014027-RA","AT1G10240.2","| Symbols: FRS11 | FAR1-related sequence 11 | chr1:3356835-3359271 REVERSE LENGTH=680"
"Dm_00014745-RA","AT3G58970.1","| Symbols: MGT6, MRS2-4 | magnesium transporter 6 | chr3:21789659-21791163 REVERSE LENGTH=436"
"Dm_00014879-RA","AT1G48310.1","| Symbols: CHA18, CHR18 | chromatin remodeling factor18 | chr1:17848620-17853731 REVERSE LENGTH=673"
"Dm_00013712-RA","AT2G27900.2","| Symbols: no symbol available | no full name available | chr2:11877654-11885238 FORWARD LENGTH=1124"
"Dm_00013277-RA","AT5G14550.2","| Symbols: no symbol available | no full name available | chr5:4691633-4693732 REVERSE LENGTH=346"
"Dm_00013276-RA","AT5G14550.4","| Symbols: no symbol available | no full name available | chr5:4691434-4693732 REVERSE LENGTH=347"
"Dm_00012315-RA","AT2G31320.1","| Symbols: PARP1 | POLY(ADP-RIBOSE) POLYMERASE 1 | chr2:13354046-13359578 REVERSE LENGTH=983"
"Dm_00014724-RA","AT5G12870.1","| Symbols: ATMYB46, MYB46 | myb domain protein 46, MYB DOMAIN PROTEIN 46 | chr5:4062939-4064939 REVERSE LENGTH=280"
"Dm_00014629-RA","AT4G27430.2","| Symbols: CIP7 | COP1-interacting protein 7 | chr4:13718817-13722736 FORWARD LENGTH=1058"
"Dm_00014754-RA","AT4G14760.4","| Symbols: NET1B | Networked 1B | chr4:8475718-8481094 FORWARD LENGTH=1710"
"Dm_00013426-RA","AT1G71210.1","| Symbols: no symbol available | no full name available | chr1:26838850-26841489 REVERSE LENGTH=879"
"Dm_00014115-RA","AT5G11770.1","| Symbols: no symbol available | no full name available | chr5:3791148-3792929 REVERSE LENGTH=218"
"Dm_00013598-RA","AT4G16710.4","| Symbols: no symbol available | no full name available | chr4:9398818-9399618 FORWARD LENGTH=176"
"Dm_00014360-RA","AT4G31700.1","| Symbols: RPS6, RPS6A, AtRPS6 | ribosomal protein S6 | chr4:15346306-15347714 REVERSE LENGTH=250"
"Dm_00006179-RA","AT2G39890.2","| Symbols: PROT1, ATPROT1 | PROLINE TRANSPORTER 1, proline transporter 1 | chr2:16656022-16658202 FORWARD LENGTH=442"
