Orthogroup	B_vulgaris.proteins	L_sativa.proteins
OG0000008	Bevul.5G243000.1.p	Lsat_1_v5_gn_9_9621.1, Lsat_1_v5_gn_9_9621.2
OG0000011	Bevul.9G145000.1.p	Lsat_1_v5_gn_6_100741.1, Lsat_1_v5_gn_9_41461.1, Lsat_1_v5_gn_4_41280.1, Lsat_1_v5_gn_4_41340.1, Lsat_1_v5_gn_4_41240.1, Lsat_1_v5_gn_1_81560.1, Lsat_1_v5_gn_1_81560.2
OG0000011	Bevul.3G168100.1.p	Lsat_1_v5_gn_1_47320.1, Lsat_1_v5_gn_1_47320.4, Lsat_1_v5_gn_2_11081.3, Lsat_1_v5_gn_2_11081.1, Lsat_1_v5_gn_4_26720.3
OG0000011	Bevul.7G111500.1.p, Bevul.7G111300.1.p	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3
OG0000015	Bevul.8G062600.1.p	Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1
OG0000015	Bevul.9G113800.1.p, Bevul.9G113800.4.p, Bevul.9G113800.3.p, Bevul.9G113800.5.p, Bevul.9G113800.2.p, Bevul.9G014400.2.p, Bevul.9G014400.3.p, Bevul.9G014400.1.p	Lsat_1_v5_gn_8_19401.4, Lsat_1_v5_gn_8_19401.6, Lsat_1_v5_gn_7_49320.1, Lsat_1_v5_gn_7_49320.3, Lsat_1_v5_gn_8_19481.2, Lsat_1_v5_gn_8_19481.1, Lsat_1_v5_gn_8_19501.1, Lsat_1_v5_gn_8_19501.3, Lsat_1_v5_gn_8_19521.3, Lsat_1_v5_gn_8_19521.1, Lsat_1_v5_gn_8_19641.3, Lsat_1_v5_gn_8_19641.1, Lsat_1_v5_gn_1_113320.2, Lsat_1_v5_gn_1_113320.1, Lsat_1_v5_gn_1_113320.3, Lsat_1_v5_gn_8_19381.1, Lsat_1_v5_gn_8_19381.2, Lsat_1_v5_gn_3_33700.1, Lsat_1_v5_gn_3_33700.3, Lsat_1_v5_gn_8_142060.1, Lsat_1_v5_gn_8_142060.3, Lsat_1_v5_gn_8_142140.2, Lsat_1_v5_gn_8_142140.1, Lsat_1_v5_gn_7_80960.2, Lsat_1_v5_gn_7_80960.1, Lsat_1_v5_gn_8_19660.3, Lsat_1_v5_gn_8_19660.1, Lsat_1_v5_gn_8_19660.2, Lsat_1_v5_gn_2_113361.1, Lsat_1_v5_gn_6_112280.5, Lsat_1_v5_gn_2_113381.1, Lsat_1_v5_gn_2_113381.2, Lsat_1_v5_gn_2_113381.3, Lsat_1_v5_gn_2_113361.3, Lsat_1_v5_gn_2_113341.3, Lsat_1_v5_gn_2_113341.1
OG0000016	Bevul.3G098500.1.p, Bevul.3G063500.1.p	Lsat_1_v5_gn_3_11081.1, Lsat_1_v5_gn_3_11081.3, Lsat_1_v5_gn_2_55441.1, Lsat_1_v5_gn_2_55441.3, Lsat_1_v5_gn_2_121260.1, Lsat_1_v5_gn_2_121260.2, Lsat_1_v5_gn_2_107620.1, Lsat_1_v5_gn_2_107620.3
OG0000016	Bevul.9G202400.1.p, Bevul.6G093300.1.p, Bevul.1G082700.1.p, Bevul.6G098600.1.p	Lsat_1_v5_gn_2_122720.3, Lsat_1_v5_gn_2_122720.1
OG0000016	Bevul.9G175500.1.p, Bevul.9G175500.3.p, Bevul.9G175500.2.p, Bevul.9G175700.1.p, Bevul.9G175800.1.p, Bevul.9G176100.1.p, Bevul.9G176000.1.p, Bevul.9G176400.1.p, Bevul.8G121500.1.p, Bevul.9G175900.1.p, Bevul.9G176500.1.p	Lsat_1_v5_gn_2_120801.1, Lsat_1_v5_gn_2_120441.2, Lsat_1_v5_gn_3_43541.1, Lsat_1_v5_gn_2_120781.1, Lsat_1_v5_gn_2_44620.1, Lsat_1_v5_gn_9_104161.1, Lsat_1_v5_gn_9_104161.3, Lsat_1_v5_gn_2_38141.1, Lsat_1_v5_gn_2_38141.3, Lsat_1_v5_gn_2_121160.1, Lsat_1_v5_gn_2_121060.1, Lsat_1_v5_gn_2_121060.2, Lsat_1_v5_gn_2_120901.1, Lsat_1_v5_gn_2_120901.3, Lsat_1_v5_gn_2_122340.1, Lsat_1_v5_gn_2_122340.3, Lsat_1_v5_gn_2_120441.1, Lsat_1_v5_gn_2_120741.4, Lsat_1_v5_gn_2_120821.1, Lsat_1_v5_gn_2_120441.4, Lsat_1_v5_gn_2_120741.5, Lsat_1_v5_gn_2_120501.4, Lsat_1_v5_gn_2_120501.1, Lsat_1_v5_gn_2_120461.1, Lsat_1_v5_gn_2_120461.3, Lsat_1_v5_gn_2_120861.1, Lsat_1_v5_gn_2_117861.1, Lsat_1_v5_gn_2_121001.1, Lsat_1_v5_gn_2_122160.2, Lsat_1_v5_gn_2_122160.3, Lsat_1_v5_gn_2_122160.1, Lsat_1_v5_gn_2_120701.1, Lsat_1_v5_gn_2_120741.1
OG0000018	Bevul.6G029800.1.p, Bevul.3G012700.1.p, Bevul.3G012800.1.p	Lsat_1_v5_gn_3_111780.1
