"","gene_ID","module","AT_gene_id","annotation"
"1","Dm_00000131-RA",3,"AT1G76130.2","| Symbols: ATAMY2, AMY2 | alpha-amylase-like 2, ARABIDOPSIS THALIANA ALPHA-AMYLASE-LIKE 2 | chr1:28561647-28563914 FORWARD LENGTH=413"
"2","Dm_00002677-RA",5,"AT5G55700.1","| Symbols: BAM4, BMY6 | beta-amylase 4, BETA-AMYLASE 6 | chr5:22551873-22554702 FORWARD LENGTH=531"
"3","Dm_00004577-RA",6,"AT2G45880.1","| Symbols: BMY4, BAM7 | BETA-AMYLASE 4, beta-amylase 7 | chr2:18878674-18881824 REVERSE LENGTH=691"
"4","Dm_00005210-RA",7,"AT4G09020.1","| Symbols: ATISA3, ISA3 | isoamylase 3 | chr4:5784099-5788839 FORWARD LENGTH=764"
"5","Dm_00007003-RA",19,"AT1G69830.1","| Symbols: ATAMY3, AMY3 | ALPHA-AMYLASE-LIKE 3, alpha-amylase-like 3 | chr1:26288518-26293003 REVERSE LENGTH=887"
"6","Dm_00007272-RA",7,"AT2G32290.1","| Symbols: BMY5, BAM6 | BETA-AMYLASE 5, beta-amylase 6 | chr2:13714643-13716906 REVERSE LENGTH=577"
"7","Dm_00011753-RA",4,"AT5G47010.1","| Symbols: UPF1, LBA1, ATUPF1 | UP-FRAMESHIFT1, LOW-LEVEL BETA-AMYLASE 1 | chr5:19072009-19078856 FORWARD LENGTH=1254"
"8","Dm_00014374-RA",4,"AT5G47010.1","| Symbols: UPF1, LBA1, ATUPF1 | UP-FRAMESHIFT1, LOW-LEVEL BETA-AMYLASE 1 | chr5:19072009-19078856 FORWARD LENGTH=1254"
"9","Dm_00017760-RA",5,"AT4G17090.1","| Symbols: CT-BMY, BMY8, AtBAM3, BAM3 | BETA-AMYLASE 8, BETA-AMYLASE 3, chloroplast beta-amylase | chr4:9605266-9607250 REVERSE LENGTH=548"
"10","Dm_00017862-RA",3,"AT3G23920.1","| Symbols: BMY7, AtBAM1, BAM1, TR-BAMY | beta-amylase 1, BETA-AMYLASE 7 | chr3:8641722-8644199 FORWARD LENGTH=575"
"11","Dm_00019745-RA",6,"AT1G03310.2","| Symbols: ATISA2, BE2, DBE1, ISA2, AtBE2 | debranching enzyme 1, BRANCHING ENZYME 2, ARABIDOPSIS THALIANA ISOAMYLASE 2 | chr1:813975-816623 FORWARD LENGTH=882"
