target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	818.082	29	11.5523
Dm_00008772-RA	1272	1073.08	33	10.0219
Dm_00008770-RA	1722	1523.08	63	13.4798
Dm_00008771-RA	636	437.407	27	20.1162
Dm_00008682-RA	906	707.082	6	2.76534
Dm_00008591-RA	1308	1109.08	28	8.22738
Dm_00008592-RA	2436	2237.08	257	37.4385
Dm_00008593-RA	759	560.263	215	125.059
Dm_00008594-RA	969	770.082	258	109.182
Dm_00010209-RA	468	270.481	0	0
Dm_00010051-RA	693	494.318	3	1.9778
Dm_00009727-RA	234	57.727	0	0
Dm_00009728-RA	1161	962.082	0	0
Dm_00009413-RA	1368	1169.08	74	20.6278
Dm_00009412-RA	2105	1906.08	150	25.6458
Dm_00009411-RA	2682	2483.08	41	5.38096
Dm_00009410-RA	432	235.076	4	5.54522
Dm_00009021-RA	1668	1469.08	20	4.43661
Dm_00009020-RA	414	217.528	12	17.9777
Dm_00009748-RA	1554	1355.08	39	9.37921
Dm_00009749-RA	1092	893.082	65	23.7186
Dm_00009750-RA	941	742.082	62	27.2274
Dm_00010290-RA	1116	917.082	32	11.3713
Dm_00010291-RA	969	770.082	2	0.84637
Dm_00007855-RA	945	746.082	159	69.4509
Dm_00007856-RA	786	587.205	46	25.5291
Dm_00007858-RA	2466	2267.08	244	35.0744
Dm_00007859-RA	2304	2105.08	131	20.2801
Dm_00007857-RA	873	674.082	13	6.28489
Dm_00009353-RA	471	273.454	12	14.3009
Dm_00009317-RA	312	121.735	92	246.286
Dm_00010173-RA	1548	1349.08	148	35.7512
Dm_00010171-RA	228	53.399	3	18.3086
Dm_00010172-RA	258	76.1813	0	0
Dm_00009367-RA	1566	1367.08	204	48.6298
Dm_00009368-RA	171	16.1422	17	343.204
Dm_00009369-RA	984	785.082	32	13.2832
Dm_00009983-RA	1065	866.082	22	8.2781
Dm_00009982-RA	975	776.082	4	1.67965
Dm_00009984-RA	537	338.901	0	0
Dm_00009718-RA	1158	959.082	720	244.649
Dm_00009717-RA	753	554.263	76	44.6853
Dm_00009950-RA	1842	1643.08	0	0
Dm_00009953-RA	1437	1238.08	50	13.161
Dm_00009948-RA	1638	1439.08	233	52.764
Dm_00009949-RA	879	680.082	34	16.2924
Dm_00009951-RA	729	530.318	0	0
Dm_00009952-RA	444	246.741	0	0
Dm_00009009-RA	738	539.318	0	0
Dm_00009010-RA	303	113.898	0	0
Dm_00009007-RA	891	692.082	0	0
Dm_00009008-RA	1164	965.082	30	10.1303
Dm_00009011-RA	3048	2849.08	9	1.02945
Dm_00009012-RA	684	485.318	1	0.671492
Dm_00010080-RA	1113	914.082	2	0.713037
Dm_00010081-RA	354	160.208	76	154.596
Dm_00010084-RA	1518	1319.08	149	36.8113
Dm_00010083-RA	1140	941.082	41	14.1979
Dm_00010082-RA	375	180.091	16	28.9531
Dm_00010098-RA	1200	1001.08	0	0
Dm_00010096-RA	390	194.409	0	0
Dm_00010097-RA	666	467.318	46	32.0784
Dm_00008796-RA	414	217.528	0	0
Dm_00010370-RA	1886	1687.08	188	36.3152
Dm_00010369-RA	192	28.8735	0	0
Dm_00009774-RA	1998	1799.08	124	22.4614
Dm_00009775-RA	354	160.208	35	71.1953
Dm_00010288-RA	1401	1202.08	19	5.15094
Dm_00009493-RA	963	764.082	97	41.3713
Dm_00009494-RA	984	785.082	79	32.7928
Dm_00009495-RA	714	515.318	0	0
Dm_00006316-RA	993	794.082	0	0
Dm_00008938-RA	897	698.082	254	118.575
Dm_00008942-RA	1680	1481.08	189	41.5862
Dm_00008940-RA	834	635.146	24	12.3142
Dm_00008939-RA	651	452.318	34	24.4964
Dm_00008941-RA	531	332.934	38	37.1957
Dm_00010031-RA	3168	2969.08	214	23.4887
Dm_00009533-RA	1185	986.082	37	12.228
Dm_00009536-RA	1041	842.082	162.636	62.9405
Dm_00009535-RA	792	593.146	565	310.423
Dm_00009534-RA	1146	947.082	863	296.955
Dm_00009696-RA	606	407.535	0	0
