Orthogroup	B_vulgaris.proteins	A_thaliana.proteins
OG0000011	Bevul.9G145000.1.p	AT4G08850.1, AT4G08850.2, AT1G35710.1
OG0000015	Bevul.8G062600.1.p	AT4G21380.1, AT4G21380.2, AT1G65800.2, AT1G65800.1, AT1G65790.3, AT1G65790.2, AT1G65790.1
OG0000015	Bevul.9G113800.1.p, Bevul.9G113800.4.p, Bevul.9G113800.3.p, Bevul.9G113800.5.p, Bevul.9G113800.2.p, Bevul.9G014400.2.p, Bevul.9G014400.3.p, Bevul.9G014400.1.p	AT4G27290.2, AT4G27290.1
OG0000018	Bevul.6G029800.1.p, Bevul.3G012700.1.p, Bevul.3G012800.1.p, Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p, Bevul.3G190300.1.p	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1
OG0000021	Bevul.5G145300.1.p, Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p, Bevul.2G184100.1.p, Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p, Bevul.1G207900.1.p, Bevul.1G207800.1.p	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1
OG0000022	Bevul.1G097600.1.p	AT5G64950.1
OG0000023	Bevul.9G223400.1.p	AT1G33540.1, AT1G33540.2
OG0000023	Bevul.1G009300.1.p	AT5G09640.1
OG0000024	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p	AT1G17060.1
OG0000025	Bevul.9G156900.1.p	AT4G34770.1
OG0000025	Bevul.9G156800.1.p, Bevul.9G157600.1.p, Bevul.9G156700.1.p, Bevul.9G229000.1.p, Bevul.9G157000.1.p, Bevul.9G157500.1.p, Bevul.9G157400.1.p, Bevul.9G229300.1.p, Bevul.9G229400.1.p, Bevul.9G230200.1.p, Bevul.9G229800.1.p, Bevul.9G230100.1.p, Bevul.9G229700.1.p, Bevul.9G230000.1.p, Bevul.9G229600.1.p, Bevul.9G229200.1.p, Bevul.9G229500.1.p, Bevul.9G229900.1.p, Bevul.9G229100.1.p, Bevul.9G230300.1.p	AT4G34800.1
OG0000026	Bevul.6G022200.1.p, Bevul.7G010100.2.p, Bevul.7G010100.1.p	AT5G23960.2, AT5G23960.1
OG0000027	Bevul.5G197000.1.p	AT2G24520.4, AT5G57350.3, AT3G47950.1, AT3G47950.2, AT5G62670.1
OG0000027	Bevul.1G144100.1.p	AT3G60330.2, AT3G60330.1, AT3G60330.4, AT3G60330.3
OG0000027	Bevul.7G159800.1.p	AT1G17260.1
OG0000027	Bevul.2G132800.2.p, Bevul.2G132800.1.p	AT2G24520.3, AT2G24520.1, AT2G24520.2
OG0000027	Bevul.8G159900.1.p	AT2G07560.1, AT3G42640.1
OG0000027	Bevul.9G228300.1.p, Bevul.9G228300.2.p	AT1G80660.2, AT1G80660.1, AT1G80660.3, AT1G80660.4
OG0000028	Bevul.9G027600.1.p, Bevul.5G236400.1.p	AT1G47890.1, AT1G45616.1
OG0000029	Bevul.3G107500.1.p, Bevul.3G108400.1.p, Bevul.3G107400.1.p, Bevul.3G107700.1.p, Bevul.3G135600.1.p, Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p	AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1
