Orthogroup	A_thaliana.proteins	A_vesiculosa.proteins
OG0000008	AT4G26800.1	Av_00011034-RA
OG0000015	AT4G27290.2, AT4G27290.1	Av_00016901-RA, Av_00010123-RA, Av_00014290-RA
OG0000018	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1	Av_00017038-RA, Av_00013504-RA
OG0000021	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1	Av_00016682-RA
OG0000022	AT5G64950.1	Av_00010967-RA
OG0000023	AT1G33540.1, AT1G33540.2	Av_00008849-RA, Av_00018735-RA, Av_00008789-RA, Av_00019809-RA
OG0000024	AT1G17060.1	Av_00007869-RA
OG0000025	AT2G21210.1, AT2G21210.2	Av_00009754-RA
OG0000025	AT4G34770.1	Av_00000980-RA, Av_00012375-RA
OG0000025	AT4G34800.1	Av_00008813-RA, Av_00008810-RA, Av_00007185-RA, Av_00020767-RA
OG0000027	AT2G24520.4, AT5G57350.3	Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA
OG0000028	AT1G47890.1, AT1G45616.1	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA, Av_00011314-RA, Av_00014202-RA, Av_00009276-RA
OG0000031	AT4G36470.1	Av_00023880-RA
OG0000032	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1	Av_00017613-RA, Av_00005837-RA
OG0000034	AT4G23320.2, AT4G23320.1, AT4G23320.3	Av_00010139-RA
OG0000034	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2	Av_00014124-RA, Av_00014125-RA
OG0000034	AT4G38830.1	Av_00003681-RA, Av_00003677-RA, Av_00003679-RA
OG0000037	AT3G25180.1, AT3G25180.2	Av_00005925-RA
OG0000040	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1	Av_00004970-RA
OG0000041	AT2G16720.1, AT4G34990.1, AT4G38620.1	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA
