Orthogroup	D_spatulata.proteins	B_vulgaris.proteins
OG0000008	Ds_00004058-RA, Ds_00005252-RA, Ds_00011612-RA, Ds_00001046-RA, Ds_00004374-RA, Ds_00004371-RA, Ds_00009680-RA, Ds_00006455-RA	Bevul.4G169600.1.p, Bevul.4G164800.1.p, Bevul.8G132800.1.p, Bevul.4G167500.1.p, Bevul.4G167700.1.p, Bevul.4G161700.1.p, Bevul.4G162100.1.p, Bevul.4G175000.1.p, Bevul.4G171100.1.p, Bevul.4G158600.1.p, Bevul.4G162000.1.p, Bevul.4G158700.1.p, Bevul.4G163200.1.p, Bevul.4G160400.1.p, Bevul.4G163300.1.p, Bevul.4G163900.1.p, Bevul.4G171200.1.p, Bevul.4G171300.1.p, Bevul.4G171400.1.p, Bevul.4G199500.1.p, Bevul.4G199400.1.p, Bevul.4G199300.1.p, Bevul.4G192000.1.p, Bevul.4G188200.1.p, Bevul.4G192200.1.p, Bevul.4G177300.1.p, Bevul.4G188000.1.p, Bevul.4G191800.1.p, Bevul.4G191900.1.p, Bevul.4G187800.1.p, Bevul.4G188300.1.p, Bevul.4G192300.1.p, Bevul.4G192100.1.p, Bevul.4G184600.1.p, Bevul.4G192400.1.p, Bevul.4G194600.1.p
OG0000009	Ds_00013068-RA	Bevul.8G212100.1.p, Bevul.1G086700.1.p, Bevul.1G091900.1.p, Bevul.7G138300.1.p, Bevul.8G195200.1.p
OG0000011	Ds_00013568-RA	Bevul.9G145000.1.p
OG0000011	Ds_00015633-RA	Bevul.3G168100.1.p
OG0000011	Ds_00014454-RA, Ds_00015367-RA	Bevul.7G111500.1.p, Bevul.7G111300.1.p
OG0000013	Ds_00002983-RA, Ds_00016592-RA, Ds_00017364-RA, Ds_00010232-RA, Ds_00011340-RA, Ds_00011415-RA, Ds_00009222-RA, Ds_00014356-RA, Ds_00009226-RA, Ds_00008952-RA, Ds_00009225-RA, Ds_00007312-RA, Ds_00014155-RA, Ds_00015172-RA, Ds_00008945-RA, Ds_00003727-RA, Ds_00002949-RA, Ds_00002982-RA, Ds_00010231-RA, Ds_00007837-RA, Ds_00002197-RA, Ds_00017475-RA, Ds_00017528-RA, Ds_00007059-RA, Ds_00005135-RA, Ds_00018060-RA, Ds_00010439-RA, Ds_00011318-RA, Ds_00002970-RA, Ds_00017544-RA, Ds_00002979-RA, Ds_00013854-RA, Ds_00002948-RA, Ds_00006651-RA, Ds_00007047-RA, Ds_00002218-RA, Ds_00017749-RA, Ds_00002138-RA, Ds_00018006-RA, Ds_00016283-RA, Ds_00002097-RA, Ds_00002757-RA, Ds_00013865-RA, Ds_00016661-RA, Ds_00017474-RA, Ds_00007048-RA, Ds_00007851-RA, Ds_00011334-RA, Ds_00010326-RA, Ds_00008961-RA, Ds_00017098-RA, Ds_00015155-RA, Ds_00007835-RA	Bevul.9G069400.1.p, Bevul.2G085500.1.p
OG0000015	Ds_00009995-RA, Ds_00016103-RA, Ds_00016102-RA, Ds_00004166-RA	Bevul.9G113800.1.p, Bevul.9G113800.4.p, Bevul.9G113800.3.p, Bevul.9G113800.5.p, Bevul.9G113800.2.p
OG0000015	Ds_00016104-RA	Bevul.9G014400.2.p, Bevul.9G014400.3.p, Bevul.9G014400.1.p
OG0000016	Ds_00000802-RA, Ds_00013779-RA, Ds_00012502-RA, Ds_00011161-RA, Ds_00004889-RA, Ds_00009386-RA, Ds_00009382-RA, Ds_00014480-RA	Bevul.9G202400.1.p, Bevul.6G093300.1.p, Bevul.1G082700.1.p, Bevul.6G098600.1.p
OG0000018	Ds_00006436-RA, Ds_00006435-RA	Bevul.6G029800.1.p
