target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	814.066	120	7.7557
Dm_00008772-RA	1272	1069.07	167	8.21885
Dm_00008770-RA	1722	1519.07	247	8.55499
Dm_00008771-RA	636	433.433	91	11.0463
Dm_00008682-RA	906	703.066	1198	89.652
Dm_00008591-RA	1308	1105.07	24	1.14267
Dm_00008592-RA	2436	2233.07	1127	26.5535
Dm_00008593-RA	759	556.244	2825	267.21
Dm_00008594-RA	969	766.066	1066	73.2134
Dm_00010209-RA	468	266.692	0	0
Dm_00010051-RA	693	490.298	17	1.82427
Dm_00009727-RA	234	56.9519	0	0
Dm_00009728-RA	1161	958.066	0	0
Dm_00009413-RA	1368	1165.07	493	22.2636
Dm_00009412-RA	2105	1902.07	1149	31.7829
Dm_00009411-RA	2682	2479.07	219	4.64789
Dm_00009410-RA	432	231.641	12	2.72561
Dm_00009021-RA	1668	1465.07	720	25.8568
Dm_00009020-RA	414	214.404	105	25.7665
Dm_00009748-RA	1554	1351.07	481	18.7313
Dm_00009749-RA	1092	889.066	767	45.3901
Dm_00009750-RA	941	738.066	503	35.8568
Dm_00010290-RA	1116	913.066	99	5.70469
Dm_00010291-RA	969	766.066	0	0
Dm_00007855-RA	945	742.066	502	35.5927
Dm_00007856-RA	786	583.13	252	22.7371
Dm_00007858-RA	2466	2263.07	864	20.087
Dm_00007859-RA	2304	2101.07	533	13.3471
Dm_00007857-RA	873	670.066	429	33.6852
Dm_00009353-RA	471	269.611	62	12.0991
Dm_00009317-RA	312	120.149	650	284.638
Dm_00010173-RA	1548	1345.07	658	25.7384
Dm_00010171-RA	228	52.6111	41	41.0021
Dm_00010172-RA	258	75.5569	6	4.17808
Dm_00009367-RA	1566	1363.07	1330	51.3374
Dm_00009368-RA	171	16.6005	102	323.28
Dm_00009369-RA	984	781.066	175	11.7883
Dm_00009983-RA	1065	862.066	45	2.74645
Dm_00009982-RA	975	772.066	33	2.24884
Dm_00009984-RA	537	334.986	0	0
Dm_00009718-RA	1158	955.066	5570	306.846
Dm_00009717-RA	753	550.244	293	28.0164
Dm_00009950-RA	1842	1639.07	10	0.320998
Dm_00009953-RA	1437	1234.07	228	9.72066
Dm_00009948-RA	1638	1435.07	668	24.4909
Dm_00009949-RA	879	676.066	179	13.9304
Dm_00009951-RA	729	526.298	2	0.199939
Dm_00009952-RA	444	243.26	0	0
Dm_00009009-RA	738	535.298	0	0
Dm_00009010-RA	303	112.591	2.03021	0.948718
Dm_00009007-RA	891	688.066	0	0
Dm_00009008-RA	1164	961.066	197	10.7848
Dm_00009011-RA	3048	2845.07	2.00144	0.0370126
Dm_00009012-RA	684	481.298	1	0.109316
Dm_00010080-RA	1113	910.066	3	0.173439
Dm_00010081-RA	354	158.061	289	96.1995
Dm_00010084-RA	1518	1315.07	916	36.6477
Dm_00010083-RA	1140	937.066	221	12.4086
Dm_00010082-RA	375	177.546	91	26.9668
Dm_00010098-RA	1200	997.066	0	0
Dm_00010096-RA	390	191.607	0	0
Dm_00010097-RA	666	463.298	353	40.0879
Dm_00008796-RA	414	214.404	0	0
Dm_00010370-RA	1886	1683.07	712	22.2576
Dm_00010369-RA	192	28.6653	0	0
Dm_00009774-RA	1998	1795.07	954	27.9619
Dm_00009775-RA	354	158.061	252	83.8833
Dm_00010288-RA	1401	1198.07	121	5.31378
Dm_00009493-RA	963	760.066	447	30.9425
Dm_00009494-RA	984	781.066	345	23.2397
Dm_00009495-RA	714	511.298	0	0
Dm_00006316-RA	993	790.066	46	3.06333
Dm_00008938-RA	897	694.066	776	58.8248
Dm_00008942-RA	1680	1477.07	629	22.4053
Dm_00008940-RA	834	631.13	137	11.4209
Dm_00008939-RA	651	448.39	119	13.9634
Dm_00008941-RA	531	328.986	116	18.5515
Dm_00010031-RA	3168	2965.07	1014	17.993
Dm_00009533-RA	1185	982.066	2	0.107149
Dm_00009536-RA	1041	838.066	5245.89	329.337
Dm_00009535-RA	792	589.13	4769	425.908
Dm_00009534-RA	1146	943.066	12797	713.946
Dm_00009696-RA	606	403.518	0	0
Dm_00009720-RA	456	255.11	27	5.56846
Dm_00009719-RA	795	592.13	0	0
Dm_00009254-RA	1287	1084.07	173	8.39633
Dm_00009255-RA	4353	4150.07	145	1.83828
Dm_00009256-RA	834	631.13	557	46.434
Dm_00009072-RA	282	94.6773	0	0
Dm_00009813-RA	6525	6322.07	803	6.68276
Dm_00009814-RA	2781	2578.07	152	3.10205
Dm_00009915-RA	564	361.673	0	0
Dm_00009914-RA	258	75.5569	0	0
Dm_00009695-RA	2650	2447.07	2359	50.7203
Dm_00009694-RA	624	421.476	405	50.557
Dm_00009693-RA	861	658.066	353	28.2231
Dm_00008273-RA	1188	985.066	6	0.320468
Dm_00008274-RA	912	709.066	315	23.3735
Dm_00008656-RA	612	409.518	0	0
Dm_00009771-RA	1848	1645.07	210	6.71638
Dm_00010784-RA	594	391.597	0	0
Dm_00010112-RA	711	508.298	1703	176.277
Dm_00010111-RA	402	202.927	345	89.4498
Dm_00009955-RA	255	73.2209	53	38.0838
Dm_00009954-RA	1899	1696.07	528	16.3791
Dm_00010107-RA	1728	1525.07	822	28.3585
Dm_00010108-RA	582	379.636	45	6.23655
Dm_00010391-RA	2043	1840.07	1440.69	41.1941
Dm_00010390-RA	711	508.298	3	0.310529
Dm_00008774-RA	1182	979.066	500	26.8694
Dm_00008773-RA	2106	1903.07	642	17.7493
Dm_00009260-RA	264	80.1644	6887	4520.1
Dm_00009262-RA	1596	1393.07	1786	67.4542
Dm_00009259-RA	873	670.066	9	0.706682
Dm_00009261-RA	858	655.066	540	43.3719
Dm_00010532-RA	2697	2494.07	284	5.99114
Dm_00008895-RA	687	484.298	1584.56	172.146
Dm_00010337-RA	1866	1663.07	5027	159.037
Dm_00010336-RA	1530	1327.07	908	35.9992
Dm_00010339-RA	1194	991.066	92	4.8841
Dm_00010335-RA	630	427.476	467	57.4783
Dm_00010338-RA	594	391.597	426	57.2361
Dm_00008749-RA	558	355.745	996	147.306
Dm_00008748-RA	213	42.1596	94.5397	117.982
Dm_00008876-RA	1122	919.066	676	38.699
Dm_00008877-RA	1599	1396.07	1	0.0376872
Dm_00008875-RA	630	427.476	0	0
Dm_00009056-RA	951	748.066	0	0
Dm_00010140-RA	3342	3139.07	32	0.536351
Dm_00009531-RA	459	258.059	0	0
Dm_00009530-RA	525	323.051	0	0
Dm_00009739-RA	1890	1687.07	285	8.88817
Dm_00009740-RA	1218	1015.07	94	4.87229
Dm_00009741-RA	2091	1888.07	644	17.946
Dm_00010362-RA	240	61.5155	582	497.781
Dm_00010363-RA	1167	964.066	0	0
Dm_00010361-RA	534	331.986	0	0
Dm_00009129-RA	2028	1825.07	468	13.4917
Dm_00009128-RA	915	712.066	112	8.27555
Dm_00009306-RA	1404	1201.07	41	1.79604
Dm_00009305-RA	1164	961.066	230	12.5914
Dm_00009307-RA	1806	1603.07	165	5.41542
Dm_00009499-RA	183	23.2268	322	729.399
Dm_00009501-RA	870	667.066	0	0
Dm_00009500-RA	498	296.417	2853	506.406
Dm_00010493-RA	3159	2956.07	64	1.13911
Dm_00010494-RA	1440	1237.07	3228	137.29
Dm_00009313-RA	1662	1459.07	303.082	10.9291
Dm_00009314-RA	420	220.163	24.0225	5.74083
Dm_00009349-RA	687	484.298	568	61.7071
Dm_00009351-RA	1443	1240.07	1176	49.8956
