Orthogroup	B_vulgaris.proteins	A_hypochondriacus.proteins
OG0000005	Bevul.6G144600.1.p	AH014533-RA
OG0000008	Bevul.4G169600.1.p, Bevul.4G164800.1.p, Bevul.8G132800.1.p, Bevul.4G167500.1.p, Bevul.4G167700.1.p, Bevul.4G161700.1.p, Bevul.4G162100.1.p, Bevul.4G175000.1.p, Bevul.4G171100.1.p, Bevul.4G158600.1.p, Bevul.4G162000.1.p, Bevul.4G158700.1.p, Bevul.4G163200.1.p, Bevul.4G160400.1.p, Bevul.4G163300.1.p, Bevul.4G163900.1.p, Bevul.4G171200.1.p, Bevul.4G171300.1.p, Bevul.4G171400.1.p	AH011176-RA, AH011177-RA, AH011187-RA, AH011181-RA, AH011178-RA, AH011185-RA, AH011186-RA, AH011182-RA, AH011175-RA, AH011188-RA, AH011179-RA
OG0000008	Bevul.4G199500.1.p, Bevul.4G199400.1.p, Bevul.4G199300.1.p, Bevul.4G192000.1.p, Bevul.4G188200.1.p, Bevul.4G192200.1.p, Bevul.4G177300.1.p, Bevul.4G188000.1.p, Bevul.4G191800.1.p, Bevul.4G191900.1.p, Bevul.4G187800.1.p, Bevul.4G188300.1.p, Bevul.4G192300.1.p, Bevul.4G192100.1.p, Bevul.4G184600.1.p, Bevul.4G192400.1.p, Bevul.4G194600.1.p	AH008576-RA, AH010059-RA, AH020450-RA
OG0000011	Bevul.9G145000.1.p	AH002194-RA
OG0000011	Bevul.3G168100.1.p	AH001485-RA, AH001483-RA, AH001487-RA
OG0000011	Bevul.7G111500.1.p	AH022040-RA
OG0000011	Bevul.7G111300.1.p	AH022041-RA, AH022042-RA, AH022043-RA
OG0000015	Bevul.8G062600.1.p	AH015162-RA, AH021574-RA
OG0000016	Bevul.9G202400.1.p, Bevul.6G093300.1.p, Bevul.1G082700.1.p, Bevul.6G098600.1.p	AH005855-RA
OG0000016	Bevul.9G175500.1.p, Bevul.9G175500.3.p, Bevul.9G175500.2.p, Bevul.9G175700.1.p	AH007101-RA
OG0000018	Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p	AH019393-RA
OG0000018	Bevul.3G188900.1.p, Bevul.3G012200.1.p	AH019902-RA, AH019903-RA, AH007232-RA
OG0000018	Bevul.3G012300.1.p, Bevul.3G012500.1.p, Bevul.3G012400.1.p	AH007233-RA
OG0000021	Bevul.5G145300.1.p	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA
OG0000021	Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p	AH022148-RA
OG0000022	Bevul.4G114700.1.p	AH010680-RA, AH013136-RA, AH015771-RA, AH015772-RB, AH015772-RA, AH019050-RA
OG0000022	Bevul.9G163000.1.p, Bevul.9G163300.1.p, Bevul.9G163100.1.p, Bevul.7G006600.1.p, Bevul.9G162900.2.p, Bevul.9G162900.1.p, Bevul.7G128600.1.p	AH012456-RA, AH021712-RA
OG0000023	Bevul.1G139100.1.p	AH013573-RA, AH014496-RA
OG0000023	Bevul.3G136100.1.p, Bevul.3G136400.1.p, Bevul.3G136300.1.p	AH007059-RA
OG0000023	Bevul.9G223400.1.p	AH000663-RA
OG0000024	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p	AH017854-RA, AH007410-RA
OG0000024	Bevul.7G020900.1.p, Bevul.7G020600.1.p	AH012583-RA
OG0000024	Bevul.4G087500.1.p	AH007961-RA
OG0000024	Bevul.5G049900.1.p, Bevul.5G050000.1.p	AH010292-RA
OG0000024	Bevul.4G087600.1.p	AH007960-RA, AH007959-RA
OG0000025	Bevul.9G156900.1.p	AH001710-RA, AH001709-RA, AH023136-RA
OG0000025	Bevul.9G156800.1.p, Bevul.9G157600.1.p	AH001717-RA
OG0000025	Bevul.9G157500.1.p, Bevul.9G157400.1.p	AH001716-RA
OG0000025	Bevul.9G229400.1.p, Bevul.9G230200.1.p, Bevul.9G229800.1.p	AH001699-RA, AH001703-RA
OG0000025	Bevul.9G230100.1.p, Bevul.9G229700.1.p, Bevul.9G230000.1.p, Bevul.9G229600.1.p, Bevul.9G229200.1.p	AH001700-RA
OG0000025	Bevul.9G229500.1.p, Bevul.9G229900.1.p, Bevul.9G229100.1.p, Bevul.9G230300.1.p	AH001701-RA, AH001705-RA
OG0000026	Bevul.7G010100.2.p, Bevul.7G010100.1.p	AH012493-RA
OG0000026	Bevul.4G049100.1.p	AH010288-RA, AH009955-RA, AH009957-RA, AH010103-RA, AH010096-RA, AH010098-RA, AH010095-RA, AH010094-RA, AH009973-RA
OG0000026	Bevul.4G079600.1.p	AH009954-RA, AH012021-RA, AH019650-RA, AH010101-RA, AH010287-RA, AH009956-RA, AH008142-RA, AH008143-RA, AH011166-RA
OG0000026	Bevul.4G046500.1.p	AH008141-RA
OG0000027	Bevul.5G197000.1.p	AH002791-RA
OG0000027	Bevul.1G144100.1.p	AH009374-RA
