Orthogroup	L_sativa.proteins	S_lycopersicum.proteins
OG0000005	Lsat_1_v5_gn_7_36361.1	Solyc02g050207.1.1
OG0000008	Lsat_1_v5_gn_0_17660.1, Lsat_1_v5_gn_0_17660.2, Lsat_1_v5_gn_3_111521.1, Lsat_1_v5_gn_3_111521.2, Lsat_1_v5_gn_3_111261.1, Lsat_1_v5_gn_3_111360.1, Lsat_1_v5_gn_3_111360.2, Lsat_1_v5_gn_3_111320.2, Lsat_1_v5_gn_3_111320.1, Lsat_1_v5_gn_3_111021.1, Lsat_1_v5_gn_3_111640.1, Lsat_1_v5_gn_3_109840.1, Lsat_1_v5_gn_3_111041.3, Lsat_1_v5_gn_3_111041.1, Lsat_1_v5_gn_3_95641.1, Lsat_1_v5_gn_3_115200.1, Lsat_1_v5_gn_3_111340.2	Solyc06g007280.2.1, Solyc06g007820.1.1, Solyc06g005220.2.1, Solyc06g007850.3.1
OG0000008	Lsat_1_v5_gn_1_11620.1, Lsat_1_v5_gn_1_11620.3, Lsat_1_v5_gn_1_11600.1, Lsat_1_v5_gn_1_11600.2, Lsat_1_v5_gn_2_107460.1, Lsat_1_v5_gn_2_107460.2, Lsat_1_v5_gn_8_22501.1, Lsat_1_v5_gn_0_27560.1, Lsat_1_v5_gn_0_27560.2, Lsat_1_v5_gn_2_126841.1, Lsat_1_v5_gn_3_123361.3, Lsat_1_v5_gn_3_123361.1	Solyc04g080120.1.1, Solyc06g007740.1.1, Solyc06g007300.2.1
OG0000011	Lsat_1_v5_gn_6_100741.1	Solyc04g071680.2.1
OG0000011	Lsat_1_v5_gn_9_41461.1	Solyc04g074020.2.1, Solyc04g074050.3.1, Solyc04g074030.3.1, Solyc04g074000.3.1
OG0000011	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3	Solyc09g072810.3.1
OG0000011	Lsat_1_v5_gn_4_41300.1	Solyc04g077710.2.1
OG0000011	Lsat_1_v5_gn_7_14720.1, Lsat_1_v5_gn_3_60400.3	Solyc01g057680.3.1
OG0000015	Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1	Solyc02g079590.3.1, Solyc03g006770.3.1
OG0000015	Lsat_1_v5_gn_9_95221.2, Lsat_1_v5_gn_9_95221.1, Lsat_1_v5_gn_9_95221.3, Lsat_1_v5_gn_7_105821.1	Solyc07g063750.3.1, Solyc07g063720.1.1, Solyc07g063730.2.1, Solyc07g063700.2.1, Solyc07g063710.2.1, Solyc10g006720.3.1
OG0000015	Lsat_1_v5_gn_7_107440.3, Lsat_1_v5_gn_7_107440.1	Solyc07g063820.3.1, Solyc07g063770.3.1, Solyc10g006710.3.1
OG0000015	Lsat_1_v5_gn_7_107500.1, Lsat_1_v5_gn_7_106760.1, Lsat_1_v5_gn_7_106760.3, Lsat_1_v5_gn_7_106760.4, Lsat_1_v5_gn_7_107001.2, Lsat_1_v5_gn_7_107001.3, Lsat_1_v5_gn_7_107001.1, Lsat_1_v5_gn_7_106861.2, Lsat_1_v5_gn_7_106861.1, Lsat_1_v5_gn_7_106941.2, Lsat_1_v5_gn_7_106941.3, Lsat_1_v5_gn_7_106941.1, Lsat_1_v5_gn_7_106841.4, Lsat_1_v5_gn_7_106861.3, Lsat_1_v5_gn_7_106781.1, Lsat_1_v5_gn_7_106841.1, Lsat_1_v5_gn_7_107560.1, Lsat_1_v5_gn_7_107541.1, Lsat_1_v5_gn_7_107541.2, Lsat_1_v5_gn_5_5521.3, Lsat_1_v5_gn_5_5521.2, Lsat_1_v5_gn_5_5521.1, Lsat_1_v5_gn_5_5541.1, Lsat_1_v5_gn_5_5541.3	Solyc04g077280.3.1, Solyc04g077270.3.1, Solyc04g077340.3.1, Solyc04g077300.3.1, Solyc04g077360.3.1, Solyc04g077380.2.1, Solyc04g077330.3.1, Solyc04g077370.2.1, Solyc04g077390.3.1, Solyc07g063780.2.1, Solyc07g063810.2.1, Solyc07g063735.1.1, Solyc07g063800.2.1, Solyc12g005290.2.1
OG0000016	Lsat_1_v5_gn_3_11081.1, Lsat_1_v5_gn_3_11081.3, Lsat_1_v5_gn_2_55441.1, Lsat_1_v5_gn_2_55441.3, Lsat_1_v5_gn_2_121260.1, Lsat_1_v5_gn_2_121260.2, Lsat_1_v5_gn_2_107620.1, Lsat_1_v5_gn_2_107620.3	Solyc10g012140.1.1
OG0000016	Lsat_1_v5_gn_2_122720.3, Lsat_1_v5_gn_2_122720.1	Solyc07g018180.2.1
OG0000016	Lsat_1_v5_gn_2_120441.5, Lsat_1_v5_gn_2_120721.1	Solyc03g118330.2.1, Solyc03g019980.2.1, Solyc03g098400.2.1
OG0000016	Lsat_1_v5_gn_2_120801.1, Lsat_1_v5_gn_2_120441.2, Lsat_1_v5_gn_3_43541.1, Lsat_1_v5_gn_2_120781.1, Lsat_1_v5_gn_2_44620.1, Lsat_1_v5_gn_9_104161.1, Lsat_1_v5_gn_9_104161.3, Lsat_1_v5_gn_2_38141.1, Lsat_1_v5_gn_2_38141.3, Lsat_1_v5_gn_2_121160.1, Lsat_1_v5_gn_2_121060.1, Lsat_1_v5_gn_2_121060.2, Lsat_1_v5_gn_2_120901.1, Lsat_1_v5_gn_2_120901.3, Lsat_1_v5_gn_2_122340.1, Lsat_1_v5_gn_2_122340.3, Lsat_1_v5_gn_2_120441.1, Lsat_1_v5_gn_2_120741.4, Lsat_1_v5_gn_2_120821.1, Lsat_1_v5_gn_2_120441.4, Lsat_1_v5_gn_2_120741.5, Lsat_1_v5_gn_2_120501.4, Lsat_1_v5_gn_2_120501.1, Lsat_1_v5_gn_2_120461.1, Lsat_1_v5_gn_2_120461.3, Lsat_1_v5_gn_2_120861.1, Lsat_1_v5_gn_2_117861.1, Lsat_1_v5_gn_2_121001.1, Lsat_1_v5_gn_2_122160.2, Lsat_1_v5_gn_2_122160.3, Lsat_1_v5_gn_2_122160.1, Lsat_1_v5_gn_2_120701.1, Lsat_1_v5_gn_2_120741.1	Solyc11g020270.1.1
OG0000018	Lsat_1_v5_gn_3_111780.1	Solyc09g089770.3.1
OG0000018	Lsat_1_v5_gn_3_121660.1, Lsat_1_v5_gn_3_122040.1, Lsat_1_v5_gn_3_122040.2, Lsat_1_v5_gn_3_121600.1, Lsat_1_v5_gn_3_121560.1, Lsat_1_v5_gn_3_121560.3, Lsat_1_v5_gn_0_19261.2, Lsat_1_v5_gn_0_19261.1, Lsat_1_v5_gn_3_121180.1, Lsat_1_v5_gn_3_121021.1, Lsat_1_v5_gn_3_121220.3, Lsat_1_v5_gn_5_124860.1	Solyc09g010000.3.1, Solyc09g089580.3.1, Solyc03g095900.3.1, Solyc09g089740.3.1, Solyc09g089730.3.1, Solyc09g089720.2.1, Solyc09g089760.1.1, Solyc09g089690.3.1, Solyc12g006380.2.1, Solyc09g089680.3.1, Solyc09g009985.1.1, Solyc09g010040.2.1
OG0000018	Lsat_1_v5_gn_3_119000.1, Lsat_1_v5_gn_3_121680.2, Lsat_1_v5_gn_3_121680.1, Lsat_1_v5_gn_3_121600.3, Lsat_1_v5_gn_3_121220.4, Lsat_1_v5_gn_3_121220.1	Solyc09g089700.3.1, Solyc03g095920.2.1
