Orthogroup	A_hypochondriacus.proteins	B_vulgaris.proteins
OG0000005	AH014533-RA	Bevul.6G144600.1.p
OG0000008	AH011176-RA, AH011177-RA, AH011187-RA, AH011181-RA, AH011178-RA, AH011185-RA, AH011186-RA, AH011182-RA, AH011175-RA, AH011188-RA, AH011179-RA	Bevul.4G169600.1.p, Bevul.4G164800.1.p, Bevul.8G132800.1.p, Bevul.4G167500.1.p, Bevul.4G167700.1.p, Bevul.4G161700.1.p, Bevul.4G162100.1.p, Bevul.4G175000.1.p, Bevul.4G171100.1.p, Bevul.4G158600.1.p, Bevul.4G162000.1.p, Bevul.4G158700.1.p, Bevul.4G163200.1.p, Bevul.4G160400.1.p, Bevul.4G163300.1.p, Bevul.4G163900.1.p, Bevul.4G171200.1.p, Bevul.4G171300.1.p, Bevul.4G171400.1.p
OG0000008	AH008576-RA, AH010059-RA, AH020450-RA	Bevul.4G199500.1.p, Bevul.4G199400.1.p, Bevul.4G199300.1.p, Bevul.4G192000.1.p, Bevul.4G188200.1.p, Bevul.4G192200.1.p, Bevul.4G177300.1.p, Bevul.4G188000.1.p, Bevul.4G191800.1.p, Bevul.4G191900.1.p, Bevul.4G187800.1.p, Bevul.4G188300.1.p, Bevul.4G192300.1.p, Bevul.4G192100.1.p, Bevul.4G184600.1.p, Bevul.4G192400.1.p, Bevul.4G194600.1.p
OG0000011	AH002194-RA	Bevul.9G145000.1.p
OG0000011	AH001485-RA, AH001483-RA, AH001487-RA	Bevul.3G168100.1.p
OG0000011	AH022040-RA	Bevul.7G111500.1.p
OG0000011	AH022041-RA, AH022042-RA, AH022043-RA	Bevul.7G111300.1.p
OG0000015	AH015162-RA, AH021574-RA	Bevul.8G062600.1.p
OG0000016	AH005855-RA	Bevul.9G202400.1.p, Bevul.6G093300.1.p, Bevul.1G082700.1.p, Bevul.6G098600.1.p
OG0000016	AH007101-RA	Bevul.9G175500.1.p, Bevul.9G175500.3.p, Bevul.9G175500.2.p, Bevul.9G175700.1.p
OG0000018	AH019393-RA	Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p
OG0000018	AH019902-RA, AH019903-RA, AH007232-RA	Bevul.3G188900.1.p, Bevul.3G012200.1.p
OG0000018	AH007233-RA	Bevul.3G012300.1.p, Bevul.3G012500.1.p, Bevul.3G012400.1.p
OG0000021	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA	Bevul.5G145300.1.p
OG0000021	AH022148-RA	Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p
OG0000022	AH010680-RA, AH013136-RA, AH015771-RA, AH015772-RB, AH015772-RA, AH019050-RA	Bevul.4G114700.1.p
OG0000022	AH012456-RA, AH021712-RA	Bevul.9G163000.1.p, Bevul.9G163300.1.p, Bevul.9G163100.1.p, Bevul.7G006600.1.p, Bevul.9G162900.2.p, Bevul.9G162900.1.p, Bevul.7G128600.1.p
OG0000023	AH013573-RA, AH014496-RA	Bevul.1G139100.1.p
OG0000023	AH007059-RA	Bevul.3G136100.1.p, Bevul.3G136400.1.p, Bevul.3G136300.1.p
OG0000023	AH000663-RA	Bevul.9G223400.1.p
OG0000024	AH017854-RA, AH007410-RA	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p
OG0000024	AH012583-RA	Bevul.7G020900.1.p, Bevul.7G020600.1.p
OG0000024	AH007961-RA	Bevul.4G087500.1.p
OG0000024	AH010292-RA	Bevul.5G049900.1.p, Bevul.5G050000.1.p
OG0000024	AH007960-RA, AH007959-RA	Bevul.4G087600.1.p
OG0000025	AH001710-RA, AH001709-RA, AH023136-RA	Bevul.9G156900.1.p
OG0000025	AH001717-RA	Bevul.9G156800.1.p, Bevul.9G157600.1.p
OG0000025	AH001716-RA	Bevul.9G157500.1.p, Bevul.9G157400.1.p
OG0000025	AH001699-RA, AH001703-RA	Bevul.9G229400.1.p, Bevul.9G230200.1.p, Bevul.9G229800.1.p
OG0000025	AH001700-RA	Bevul.9G230100.1.p, Bevul.9G229700.1.p, Bevul.9G230000.1.p, Bevul.9G229600.1.p, Bevul.9G229200.1.p
OG0000025	AH001701-RA, AH001705-RA	Bevul.9G229500.1.p, Bevul.9G229900.1.p, Bevul.9G229100.1.p, Bevul.9G230300.1.p
OG0000026	AH012493-RA	Bevul.7G010100.2.p, Bevul.7G010100.1.p
OG0000026	AH010288-RA, AH009955-RA, AH009957-RA, AH010103-RA, AH010096-RA, AH010098-RA, AH010095-RA, AH010094-RA, AH009973-RA	Bevul.4G049100.1.p
