Orthogroup	G_max.proteins	S_lycopersicum.proteins
OG0000008	GmISU01.18G174900.1.p, GmISU01.09G219400.2.p, GmISU01.10G002600.4.p, GmISU01.10G002600.3.p, GmISU01.10G002600.1.p, GmISU01.02G002600.1.p	Solyc04g080120.1.1, Solyc06g007740.1.1, Solyc06g007300.2.1
OG0000011	GmISU01.14G044700.1.p, GmISU01.14G044300.1.p, GmISU01.14G044500.1.p, GmISU01.02G229500.1.p, GmISU01.18G194700.1.p, GmISU01.18G195400.1.p, GmISU01.18G194900.1.p, GmISU01.09G200100.1.p, GmISU01.09G199900.1.p, GmISU01.16G059100.1.p, GmISU01.16G058300.1.p, GmISU01.16G058900.1.p, GmISU01.16G058000.1.p, GmISU01.16G058100.1.p, GmISU01.16G058300.2.p, GmISU01.16G058100.2.p, GmISU01.16G058800.1.p, GmISU01.16G057900.1.p, GmISU01.16G058400.1.p, GmISU01.16G058500.1.p, GmISU01.16G057800.1.p, GmISU01.16G057700.1.p, GmISU01.19G061700.1.p, GmISU01.18G147800.2.p, GmISU01.18G147800.3.p, GmISU01.18G147800.1.p, GmISU01.18G148600.1.p, GmISU01.18G148500.1.p	Solyc04g071680.2.1
OG0000011	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p	Solyc09g072810.3.1
OG0000011	GmISU01.18G210900.1.p, GmISU01.18G198800.1.p	Solyc01g057680.3.1
OG0000015	GmISU01.08G055600.2.p, GmISU01.08G055600.3.p, GmISU01.08G055600.1.p, GmISU01.15G061500.3.p, GmISU01.15G061500.4.p, GmISU01.15G061500.1.p, GmISU01.15G061500.2.p, GmISU01.13G214800.1.p	Solyc02g079590.3.1, Solyc03g006770.3.1
OG0000015	GmISU01.06G220300.1.p, GmISU01.06G220400.1.p, GmISU01.06G220200.2.p, GmISU01.06G220200.3.p, GmISU01.06G220200.1.p, GmISU01.12G118800.1.p, GmISU01.13G246900.3.p, GmISU01.13G246900.6.p, GmISU01.13G246900.4.p, GmISU01.13G246900.1.p, GmISU01.13G246900.2.p, GmISU01.13G246900.5.p	Solyc07g063750.3.1, Solyc07g063720.1.1, Solyc07g063730.2.1, Solyc07g063700.2.1, Solyc07g063710.2.1, Solyc10g006720.3.1
OG0000015	GmISU01.12G120000.2.p, GmISU01.12G120000.4.p, GmISU01.12G120000.3.p, GmISU01.12G120000.1.p, GmISU01.06G216900.1.p, GmISU01.06G217300.1.p, GmISU01.15G188700.1.p, GmISU01.06G216700.2.p, GmISU01.06G216700.1.p, GmISU01.06G216300.3.p, GmISU01.06G216300.1.p, GmISU01.12G120400.3.p, GmISU01.12G120400.1.p, GmISU01.12G120400.2.p, GmISU01.12G120400.4.p, GmISU01.12G120200.1.p, GmISU01.06G217000.1.p, GmISU01.13G133300.1.p	Solyc07g063820.3.1, Solyc07g063770.3.1, Solyc10g006710.3.1
OG0000016	GmISU01.07G129000.1.p, GmISU01.18G148700.1.p	Solyc07g018190.3.1, Solyc10g085120.2.1
OG0000016	GmISU01.07G135800.1.p, GmISU01.09G176600.1.p, GmISU01.09G047000.2.p, GmISU01.09G047000.1.p, GmISU01.09G175700.2.p, GmISU01.09G175700.1.p, GmISU01.01G116100.1.p, GmISU01.01G118200.1.p, GmISU01.15G176300.1.p, GmISU01.03G072500.1.p, GmISU01.13G231200.1.p, GmISU01.09G176400.1.p, GmISU01.04G104000.1.p, GmISU01.01G116000.1.p	Solyc11g020270.1.1
OG0000018	GmISU01.18G125000.1.p, GmISU01.08G313800.1.p, GmISU01.08G313900.1.p, GmISU01.08G314000.1.p, GmISU01.09G114300.1.p	Solyc09g089770.3.1
OG0000018	GmISU01.10G007000.1.p, GmISU01.10G007000.2.p, GmISU01.10G007000.3.p, GmISU01.10G006800.1.p, GmISU01.15G213400.1.p, GmISU01.07G106200.1.p, GmISU01.03G077100.1.p	Solyc09g010000.3.1, Solyc09g089580.3.1, Solyc03g095900.3.1, Solyc09g089740.3.1, Solyc09g089730.3.1, Solyc09g089720.2.1, Solyc09g089760.1.1, Solyc09g089690.3.1, Solyc12g006380.2.1, Solyc09g089680.3.1, Solyc09g009985.1.1, Solyc09g010040.2.1
OG0000018	GmISU01.16G167400.1.p, GmISU01.16G167700.1.p	Solyc09g089700.3.1, Solyc03g095920.2.1
OG0000018	GmISU01.13G093800.1.p	Solyc09g089790.3.1, Solyc09g089830.3.1, Solyc09g089810.1.1, Solyc09g089800.2.1, Solyc09g089780.3.1, Solyc09g089820.2.1
OG0000021	GmISU01.10G209300.1.p, GmISU01.10G209200.1.p, GmISU01.20G112900.1.p, GmISU01.20G113000.1.p, GmISU01.10G167700.1.p, GmISU01.11G099600.1.p, GmISU01.13G228800.1.p	Solyc09g098010.3.1, Solyc08g014190.3.1, Solyc09g098770.2.1, Solyc02g090290.3.1, Solyc02g090267.1.1, Solyc02g090300.3.1, Solyc09g098610.2.1, Solyc02g064806.1.1, Solyc09g061795.1.1, Solyc09g061793.1.1, Solyc02g065230.3.1, Solyc02g065190.3.1, Solyc02g065210.3.1, Solyc02g090265.1.1
OG0000021	GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p	Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1
OG0000022	GmISU01.15G141400.1.p	Solyc04g051880.2.1
OG0000022	GmISU01.08G098000.1.p	Solyc04g011700.2.1
OG0000023	GmISU01.20G031800.1.p, GmISU01.20G031800.5.p, GmISU01.20G031800.4.p, GmISU01.20G031800.3.p, GmISU01.20G031800.2.p, GmISU01.13G051100.1.p	Solyc12g088260.1.1, Solyc12g019560.1.1
OG0000024	GmISU01.15G203300.1.p, GmISU01.15G203400.1.p, GmISU01.13G226000.1.p, GmISU01.13G240000.1.p, GmISU01.03G185200.1.p	Solyc07g061980.2.1
OG0000025	GmISU01.09G177900.1.p, GmISU01.12G030900.1.p	Solyc10g054733.1.1, Solyc10g054750.1.1, Solyc01g110900.1.1
OG0000025	GmISU01.06G005700.1.p	Solyc01g110970.3.1, Solyc10g052585.1.1, Solyc12g036405.1.1, Solyc04g052895.1.1, Solyc04g052975.1.1, Solyc01g110785.1.1, Solyc11g011655.1.1, Solyc10g052545.1.1, Solyc04g053023.1.1, Solyc10g054737.1.1, Solyc01g110647.1.1
OG0000025	GmISU01.09G180500.1.p, GmISU01.09G180200.1.p, GmISU01.12G032000.1.p, GmISU01.04G006200.2.p, GmISU01.04G006300.1.p	Solyc11g011700.1.1, Solyc11g011650.1.1, Solyc04g053000.1.1, Solyc04g052970.2.1, Solyc11g011680.1.1, Solyc10g052540.1.1, Solyc10g052580.2.1, Solyc11g011720.1.1, Solyc04g025535.1.1, Solyc01g110790.3.1, Solyc01g110980.3.1, Solyc01g110735.1.1, Solyc01g110660.3.1, Solyc01g110710.3.1, Solyc01g110770.2.1, Solyc01g110670.3.1, Solyc01g110720.2.1, Solyc01g110680.3.1, Solyc01g110930.1.1, Solyc01g110800.3.1, Solyc01g110920.3.1, Solyc01g110780.1.1, Solyc01g110940.3.1, Solyc01g110630.3.1, Solyc01g110917.1.1
OG0000026	GmISU01.12G116800.1.p, GmISU01.12G116800.2.p, GmISU01.12G117100.1.p, GmISU01.12G117100.3.p, GmISU01.12G118100.1.p, GmISU01.12G118100.2.p, GmISU01.12G116900.2.p, GmISU01.12G116900.3.p, GmISU01.12G116900.4.p	Solyc06g059930.3.1
OG0000027	GmISU01.17G087900.3.p, GmISU01.17G087900.4.p, GmISU01.17G087900.1.p, GmISU01.17G087900.7.p, GmISU01.05G027900.3.p, GmISU01.05G027900.1.p, GmISU01.05G027900.4.p, GmISU01.05G027900.5.p, GmISU01.17G087900.6.p, GmISU01.17G087900.5.p, GmISU01.05G027900.2.p, GmISU01.04G141400.1.p, GmISU01.04G141400.3.p, GmISU01.06G173000.1.p, GmISU01.13G043700.1.p, GmISU01.19G016900.1.p	Solyc06g071100.3.1
OG0000027	GmISU01.07G101400.2.p, GmISU01.07G101400.3.p, GmISU01.07G101400.1.p, GmISU01.03G083300.2.p, GmISU01.07G101400.4.p, GmISU01.03G083300.1.p	Solyc08g078200.2.1
OG0000027	GmISU01.07G023600.4.p	Solyc07g005040.3.1
OG0000027	GmISU01.09G051300.3.p, GmISU01.09G051300.2.p, GmISU01.09G051300.1.p, GmISU01.15G147800.1.p, GmISU01.15G147800.2.p, GmISU01.13G070700.1.p, GmISU01.17G056800.1.p, GmISU01.04G069000.3.p, GmISU01.04G069000.1.p, GmISU01.06G069900.1.p, GmISU01.14G113600.1.p, GmISU01.17G172700.1.p	Solyc07g017780.3.1
OG0000027	GmISU01.13G129000.1.p, GmISU01.17G095200.1.p, GmISU01.15G177700.1.p, GmISU01.13G129000.2.p, GmISU01.13G129000.3.p, GmISU01.17G095200.5.p, GmISU01.17G095200.6.p, GmISU01.17G095200.4.p, GmISU01.17G095200.3.p, GmISU01.17G095200.2.p	Solyc12g010360.2.1
OG0000027	GmISU01.13G326900.3.p, GmISU01.13G326900.4.p, GmISU01.15G003900.2.p, GmISU01.13G326900.1.p, GmISU01.15G003900.1.p, GmISU01.08G201200.2.p, GmISU01.07G023600.3.p, GmISU01.08G201200.1.p, GmISU01.07G023600.2.p, GmISU01.07G023600.1.p	Solyc03g117150.3.1
OG0000028	GmISU01.14G143700.1.p	Solyc01g098370.1.1
OG0000029	GmISU01.04G201100.1.p, GmISU01.06G109100.1.p	Solyc09g015210.1.1
OG0000029	GmISU01.13G017500.3.p, GmISU01.13G017500.1.p, GmISU01.13G017500.2.p, GmISU01.14G128400.1.p, GmISU01.14G128600.2.p, GmISU01.14G128600.1.p, GmISU01.14G128600.3.p, GmISU01.14G128500.2.p, GmISU01.14G128500.1.p, GmISU01.14G128700.1.p, GmISU01.14G128700.2.p, GmISU01.13G017400.1.p, GmISU01.14G128200.1.p, GmISU01.14G128100.1.p, GmISU01.13G017200.1.p	Solyc09g015220.2.1, Solyc09g015240.1.1, Solyc09g015230.1.1
OG0000029	GmISU01.09G026100.1.p	Solyc09g015200.1.1
OG0000030	GmISU01.11G076400.1.p, GmISU01.01G123300.1.p	Solyc02g082980.1.1
OG0000030	GmISU01.01G123900.1.p, GmISU01.01G123600.1.p, GmISU01.11G076100.1.p, GmISU01.01G123800.1.p, GmISU01.11G075800.2.p, GmISU01.11G075900.1.p, GmISU01.01G124000.1.p, GmISU01.11G075700.1.p, GmISU01.02G039400.1.p, GmISU01.02G039500.1.p	Solyc02g083050.1.1, Solyc02g083040.1.1, Solyc02g083070.2.1, Solyc02g083100.2.1, Solyc02g083090.1.1, Solyc03g032230.1.1, Solyc02g083010.1.1, Solyc02g083020.1.1, Solyc02g083030.1.1, Solyc02g083000.1.1
OG0000030	GmISU01.16G098600.1.p, GmISU01.02G039300.1.p, GmISU01.01G124100.1.p, GmISU01.11G075600.1.p	Solyc02g083120.2.1
OG0000031	GmISU01.09G209700.1.p, GmISU01.18G184400.1.p, GmISU01.18G184600.2.p, GmISU01.18G184600.1.p, GmISU01.18G184500.1.p, GmISU01.18G184300.1.p, GmISU01.09G210200.1.p, GmISU01.04G010300.1.p, GmISU01.06G009500.1.p, GmISU01.09G210000.1.p, GmISU01.09G209500.1.p, GmISU01.09G209900.1.p	Solyc01g080980.1.1
OG0000031	GmISU01.16G109500.2.p, GmISU01.16G109500.1.p, GmISU01.02G049100.1.p, GmISU01.02G049200.1.p, GmISU01.16G109800.1.p, GmISU01.16G109800.2.p, GmISU01.16G109866.1.p, GmISU01.16G109600.1.p, GmISU01.16G109932.1.p, GmISU01.01G133900.1.p	Solyc09g091530.2.1, Solyc09g091540.1.1, Solyc09g091550.3.1, Solyc04g055260.3.1, Solyc00g032947.1.1, Solyc12g036673.1.1, Solyc01g081340.3.1
OG0000031	GmISU01.01G054000.1.p, GmISU01.02G107300.1.p	Solyc02g084950.3.1
OG0000031	GmISU01.14G068000.1.p, GmISU01.17G219400.1.p	Solyc04g080660.3.1
OG0000032	GmISU01.19G065100.1.p, GmISU01.19G065000.1.p, GmISU01.19G065000.2.p, GmISU01.19G065200.1.p, GmISU01.19G047600.1.p, GmISU01.19G047800.1.p, GmISU01.19G047700.1.p, GmISU01.19G048000.1.p, GmISU01.16G055100.1.p, GmISU01.16G054800.1.p, GmISU01.16G055000.1.p, GmISU01.16G054700.1.p, GmISU01.19G046450.1.p, GmISU01.19G076600.1.p, GmISU01.16G055300.2.p, GmISU01.16G055300.1.p, GmISU01.16G055200.1.p, GmISU01.10G136200.1.p, GmISU01.20G180100.1.p, GmISU01.10G136300.1.p, GmISU01.20G180000.1.p	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1
OG0000034	GmISU01.20G104100.1.p	Solyc02g080000.1.1
OG0000034	GmISU01.01G198600.1.p, GmISU01.20G106300.1.p, GmISU01.20G106200.1.p, GmISU01.20G106200.2.p, GmISU01.10G214100.1.p, GmISU01.10G214100.4.p, GmISU01.10G214100.3.p, GmISU01.10G214100.2.p, GmISU01.20G105800.1.p, GmISU01.20G105800.2.p, GmISU01.20G105900.2.p, GmISU01.20G105900.1.p, GmISU01.20G106000.1.p, GmISU01.20G104200.1.p, GmISU01.20G105200.2.p, GmISU01.20G105200.1.p, GmISU01.01G012500.1.p, GmISU01.18G183400.1.p, GmISU01.10G214800.1.p, GmISU01.20G104500.1.p, GmISU01.20G104800.2.p, GmISU01.20G104700.1.p, GmISU01.20G104700.2.p, GmISU01.20G104400.1.p, GmISU01.20G104000.1.p, GmISU01.20G104600.1.p, GmISU01.10G214400.1.p, GmISU01.20G105000.1.p, GmISU01.20G103900.1.p, GmISU01.20G103700.2.p, GmISU01.20G103700.1.p, GmISU01.10G214900.1.p, GmISU01.10G214200.2.p, GmISU01.10G214200.1.p, GmISU01.10G214200.3.p, GmISU01.20G105400.1.p	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1
OG0000037	GmISU01.04G033500.1.p	Solyc12g088970.1.1
