target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	824.154	187	12.1561
Dm_00008772-RA	1272	1079.15	124	6.15598
Dm_00008770-RA	1722	1529.15	286	10.0201
Dm_00008771-RA	636	443.244	89	10.7574
Dm_00008682-RA	906	713.154	44	3.30544
Dm_00008591-RA	1308	1115.15	46	2.20995
Dm_00008592-RA	2436	2243.15	1388	33.1505
Dm_00008593-RA	759	566.154	2907	275.087
Dm_00008594-RA	969	776.154	1305	90.0787
Dm_00010209-RA	468	275.898	0	0
Dm_00010051-RA	693	500.154	17	1.82098
Dm_00009727-RA	234	58.4031	0	0
Dm_00009728-RA	1161	968.154	0	0
Dm_00009413-RA	1368	1175.15	640	29.1773
Dm_00009412-RA	2105	1912.15	1076	30.1473
Dm_00009411-RA	2682	2489.15	305	6.56459
Dm_00009410-RA	432	240.341	22	4.90404
Dm_00009021-RA	1668	1475.15	1047	38.0249
Dm_00009020-RA	414	222.715	139	33.4368
Dm_00009748-RA	1554	1361.15	345	13.5791
Dm_00009749-RA	1092	899.154	713	42.483
Dm_00009750-RA	941	748.154	401	28.7153
Dm_00010290-RA	1116	923.154	90	5.22309
Dm_00010291-RA	969	776.154	3	0.207077
Dm_00007855-RA	945	752.154	545	38.8194
Dm_00007856-RA	786	593.154	226	20.4127
Dm_00007858-RA	2466	2273.15	1116	26.3024
Dm_00007859-RA	2304	2111.15	551	13.9827
Dm_00007857-RA	873	680.154	121	9.53098
Dm_00009353-RA	471	278.898	58.9576	11.3254
Dm_00009317-RA	312	124.822	383	164.387
Dm_00010173-RA	1548	1355.15	778	30.7574
Dm_00010171-RA	228	53.8315	62	61.7041
Dm_00010172-RA	258	77.7481	8	5.51264
Dm_00009367-RA	1566	1373.15	1251	48.8087
Dm_00009368-RA	171	16.1827	135	446.934
Dm_00009369-RA	984	791.154	735	49.7721
Dm_00009983-RA	1065	872.154	283	17.3841
Dm_00009982-RA	975	782.154	154	10.5484
Dm_00009984-RA	537	344.4	0	0
Dm_00009718-RA	1158	965.154	5361	297.583
Dm_00009717-RA	753	560.154	301	28.7885
Dm_00009950-RA	1842	1649.15	6	0.194917
Dm_00009953-RA	1437	1244.15	211	9.08589
Dm_00009948-RA	1638	1445.15	634	23.5036
Dm_00009949-RA	879	686.154	138	10.775
Dm_00009951-RA	729	536.154	0	0
Dm_00009952-RA	444	252.192	0	0
Dm_00009009-RA	738	545.154	0	0
Dm_00009010-RA	303	116.668	0	0
Dm_00009007-RA	891	698.154	0	0
Dm_00009008-RA	1164	971.154	138	7.6129
Dm_00009011-RA	3048	2855.15	1.00124	0.0187874
Dm_00009012-RA	684	491.154	2	0.218158
Dm_00010080-RA	1113	920.154	18	1.04802
Dm_00010081-RA	354	164.284	242	78.9188
Dm_00010084-RA	1518	1325.15	915	36.9925
Dm_00010083-RA	1140	947.154	231	13.0662
Dm_00010082-RA	375	184.61	97	28.1499
Dm_00010098-RA	1200	1007.15	1	0.0531941
Dm_00010096-RA	390	199.244	0	0
Dm_00010097-RA	666	473.154	385	43.5931
Dm_00008796-RA	414	222.715	0	0
Dm_00010370-RA	1886	1693.15	818	25.8831
Dm_00010369-RA	192	28.6918	1	1.86724
Dm_00009774-RA	1998	1805.15	1262	37.4545
Dm_00009775-RA	354	164.284	203	66.2005
Dm_00010288-RA	1401	1208.15	376	16.6734
Dm_00009493-RA	963	770.154	305	21.2169
Dm_00009494-RA	984	791.154	377	25.5293
Dm_00009495-RA	714	521.154	0	0
Dm_00006316-RA	993	800.154	37	2.47735
Dm_00008938-RA	897	704.154	888	67.5623
Dm_00008942-RA	1680	1487.15	748	26.9467
Dm_00008940-RA	834	641.154	165	13.7874
Dm_00008939-RA	651	458.154	155	18.1251
Dm_00008941-RA	531	338.467	141	22.3183
Dm_00010031-RA	3168	2975.15	1346	24.2379
Dm_00009533-RA	1185	992.154	5	0.269992
Dm_00009536-RA	1041	848.154	5906.6	373.097
Dm_00009535-RA	792	599.154	2326	207.984
Dm_00009534-RA	1146	953.154	8261	464.332
Dm_00009696-RA	606	413.288	0	0
Dm_00009720-RA	456	264.061	58	11.7675
Dm_00009719-RA	795	602.154	0	0
Dm_00009254-RA	1287	1094.15	212	10.3805
Dm_00009255-RA	4353	4160.15	133	1.71278
Dm_00009256-RA	834	641.154	540	45.1222
Dm_00009072-RA	282	98.0696	0	0
Dm_00009813-RA	6525	6332.15	946	8.00385
Dm_00009814-RA	2781	2588.15	200	4.13999
Dm_00009915-RA	564	371.364	0	0
Dm_00009914-RA	258	77.7481	0	0
Dm_00009695-RA	2650	2457.15	2954	64.4076
Dm_00009694-RA	624	431.288	557	69.1906
Dm_00009693-RA	861	668.154	488	39.1293
Dm_00008273-RA	1188	995.154	25	1.34589
Dm_00008274-RA	912	719.154	451	33.598
Dm_00008656-RA	612	419.288	0	0
Dm_00009771-RA	1848	1655.15	116	3.75473
Dm_00010784-RA	594	401.288	0	0
Dm_00010112-RA	711	518.154	1777	183.733
Dm_00010111-RA	402	210.999	281	71.3486
Dm_00009955-RA	255	75.1804	68	48.4578
Dm_00009954-RA	1899	1706.15	501	15.7318
Dm_00010107-RA	1728	1535.15	831	29.0007
Dm_00010108-RA	582	389.327	16	2.20173
Dm_00010391-RA	2043	1850.15	2428	70.3072
Dm_00010390-RA	711	518.154	1	0.103395
Dm_00008774-RA	1182	989.154	452	24.4813
Dm_00008773-RA	2106	1913.15	624	17.4741
Dm_00009260-RA	264	82.8453	3501	2264.04
Dm_00009262-RA	1596	1403.15	2043	78.005
Dm_00009259-RA	873	680.154	3	0.236305
Dm_00009261-RA	858	665.154	528	42.5276
Dm_00010532-RA	2697	2504.15	262	5.60531
Dm_00008895-RA	687	494.154	1847.57	200.307
Dm_00010337-RA	1866	1673.15	4000	128.081
Dm_00010336-RA	1530	1337.15	808	32.3735
Dm_00010339-RA	1194	1001.15	205	10.9701
Dm_00010335-RA	630	437.244	945	115.789
Dm_00010338-RA	594	401.288	560	74.7638
Dm_00008749-RA	558	365.364	980	143.701
Dm_00008748-RA	213	42.8918	129.852	162.193
Dm_00008876-RA	1122	929.154	627	36.1526
Dm_00008877-RA	1599	1406.15	5	0.190501
Dm_00008875-RA	630	437.244	0	0
Dm_00009056-RA	951	758.154	0	0
Dm_00010140-RA	3342	3149.15	12	0.204149
Dm_00009531-RA	459	267.034	0	0
Dm_00009530-RA	525	332.568	0	0
Dm_00009739-RA	1890	1697.15	287	9.05983
Dm_00009740-RA	1218	1025.15	85	4.44211
Dm_00009741-RA	2091	1898.15	815	23.0031
Dm_00010362-RA	240	62.9407	511	434.959
Dm_00010363-RA	1167	974.154	0	0
Dm_00010361-RA	534	341.4	0	0
Dm_00009129-RA	2028	1835.15	402	11.7358
Dm_00009128-RA	915	722.154	119	8.82829
Dm_00009306-RA	1404	1211.15	21	0.928922
Dm_00009305-RA	1164	971.154	166	9.15755
Dm_00009307-RA	1806	1613.15	346	11.491
Dm_00009499-RA	183	23.191	352	813.171
Dm_00009501-RA	870	677.154	0	0
Dm_00009500-RA	498	305.694	1995	349.636
Dm_00010493-RA	3159	2966.15	83	1.49915
Dm_00010494-RA	1440	1247.15	3706	159.201
Dm_00009313-RA	1662	1469.15	383.85	13.9976
Dm_00009314-RA	420	228.647	23.2395	5.44529
Dm_00009349-RA	687	494.154	636	68.9531
Dm_00009351-RA	1443	1250.15	1087	46.5828
Dm_00009352-RA	3111	2918.15	0	0
