Orthogroup	P_amilis.proteins	A_vesiculosa.proteins
OG0000008	FUN_051593-T1, FUN_043089-T1	Av_00016512-RA
OG0000008	FUN_043886-T1, FUN_047418-T1, FUN_043880-T1	Av_00011034-RA
OG0000008	FUN_036142-T1, FUN_047416-T1, FUN_043120-T1, FUN_043122-T1, FUN_047419-T1, FUN_014318-T1, FUN_049774-T1, FUN_030291-T1, FUN_043115-T1, FUN_043123-T1, FUN_043367-T1, FUN_043831-T1, FUN_043884-T1, FUN_001224-T1, FUN_043364-T1, FUN_043368-T1, FUN_034449-T1, FUN_001227-T1, FUN_034381-T1, FUN_043087-T1, FUN_026496-T1, FUN_026487-T1	Av_00017274-RA, Av_00024183-RA
OG0000011	FUN_018895-T1, FUN_018893-T1, FUN_018889-T1, FUN_018888-T1, FUN_024842-T1, FUN_024845-T1, FUN_024844-T1, FUN_024840-T1	Av_00002197-RA
OG0000016	FUN_005881-T2, FUN_005881-T1, FUN_043248-T1, FUN_012840-T1, FUN_037845-T1, FUN_020623-T1	Av_00024235-RA
OG0000018	FUN_051184-T1	Av_00002303-RA, Av_00009695-RA
OG0000020	FUN_052313-T1	Av_00021190-RA
OG0000020	FUN_027597-T1	Av_00019093-RA, Av_00024447-RA, Av_00024080-RA, Av_00021972-RA, Av_00021382-RA, Av_00018532-RA
OG0000021	FUN_018674-T1, FUN_018644-T1	Av_00016821-RA, Av_00016683-RA
OG0000021	FUN_040982-T1, FUN_040985-T1, FUN_024282-T1, FUN_049370-T1, FUN_049412-T1, FUN_049416-T1, FUN_001018-T1, FUN_049365-T1, FUN_036352-T1, FUN_049386-T1, FUN_049389-T1, FUN_001215-T1, FUN_049373-T1, FUN_049378-T1, FUN_049390-T1, FUN_049379-T1, FUN_049403-T1, FUN_049408-T1, FUN_049406-T1, FUN_049400-T1, FUN_049575-T1, FUN_049377-T1, FUN_049392-T1, FUN_036356-T1, FUN_045184-T1, FUN_049402-T1, FUN_049413-T1, FUN_049368-T1, FUN_049366-T1, FUN_052103-T1, FUN_052099-T1, FUN_052110-T1, FUN_052108-T1, FUN_046257-T1, FUN_037728-T1, FUN_037727-T1, FUN_037716-T1, FUN_037717-T1, FUN_037729-T1	Av_00016682-RA
OG0000022	FUN_017754-T1, FUN_017828-T1	Av_00004844-RA
OG0000022	FUN_020730-T1, FUN_020932-T1, FUN_017707-T1, FUN_017739-T1, FUN_017846-T1, FUN_036951-T1, FUN_017831-T1, FUN_017844-T1, FUN_017842-T1, FUN_017824-T1, FUN_017826-T1, FUN_017737-T1, FUN_017832-T1, FUN_017834-T1, FUN_017722-T1, FUN_019924-T1, FUN_017718-T1, FUN_017719-T1, FUN_017723-T1, FUN_017726-T1, FUN_017704-T1, FUN_017702-T1, FUN_017705-T1, FUN_017730-T1, FUN_017732-T1, FUN_017742-T1, FUN_017751-T1, FUN_017750-T1, FUN_017756-T1, FUN_017759-T1, FUN_017746-T1	Av_00004845-RA, Av_00003462-RA, Av_00003476-RA, Av_00003461-RA, Av_00004843-RA, Av_00021879-RA, Av_00002137-RA, Av_00001706-RA, Av_00009282-RA
OG0000023	FUN_014378-T2, FUN_014378-T1, FUN_015007-T1, FUN_011960-T1, FUN_011960-T2, FUN_011960-T3, FUN_007934-T1, FUN_007934-T3, FUN_007934-T2, FUN_007934-T4, FUN_007929-T1, FUN_007939-T1, FUN_020168-T1, FUN_020170-T1, FUN_014375-T1, FUN_020167-T1	Av_00004265-RA
OG0000023	FUN_005579-T1	Av_00008849-RA
OG0000024	FUN_010896-T1, FUN_010897-T1, FUN_010895-T1	Av_00007869-RA
OG0000024	FUN_015806-T1, FUN_047602-T2, FUN_047602-T1, FUN_047086-T4, FUN_047086-T2, FUN_047086-T1, FUN_047607-T1, FUN_047607-T2, FUN_047086-T3, FUN_047274-T1	Av_00004852-RA
OG0000025	FUN_050791-T1, FUN_051656-T1	Av_00000980-RA, Av_00012375-RA
OG0000025	FUN_050776-T1	Av_00020768-RA, Av_00004540-RA
OG0000025	FUN_051671-T1, FUN_051670-T1, FUN_051667-T1	Av_00008810-RA, Av_00007185-RA, Av_00020767-RA
OG0000027	FUN_047527-T1	Av_00013864-RA, Av_00001746-RA, Av_00017675-RA, Av_00011272-RA, Av_00004078-RA, Av_00023371-RA, Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA, Av_00001022-RA, Av_00004483-RA, Av_00024230-RA, Av_00011040-RA, Av_00023589-RA, Av_00018214-RA, Av_00017102-RA, Av_00009069-RA
OG0000028	FUN_017952-T1, FUN_017950-T1, FUN_005868-T1, FUN_005865-T1, FUN_003755-T1	Av_00012390-RA, Av_00014990-RA, Av_00012397-RA, Av_00014996-RA, Av_00014977-RA, Av_00014985-RA, Av_00014998-RA, Av_00014993-RA, Av_00014979-RA, Av_00014987-RA, Av_00014981-RA, Av_00014983-RA, Av_00015000-RA, Av_00012389-RA, Av_00014999-RA, Av_00014991-RA, Av_00012392-RA, Av_00014982-RA, Av_00014988-RA, Av_00014984-RA, Av_00012395-RA, Av_00014997-RA, Av_00012393-RA, Av_00015001-RA, Av_00009279-RA, Av_00009277-RA, Av_00009278-RA
OG0000028	FUN_050955-T1, FUN_011516-T1	Av_00011314-RA
OG0000029	FUN_036143-T1, FUN_036144-T1, FUN_001608-T1	Av_00007061-RA
