Orthogroup	A_vesiculosa.proteins	A_thaliana.proteins
OG0000008	Av_00011034-RA	AT4G26800.1
OG0000015	Av_00016901-RA, Av_00010123-RA, Av_00014290-RA	AT4G27290.2, AT4G27290.1
OG0000018	Av_00017038-RA, Av_00013504-RA	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1
OG0000021	Av_00016682-RA	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1
OG0000022	Av_00010967-RA	AT5G64950.1
OG0000023	Av_00008849-RA, Av_00018735-RA, Av_00008789-RA, Av_00019809-RA	AT1G33540.1, AT1G33540.2
OG0000024	Av_00007869-RA	AT1G17060.1
OG0000025	Av_00009754-RA	AT2G21210.1, AT2G21210.2
OG0000025	Av_00000980-RA, Av_00012375-RA	AT4G34770.1
OG0000025	Av_00008813-RA, Av_00008810-RA, Av_00007185-RA, Av_00020767-RA	AT4G34800.1
OG0000027	Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA	AT2G24520.4, AT5G57350.3
