target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	815.572	6	8.80346
Dm_00008772-RA	1272	1070.57	9.46527	10.5799
Dm_00008770-RA	1722	1520.57	8	6.29575
Dm_00008771-RA	636	434.872	0	0
Dm_00008682-RA	906	704.572	49	83.2214
Dm_00008591-RA	1308	1106.57	10	10.814
Dm_00008592-RA	2436	2234.57	21	11.2458
Dm_00008593-RA	759	557.629	335	718.892
Dm_00008594-RA	969	767.572	68	106.012
Dm_00010209-RA	468	267.915	0	0
Dm_00010051-RA	693	491.68	1	2.43378
Dm_00009727-RA	234	57.3519	0	0
Dm_00009728-RA	1161	959.572	0	0
Dm_00009413-RA	1368	1166.57	12	12.3093
Dm_00009412-RA	2105	1903.57	61	38.3464
Dm_00009411-RA	2682	2480.57	9	4.34165
Dm_00009410-RA	432	233.043	0	0
Dm_00009021-RA	1668	1466.57	168	137.079
Dm_00009020-RA	414	215.61	0	0
Dm_00009748-RA	1554	1352.57	26	23.0026
Dm_00009749-RA	1092	890.572	36	48.3724
Dm_00009750-RA	941	739.572	8	12.9442
Dm_00010290-RA	1116	914.572	4	5.23367
Dm_00010291-RA	969	767.572	19	29.6209
Dm_00007855-RA	945	743.572	34	54.7168
Dm_00007856-RA	786	584.572	15	30.7056
Dm_00007858-RA	2466	2264.57	60	31.7051
Dm_00007859-RA	2304	2102.57	3	1.7074
Dm_00007857-RA	873	671.572	5	8.90927
Dm_00009353-RA	471	270.888	2	8.83494
Dm_00009317-RA	312	120.544	7	69.4889
Dm_00010173-RA	1548	1346.57	16	14.2185
Dm_00010171-RA	228	53.1984	0	0
Dm_00010172-RA	258	75.6328	0	0
Dm_00009367-RA	1566	1364.57	24	21.0465
Dm_00009368-RA	171	16.3728	11	803.959
Dm_00009369-RA	984	782.572	33	50.4608
Dm_00009983-RA	1065	863.572	1	1.38569
Dm_00009982-RA	975	773.572	0	0
Dm_00009984-RA	537	336.318	0	0
Dm_00009718-RA	1158	956.572	77	96.3246
Dm_00009717-RA	753	551.629	6	13.0157
Dm_00009950-RA	1842	1640.57	0	0
Dm_00009953-RA	1437	1235.57	12	11.6219
Dm_00009948-RA	1638	1436.57	20	16.6597
Dm_00009949-RA	879	677.572	20	35.3215
Dm_00009951-RA	729	527.629	0	0
Dm_00009952-RA	444	244.684	0	0
Dm_00009009-RA	738	536.629	0	0
Dm_00009010-RA	303	112.598	0	0
Dm_00009007-RA	891	689.572	0	0
Dm_00009008-RA	1164	962.572	1	1.24317
Dm_00009011-RA	3048	2846.57	0	0
Dm_00009012-RA	684	482.826	0	0
Dm_00010080-RA	1113	911.572	3	3.93817
Dm_00010081-RA	354	158.822	24	180.828
Dm_00010084-RA	1518	1316.57	20	18.1782
Dm_00010083-RA	1140	938.572	11	14.0246
Dm_00010082-RA	375	178.492	1	6.70417
Dm_00010098-RA	1200	998.572	0	0
Dm_00010096-RA	390	192.707	0	0
Dm_00010097-RA	666	464.872	11	28.3155
Dm_00008796-RA	414	215.61	0	0
Dm_00010370-RA	1886	1684.57	50	35.5177
Dm_00010369-RA	192	28.9338	0	0
Dm_00009774-RA	1998	1796.57	28	18.65
Dm_00009775-RA	354	158.822	5	37.6725
Dm_00010288-RA	1401	1199.57	46	45.8877
Dm_00009493-RA	963	761.572	21	32.9969
Dm_00009494-RA	984	782.572	7	10.7038
Dm_00009495-RA	714	512.629	0	0
Dm_00006316-RA	993	791.572	0	0
Dm_00008938-RA	897	695.572	11	18.9241
Dm_00008942-RA	1680	1478.57	18	14.5678
Dm_00008940-RA	834	632.572	2	3.78342
Dm_00008939-RA	651	449.872	8	21.2797
Dm_00008941-RA	531	330.318	0	0
Dm_00010031-RA	3168	2966.57	22	8.87426
Dm_00009533-RA	1185	983.572	7	8.5164
Dm_00009536-RA	1041	839.572	3	4.2759
Dm_00009535-RA	792	590.572	70	141.837
Dm_00009534-RA	1146	944.572	97	122.886
Dm_00009696-RA	606	404.915	0	0
Dm_00009720-RA	456	256.257	0	0
Dm_00009719-RA	795	593.572	0	0
Dm_00009254-RA	1287	1085.57	2	2.20463
Dm_00009255-RA	4353	4151.57	7	2.01767
Dm_00009256-RA	834	632.572	25	47.2927
Dm_00009072-RA	282	94.802	0	0
Dm_00009813-RA	6525	6323.57	29	5.48782
Dm_00009814-RA	2781	2579.57	1	0.463892
Dm_00009915-RA	564	363.178	0	0
Dm_00009914-RA	258	75.6328	0	0
Dm_00009695-RA	2650	2448.57	16	7.81936
Dm_00009694-RA	624	422.915	5	14.1475
Dm_00009693-RA	861	659.572	13	23.5855
Dm_00008273-RA	1188	986.572	0	0
Dm_00008274-RA	912	710.572	12	20.2087
Dm_00008656-RA	612	410.915	0	0
Dm_00009771-RA	1848	1646.57	44	31.9769
Dm_00010784-RA	594	392.915	0	0
Dm_00010112-RA	711	509.629	104	244.199
Dm_00010111-RA	402	204.245	5	29.2943
Dm_00009955-RA	255	73.143	2	32.7206
Dm_00009954-RA	1899	1697.57	9	6.34423
Dm_00010107-RA	1728	1526.57	26	20.3808
Dm_00010108-RA	582	380.954	0	0
Dm_00010391-RA	2043	1841.57	78	50.6839
Dm_00010390-RA	711	509.629	0	0
Dm_00008774-RA	1182	980.572	15	18.3053
Dm_00008773-RA	2106	1904.57	19	11.9377
Dm_00009260-RA	264	80.4866	111	1650.3
Dm_00009262-RA	1596	1394.57	51	43.7616
Dm_00009259-RA	873	671.572	6	10.6911
Dm_00009261-RA	858	656.572	38	69.2573
Dm_00010532-RA	2697	2495.57	3	1.43852
Dm_00008895-RA	687	485.777	23	56.6572
Dm_00010337-RA	1866	1664.57	44	31.6311
Dm_00010336-RA	1530	1328.57	15	13.5105
Dm_00010339-RA	1194	992.572	1	1.2056
Dm_00010335-RA	630	428.915	17	47.4287
Dm_00010338-RA	594	392.915	22	67.002
Dm_00008749-RA	558	357.25	35	117.236
Dm_00008748-RA	213	42.7912	0	0
Dm_00008876-RA	1122	920.572	3	3.89967
Dm_00008877-RA	1599	1397.57	0	0
Dm_00008875-RA	630	428.915	0	0
Dm_00009056-RA	951	749.572	0	0
Dm_00010140-RA	3342	3140.57	1	0.381027
Dm_00009531-RA	459	259.205	0	0
Dm_00009530-RA	525	324.383	0	0
Dm_00009739-RA	1890	1688.57	5	3.54336
Dm_00009740-RA	1218	1016.57	3	3.5314
Dm_00009741-RA	2091	1889.57	8	5.0663
Dm_00010362-RA	240	61.8014	34	658.332
Dm_00010363-RA	1167	965.572	0	0
Dm_00010361-RA	534	333.318	0	0
Dm_00009129-RA	2028	1826.57	37	24.2398
Dm_00009128-RA	915	713.572	0	0
Dm_00009306-RA	1404	1202.57	0	0
Dm_00009305-RA	1164	962.572	17	21.1339
Dm_00009307-RA	1806	1604.57	76	56.6785
Dm_00009499-RA	183	23.1585	14	723.405
Dm_00009501-RA	870	668.572	0	0
Dm_00009500-RA	498	297.632	78	313.602
Dm_00010493-RA	3159	2957.57	2	0.809206
Dm_00010494-RA	1440	1238.57	87	84.0548
Dm_00009313-RA	1662	1460.57	15.8712	13.0032
Dm_00009314-RA	420	221.433	1.16542	6.298
Dm_00009349-RA	687	485.777	19	46.8038
Dm_00009351-RA	1443	1241.57	19	18.3124
Dm_00009352-RA	3111	2909.57	1	0.411278
Dm_00009350-RA	648	446.872	0	0
Dm_00009554-RA	933	731.572	5	8.17857
Dm_00010117-RA	876	674.572	14	24.835
Dm_00010120-RA	1881	1679.57	22	15.6743
Dm_00010119-RA	4431	4229.57	23	6.50722
Dm_00010118-RA	1494	1292.57	12	11.1094
Dm_00007975-RA	1485	1283.57	30	27.9683
Dm_00007974-RA	942	740.572	36	58.1701
Dm_00007970-RA	447	247.61	11	53.1604
Dm_00007971-RA	1302	1100.57	67	72.8485
Dm_00007973-RA	762	560.629	0	0
Dm_00007972-RA	1257	1055.57	1	1.13364
Dm_00008368-RA	1161	959.572	105	130.941
Dm_00008369-RA	585	383.954	1	3.11663
Dm_00008843-RA	1494	1292.57	31	28.6993
Dm_00008840-RA	2103	1901.57	3.23397	2.03511
Dm_00008839-RA	1515	1313.57	2.76603	2.51981
Dm_00008841-RA	1482	1280.57	4	3.73784
Dm_00008842-RA	942	740.572	10	16.1584
Dm_00008381-RA	606	404.915	36	106.39
Dm_00008383-RA	846	644.572	8.44988	15.6871
Dm_00008384-RA	387	189.804	5	31.523
Dm_00008382-RA	384	186.881	10.5501	67.5549
Dm_00009073-RA	546	345.25	0	0
Dm_00010371-RA	240	61.8014	7	135.539
Dm_00008977-RA	2196	1994.57	52.9634	31.7754
Dm_00008976-RA	996	794.572	9	13.5542
Dm_00008269-RA	1308	1106.57	4	4.32558
Dm_00008270-RA	723	521.629	1	2.29405
Dm_00009303-RA	801	599.572	8	15.9666
Dm_00009304-RA	408	209.889	0	0
Dm_00009862-RA	462	262.074	0	0
