Orthogroup	P_amilis.proteins	D_spatulata.proteins
OG0000008	FUN_051593-T1, FUN_043089-T1	Ds_00005008-RA
OG0000008	FUN_036142-T1, FUN_047416-T1, FUN_043120-T1, FUN_043122-T1, FUN_047419-T1, FUN_014318-T1, FUN_049774-T1, FUN_030291-T1, FUN_043115-T1, FUN_043123-T1, FUN_043367-T1, FUN_043831-T1, FUN_043884-T1, FUN_001224-T1, FUN_043364-T1, FUN_043368-T1, FUN_034449-T1, FUN_001227-T1, FUN_034381-T1, FUN_043087-T1, FUN_026496-T1, FUN_026487-T1	Ds_00004058-RA, Ds_00005252-RA, Ds_00011612-RA, Ds_00001046-RA, Ds_00004374-RA, Ds_00004371-RA, Ds_00009680-RA, Ds_00006455-RA
OG0000011	FUN_045628-T1	Ds_00013568-RA
OG0000011	FUN_018895-T1, FUN_018893-T1, FUN_018889-T1, FUN_018888-T1, FUN_024842-T1, FUN_024845-T1, FUN_024844-T1, FUN_024840-T1	Ds_00014454-RA, Ds_00015367-RA
OG0000016	FUN_005881-T2, FUN_005881-T1, FUN_043248-T1, FUN_012840-T1, FUN_037845-T1, FUN_020623-T1	Ds_00000802-RA, Ds_00013779-RA, Ds_00012502-RA, Ds_00011161-RA, Ds_00004889-RA, Ds_00009386-RA, Ds_00009382-RA, Ds_00014480-RA
OG0000018	FUN_012656-T1, FUN_019095-T1, FUN_015179-T1, FUN_015183-T1, FUN_015176-T2, FUN_015177-T2, FUN_015177-T1, FUN_015185-T1, FUN_015185-T2, FUN_015184-T1, FUN_011156-T2, FUN_011156-T1, FUN_042066-T1	Ds_00003181-RA
OG0000018	FUN_011477-T1, FUN_011476-T1, FUN_011478-T1, FUN_048627-T1, FUN_048629-T1, FUN_047268-T1, FUN_047265-T1, FUN_046104-T1, FUN_046104-T2, FUN_051744-T1, FUN_012787-T1	Ds_00006689-RA
OG0000018	FUN_051184-T1	Ds_00015426-RA
OG0000020	FUN_027597-T1	Ds_00009233-RA, Ds_00013241-RA, Ds_00010462-RA
OG0000021	FUN_040662-T1, FUN_040655-T1, FUN_040656-T1, FUN_040664-T1, FUN_018676-T1, FUN_018672-T1, FUN_018656-T1, FUN_018681-T1, FUN_018680-T1, FUN_018678-T1, FUN_018682-T1	Ds_00009889-RA
OG0000021	FUN_040665-T1	Ds_00002132-RA
OG0000021	FUN_018674-T1, FUN_018644-T1	Ds_00010245-RA
OG0000021	FUN_040982-T1, FUN_040985-T1, FUN_024282-T1, FUN_049370-T1, FUN_049412-T1, FUN_049416-T1, FUN_001018-T1, FUN_049365-T1, FUN_036352-T1, FUN_049386-T1, FUN_049389-T1, FUN_001215-T1, FUN_049373-T1, FUN_049378-T1, FUN_049390-T1, FUN_049379-T1, FUN_049403-T1, FUN_049408-T1, FUN_049406-T1, FUN_049400-T1, FUN_049575-T1, FUN_049377-T1, FUN_049392-T1, FUN_036356-T1, FUN_045184-T1, FUN_049402-T1, FUN_049413-T1, FUN_049368-T1, FUN_049366-T1, FUN_052103-T1, FUN_052099-T1, FUN_052110-T1, FUN_052108-T1, FUN_046257-T1, FUN_037728-T1, FUN_037727-T1, FUN_037716-T1, FUN_037717-T1, FUN_037729-T1	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA
OG0000022	FUN_017760-T1, FUN_017729-T1, FUN_036727-T1, FUN_017837-T1, FUN_017706-T1, FUN_017754-T1, FUN_017828-T1, FUN_017840-T1, FUN_017838-T1	Ds_00000786-RA, Ds_00000789-RA, Ds_00013099-RA, Ds_00000790-RA, Ds_00000787-RA, Ds_00000788-RA
OG0000022	FUN_020730-T1, FUN_020932-T1, FUN_017707-T1, FUN_017739-T1, FUN_017846-T1, FUN_036951-T1, FUN_017831-T1, FUN_017844-T1, FUN_017842-T1, FUN_017824-T1, FUN_017826-T1, FUN_017737-T1, FUN_017832-T1, FUN_017834-T1, FUN_017722-T1, FUN_019924-T1, FUN_017718-T1, FUN_017719-T1, FUN_017723-T1, FUN_017726-T1, FUN_017704-T1, FUN_017702-T1, FUN_017705-T1, FUN_017730-T1, FUN_017732-T1, FUN_017742-T1, FUN_017751-T1, FUN_017750-T1, FUN_017756-T1, FUN_017759-T1, FUN_017746-T1	Ds_00003849-RA, Ds_00003832-RA, Ds_00007689-RA, Ds_00013775-RA, Ds_00009114-RA, Ds_00005092-RA
OG0000023	FUN_024429-T1, FUN_024427-T1, FUN_024428-T1, FUN_024433-T1, FUN_024431-T1, FUN_024415-T1	Ds_00016053-RA
OG0000024	FUN_010896-T1, FUN_010897-T1, FUN_010895-T1	Ds_00004822-RA, Ds_00007355-RA, Ds_00014543-RA, Ds_00017860-RA, Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA
