Orthogroup	D_muscipula.proteins	L_sativa.proteins
OG0000011	Dm_00003465-RA	Lsat_1_v5_gn_6_100741.1, Lsat_1_v5_gn_9_41461.1, Lsat_1_v5_gn_4_41280.1, Lsat_1_v5_gn_4_41340.1, Lsat_1_v5_gn_4_41240.1, Lsat_1_v5_gn_1_81560.1, Lsat_1_v5_gn_1_81560.2
OG0000011	Dm_00013516-RA	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3
OG0000015	Dm_00009736-RA	Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1
OG0000015	Dm_00001315-RA	Lsat_1_v5_gn_8_19401.4, Lsat_1_v5_gn_8_19401.6, Lsat_1_v5_gn_7_49320.1, Lsat_1_v5_gn_7_49320.3, Lsat_1_v5_gn_8_19481.2, Lsat_1_v5_gn_8_19481.1, Lsat_1_v5_gn_8_19501.1, Lsat_1_v5_gn_8_19501.3, Lsat_1_v5_gn_8_19521.3, Lsat_1_v5_gn_8_19521.1, Lsat_1_v5_gn_8_19641.3, Lsat_1_v5_gn_8_19641.1, Lsat_1_v5_gn_1_113320.2, Lsat_1_v5_gn_1_113320.1, Lsat_1_v5_gn_1_113320.3, Lsat_1_v5_gn_8_19381.1, Lsat_1_v5_gn_8_19381.2, Lsat_1_v5_gn_3_33700.1, Lsat_1_v5_gn_3_33700.3, Lsat_1_v5_gn_8_142060.1, Lsat_1_v5_gn_8_142060.3, Lsat_1_v5_gn_8_142140.2, Lsat_1_v5_gn_8_142140.1, Lsat_1_v5_gn_7_80960.2, Lsat_1_v5_gn_7_80960.1, Lsat_1_v5_gn_8_19660.3, Lsat_1_v5_gn_8_19660.1, Lsat_1_v5_gn_8_19660.2, Lsat_1_v5_gn_2_113361.1, Lsat_1_v5_gn_6_112280.5, Lsat_1_v5_gn_2_113381.1, Lsat_1_v5_gn_2_113381.2, Lsat_1_v5_gn_2_113381.3, Lsat_1_v5_gn_2_113361.3, Lsat_1_v5_gn_2_113341.3, Lsat_1_v5_gn_2_113341.1
OG0000018	Dm_00020011-RA	Lsat_1_v5_gn_3_111780.1
OG0000018	Dm_00012812-RA	Lsat_1_v5_gn_9_8761.2, Lsat_1_v5_gn_9_8761.1, Lsat_1_v5_gn_9_8761.3
OG0000021	Dm_00010344-RA	Lsat_1_v5_gn_8_141940.1
OG0000021	Dm_00010968-RA, Dm_00020262-RA, Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA, Dm_00010156-RA	Lsat_1_v5_gn_7_7821.2, Lsat_1_v5_gn_4_37601.2, Lsat_1_v5_gn_4_37601.1, Lsat_1_v5_gn_7_7921.1, Lsat_1_v5_gn_7_7781.1, Lsat_1_v5_gn_7_7681.1, Lsat_1_v5_gn_7_7761.1, Lsat_1_v5_gn_7_7761.2, Lsat_1_v5_gn_7_65320.1, Lsat_1_v5_gn_8_157801.1
OG0000022	Dm_00009918-RA	Lsat_1_v5_gn_3_115260.1, Lsat_1_v5_gn_3_115260.3
OG0000024	Dm_00008089-RA, Dm_00016700-RA, Dm_00004789-RA, Dm_00009149-RA, Dm_00014846-RA, Dm_00017809-RA	Lsat_1_v5_gn_3_36420.1, Lsat_1_v5_gn_3_36380.1, Lsat_1_v5_gn_3_36440.1, Lsat_1_v5_gn_3_36440.2, Lsat_1_v5_gn_3_36460.1, Lsat_1_v5_gn_3_36500.1, Lsat_1_v5_gn_3_36500.2, Lsat_1_v5_gn_8_141000.1, Lsat_1_v5_gn_8_32121.1, Lsat_1_v5_gn_8_32181.3, Lsat_1_v5_gn_8_32181.1, Lsat_1_v5_gn_8_32281.1, Lsat_1_v5_gn_8_32281.2, Lsat_1_v5_gn_8_32181.4, Lsat_1_v5_gn_8_32181.2, Lsat_1_v5_gn_8_30980.1, Lsat_1_v5_gn_8_31000.1, Lsat_1_v5_gn_8_31061.1, Lsat_1_v5_gn_8_31081.1, Lsat_1_v5_gn_4_27761.1, Lsat_1_v5_gn_4_27761.2
