"","target_id","AT_gene_id","annotation"
"1","Dm_00016891-RA","AT3G12620.2","| Symbols: PP2C.D3 | D-CLADE TYPE 2C PROTEIN PHOSPHATASE 3 | chr3:4009510-4010993 REVERSE LENGTH=385"
"2","Dm_00005898-RA","AT3G62260.1","| Symbols: PP2C49 | Type 2C protein phosphatase 49 | chr3:23038516-23040391 REVERSE LENGTH=383"
"3","Dm_00001846-RA","AT5G50400.2","| Symbols: PAP27, ATPAP27 | ARABIDOPSIS THALIANA PURPLE ACID PHOSPHATASE 27, purple acid phosphatase 27 | chr5:20523575-20525915 REVERSE LENGTH=539"
"4","Dm_00010742-RA","AT1G23870.1","| Symbols: TPS9, ATTPS9 | trehalose-phosphatase/synthase 9, TREHALOSE -6-PHOSPHATASE SYNTHASE S9 | chr1:8432695-8435506 FORWARD LENGTH=867"
