target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	812.545	17	4.84863
Dm_00008772-RA	1272	1067.54	37	8.03218
Dm_00008770-RA	1722	1517.54	85	12.9806
Dm_00008771-RA	636	431.981	21	11.2661
Dm_00008682-RA	906	701.618	132	43.6005
Dm_00008591-RA	1308	1103.54	96	20.1604
Dm_00008592-RA	2436	2231.54	222	23.055
Dm_00008593-RA	759	554.736	658	274.889
Dm_00008594-RA	969	764.545	375	113.67
Dm_00010209-RA	468	265.575	0	0
Dm_00010051-RA	693	488.842	6	2.84446
Dm_00009727-RA	234	57.3135	0	0
Dm_00009728-RA	1161	956.545	0	0
Dm_00009413-RA	1368	1163.54	69	13.7431
Dm_00009412-RA	2105	1900.54	1069	130.352
Dm_00009411-RA	2682	2477.54	64	5.98654
Dm_00009410-RA	432	230.588	1	1.00504
Dm_00009021-RA	1668	1463.54	147	23.2771
Dm_00009020-RA	414	213.3	3	3.25948
Dm_00009748-RA	1554	1349.54	141	24.2131
Dm_00009749-RA	1092	887.545	308	80.4226
Dm_00009750-RA	941	736.545	85	26.7447
Dm_00010290-RA	1116	911.545	38	9.66103
Dm_00010291-RA	969	764.545	69	20.9153
Dm_00007855-RA	945	740.545	184	57.5817
Dm_00007856-RA	786	581.736	81	32.2684
Dm_00007858-RA	2466	2261.54	364	37.3004
Dm_00007859-RA	2304	2099.54	191	21.0827
Dm_00007857-RA	873	668.618	45	15.5974
Dm_00009353-RA	471	268.441	22	18.9929
Dm_00009317-RA	312	119.354	102	198.053
Dm_00010173-RA	1548	1343.54	178	30.7033
Dm_00010171-RA	228	52.986	9	39.364
Dm_00010172-RA	258	75.1259	2	6.16962
Dm_00009367-RA	1566	1361.54	244	41.5313
Dm_00009368-RA	171	16.3292	27	383.192
Dm_00009369-RA	984	779.545	68	20.2155
Dm_00009983-RA	1065	860.545	29	7.80984
Dm_00009982-RA	975	770.545	11	3.30836
Dm_00009984-RA	537	333.623	0	0
Dm_00009718-RA	1158	953.545	740	179.849
Dm_00009717-RA	753	548.736	70	29.5633
Dm_00009950-RA	1842	1637.54	2	0.283044
Dm_00009953-RA	1437	1232.54	107	20.1186
Dm_00009948-RA	1638	1433.54	168	27.1591
Dm_00009949-RA	879	674.618	45	15.4587
Dm_00009951-RA	729	524.79	0	0
Dm_00009952-RA	444	242.136	0	0
Dm_00009009-RA	738	533.79	1.00443	0.436079
Dm_00009010-RA	303	111.475	0	0
Dm_00009007-RA	891	686.618	0	0
Dm_00009008-RA	1164	959.545	35	8.45319
Dm_00009011-RA	3048	2843.54	1.00076	0.0815621
Dm_00009012-RA	684	479.842	1	0.482969
Dm_00010080-RA	1113	908.545	3	0.765231
Dm_00010081-RA	354	156.503	106	156.964
Dm_00010084-RA	1518	1313.54	182	32.1103
Dm_00010083-RA	1140	935.545	74	18.3309
Dm_00010082-RA	375	176.09	24	31.586
Dm_00010098-RA	1200	995.545	0	0
Dm_00010096-RA	390	190.413	0	0
Dm_00010097-RA	666	461.936	48	24.0811
Dm_00008796-RA	414	213.3	0	0
Dm_00010370-RA	1886	1681.54	216	29.7689
Dm_00010369-RA	192	28.7519	0	0
Dm_00009774-RA	1998	1793.54	168	21.7077
Dm_00009775-RA	354	156.503	43	63.6741
Dm_00010288-RA	1401	1196.54	112	21.6924
Dm_00009493-RA	963	758.545	98	29.9407
Dm_00009494-RA	984	779.545	75	22.2966
Dm_00009495-RA	714	509.842	0	0
Dm_00006316-RA	993	788.545	3	0.881683
Dm_00008938-RA	897	692.618	83	27.7717
Dm_00008942-RA	1680	1475.54	198	31.0979
Dm_00008940-RA	834	629.618	52	19.1401
Dm_00008939-RA	651	446.936	40	20.7411
Dm_00008941-RA	531	327.656	47	33.2428
Dm_00010031-RA	3168	2963.54	324	25.3368
Dm_00009533-RA	1185	980.545	43	10.1629
Dm_00009536-RA	1041	836.545	147.49	40.8593
Dm_00009535-RA	792	587.678	794	313.112
Dm_00009534-RA	1146	941.545	874	215.124
Dm_00009696-RA	606	401.981	0	0
Dm_00009720-RA	456	253.836	2	1.82597
Dm_00009719-RA	795	590.678	0	0
Dm_00009254-RA	1287	1082.54	23	4.92379
Dm_00009255-RA	4353	4148.54	22	1.22898
Dm_00009256-RA	834	629.618	173	63.6776
Dm_00009072-RA	282	93.8414	0	0
Dm_00009813-RA	6525	6320.54	328	12.0264
Dm_00009814-RA	2781	2576.54	57	5.1269
Dm_00009915-RA	564	360.245	0	0
Dm_00009914-RA	258	75.1259	0	0
Dm_00009695-RA	2650	2445.54	314	29.7558
Dm_00009694-RA	624	419.981	73	40.282
Dm_00009693-RA	861	656.618	57	20.1178
Dm_00008273-RA	1188	983.545	12	2.82751
Dm_00008274-RA	912	707.618	31	10.1527
Dm_00008656-RA	612	407.981	0	0
Dm_00009771-RA	1848	1643.54	36	5.0762
Dm_00010784-RA	594	390.059	0	0
Dm_00010112-RA	711	506.842	401	183.354
Dm_00010111-RA	402	201.739	78	89.6029
Dm_00009955-RA	255	72.704	14	44.6259
Dm_00009954-RA	1899	1694.54	151	20.651
Dm_00010107-RA	1728	1523.54	146.286	22.2518
Dm_00010108-RA	582	378.097	2	1.22587
Dm_00010391-RA	2043	1838.54	787.99	99.3263
Dm_00010390-RA	711	506.842	0	0
Dm_00008774-RA	1182	977.545	144	34.1384
Dm_00008773-RA	2106	1901.54	159	19.378
Dm_00009260-RA	264	79.6757	1017	2958.1
Dm_00009262-RA	1596	1391.54	439	73.1114
Dm_00009259-RA	873	668.618	4	1.38644
Dm_00009261-RA	858	653.618	98	34.7472
Dm_00010532-RA	2697	2492.54	53	4.92777
Dm_00008895-RA	687	482.842	280	134.391
Dm_00010337-RA	1866	1661.54	513	71.5522
Dm_00010336-RA	1530	1325.54	190	33.2183
Dm_00010339-RA	1194	989.545	14	3.27876
Dm_00010335-RA	630	425.981	67	36.4504
Dm_00010338-RA	594	390.059	104	61.7903
Dm_00008749-RA	558	354.316	212	138.664
Dm_00008748-RA	213	42.1735	24.0693	132.264
Dm_00008876-RA	1122	917.545	85	21.4689
Dm_00008877-RA	1599	1394.54	0	0
Dm_00008875-RA	630	425.981	0	0
Dm_00009056-RA	951	746.545	0	0
Dm_00010140-RA	3342	3137.54	6	0.443179
Dm_00009531-RA	459	256.759	0	0
Dm_00009530-RA	525	321.688	0	0
Dm_00009739-RA	1890	1685.54	69	9.48695
Dm_00009740-RA	1218	1013.54	28	6.40225
Dm_00009741-RA	2091	1886.54	111	13.6356
Dm_00010362-RA	240	61.5709	90	338.754
Dm_00010363-RA	1167	962.545	0	0
Dm_00010361-RA	534	330.623	0	0
Dm_00009129-RA	2028	1823.54	148	18.8089
Dm_00009128-RA	915	710.618	44	14.3494
Dm_00009306-RA	1404	1199.54	5	0.965987
