Orthogroup	D_muscipula.proteins	S_lycopersicum.proteins
OG0000011	Dm_00003465-RA	Solyc04g071680.2.1, Solyc04g074020.2.1, Solyc04g074050.3.1, Solyc04g074030.3.1, Solyc04g074000.3.1
OG0000011	Dm_00013516-RA	Solyc09g072810.3.1
OG0000015	Dm_00007752-RA	Solyc02g030383.1.1, Solyc02g030300.3.1, Solyc02g030380.2.1
OG0000015	Dm_00009736-RA	Solyc02g079590.3.1, Solyc03g006770.3.1
OG0000018	Dm_00020011-RA	Solyc09g089770.3.1
OG0000021	Dm_00010344-RA	Solyc02g090265.1.1
OG0000021	Dm_00010968-RA, Dm_00020262-RA, Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA, Dm_00010156-RA	Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1
OG0000022	Dm_00009918-RA	Solyc04g011700.2.1
OG0000023	Dm_00007864-RA, Dm_00007863-RA	Solyc12g088250.2.1, Solyc04g077670.3.1, Solyc04g079070.3.1, Solyc04g079047.1.1, Solyc04g079060.3.1, Solyc04g079040.3.1, Solyc12g088280.2.1, Solyc12g019570.2.1, Solyc04g077640.3.1, Solyc04g077630.3.1, Solyc04g077650.3.1, Solyc05g050770.3.1, Solyc05g050780.3.1
OG0000024	Dm_00008089-RA, Dm_00016700-RA, Dm_00004789-RA, Dm_00009149-RA, Dm_00014846-RA, Dm_00017809-RA	Solyc10g007890.3.1, Solyc10g051020.2.1, Solyc10g007880.3.1, Solyc07g006145.1.1, Solyc07g062520.3.1, Solyc07g062510.2.1, Solyc06g084760.2.1, Solyc07g062500.3.1, Solyc07g055350.3.1, Solyc07g055560.3.1, Solyc07g055550.2.1, Solyc07g055440.2.1, Solyc07g055450.2.1, Solyc07g055362.1.1, Solyc07g055460.3.1, Solyc07g055530.3.1, Solyc07g055480.2.1, Solyc07g055470.3.1, Solyc07g055540.3.1, Solyc07g055490.3.1
OG0000026	Dm_00006967-RA	Solyc06g060013.1.1
OG0000027	Dm_00002324-RA, Dm_00004939-RA	Solyc00g257110.3.1, Solyc03g113405.1.1
OG0000027	Dm_00000274-RA	Solyc12g010360.2.1
OG0000028	Dm_00006805-RA, Dm_00008234-RA, Dm_00012131-RA, Dm_00020576-RA, Dm_00006032-RA, Dm_00006033-RA, Dm_00006031-RA	Solyc10g051253.1.1
OG0000032	Dm_00020696-RA	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1
OG0000034	Dm_00019600-RA, Dm_00017791-RA, Dm_00013221-RA, Dm_00008931-RA, Dm_00011829-RA	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1
OG0000038	Dm_00004693-RA	Solyc06g076160.3.1
OG0000038	Dm_00018034-RA	Solyc09g014900.3.1
OG0000038	Dm_00019675-RA, Dm_00001701-RA, Dm_00001700-RA	Solyc03g111880.3.1, Solyc03g111950.3.1, Solyc03g111930.3.1, Solyc03g111920.2.1, Solyc03g111935.1.1, Solyc03g111990.3.1, Solyc03g111973.1.1, Solyc03g026377.1.1, Solyc03g112010.3.1, Solyc03g111887.1.1, Solyc03g112040.1.1, Solyc03g112030.2.1
OG0000040	Dm_00008090-RA, Dm_00014922-RA	Solyc01g008570.1.1, Solyc01g008500.3.1, Solyc11g007420.1.1, Solyc11g007400.1.1, Solyc02g081510.2.1, Solyc02g081470.3.1, Solyc02g079600.3.1
OG0000041	Dm_00005610-RA, Dm_00016090-RA	Solyc10g055410.2.1, Solyc01g111500.3.1
OG0000041	Dm_00004417-RA	Solyc05g008235.1.1, Solyc05g008250.2.1
OG0000041	Dm_00009275-RA, Dm_00004200-RA	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1
OG0000041	Dm_00012002-RA	Solyc12g049300.2.1
OG0000041	Dm_00009990-RA	Solyc06g065100.3.1
OG0000042	Dm_00012006-RA	Solyc03g096640.3.1, Solyc06g083470.3.1, Solyc06g083480.3.1, Solyc06g083490.3.1, Solyc03g096660.2.1
OG0000042	Dm_00000170-RA, Dm_00003840-RA, Dm_00003839-RA	Solyc10g086620.2.1, Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1
OG0000044	Dm_00020841-RA	Solyc02g085580.3.1, Solyc02g062940.3.1
OG0000044	Dm_00020338-RA	Solyc01g007890.2.1
OG0000044	Dm_00010828-RA, Dm_00013428-RA, Dm_00006961-RA	Solyc11g069240.2.1, Solyc06g075250.3.1, Solyc10g084180.2.1, Solyc09g007550.3.1
OG0000044	Dm_00009532-RA, Dm_00014819-RA	Solyc03g121660.3.1, Solyc06g062670.3.1
OG0000044	Dm_00016520-RA	Solyc09g065670.3.1
OG0000046	Dm_00007088-RA, Dm_00001752-RA	Solyc11g044460.2.1, Solyc01g109530.3.1, Solyc10g051330.2.1
OG0000046	Dm_00006378-RA, Dm_00013509-RA	Solyc12g007110.2.1
OG0000046	Dm_00003891-RA, Dm_00011430-RA	Solyc05g010140.3.1, Solyc01g010030.3.1
OG0000046	Dm_00014024-RA, Dm_00012683-RA	Solyc02g089760.3.1
OG0000046	Dm_00007080-RA	Solyc02g089750.4.1
OG0000047	Dm_00007969-RA, Dm_00020823-RA	Solyc04g078300.3.1
OG0000047	Dm_00004056-RA	Solyc04g025050.1.1
OG0000047	Dm_00018046-RA	Solyc12g088080.1.1
OG0000047	Dm_00010754-RA	Solyc00g179240.2.1, Solyc10g017640.1.1, Solyc06g035560.2.1
OG0000048	Dm_00000024-RA	Solyc01g081600.3.1
OG0000050	Dm_00010232-RA, Dm_00016824-RA, Dm_00012378-RA, Dm_00019415-RA, Dm_00019277-RA, Dm_00006632-RA, Dm_00006455-RA, Dm_00005078-RA, Dm_00016957-RA, Dm_00019666-RA, Dm_00016981-RA, Dm_00007900-RA, Dm_00021021-RA, Dm_00007273-RA, Dm_00012803-RA, Dm_00020847-RA, Dm_00021088-RA, Dm_00017831-RA	Solyc04g015475.1.1
OG0000050	Dm_00010704-RA, Dm_00017829-RA	Solyc02g065260.3.1
OG0000051	Dm_00016762-RA, Dm_00014170-RA, Dm_00018202-RA, Dm_00007687-RA, Dm_00005613-RA, Dm_00019029-RA, Dm_00011734-RA, Dm_00016407-RA, Dm_00020926-RA, Dm_00012246-RA, Dm_00013138-RA, Dm_00017035-RA, Dm_00002397-RA, Dm_00017030-RA, Dm_00012248-RA, Dm_00016219-RA, Dm_00000875-RA, Dm_00005213-RA, Dm_00000437-RA, Dm_00008487-RA, Dm_00002944-RA	Solyc00g304030.2.1, Solyc05g021247.1.1
OG0000052	Dm_00014948-RA, Dm_00010000-RA, Dm_00012651-RA, Dm_00017265-RA, Dm_00005710-RA, Dm_00013783-RA	Solyc00g012690.1.1
OG0000052	Dm_00007473-RA, Dm_00013264-RA, Dm_00005457-RA, Dm_00020818-RA, Dm_00011954-RA, Dm_00016444-RA, Dm_00004406-RA, Dm_00015652-RA, Dm_00007474-RA, Dm_00006699-RA, Dm_00014913-RA	Solyc00g012700.2.1
OG0000055	Dm_00019791-RA	Solyc05g024290.3.1
OG0000055	Dm_00013087-RA, Dm_00006640-RA	Solyc01g067400.3.1
OG0000055	Dm_00000927-RA	Solyc09g061330.2.1, Solyc06g083500.3.1
OG0000055	Dm_00000848-RA	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1
OG0000055	Dm_00006448-RA, Dm_00014246-RA	Solyc10g005300.3.1
OG0000055	Dm_00011186-RA	Solyc10g085990.2.1, Solyc11g072660.2.1, Solyc06g075550.3.1
OG0000058	Dm_00001789-RA, Dm_00000773-RA	Solyc09g009750.2.1
OG0000059	Dm_00007673-RA	Solyc02g068660.2.1
OG0000060	Dm_00008660-RA	Solyc10g150000.2.1
OG0000060	Dm_00010462-RA	Solyc12g027540.2.1
OG0000063	Dm_00017284-RA, Dm_00001327-RA	Solyc07g055190.3.1, Solyc03g025380.3.1
OG0000063	Dm_00000040-RA	Solyc05g050870.3.1, Solyc09g018590.1.1
OG0000063	Dm_00016579-RA, Dm_00009436-RA, Dm_00020250-RA	Solyc09g018600.1.1
OG0000065	Dm_00018921-RA	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1
