Orthogroup	D_spatulata.proteins	Other
OG0000011	Ds_00014454-RA, Ds_00015367-RA	Bevul.7G111600.1.p
OG0000024	Ds_00004822-RA, Ds_00007355-RA, Ds_00014543-RA, Ds_00017860-RA	AH018793-RA
OG0000024	Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA	FUN_011699-T1
OG0000027	Ds_00016246-RA, Ds_00016163-RA, Ds_00002306-RA, Ds_00000646-RA, Ds_00007953-RA, Ds_00009832-RA, Ds_00007193-RA	FUN_008000-T1
OG0000027	Ds_00002306-RA	AH022296-RA
OG0000027	Ds_00000646-RA	AH000640-RA
OG0000027	Ds_00007953-RA, Ds_00009832-RA	AH014409-RA, AH020964-RA
OG0000027	Ds_00007193-RA	AH014130-RA
OG0000118	Ds_00004923-RA	Lsat_1_v5_gn_7_116161.1
OG0000118	Ds_00004923-RA	Solyc07g066080.3.1
OG0000118	Ds_00004923-RA	VIT_219s0015g01190.1
OG0000118	Ds_00004923-RA	GmISU01.08G243200.1.p
OG0000118	Ds_00004923-RA	AT3G08690.1, AT3G08690.2
OG0000163	Ds_00011543-RA	AH010762-RA
OG0000163	Ds_00011543-RA	FUN_051143-T1
OG0000394	Ds_00012488-RA, Ds_00008392-RA	Solyc01g094890.3.1
OG0000398	Ds_00010974-RA	FUN_036311-T1
OG0000398	Ds_00010974-RA	Bevul.3G203500.1.p
OG0000491	Ds_00009714-RA	Solyc06g072000.2.1, Solyc06g071980.3.1
OG0000532	Ds_00006443-RA	Solyc03g005500.1.1, Solyc09g089910.1.1
OG0000543	Ds_00006591-RA	AT4G09760.1, AT4G09760.2, AT1G71697.1
OG0000692	Ds_00002716-RA	Lsat_1_v5_gn_1_59781.3, Lsat_1_v5_gn_1_59781.1, Lsat_1_v5_gn_6_37381.1, Lsat_1_v5_gn_6_37381.3
OG0000694	Ds_00017420-RA	AH016855-RA
OG0000723	Ds_00017734-RA, Ds_00017733-RA	FUN_040977-T1
OG0000723	Ds_00017734-RA, Ds_00017733-RA	AH011270-RA
OG0001335	Ds_00000973-RA	Av_00001537-RA
OG0001528	Ds_00006092-RA	Lsat_1_v5_gn_7_35921.1, Lsat_1_v5_gn_7_35921.5
OG0001540	Ds_00004929-RA	AT1G55740.1
OG0001900	Ds_00017783-RA	AT5G11130.2, AT5G11130.1
OG0002089	Ds_00000238-RA, Ds_00014388-RA	Lsat_1_v5_gn_5_161741.2, Lsat_1_v5_gn_5_161741.3, Lsat_1_v5_gn_5_161741.1, Lsat_1_v5_gn_5_158561.1, Lsat_1_v5_gn_5_158561.3
OG0002089	Ds_00000238-RA, Ds_00014388-RA	Solyc07g008720.4.1, Solyc09g010330.3.1
OG0002122	Ds_00010868-RA	AT5G09300.2, AT5G09300.1
OG0002184	Ds_00007475-RA	AH016880-RA
OG0002221	Ds_00006924-RA	Solyc01g098190.3.1
OG0002780	Ds_00015543-RA	Av_00022223-RA, Av_00022171-RA
OG0002780	Ds_00015543-RA	Av_00022223-RA, Av_00022171-RA
OG0002780	Ds_00015543-RA	GmISU01.19G157900.8.p, GmISU01.19G157900.7.p, GmISU01.19G157900.4.p, GmISU01.19G157900.3.p, GmISU01.19G157900.6.p, GmISU01.19G157900.5.p, GmISU01.19G157900.2.p, GmISU01.03G155700.5.p, GmISU01.03G155700.6.p, GmISU01.03G155700.4.p, GmISU01.03G155700.2.p, GmISU01.03G155700.1.p, GmISU01.13G126600.1.p, GmISU01.10G064400.1.p
OG0002780	Ds_00015543-RA	Lsat_1_v5_gn_9_20540.1, Lsat_1_v5_gn_8_77040.1, Lsat_1_v5_gn_5_164760.1
OG0002780	Ds_00015543-RA	VIT_215s0021g02070.1, VIT_208s0007g03370.1, VIT_208s0007g03370.2
OG0002780	Ds_00015543-RA	AT3G44450.1, AT3G52740.1
OG0002780	Ds_00015543-RA	Bevul.7G027700.1.p
OG0002780	Ds_00015543-RA	AH021818-RA
OG0002780	Ds_00015543-RA	FUN_039073-T1, FUN_020542-T1
OG0002780	Ds_00015543-RA	Solyc09g009420.1.1
OG0002784	Ds_00013588-RA	Solyc06g030590.2.1
OG0003333	Ds_00008051-RA	Bevul.5G216000.1.p
OG0003333	Ds_00008051-RA	FUN_020747-T1
OG0003333	Ds_00008051-RA	AH006294-RA, AH003444-RA
OG0003333	Ds_00008051-RA	VIT_214s0068g01940.2, VIT_214s0068g01940.1
OG0003543	Ds_00005487-RA	FUN_013948-T1, FUN_022729-T1
OG0003543	Ds_00005487-RA	Bevul.3G074000.1.p
OG0003543	Ds_00005487-RA	AH019546-RA, AH012372-RA
OG0003543	Ds_00005487-RA	GmISU01.03G149900.1.p, GmISU01.19G153200.1.p, GmISU01.10G060200.3.p
OG0003601	Ds_00010965-RA	Lsat_1_v5_gn_9_41660.3, Lsat_1_v5_gn_9_41660.2, Lsat_1_v5_gn_9_41660.4
OG0003680	Ds_00010677-RA, Ds_00001748-RA, Ds_00014923-RA, Ds_00014922-RA	Solyc07g064040.3.1, Solyc10g006510.3.1
OG0003709	Ds_00015860-RA	AH012070-RA
OG0004133	Ds_00005802-RA	FUN_025910-T1
OG0004571	Ds_00003791-RA, Ds_00013802-RA	FUN_010783-T1, FUN_010783-T2
OG0004571	Ds_00003791-RA, Ds_00013802-RA	AH017960-RA
OG0004813	Ds_00011599-RA	AT2G29630.4
OG0006717	Ds_00017264-RA	AH015296-RA
OG0006918	Ds_00005031-RA	AH011772-RA
OG0007109	Ds_00009942-RA	Solyc10g012260.1.1
OG0008141	Ds_00016599-RA	FUN_009496-T3, FUN_009496-T1
OG0008771	Ds_00009797-RA	Solyc04g079850.2.1
OG0009667	Ds_00011734-RA, Ds_00014136-RA	AH014117-RA
OG0009791	Ds_00014690-RA	FUN_043667-T1
OG0009802	Ds_00004056-RA	AH011377-RA
OG0010164	Ds_00014253-RA	AH023292-RA
