target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	816.351	235	17.3911
Dm_00008772-RA	1272	1071.35	265.569	14.9755
Dm_00008770-RA	1722	1521.35	325	12.9059
Dm_00008771-RA	636	435.536	85	11.7904
Dm_00008682-RA	906	705.351	1411	120.853
Dm_00008591-RA	1308	1107.35	35	1.90949
Dm_00008592-RA	2436	2235.35	720	19.4591
Dm_00008593-RA	759	558.351	4998	540.785
Dm_00008594-RA	969	768.351	1124	88.3776
Dm_00010209-RA	468	268.543	0	0
Dm_00010051-RA	693	492.351	10	1.22705
Dm_00009727-RA	234	57.2313	0	0
Dm_00009728-RA	1161	960.351	1	0.062908
Dm_00009413-RA	1368	1167.35	508	26.2904
Dm_00009412-RA	2105	1904.35	1583	50.2192
Dm_00009411-RA	2682	2481.35	226	5.50245
Dm_00009410-RA	432	232.968	13	3.37119
Dm_00009021-RA	1668	1467.35	331	13.6279
Dm_00009020-RA	414	215.712	17	4.76114
Dm_00009748-RA	1554	1353.35	622	27.7661
Dm_00009749-RA	1092	891.351	595	40.3277
Dm_00009750-RA	941	740.351	327	26.6837
Dm_00010290-RA	1116	915.351	121	7.98607
Dm_00010291-RA	969	768.351	39	3.06648
Dm_00007855-RA	945	744.351	683	55.4343
Dm_00007856-RA	786	585.351	240	24.7703
Dm_00007858-RA	2466	2265.35	1066	28.4287
Dm_00007859-RA	2304	2103.35	570	16.3719
Dm_00007857-RA	873	672.351	34	3.05505
Dm_00009353-RA	471	271.516	43	9.56773
Dm_00009317-RA	312	121.189	119	59.3227
Dm_00010173-RA	1548	1347.35	490	21.9711
Dm_00010171-RA	228	52.9087	61	69.6528
Dm_00010172-RA	258	75.8802	10	7.96172
Dm_00009367-RA	1566	1365.35	1144	50.6194
Dm_00009368-RA	171	15.987	117	442.133
Dm_00009369-RA	984	783.351	404	31.1574
Dm_00009983-RA	1065	864.351	34	2.37643
Dm_00009982-RA	975	774.351	9	0.702167
Dm_00009984-RA	537	336.754	0	0
Dm_00009718-RA	1158	957.351	2591	163.505
Dm_00009717-RA	753	552.351	376	41.1252
Dm_00009950-RA	1842	1641.35	32	1.17783
Dm_00009953-RA	1437	1236.35	323	15.7832
Dm_00009948-RA	1638	1437.35	949	39.8877
Dm_00009949-RA	879	678.351	329	29.3006
Dm_00009951-RA	729	528.351	0	0
Dm_00009952-RA	444	244.801	0	0
Dm_00009009-RA	738	537.351	0	0
Dm_00009010-RA	303	113.354	1.00684	0.536611
Dm_00009007-RA	891	690.351	0	0
Dm_00009008-RA	1164	963.351	42	2.63391
Dm_00009011-RA	3048	2847.35	34.0302	0.722036
Dm_00009012-RA	684	483.351	0	0
Dm_00010080-RA	1113	912.351	16	1.05948
Dm_00010081-RA	354	158.829	526	200.074
Dm_00010084-RA	1518	1317.35	429	19.6739
Dm_00010083-RA	1140	939.351	251	16.1429
Dm_00010082-RA	375	178.319	123	41.6718
Dm_00010098-RA	1200	999.351	0	0
Dm_00010096-RA	390	192.685	0	0
Dm_00010097-RA	666	465.446	137	17.7823
Dm_00008796-RA	414	215.712	0	0
Dm_00010370-RA	1886	1685.35	783	28.0677
Dm_00010369-RA	192	28.4957	0	0
Dm_00009774-RA	1998	1797.35	622	20.9071
Dm_00009775-RA	354	158.829	179	68.0861
Dm_00010288-RA	1401	1200.35	421	21.189
Dm_00009493-RA	963	762.351	539	42.7139
Dm_00009494-RA	984	783.351	229	17.661
Dm_00009495-RA	714	513.351	1	0.117685
Dm_00006316-RA	993	792.351	15	1.14369
Dm_00008938-RA	897	696.351	239	20.7351
Dm_00008942-RA	1680	1479.35	689	28.1374
Dm_00008940-RA	834	633.351	128	12.2096
Dm_00008939-RA	651	450.492	131	17.5679
Dm_00008941-RA	531	330.787	111	20.2726
Dm_00010031-RA	3168	2967.35	883	17.9774
Dm_00009533-RA	1185	984.351	376	23.0767
Dm_00009536-RA	1041	840.351	299.302	21.5171
Dm_00009535-RA	792	591.351	2175	222.203
Dm_00009534-RA	1146	945.351	2113	135.034
Dm_00009696-RA	606	405.579	0	0
Dm_00009720-RA	456	256.751	0	0
Dm_00009719-RA	795	594.351	0	0
Dm_00009254-RA	1287	1086.35	100	5.56116
Dm_00009255-RA	4353	4152.35	141	2.05145
Dm_00009256-RA	834	633.351	642	61.2387
Dm_00009072-RA	282	95.1573	0	0
Dm_00009813-RA	6525	6324.35	764	7.29815
Dm_00009814-RA	2781	2580.35	162	3.7929
Dm_00009915-RA	564	363.617	0	0
Dm_00009914-RA	258	75.8802	0	0
Dm_00009695-RA	2650	2449.35	1349	33.2733
Dm_00009694-RA	624	423.579	271	38.6519
Dm_00009693-RA	861	660.351	255	23.3293
Dm_00008273-RA	1188	987.351	17	1.04019
Dm_00008274-RA	912	711.351	257	21.8265
Dm_00008656-RA	612	411.579	0	0
Dm_00009771-RA	1848	1647.35	63	2.31042
Dm_00010784-RA	594	393.579	0	0
Dm_00010112-RA	711	510.351	1692	200.294
Dm_00010111-RA	402	204.263	265	78.3776
Dm_00009955-RA	255	73.5475	44	36.1427
Dm_00009954-RA	1899	1698.35	298	10.6005
Dm_00010107-RA	1728	1527.35	706	27.9255
Dm_00010108-RA	582	381.617	1	0.15831
Dm_00010391-RA	2043	1842.35	2389.3	78.349
Dm_00010390-RA	711	510.351	0	0
Dm_00008774-RA	1182	981.351	464	28.5647
Dm_00008773-RA	2106	1905.35	638	20.2293
Dm_00009260-RA	264	80.5468	2614	1960.62
Dm_00009262-RA	1596	1395.35	1745	75.5523
Dm_00009259-RA	873	672.351	119.597	10.7464
Dm_00009261-RA	858	657.351	553	50.8234
Dm_00010532-RA	2697	2496.35	296	7.16344
Dm_00008895-RA	687	486.351	1106	137.386
Dm_00010337-RA	1866	1665.35	3409	123.668
Dm_00010336-RA	1530	1329.35	786	35.7206
Dm_00010339-RA	1194	993.351	94	5.7169
Dm_00010335-RA	630	429.536	621	87.3428
Dm_00010338-RA	594	393.579	438	67.2323
Dm_00008749-RA	558	357.617	509	85.9874
Dm_00008748-RA	213	42.3503	9	12.8387
Dm_00008876-RA	1122	921.351	341	22.3596
Dm_00008877-RA	1599	1398.35	0	0
Dm_00008875-RA	630	429.536	0	0
Dm_00009056-RA	951	750.351	0	0
Dm_00010140-RA	3342	3141.35	47	0.903893
Dm_00009531-RA	459	259.622	0	0
Dm_00009530-RA	525	324.852	0	0
Dm_00009739-RA	1890	1689.35	325	11.6225
Dm_00009740-RA	1218	1017.35	127	7.54169
Dm_00009741-RA	2091	1890.35	480	15.3403
Dm_00010362-RA	240	62.0914	600	583.788
Dm_00010363-RA	1167	966.351	0	0
