Orthogroup	D_spatulata.proteins	P_amilis.proteins
OG0000008	Ds_00005008-RA	FUN_051593-T1, FUN_043089-T1
OG0000008	Ds_00004058-RA, Ds_00005252-RA, Ds_00011612-RA, Ds_00001046-RA, Ds_00004374-RA, Ds_00004371-RA, Ds_00009680-RA, Ds_00006455-RA	FUN_036142-T1, FUN_047416-T1, FUN_043120-T1, FUN_043122-T1, FUN_047419-T1, FUN_014318-T1, FUN_049774-T1, FUN_030291-T1, FUN_043115-T1, FUN_043123-T1, FUN_043367-T1, FUN_043831-T1, FUN_043884-T1, FUN_001224-T1, FUN_043364-T1, FUN_043368-T1, FUN_034449-T1, FUN_001227-T1, FUN_034381-T1, FUN_043087-T1, FUN_026496-T1, FUN_026487-T1
OG0000011	Ds_00013568-RA	FUN_045628-T1
OG0000011	Ds_00014454-RA, Ds_00015367-RA	FUN_018895-T1, FUN_018893-T1, FUN_018889-T1, FUN_018888-T1, FUN_024842-T1, FUN_024845-T1, FUN_024844-T1, FUN_024840-T1
OG0000016	Ds_00000802-RA, Ds_00013779-RA, Ds_00012502-RA, Ds_00011161-RA, Ds_00004889-RA, Ds_00009386-RA, Ds_00009382-RA, Ds_00014480-RA	FUN_005881-T2, FUN_005881-T1, FUN_043248-T1, FUN_012840-T1, FUN_037845-T1, FUN_020623-T1
OG0000018	Ds_00003181-RA	FUN_012656-T1, FUN_019095-T1, FUN_015179-T1, FUN_015183-T1, FUN_015176-T2, FUN_015177-T2, FUN_015177-T1, FUN_015185-T1, FUN_015185-T2, FUN_015184-T1, FUN_011156-T2, FUN_011156-T1, FUN_042066-T1
OG0000018	Ds_00006689-RA	FUN_011477-T1, FUN_011476-T1, FUN_011478-T1, FUN_048627-T1, FUN_048629-T1, FUN_047268-T1, FUN_047265-T1, FUN_046104-T1, FUN_046104-T2, FUN_051744-T1, FUN_012787-T1
OG0000018	Ds_00015426-RA	FUN_051184-T1
OG0000020	Ds_00009233-RA, Ds_00013241-RA, Ds_00010462-RA	FUN_027597-T1
OG0000021	Ds_00009889-RA	FUN_040662-T1, FUN_040655-T1, FUN_040656-T1, FUN_040664-T1, FUN_018676-T1, FUN_018672-T1, FUN_018656-T1, FUN_018681-T1, FUN_018680-T1, FUN_018678-T1, FUN_018682-T1
OG0000021	Ds_00002132-RA	FUN_040665-T1
OG0000021	Ds_00010245-RA	FUN_018674-T1, FUN_018644-T1
