"gene_ID","AT_gene_id","annotation"
"Dm_00014026-RA","AT5G55090.1","| Symbols: MAPKKK15 | mitogen-activated protein kinase kinase kinase 15 | chr5:22356852-22358198 REVERSE LENGTH=448"
"Dm_00014027-RA","AT1G10240.2","| Symbols: FRS11 | FAR1-related sequence 11 | chr1:3356835-3359271 REVERSE LENGTH=680"
"Dm_00013277-RA","AT5G14550.2","| Symbols: no symbol available | no full name available | chr5:4691633-4693732 REVERSE LENGTH=346"
"Dm_00013276-RA","AT5G14550.4","| Symbols: no symbol available | no full name available | chr5:4691434-4693732 REVERSE LENGTH=347"
"Dm_00012315-RA","AT2G31320.1","| Symbols: PARP1 | POLY(ADP-RIBOSE) POLYMERASE 1 | chr2:13354046-13359578 REVERSE LENGTH=983"
"Dm_00014749-RA","AT1G14610.1","| Symbols: VALRS, TWN2 | TWIN 2, VALYL TRNA SYNTHETASE | chr1:5008502-5014486 REVERSE LENGTH=1108"
"Dm_00006529-RA","AT4G27430.2","| Symbols: CIP7 | COP1-interacting protein 7 | chr4:13718817-13722736 FORWARD LENGTH=1058"
"Dm_00006668-RA","AT3G58520.1","| Symbols: no symbol available | no full name available | chr3:21643921-21645277 REVERSE LENGTH=418"
"Dm_00006798-RA","AT3G03710.1","| Symbols: PNP, RIF10, PDE326 | PIGMENT DEFECTIVE 326, POLYNUCLEOTIDE PHOSPHORYLASE, resistant to inhibition with FSM 10 | chr3:919542-924906 FORWARD LENGTH=922"
"Dm_00006071-RA","AT1G69290.1","| Symbols: no symbol available | no full name available | chr1:26047372-26049348 REVERSE LENGTH=658"
"Dm_00004802-RA","AT1G64430.2","| Symbols: no symbol available | no full name available | chr1:23933541-23936336 FORWARD LENGTH=559"
"Dm_00006152-RA","AT5G45130.1","| Symbols: RAB5A, RABF2A, ATRAB-F2A, ATRABF2A, RAB-F2A, RHA1, ATRAB5A | ARABIDOPSIS RAB HOMOLOG F2A, RAB homolog 1, RAB HOMOLOG F2A | chr5:18244495-18246060 FORWARD LENGTH=200"
"Dm_00006390-RA","AT1G06410.3","| Symbols: ATTPSA, TPS7, ATTPS7 | TREHALOSE -6-PHOSPHATASE SYNTHASE S7, trehalose-phosphatase/synthase 7 | chr1:1955413-1958153 FORWARD LENGTH=851"
"Dm_00005667-RA","AT1G32200.2","| Symbols: ACT1, ATS1 | ACYLTRANSFERASE 1 | chr1:11602223-11605001 REVERSE LENGTH=459"
"Dm_00006917-RA","AT1G67180.7","| Symbols: STUbL2 | SUMO-targeted ubiquitin E3 ligase 2 | chr1:25130438-25132169 FORWARD LENGTH=371"
"Dm_00006914-RA","AT3G07180.1","| Symbols: no symbol available | no full name available | chr3:2282455-2285475 REVERSE LENGTH=599"
"Dm_00006840-RA","AT1G78170.1","| Symbols: no symbol available | no full name available | chr1:29414160-29414941 FORWARD LENGTH=221"
"Dm_00006579-RA","AT4G28450.1","| Symbols: no symbol available | no full name available | chr4:14061724-14064582 REVERSE LENGTH=452"
"Dm_00006692-RA","AT1G30520.2","| Symbols: AAE14 | acyl-activating enzyme 14 | chr1:10811039-10813546 FORWARD LENGTH=560"
"Dm_00004894-RA","AT5G37360.1","| Symbols: no symbol available | no full name available | chr5:14805437-14808113 REVERSE LENGTH=309"
"Dm_00006523-RA","AT3G62470.1","| Symbols: no symbol available | no full name available | chr3:23106600-23108399 REVERSE LENGTH=599"
"Dm_00006569-RA","AT4G18810.1","| Symbols: no symbol available | no full name available | chr4:10322622-10325735 REVERSE LENGTH=596"
"Dm_00006568-RA","AT4G18810.1","| Symbols: no symbol available | no full name available | chr4:10322622-10325735 REVERSE LENGTH=596"
"Dm_00006305-RA","AT3G27550.3","| Symbols: CFM9 |  | chr3:10208010-10209899 REVERSE LENGTH=491"
"Dm_00020933-RA","AT2G02160.1","| Symbols: AtC3H17, C3H17 |  | chr2:553407-555899 REVERSE LENGTH=669"
"Dm_00021055-RA","AT4G13700.1","| Symbols: ATPAP23, PAP23 | purple acid phosphatase 23 | chr4:7957072-7958919 REVERSE LENGTH=458"
"Dm_00009451-RA","AT3G60190.1","| Symbols: ADLP2, DRP1E, EDR3, DL1E, ADL1E, ADL4 | DYNAMIN-RELATED PROTEIN 1E, ARABIDOPSIS DYNAMIN-LIKE 4, DYNAMIN-like 1E, ENHANCED DISEASE RESISTANCE 3, DYNAMIN-LIKE PROTEIN 2 | chr3:22244367-22247651 REVERSE LENGTH=624"
"Dm_00011819-RA","AT2G19710.1","| Symbols: ISTL5 | IST1-LIKE 5 | chr2:8506339-8509817 FORWARD LENGTH=937"
"Dm_00009066-RA","AT1G60010.1","| Symbols: no symbol available | no full name available | chr1:22095660-22096434 REVERSE LENGTH=173"
"Dm_00011029-RA","AT2G46915.1","| Symbols: no symbol available | no full name available | chr2:19274018-19277707 REVERSE LENGTH=708"
"Dm_00011706-RA","AT5G13260.1","| Symbols: no symbol available | no full name available | chr5:4243164-4246677 FORWARD LENGTH=537"
"Dm_00011073-RA","AT3G42170.1","| Symbols: DAYSLEEPER | DAYSLEEPER | chr3:14321838-14323928 FORWARD LENGTH=696"
"Dm_00009907-RA","AT2G47900.2","| Symbols: AtTLP3, TLP3 | tubby like protein 3 | chr2:19611196-19612766 REVERSE LENGTH=406"
"Dm_00009380-RA","AT3G23200.1","| Symbols: CASPL5B3 | CASP-like protein 5B3 | chr3:8281659-8282603 FORWARD LENGTH=152"
"Dm_00012061-RA","AT1G77030.1","| Symbols: RH29 | DEAD-box RNA helicase 29 | chr1:28947887-28951526 REVERSE LENGTH=845"
"Dm_00011359-RA","AT5G04740.1","| Symbols: ACR12 | ACT domain repeats 12 | chr5:1368713-1371391 REVERSE LENGTH=301"
"Dm_00011931-RA","AT5G40740.1","| Symbols: GEM3, AUG6 | augmin subunit 6, GEMINI POLLEN 3 | chr5:16302229-16306371 REVERSE LENGTH=741"
"Dm_00009490-RA","AT2G40400.3","| Symbols: BPG3, RER5 | RETICULATA-RELATED 5, Brz-insensitive-pale green 3 | chr2:16869363-16872005 FORWARD LENGTH=651"
"Dm_00010504-RA","AT5G23150.2","| Symbols: ART1, HUA2 | AERIAL ROSETTE 1, ENHANCER OF AG-4 2 | chr5:7786173-7791648 FORWARD LENGTH=1339"
"Dm_00012071-RA","AT1G70230.1","| Symbols: AXY4, TBL27 | TRICHOME BIREFRINGENCE-LIKE 27, ALTERED XYLOGLUCAN 4 | chr1:26450389-26451724 FORWARD LENGTH=416"
"Dm_00011466-RA","AT1G10760.3","| Symbols: GWD, GWD1, SOP1, SOP, SEX1 | STARCH EXCESS 1 | chr1:3581210-3590043 REVERSE LENGTH=1399"
"Dm_00009116-RA","AT3G53540.1","| Symbols: TRM19 | TON1 Recruiting Motif 19 | chr3:19846805-19850670 REVERSE LENGTH=924"
"Dm_00012012-RA","AT2G32630.1","| Symbols: no symbol available | no full name available | chr2:13844834-13846708 FORWARD LENGTH=624"
"Dm_00010953-RA","AT3G22104.1","| Symbols: no symbol available | no full name available | chr3:7789814-7792179 FORWARD LENGTH=506"
"Dm_00011945-RA","AT1G70580.4","| Symbols: GGT2, AOAT2 | GLUTAMATE:GLYOXYLATE AMINOTRANSFERASE 2, alanine-2-oxoglutarate aminotransferase 2 | chr1:26613222-26615845 FORWARD LENGTH=481"
"Dm_00010864-RA","AT5G03340.1","| Symbols: AtCDC48C | cell division cycle 48C | chr5:810091-813133 REVERSE LENGTH=810"
"Dm_00010863-RA","AT1G56190.2","| Symbols: PGKp2, cPGK2, PGK2 |  | chr1:21028622-21030454 FORWARD LENGTH=405"
"Dm_00011504-RA","AT5G58040.2","| Symbols: FIPS5, FIP1[V], ATFIPS5, FIP1, ATFIP1[V] | homolog of yeast FIP1 [V] | chr5:23488865-23493753 FORWARD LENGTH=1193"
"Dm_00011031-RA","AT2G45290.2","| Symbols: TKL2 | transketolase 2 | chr2:18672737-18675589 FORWARD LENGTH=741"
"Dm_00012084-RA","AT1G79000.2","| Symbols: PCAT2, ATHAC1, ATHPCAT2, HAC1 | ARABIDOPSIS HISTONE ACETYLTRANSFERASE OF THE CBP FAMILY 1, P300/CBP ACETYLTRANSFERASE-RELATED PROTEIN 2, ARABIDOPSIS THALIANA P300/CBP ACETYLTRANSFERASE-RELATED PROTEIN 2, histone acetyltransferase of the CBP family 1 | chr1:29716639-29723984 REVERSE LENGTH=1741"
"Dm_00011394-RA","AT4G28760.2","| Symbols: TRM20 | TON1 Recruiting Motif 20 | chr4:14208640-14211811 FORWARD LENGTH=924"
"Dm_00011395-RA","AT3G45770.1","| Symbols: no symbol available | no full name available | chr3:16805753-16807774 REVERSE LENGTH=375"
"Dm_00009153-RA","AT3G63140.1","| Symbols: CSP41A | chloroplast stem-loop binding protein of  41 kDa | chr3:23327006-23328620 REVERSE LENGTH=406"
"Dm_00011643-RA","AT1G03100.1","| Symbols: no symbol available | no full name available | chr1:744026-746407 REVERSE LENGTH=793"
"Dm_00010773-RA","AT3G01180.1","| Symbols: AtSS2, SS2 | starch synthase 2 | chr3:62456-65678 REVERSE LENGTH=792"
"Dm_00011684-RA","AT3G15000.1","| Symbols: RIP1, MORF8 | multiple organellar RNA editing factor 8, RNA-editing factor interacting protein 1 | chr3:5050321-5052121 FORWARD LENGTH=395"
"Dm_00011623-RA","AT2G21120.1","| Symbols: ENOR3, AVI2 | enhancer of rdr6 3, ANTIVIRAL RNAI-DEFECTIVE 2 | chr2:9052103-9054266 REVERSE LENGTH=328"
"Dm_00010381-RA","AT5G65180.1","| Symbols: no symbol available | no full name available | chr5:26045625-26047806 FORWARD LENGTH=439"
