Orthogroup	S_lycopersicum.proteins	A_thaliana.proteins
OG0000008	Solyc06g007280.2.1, Solyc06g007820.1.1, Solyc06g005220.2.1, Solyc06g007850.3.1	AT1G12615.1
OG0000008	Solyc04g080120.1.1, Solyc06g007740.1.1, Solyc06g007300.2.1	AT1G64583.2, AT1G64583.1, AT5G16640.1, AT3G16710.2, AT3G16710.1, AT5G41170.2, AT5G41170.1, AT4G26800.3, AT4G26800.2, AT1G62680.1, AT1G62680.2, AT1G63070.1, AT1G12700.2, AT1G12700.3, AT1G12700.1, AT1G12620.1, AT1G12300.1, AT1G12775.1
OG0000011	Solyc04g074020.2.1, Solyc04g074050.3.1, Solyc04g074030.3.1, Solyc04g074000.3.1	AT4G08850.1, AT4G08850.2, AT1G35710.1
OG0000015	Solyc02g079590.3.1, Solyc03g006770.3.1	AT4G21380.1, AT4G21380.2, AT1G65800.2, AT1G65800.1, AT1G65790.3, AT1G65790.2, AT1G65790.1
OG0000015	Solyc07g063820.3.1, Solyc07g063770.3.1, Solyc10g006710.3.1	AT4G27300.1
OG0000016	Solyc03g118330.2.1, Solyc03g019980.2.1, Solyc03g098400.2.1	AT3G47110.1, AT3G47580.1, AT3G47090.1, AT3G47570.1, AT5G39390.1, AT5G20480.1, AT5G20480.2
OG0000018	Solyc09g089770.3.1, Solyc09g010000.3.1, Solyc09g089580.3.1, Solyc03g095900.3.1, Solyc09g089740.3.1, Solyc09g089730.3.1, Solyc09g089720.2.1, Solyc09g089760.1.1, Solyc09g089690.3.1, Solyc12g006380.2.1, Solyc09g089680.3.1, Solyc09g009985.1.1, Solyc09g010040.2.1	AT5G59540.1, AT5G59540.2, AT5G59530.1, AT1G04350.1, AT2G30830.1, AT2G25450.1, AT2G30840.1, AT2G30840.3, AT2G30840.2, AT1G06645.1, AT1G03410.1, AT1G03410.2, AT1G03400.2, AT1G03400.1, AT1G06620.2, AT1G06620.1
OG0000021	Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1
OG0000022	Solyc04g011700.2.1	AT5G64950.1
OG0000023	Solyc10g049270.2.1, Solyc10g049210.2.1	AT1G33540.1, AT1G33540.2
OG0000023	Solyc12g088250.2.1, Solyc04g077670.3.1, Solyc04g079070.3.1, Solyc04g079047.1.1, Solyc04g079060.3.1, Solyc04g079040.3.1, Solyc12g088280.2.1, Solyc12g019570.2.1	AT2G22920.3
OG0000023	Solyc04g077640.3.1, Solyc04g077630.3.1, Solyc04g077650.3.1, Solyc05g050770.3.1, Solyc05g050780.3.1	AT3G10450.4, AT3G10450.2, AT3G10450.3, AT3G10450.1, AT1G73290.1, AT1G73290.2, AT1G73280.2, AT1G73290.3, AT1G73310.2, AT1G73310.1, AT1G73300.1, AT1G73280.4, AT1G73280.3, AT5G36180.3, AT5G36180.2, AT1G73310.3, AT5G36180.4, AT5G36180.5, AT1G73280.1, AT5G36180.1, AT1G73300.2, AT1G73270.1, AT1G73270.2, AT2G23010.2, AT2G23010.1, AT2G22990.4, AT2G22990.2, AT2G22990.6, AT2G22990.5, AT2G22990.3, AT2G22990.1, AT2G23000.1, AT2G23000.2, AT2G22970.4, AT2G22970.3, AT2G22920.1, AT2G22920.4, AT2G22970.2, AT2G22970.1, AT2G22980.1, AT2G22980.3, AT2G22980.5, AT2G22980.4, AT2G22980.2, AT2G22920.2
OG0000024	Solyc07g052073.1.1, Solyc10g007930.3.1, Solyc10g007900.3.1, Solyc06g084770.2.1	AT1G17060.1
OG0000025	Solyc10g054733.1.1, Solyc10g054750.1.1, Solyc01g110900.1.1	AT4G34770.1
OG0000025	Solyc11g011700.1.1, Solyc11g011650.1.1, Solyc04g053000.1.1, Solyc04g052970.2.1, Solyc11g011680.1.1, Solyc10g052540.1.1, Solyc10g052580.2.1, Solyc11g011720.1.1, Solyc04g025535.1.1, Solyc01g110790.3.1, Solyc01g110980.3.1, Solyc01g110735.1.1, Solyc01g110660.3.1, Solyc01g110710.3.1, Solyc01g110770.2.1, Solyc01g110670.3.1, Solyc01g110720.2.1, Solyc01g110680.3.1, Solyc01g110930.1.1, Solyc01g110800.3.1, Solyc01g110920.3.1, Solyc01g110780.1.1, Solyc01g110940.3.1, Solyc01g110630.3.1, Solyc01g110917.1.1	AT3G03820.1, AT3G03840.1, AT3G03850.1, AT3G03830.1, AT2G21200.1, AT4G38825.1, AT5G18020.1, AT5G18010.1, AT5G18080.1, AT5G18050.1, AT5G18060.1, AT5G18030.1, AT4G38850.1
OG0000025	Solyc01g110830.3.1, Solyc01g110870.3.1, Solyc01g110843.1.1, Solyc01g110860.1.1, Solyc01g110847.1.1, Solyc01g110880.1.1, Solyc10g054760.1.1	AT4G34800.1
OG0000026	Solyc06g059930.3.1	AT1G70080.1, AT5G48110.1
OG0000026	Solyc01g101190.3.1, Solyc01g101180.3.1, Solyc01g101210.4.1, Solyc01g101170.3.1, Solyc04g054380.1.1, Solyc04g051620.2.1	AT5G23960.2, AT5G23960.1
OG0000027	Solyc00g257110.3.1, Solyc03g113405.1.1	AT2G24520.4, AT5G57350.3
OG0000027	Solyc06g071100.3.1	AT3G47950.1, AT3G47950.2, AT5G62670.1
OG0000027	Solyc08g078200.2.1	AT3G60330.2, AT3G60330.1, AT3G60330.4, AT3G60330.3
OG0000027	Solyc07g017780.3.1	AT2G24520.3, AT2G24520.1, AT2G24520.2
OG0000027	Solyc12g010360.2.1	AT2G07560.1, AT3G42640.1
OG0000027	Solyc03g117150.3.1	AT1G80660.2, AT1G80660.1, AT1G80660.3, AT1G80660.4
OG0000028	Solyc01g098370.1.1, Solyc12g013730.2.1, Solyc07g005150.2.1, Solyc01g014940.1.1, Solyc01g014930.1.1, Solyc01g012690.1.1, Solyc01g014140.3.1, Solyc12g100020.1.1, Solyc12g100030.2.1, Solyc12g100010.1.1, Solyc12g040750.1.1, Solyc06g008300.3.1, Solyc06g008265.1.1, Solyc08g067805.1.1, Solyc12g099950.2.1, Solyc12g036793.1.1, Solyc12g036800.1.1, Solyc12g099870.2.1, Solyc12g099980.2.1, Solyc05g012430.1.1, Solyc12g049200.1.1, Solyc12g049190.2.1, Solyc10g051230.1.1, Solyc10g051225.1.1, Solyc10g051253.1.1, Solyc01g013880.1.1, Solyc01g014300.1.1, Solyc01g014310.1.1, Solyc01g013960.2.1, Solyc01g005715.1.1, Solyc01g005720.3.1, Solyc01g008390.2.1, Solyc01g006550.3.1, Solyc01g005730.3.1, Solyc01g005870.2.1, Solyc01g005760.3.1, Solyc01g008410.2.1, Solyc01g005755.1.1, Solyc01g006545.1.1, Solyc01g009680.3.1, Solyc03g082780.2.1, Solyc01g005775.1.1, Solyc01g005710.2.1, Solyc01g016370.2.1, Solyc10g007210.1.1, Solyc01g009700.2.1, Solyc01g005865.1.1, Solyc09g064670.2.1, Solyc12g040740.2.1, Solyc01g014147.1.1, Solyc01g009930.2.1, Solyc01g014143.1.1, Solyc01g014150.1.1	AT1G47890.1, AT1G45616.1
OG0000029	Solyc09g015220.2.1, Solyc09g015240.1.1, Solyc09g015230.1.1	AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1
OG0000030	Solyc02g082985.1.1	AT4G35680.1
OG0000030	Solyc02g083050.1.1, Solyc02g083040.1.1, Solyc02g083070.2.1, Solyc02g083100.2.1, Solyc02g083090.1.1, Solyc03g032230.1.1, Solyc02g083010.1.1, Solyc02g083020.1.1, Solyc02g083030.1.1, Solyc02g083000.1.1	AT4G35710.1, AT4G35690.1, AT2G17680.1
OG0000030	Solyc02g083120.2.1	AT4G35720.1
OG0000031	Solyc10g061840.2.1, Solyc01g080970.3.1, Solyc01g080990.3.1	AT3G21950.2, AT3G21950.1, AT5G38020.2, AT5G38020.1, AT2G14060.2, AT2G14060.1, AT5G66430.1, AT5G04380.3, AT5G04380.1, AT5G04380.2, AT3G11480.1, AT5G04370.1, AT5G04370.2, AT5G04370.3
OG0000031	Solyc02g084950.3.1	AT4G36470.1
OG0000031	Solyc04g080660.3.1	AT1G19640.1
OG0000032	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1
OG0000034	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2, AT4G23220.1, AT4G38830.1
OG0000037	Solyc12g088970.1.1	AT4G31950.1, AT4G31970.1, AT4G31940.1
OG0000037	Solyc09g059240.3.1	AT3G25180.1, AT3G25180.2
OG0000038	Solyc03g111880.3.1, Solyc03g111950.3.1, Solyc03g111930.3.1, Solyc03g111920.2.1, Solyc03g111935.1.1, Solyc03g111990.3.1, Solyc03g111973.1.1, Solyc03g026377.1.1, Solyc03g112010.3.1, Solyc03g111887.1.1, Solyc03g112040.1.1, Solyc03g112030.2.1	AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1
OG0000040	Solyc01g008570.1.1, Solyc01g008500.3.1, Solyc11g007420.1.1, Solyc11g007400.1.1, Solyc02g081510.2.1, Solyc02g081470.3.1, Solyc02g079600.3.1	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1
OG0000041	Solyc10g055410.2.1, Solyc01g111500.3.1	AT2G16720.1, AT4G34990.1, AT4G38620.1
OG0000041	Solyc03g005570.3.1, Solyc06g053610.3.1	AT3G23250.1
OG0000041	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1	AT5G49330.1
OG0000041	Solyc06g065100.3.1	AT1G35515.1, AT4G09460.1
OG0000042	Solyc03g096650.2.1	AT1G07440.2, AT2G29170.1
OG0000042	Solyc03g096640.3.1, Solyc06g083470.3.1, Solyc06g083480.3.1, Solyc06g083490.3.1, Solyc03g096660.2.1	AT5G06060.1
OG0000042	Solyc06g005720.3.1	AT2G29260.1
OG0000042	Solyc10g086620.2.1, Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1
OG0000043	Solyc02g092860.3.1, Solyc02g064850.2.1	AT4G37310.1, AT5G67310.1, AT1G66540.2, AT1G66540.1, AT4G37360.1, AT4G37340.1, AT4G37370.1, AT4G37330.1, AT4G37320.1, AT3G28740.1, AT5G36220.1, AT5G36220.2, AT5G57220.1, AT4G37400.1, AT4G37410.1, AT4G37430.1
OG0000043	Solyc04g078340.3.1, Solyc07g014670.3.1, Solyc04g078370.3.1	AT5G10610.1, AT5G10600.1
OG0000044	Solyc02g085580.3.1, Solyc02g062940.3.1	AT3G50700.1, AT5G66730.1
OG0000044	Solyc04g008500.3.1	AT2G02080.6, AT2G02080.2, AT2G02080.4, AT2G02080.5, AT2G02080.3, AT2G02080.1, AT1G14580.1, AT1G14580.4, AT1G14580.3, AT1G14580.2, AT2G02070.2, AT2G02070.1
OG0000044	Solyc10g084180.2.1, Solyc09g007550.3.1	AT5G03150.1
OG0000044	Solyc08g063040.3.1, Solyc03g121660.3.1, Solyc06g062670.3.1	AT1G55110.1, AT1G55110.3, AT1G55110.2
OG0000044	Solyc07g053570.3.1	AT1G03840.2, AT1G03840.1
OG0000044	Solyc09g065670.3.1	AT4G02670.1, AT4G02670.2
OG0000046	Solyc11g044460.2.1, Solyc01g109530.3.1, Solyc10g051330.2.1	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1
OG0000046	Solyc12g007110.2.1	AT3G24550.1, AT3G24540.1
OG0000046	Solyc05g010140.3.1, Solyc01g010030.3.1	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1
OG0000046	Solyc02g089760.3.1	AT5G38560.1
OG0000046	Solyc03g120760.3.1	AT1G52290.2, AT1G52290.1
OG0000047	Solyc04g078300.3.1	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1
OG0000047	Solyc04g025050.1.1	AT2G34440.1, AT3G66656.1
OG0000047	Solyc06g035560.2.1	AT5G62165.14
OG0000048	Solyc10g075070.2.1, Solyc10g075060.2.1, Solyc10g075090.2.1, Solyc10g075110.2.1, Solyc10g075050.2.1, Solyc10g075150.2.1, Solyc10g075130.2.1, Solyc10g076200.2.1, Solyc09g008500.2.1, Solyc09g018010.3.1, Solyc10g075100.2.1	AT3G51600.1, AT2G38540.1, AT2G38530.1, AT5G59310.1, AT5G59330.1, AT5G59320.1, AT3G51590.1
OG0000048	Solyc02g087910.2.1	AT4G33355.2, AT4G33355.1
OG0000048	Solyc01g081600.3.1	AT2G18370.1
OG0000048	Solyc06g065600.1.1, Solyc06g005780.1.1, Solyc06g005795.1.1, Solyc06g005770.1.1, Solyc08g067530.1.1, Solyc08g067540.1.1, Solyc08g067550.1.1, Solyc08g067505.1.1, Solyc08g067520.1.1, Solyc08g067510.1.1, Solyc08g067500.1.1	AT3G08770.2, AT3G08770.1, AT5G01870.1
OG0000055	Solyc05g024290.3.1	AT5G13160.1
OG0000055	Solyc01g067400.3.1	AT5G18610.1, AT5G18610.2, AT5G18610.3
OG0000055	Solyc09g061330.2.1, Solyc06g083500.3.1	AT3G07070.1
OG0000055	Solyc04g050970.3.1	AT3G24790.2, AT3G24790.1, AT4G13190.4, AT4G13190.1, AT4G13190.3, AT4G13190.2, AT4G13190.5
OG0000055	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1	AT3G20530.2, AT3G20530.1
