target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	833.072	97	15.6106
Dm_00008772-RA	1272	1088.07	121.332	14.9503
Dm_00008770-RA	1722	1538.07	214	18.6538
Dm_00008771-RA	636	452.306	56	16.5991
Dm_00008682-RA	906	722.152	44	8.16871
Dm_00008591-RA	1308	1124.07	12	1.43125
Dm_00008592-RA	2436	2252.07	466	27.7417
Dm_00008593-RA	759	575.214	1994	464.756
Dm_00008594-RA	969	785.152	428	73.0835
Dm_00010209-RA	468	284.705	0	0
Dm_00010051-RA	693	509.214	2	0.526573
Dm_00009727-RA	234	61.6464	0	0
Dm_00009728-RA	1161	977.072	0	0
Dm_00009413-RA	1368	1184.07	140	15.8518
Dm_00009412-RA	2105	1921.07	173	12.0735
Dm_00009411-RA	2682	2498.07	137	7.35267
Dm_00009410-RA	432	248.86	17	9.1585
Dm_00009021-RA	1668	1484.07	252	22.7654
Dm_00009020-RA	414	231.076	11	6.38214
Dm_00009748-RA	1554	1370.07	123	12.0363
Dm_00009749-RA	1092	908.072	304	44.8831
Dm_00009750-RA	941	757.152	102	18.0612
Dm_00010290-RA	1116	932.072	45	6.47281
Dm_00010291-RA	969	785.152	247	42.1767
Dm_00007855-RA	945	761.152	328	57.7739
Dm_00007856-RA	786	602.214	147	32.7262
Dm_00007858-RA	2466	2282.07	829	48.7029
Dm_00007859-RA	2304	2120.07	336	21.248
Dm_00007857-RA	873	689.152	41	7.97624
Dm_00009353-RA	471	287.705	30	13.9799
Dm_00009317-RA	312	131.581	68	69.2859
Dm_00010173-RA	1548	1364.07	151	14.8412
Dm_00010171-RA	228	56.906	11	25.9157
Dm_00010172-RA	258	82.0507	2	3.26796
Dm_00009367-RA	1566	1382.07	430	41.7126
Dm_00009368-RA	171	16.5327	65	527.106
Dm_00009369-RA	984	800.152	96	16.0853
Dm_00009983-RA	1065	881.072	30	4.56499
Dm_00009982-RA	975	791.152	0	0
Dm_00009984-RA	537	353.544	0	0
Dm_00009718-RA	1158	974.072	937	128.967
Dm_00009717-RA	753	569.214	133	31.326
Dm_00009950-RA	1842	1658.07	10	0.808586
Dm_00009953-RA	1437	1253.07	287	30.7069
Dm_00009948-RA	1638	1454.07	210	19.3626
Dm_00009949-RA	879	695.152	168	32.401
Dm_00009951-RA	729	545.214	0	0
Dm_00009952-RA	444	260.732	0	0
Dm_00009009-RA	738	554.214	0	0
Dm_00009010-RA	303	123.034	4.07067	4.43577
Dm_00009007-RA	891	707.152	0	0
Dm_00009008-RA	1164	980.072	21	2.8727
Dm_00009011-RA	3048	2864.07	15.0218	0.703181
Dm_00009012-RA	684	500.214	1	0.268024
Dm_00010080-RA	1113	929.072	13	1.87596
Dm_00010081-RA	354	172.07	162	126.223
Dm_00010084-RA	1518	1334.07	225	22.6117
Dm_00010083-RA	1140	956.072	113	15.8459
Dm_00010082-RA	375	192.559	42	29.2426
Dm_00010098-RA	1200	1016.07	0	0
Dm_00010096-RA	390	207.315	0	0
Dm_00010097-RA	666	482.214	52	14.4575
Dm_00008796-RA	414	231.076	0	0
Dm_00010370-RA	1886	1702.07	405	31.9012
Dm_00010369-RA	192	30.2643	0	0
Dm_00009774-RA	1998	1814.07	226	16.7026
Dm_00009775-RA	354	172.07	58	45.191
Dm_00010288-RA	1401	1217.07	461	50.7825
Dm_00009493-RA	963	779.152	112	19.2719
Dm_00009494-RA	984	800.152	64	10.7235
Dm_00009495-RA	714	530.214	0	0
Dm_00006316-RA	993	809.072	1	0.165708
Dm_00008938-RA	897	713.152	128	24.0634
Dm_00008942-RA	1680	1496.07	257	23.0309
Dm_00008940-RA	834	650.152	60	12.3727
Dm_00008939-RA	651	467.214	87	24.9651
Dm_00008941-RA	531	347.544	74	28.5464
Dm_00010031-RA	3168	2984.07	471	21.1612
Dm_00009533-RA	1185	1001.07	0	0
Dm_00009536-RA	1041	857.072	18.6578	2.91859
Dm_00009535-RA	792	608.214	445	98.0918
Dm_00009534-RA	1146	962.072	401	55.8813
Dm_00009696-RA	606	422.349	0	0
Dm_00009720-RA	456	272.705	0	0
Dm_00009719-RA	795	611.214	0	0
Dm_00009254-RA	1287	1103.07	38	4.61859
Dm_00009255-RA	4353	4169.07	36	1.15769
Dm_00009256-RA	834	650.152	318	65.5755
Dm_00009072-RA	282	103.59	0	0
Dm_00009813-RA	6525	6341.07	474	10.0218
Dm_00009814-RA	2781	2597.07	90	4.64609
Dm_00009915-RA	564	380.471	0	0
Dm_00009914-RA	258	82.0507	0	0
Dm_00009695-RA	2650	2466.07	210	11.4168
Dm_00009694-RA	624	440.306	73	22.2279
