,Orthogroup,gene_ID,module,ATgene_ID,TopBLASTHit_Symbol,TopBLASTHit_Name,TopBLASTHit_Position
1148,OG0000004,Dm_00018819-RA,2,NA,NA,NA,NA
1347,OG0000007,Dm_00019355-RA,2,NA,NA,NA,NA
1175,OG0000007,Dm_00008189-RA,2,AT3G51690.1,Symbols: no symbol available,no full name available,chr3:19176731-19178107 REVERSE LENGTH=331
1441,OG0000009,Dm_00013100-RA,2,NA,NA,NA,NA
1839,OG0000019,Dm_00003005-RA,2,NA,NA,NA,NA
2214,OG0000020,Dm_00020258-RA,2,NA,NA,NA,NA
2241,OG0000022,Dm_00001426-RA,2,AT1G21150.3,Symbols: mTERF27,NA,chr1:7406406-7407770 REVERSE LENGTH=354
2244,OG0000022,Dm_00003333-RA,2,AT5G07900.1,Symbols: mTERF7,NA,chr5:2520188-2521405 FORWARD LENGTH=405
2248,OG0000022,Dm_00007966-RA,2,AT5G07900.1,Symbols: mTERF7,NA,chr5:2520188-2521405 FORWARD LENGTH=405
2250,OG0000022,Dm_00009088-RA,2,AT5G07900.1,Symbols: mTERF7,NA,chr5:2520188-2521405 FORWARD LENGTH=405
2253,OG0000022,Dm_00009848-RA,2,AT5G07900.1,Symbols: mTERF7,NA,chr5:2520188-2521405 FORWARD LENGTH=405
2258,OG0000022,Dm_00015701-RA,2,AT5G07900.1,Symbols: mTERF7,NA,chr5:2520188-2521405 FORWARD LENGTH=405
2260,OG0000022,Dm_00016056-RA,2,AT5G07900.1,Symbols: mTERF7,NA,chr5:2520188-2521405 FORWARD LENGTH=405
2261,OG0000022,Dm_00016057-RA,2,AT5G07900.1,Symbols: mTERF7,NA,chr5:2520188-2521405 FORWARD LENGTH=405
2385,OG0000035,Dm_00014766-RA,2,NA,NA,NA,NA
2635,OG0000045,Dm_00019641-RA,2,NA,NA,NA,NA
2676,OG0000047,Dm_00009087-RA,2,AT2G03710.3,"Symbols: SEP4, AGL3","SEPALLATA 4, AGAMOUS-like 3",chr2:1129622-1131242 FORWARD LENGTH=187
2758,OG0000051,Dm_00016136-RA,2,NA,NA,NA,NA
2766,OG0000051,Dm_00017795-RA,2,NA,NA,NA,NA
2909,OG0000060,Dm_00021085-RA,2,NA,NA,NA,NA
2918,OG0000075,Dm_00004792-RA,2,NA,NA,NA,NA
2969,OG0000092,Dm_00009686-RA,2,NA,NA,NA,NA
2970,OG0000092,Dm_00009687-RA,2,AT3G14470.2,Symbols: no symbol available,no full name available,chr3:4857940-4861104 FORWARD LENGTH=1054
2974,OG0000092,Dm_00013178-RA,2,AT3G14470.2,Symbols: no symbol available,no full name available,chr3:4857940-4861104 FORWARD LENGTH=1054
2951,OG0000092,Dm_00002758-RA,2,AT5G66920.1,Symbols: sks17,SKU5  similar 17,chr5:26722963-26725370 FORWARD LENGTH=546
3004,OG0000102,Dm_00001450-RA,2,NA,NA,NA,NA
3088,OG0000126,Dm_00016735-RA,2,NA,NA,NA,NA
3132,OG0000174,Dm_00009251-RA,2,AT1G71220.1,"Symbols: EBS1, UGGT, PSL2","UDP-GLUCOSE:GLYCOPROTEIN GLUCOSYLTRANSFERASE, PRIORITY IN SWEET LIFE 2, EMS-mutagenized bri1 suppressor 1",chr1:26841664-26851730 FORWARD LENGTH=1613
3143,OG0000177,Dm_00009224-RA,2,AT4G38180.1,Symbols: FRS5,FAR1-related sequence 5,chr4:17906702-17909404 REVERSE LENGTH=788
3183,OG0000177,Dm_00016321-RA,2,AT4G38180.1,Symbols: FRS5,FAR1-related sequence 5,chr4:17906702-17909404 REVERSE LENGTH=788
3182,OG0000177,Dm_00016320-RA,2,NA,NA,NA,NA
3198,OG0000177,Dm_00019227-RA,2,NA,NA,NA,NA
3237,OG0000237,Dm_00006609-RA,2,NA,NA,NA,NA
3251,OG0000237,Dm_00014005-RA,2,NA,NA,NA,NA
3264,OG0000237,Dm_00016681-RA,2,NA,NA,NA,NA
3315,OG0000246,Dm_00020254-RA,2,NA,NA,NA,NA
3317,OG0000256,Dm_00011654-RA,2,AT5G23850.1,Symbols: no symbol available,no full name available,chr5:8038126-8040741 FORWARD LENGTH=542
3335,OG0000259,Dm_00012080-RA,2,NA,NA,NA,NA
3451,OG0000273,Dm_00019246-RA,2,NA,NA,NA,NA
3476,OG0000304,Dm_00015125-RA,2,AT3G42170.2,Symbols: DAYSLEEPER,DAYSLEEPER,chr3:14321838-14323928 FORWARD LENGTH=674
3488,OG0000354,Dm_00018530-RA,2,AT2G45510.1,Symbols: CYP704A2,"""cytochrome P450, family 704, subfamily A, polypeptide 2""",chr2:18753085-18754944 FORWARD LENGTH=511
3491,OG0000358,Dm_00006562-RA,2,NA,NA,NA,NA
3584,OG0000524,Dm_00010249-RA,2,NA,NA,NA,NA
3640,OG0000537,Dm_00006912-RA,2,AT5G60440.1,Symbols: AGL62,AGAMOUS-like 62,chr5:24306329-24307520 FORWARD LENGTH=299
3651,OG0000555,Dm_00005757-RA,2,NA,NA,NA,NA
3696,OG0000605,Dm_00007380-RA,2,AT2G41900.1,"Symbols: DEG9, OXS2, TZF7","tandem zinc finger protein 7, OXIDATIVE STRESS 2",chr2:17491352-17493502 FORWARD LENGTH=716
3697,OG0000605,Dm_00011158-RA,2,AT2G41900.1,"Symbols: DEG9, OXS2, TZF7","tandem zinc finger protein 7, OXIDATIVE STRESS 2",chr2:17491352-17493502 FORWARD LENGTH=716
3704,OG0000635,Dm_00004016-RA,2,NA,NA,NA,NA
3703,OG0000635,Dm_00004015-RA,2,AT2G16485.1,Symbols: NERD,Needed for RDR2-independent DNA methylation,chr2:7137269-7145222 REVERSE LENGTH=1773
3705,OG0000635,Dm_00005013-RA,2,AT2G16485.2,Symbols: NERD,Needed for RDR2-independent DNA methylation,chr2:7137269-7145222 REVERSE LENGTH=1758
3707,OG0000635,Dm_00009178-RA,2,AT2G16485.1,Symbols: NERD,Needed for RDR2-independent DNA methylation,chr2:7137269-7145222 REVERSE LENGTH=1773
3706,OG0000635,Dm_00007916-RA,2,AT3G51120.1,Symbols: no symbol available,no full name available,chr3:18986026-18991886 REVERSE LENGTH=1305
3723,OG0000715,Dm_00015712-RA,2,AT5G07980.2,Symbols: no symbol available,no full name available,chr5:2549432-2554669 REVERSE LENGTH=1501
3726,OG0000722,Dm_00012618-RA,2,AT2G28120.1,Symbols: OTU1,ovarian tumor domain (OTU)-containing DUB (deubiquitilating enzyme) 1,chr2:11985934-11987667 FORWARD LENGTH=577
3734,OG0000732,Dm_00014577-RA,2,AT1G59780.1,Symbols: no symbol available,no full name available,chr1:21993581-21997691 REVERSE LENGTH=906
3756,OG0000734,Dm_00018370-RA,2,NA,NA,NA,NA
3759,OG0000745,Dm_00000189-RA,2,AT5G24470.1,"Symbols: APRR5, PRR5",pseudo-response regulator 5,chr5:8356204-8358546 REVERSE LENGTH=558
3760,OG0000745,Dm_00010498-RA,2,AT5G24470.1,"Symbols: APRR5, PRR5",pseudo-response regulator 5,chr5:8356204-8358546 REVERSE LENGTH=558
3850,OG0000867,Dm_00018153-RA,2,AT5G61910.2,Symbols: no symbol available,no full name available,chr5:24861091-24863729 REVERSE LENGTH=738
3853,OG0000868,Dm_00011623-RA,2,AT2G21120.1,"Symbols: ENOR3, AVI2","enhancer of rdr6 3, ANTIVIRAL RNAI-DEFECTIVE 2",chr2:9052103-9054266 REVERSE LENGTH=328
3868,OG0000900,Dm_00012537-RA,2,NA,NA,NA,NA
3900,OG0000988,Dm_00005949-RA,2,AT2G16400.1,Symbols: BLH7,BEL1-like homeodomain 7,chr2:7101490-7103200 REVERSE LENGTH=482
3901,OG0000988,Dm_00019999-RA,2,AT2G16400.1,Symbols: BLH7,BEL1-like homeodomain 7,chr2:7101490-7103200 REVERSE LENGTH=482
3927,OG0001066,Dm_00015058-RA,2,AT4G31880.1,"Symbols: AtPDS5C, PDS5C",NA,chr4:15419435-15423939 REVERSE LENGTH=873
3928,OG0001066,Dm_00015059-RA,2,AT4G31880.1,"Symbols: AtPDS5C, PDS5C",NA,chr4:15419435-15423939 REVERSE LENGTH=873
3929,OG0001066,Dm_00016900-RA,2,AT4G31880.2,"Symbols: AtPDS5C, PDS5C",NA,chr4:15419435-15423939 REVERSE LENGTH=872
3933,OG0001087,Dm_00013928-RA,2,AT3G42170.2,Symbols: DAYSLEEPER,DAYSLEEPER,chr3:14321838-14323928 FORWARD LENGTH=674
3950,OG0001107,Dm_00018282-RA,2,AT3G53690.1,Symbols: no symbol available,no full name available,chr3:19898997-19900044 REVERSE LENGTH=320
3951,OG0001107,Dm_00018283-RA,2,AT3G53690.1,Symbols: no symbol available,no full name available,chr3:19898997-19900044 REVERSE LENGTH=320
3952,OG0001107,Dm_00020944-RA,2,AT3G53690.1,Symbols: no symbol available,no full name available,chr3:19898997-19900044 REVERSE LENGTH=320
4017,OG0001317,Dm_00004805-RA,2,AT2G32950.1,"Symbols: ATCOP1, COP1, DET340, EMB168, FUS1","CONSTITUTIVE PHOTOMORPHOGENIC 1, ARABIDOPSIS THALIANA CONSTITUTIVE PHOTOMORPHOGENIC 1, FUSCA 1, EMBRYO DEFECTIVE 168, DEETIOLATED MUTANT 340",chr2:13978000-13983282 FORWARD LENGTH=675
4029,OG0001374,Dm_00007549-RA,2,AT1G19220.1,"Symbols: IAA22, ARF19, ARF11","AUXIN RESPONSE FACTOR11, auxin response factor 19, indole-3-acetic acid inducible 22",chr1:6628395-6632779 REVERSE LENGTH=1086
