"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"1","GO:0009611","response to wounding",280,19,2.87,0.0000000000093
"2","GO:0071456","cellular response to hypoxia",87,10,0.89,0.0000000067
"3","GO:0008150","biological_process",9513,117,97.51,0.00000093
"4","GO:0009409","response to cold",244,11,2.5,0.000015
"5","GO:0009651","response to salt stress",302,12,3.1,0.000022
"6","GO:0009737","response to abscisic acid",457,15,4.68,0.00007
"7","GO:0042742","defense response to bacterium",359,14,3.68,0.000072
"8","GO:0019748","secondary metabolic process",259,11,2.65,0.00013
"9","GO:0009733","response to auxin",170,8,1.74,0.00017
"10","GO:0050832","defense response to fungus",224,9,2.3,0.00023
"11","GO:0046208","spermine catabolic process",3,2,0.03,0.00025
"12","GO:0006979","response to oxidative stress",229,9,2.35,0.00027
"13","GO:0002376","immune system process",196,10,2.01,0.00027
"14","GO:0098542","defense response to other organism",731,28,7.49,0.00039
"15","GO:0009753","response to jasmonic acid",206,10,2.11,0.00041
"16","GO:0009873","ethylene-activated signaling pathway",45,4,0.46,0.00077
"17","GO:0080027","response to herbivore",5,2,0.05,0.00083
"18","GO:0009751","response to salicylic acid",133,8,1.36,0.00174
"19","GO:0072330","monocarboxylic acid biosynthetic process",141,6,1.45,0.00193
"20","GO:0001666","response to hypoxia",117,13,1.2,0.00205
"21","GO:0006355","regulation of DNA-templated transcription",785,16,8.05,0.00225
"22","GO:0009725","response to hormone",1010,35,10.35,0.00241
"23","GO:0009739","response to gibberellin",65,4,0.67,0.00302
"24","GO:0043436","oxoacid metabolic process",917,21,9.4,0.00341
"25","GO:0009755","hormone-mediated signaling pathway",468,16,4.8,0.00354
"26","GO:2000022","regulation of jasmonic acid mediated signaling pathway",10,2,0.1,0.00362
"27","GO:0031348","negative regulation of defense response",37,3,0.38,0.00473
"28","GO:0010224","response to UV-B",37,3,0.38,0.00473
"29","GO:0009863","salicylic acid mediated signaling pathway",37,3,0.38,0.00473
"30","GO:0080134","regulation of response to stress",330,11,3.38,0.00499
"31","GO:0009682","induced systemic resistance",12,2,0.12,0.00524
"32","GO:1901657","glycosyl compound metabolic process",77,4,0.79,0.00555
"33","GO:0048589","developmental growth",563,12,5.77,0.00572
"34","GO:0009966","regulation of signal transduction",195,8,2,0.00676
"35","GO:0031537","regulation of anthocyanin metabolic process",14,2,0.14,0.00714
"36","GO:0002831","regulation of response to biotic stimulus",84,4,0.86,0.00753
"37","GO:0010817","regulation of hormone levels",133,5,1.36,0.00773
"38","GO:0043069","negative regulation of programmed cell death",15,2,0.15,0.00819
"39","GO:0010200","response to chitin",88,4,0.9,0.00885
"40","GO:0072660","maintenance of protein location in plasma membrane",1,1,0.01,0.00922
"41","GO:0072720","response to dithiothreitol",1,1,0.01,0.00922
"42","GO:0098755","maintenance of seed dormancy by absisic acid",1,1,0.01,0.00922
"43","GO:1900067","regulation of cellular response to alkaline pH",1,1,0.01,0.00922
"44","GO:0009715","chalcone biosynthetic process",1,1,0.01,0.00922
"45","GO:0006042","glucosamine biosynthetic process",1,1,0.01,0.00922
"46","GO:0043065","positive regulation of apoptotic process",1,1,0.01,0.00922
"47","GO:0030639","polyketide biosynthetic process",1,1,0.01,0.00922
"48","GO:0032101","regulation of response to external stimulus",90,4,0.92,0.00956
"49","GO:0019752","carboxylic acid metabolic process",775,18,7.94,0.01021
"50","GO:0050776","regulation of immune response",49,3,0.5,0.01036
"51","GO:1902074","response to salt",17,2,0.17,0.01048
"52","GO:0009932","cell tip growth",94,4,0.96,0.0111
"53","GO:0006952","defense response",852,32,8.73,0.01126
"54","GO:0019760","glucosinolate metabolic process",53,3,0.54,0.01282
"55","GO:0019757","glycosinolate metabolic process",53,3,0.54,0.01282
"56","GO:0016143","S-glycoside metabolic process",53,3,0.54,0.01282
"57","GO:0031347","regulation of defense response",253,9,2.59,0.01343
"58","GO:0010033","response to organic substance",1386,43,14.21,0.01363
"59","GO:0055085","transmembrane transport",419,9,4.29,0.0154
"60","GO:0009987","cellular process",7420,93,76.05,0.01564
"61","GO:0007568","aging",21,2,0.22,0.0158
"62","GO:0010208","pollen wall assembly",21,2,0.22,0.0158
"63","GO:0047484","regulation of response to osmotic stress",21,2,0.22,0.0158
"64","GO:0042445","hormone metabolic process",58,3,0.59,0.01634
"65","GO:0009723","response to ethylene",106,7,1.09,0.01721
"66","GO:0009892","negative regulation of metabolic process",653,12,6.69,0.01724
"67","GO:0042335","cuticle development",22,2,0.23,0.01728
"68","GO:0033993","response to lipid",782,25,8.02,0.01774
"69","GO:0098543","detection of other organism",2,1,0.02,0.01837
"70","GO:0010253","UDP-rhamnose biosynthetic process",2,1,0.02,0.01837
"71","GO:0016045","detection of bacterium",2,1,0.02,0.01837
"72","GO:0061635","regulation of protein complex stability",2,1,0.02,0.01837
"73","GO:0140455","cytoplasm protein quality control",2,1,0.02,0.01837
"74","GO:0071629","cytoplasm protein quality control by the ubiquitin-proteasome system",2,1,0.02,0.01837
"75","GO:0015760","glucose-6-phosphate transport",2,1,0.02,0.01837
"76","GO:0010046","response to mycotoxin",2,1,0.02,0.01837
"77","GO:0015712","hexose phosphate transport",2,1,0.02,0.01837
