Orthogroup	A_coerulea.proteins	D_muscipula.proteins
OG0000007	Aqcoe7G223600.1.p	Dm_00013321-RA, Dm_00004145-RA
OG0000007	Aqcoe4G281300.1.p, Aqcoe1G392800.1.p, Aqcoe5G215100.1.p, Aqcoe2G162600.1.p, Aqcoe3G175000.1.p, Aqcoe7G214600.1.p, Aqcoe2G221500.1.p, Aqcoe6G204300.1.p, Aqcoe6G121600.1.p, Aqcoe1G312000.1.p, Aqcoe7G237700.1.p, Aqcoe4G183300.1.p, Aqcoe5G193900.1.p, Aqcoe4G258200.1.p, Aqcoe7G037200.1.p, Aqcoe0015s0002.1.p, Aqcoe4G176800.1.p, Aqcoe4G185200.1.p, Aqcoe4G166600.1.p, Aqcoe6G121500.1.p, Aqcoe7G066100.1.p, Aqcoe7G328700.1.p, Aqcoe5G221700.1.p, Aqcoe6G314200.1.p, Aqcoe6G236000.1.p, Aqcoe7G158400.1.p, Aqcoe6G328800.1.p, Aqcoe3G057400.1.p, Aqcoe1G209400.1.p, Aqcoe7G269200.1.p, Aqcoe3G233000.1.p, Aqcoe4G294800.1.p, Aqcoe6G113800.1.p, Aqcoe5G215700.1.p, Aqcoe4G190500.1.p, Aqcoe1G226800.1.p, Aqcoe3G196400.1.p, Aqcoe2G111500.1.p, Aqcoe3G227100.1.p, Aqcoe5G253600.1.p, Aqcoe5G319100.1.p, Aqcoe7G440100.1.p, Aqcoe1G040500.1.p, Aqcoe2G413900.1.p, Aqcoe7G191100.1.p, Aqcoe6G169800.1.p, Aqcoe5G342800.1.p, Aqcoe0345s0001.1.p, Aqcoe3G138300.1.p, Aqcoe1G413500.1.p, Aqcoe2G131800.1.p, Aqcoe5G441100.1.p, Aqcoe6G281300.1.p, Aqcoe3G196300.1.p, Aqcoe5G288400.1.p, Aqcoe1G052600.1.p, Aqcoe7G219200.1.p, Aqcoe2G226000.1.p, Aqcoe2G131800.2.p, Aqcoe7G136600.1.p, Aqcoe3G204400.1.p, Aqcoe2G142300.1.p, Aqcoe2G131300.1.p, Aqcoe4G149900.1.p, Aqcoe7G265900.1.p, Aqcoe2G173900.1.p, Aqcoe4G202200.1.p, Aqcoe7G248500.1.p, Aqcoe6G253900.1.p, Aqcoe2G058300.1.p, Aqcoe4G134000.1.p	Dm_00018309-RA
OG0000007	Aqcoe4G060300.1.p	Dm_00016397-RA, Dm_00007354-RA, Dm_00005510-RA, Dm_00018664-RA, Dm_00008793-RA, Dm_00011248-RA, Dm_00014871-RA
OG0000007	Aqcoe1G363200.1.p, Aqcoe6G225500.1.p	Dm_00011864-RA, Dm_00010820-RA, Dm_00004011-RA, Dm_00019974-RA, Dm_00011335-RA, Dm_00014257-RA
OG0000007	Aqcoe1G332700.1.p	Dm_00017256-RA, Dm_00018354-RA
OG0000007	Aqcoe0046s0001.1.p	Dm_00018307-RA, Dm_00010506-RA, Dm_00007199-RA, Dm_00018501-RA, Dm_00011866-RA, Dm_00015213-RA, Dm_00019368-RA, Dm_00015669-RA, Dm_00013620-RA, Dm_00010823-RA, Dm_00016352-RA, Dm_00018778-RA, Dm_00017529-RA, Dm_00015775-RA, Dm_00016587-RA, Dm_00008533-RA, Dm_00011859-RA, Dm_00014255-RA, Dm_00012737-RA
OG0000007	Aqcoe7G275600.1.p, Aqcoe0493s0001.1.p, Aqcoe0493s0001.2.p	Dm_00009012-RA, Dm_00011865-RA, Dm_00015776-RA, Dm_00008190-RA, Dm_00017528-RA, Dm_00016351-RA, Dm_00015293-RA, Dm_00018779-RA, Dm_00008534-RA, Dm_00013943-RA, Dm_00011066-RA, Dm_00015212-RA, Dm_00020210-RA, Dm_00019369-RA, Dm_00011022-RA, Dm_00011178-RA, Dm_00016588-RA, Dm_00012738-RA, Dm_00018502-RA, Dm_00011750-RA, Dm_00016772-RA
OG0000007	Aqcoe0223s0001.1.p	Dm_00019355-RA, Dm_00014256-RA, Dm_00017463-RA, Dm_00011177-RA
OG0000007	Aqcoe7G161500.1.p	Dm_00011553-RA, Dm_00011858-RA, Dm_00010821-RA, Dm_00017647-RA
OG0000007	Aqcoe6G299100.1.p, Aqcoe7G049400.1.p, Aqcoe5G235200.1.p	Dm_00017258-RA
OG0000008	Aqcoe5G292100.1.p	Dm_00017627-RA
OG0000008	Aqcoe5G371800.4.p, Aqcoe5G371800.8.p, Aqcoe5G371800.6.p, Aqcoe4G095300.2.p, Aqcoe4G095300.3.p, Aqcoe5G369100.1.p, Aqcoe5G370300.3.p, Aqcoe5G371800.2.p, Aqcoe5G371800.3.p, Aqcoe5G371800.5.p, Aqcoe5G371800.7.p, Aqcoe5G368700.2.p, Aqcoe4G095300.4.p, Aqcoe5G361500.2.p, Aqcoe5G361500.1.p, Aqcoe5G361500.3.p	Dm_00015033-RA
OG0000011	Aqcoe4G037600.1.p, Aqcoe4G019500.1.p, Aqcoe4G037100.1.p, Aqcoe4G037700.1.p, Aqcoe4G019600.1.p, Aqcoe4G037300.1.p, Aqcoe4G037900.1.p, Aqcoe7G310000.1.p, Aqcoe4G037800.1.p, Aqcoe4G038000.1.p, Aqcoe4G037200.1.p, Aqcoe4G037500.1.p, Aqcoe4G109700.1.p, Aqcoe4G156400.1.p, Aqcoe4G156400.2.p, Aqcoe4G037000.1.p, Aqcoe4G077100.1.p, Aqcoe4G077300.1.p, Aqcoe4G228700.1.p, Aqcoe4G039300.1.p, Aqcoe4G210900.1.p, Aqcoe4G104100.1.p, Aqcoe4G072100.1.p	Dm_00003465-RA
OG0000011	Aqcoe5G018800.1.p, Aqcoe5G018900.1.p	Dm_00013516-RA
OG0000015	Aqcoe3G211700.1.p	Dm_00009736-RA
OG0000018	Aqcoe5G029400.1.p, Aqcoe5G029300.1.p	Dm_00012812-RA
OG0000021	Aqcoe0158s0001.1.p	Dm_00010344-RA
OG0000021	Aqcoe4G117700.1.p, Aqcoe4G114000.1.p, Aqcoe4G069900.1.p, Aqcoe4G070100.1.p, Aqcoe4G070300.1.p, Aqcoe3G358600.1.p, Aqcoe3G417500.1.p, Aqcoe3G417300.1.p, Aqcoe3G417400.1.p	Dm_00010968-RA, Dm_00020262-RA, Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA, Dm_00010156-RA
OG0000022	Aqcoe5G365600.1.p, Aqcoe5G365500.1.p, Aqcoe5G402600.1.p, Aqcoe5G368400.1.p, Aqcoe5G366200.1.p, Aqcoe5G436000.1.p, Aqcoe5G366500.1.p, Aqcoe5G366400.1.p	Dm_00009918-RA, Dm_00000930-RA, Dm_00015701-RA, Dm_00015702-RA, Dm_00009848-RA, Dm_00003334-RA, Dm_00019069-RA, Dm_00013792-RA, Dm_00003326-RA, Dm_00016056-RA, Dm_00003333-RA, Dm_00013632-RA, Dm_00009088-RA, Dm_00003335-RA, Dm_00009089-RA, Dm_00006414-RA, Dm_00008820-RA, Dm_00007966-RA, Dm_00016057-RA, Dm_00009847-RA, Dm_00003325-RA, Dm_00013793-RA, Dm_00001426-RA, Dm_00020487-RA
OG0000023	Aqcoe6G271700.1.p, Aqcoe6G271700.2.p, Aqcoe6G271600.1.p, Aqcoe6G271800.1.p, Aqcoe6G272000.1.p, Aqcoe6G272000.2.p	Dm_00006887-RA, Dm_00006652-RA
OG0000023	Aqcoe6G319600.1.p, Aqcoe0082s0005.2.p, Aqcoe0082s0005.1.p, Aqcoe6G319300.1.p, Aqcoe6G271000.2.p, Aqcoe6G271000.1.p, Aqcoe6G270900.1.p, Aqcoe6G271400.1.p, Aqcoe6G271500.2.p, Aqcoe6G271500.1.p, Aqcoe3G372600.3.p, Aqcoe3G372600.4.p, Aqcoe3G372600.2.p, Aqcoe3G372600.1.p, Aqcoe1G409000.1.p	Dm_00007864-RA, Dm_00007863-RA
OG0000024	Aqcoe4G138900.1.p, Aqcoe4G137400.1.p, Aqcoe4G136900.1.p, Aqcoe4G121600.1.p, Aqcoe4G122100.1.p, Aqcoe4G138000.1.p, Aqcoe5G329900.1.p, Aqcoe4G232800.1.p, Aqcoe4G232800.3.p, Aqcoe4G232800.2.p, Aqcoe4G261600.1.p, Aqcoe4G261400.1.p, Aqcoe4G121300.1.p, Aqcoe4G121900.1.p, Aqcoe4G137900.1.p, Aqcoe4G136800.1.p, Aqcoe4G122000.1.p, Aqcoe4G140000.1.p, Aqcoe4G139300.1.p, Aqcoe4G140300.1.p	Dm_00008089-RA, Dm_00016700-RA, Dm_00004789-RA, Dm_00009149-RA, Dm_00014846-RA, Dm_00017809-RA
OG0000025	Aqcoe6G170300.1.p, Aqcoe5G228100.1.p, Aqcoe5G228300.1.p, Aqcoe5G228600.1.p, Aqcoe5G228500.1.p, Aqcoe5G228200.1.p, Aqcoe5G228900.1.p, Aqcoe5G229100.1.p, Aqcoe6G170200.1.p, Aqcoe5G228400.2.p, Aqcoe5G228400.1.p, Aqcoe5G230100.1.p, Aqcoe6G178000.1.p, Aqcoe5G229800.1.p	Dm_00003442-RA, Dm_00003443-RA, Dm_00007239-RA
