Orthogroup	A_hypochondriacus.proteins	V_vinifera.proteins
OG0000008	AH000127-RA	VIT_205s0020g04920.1
OG0000011	AH002194-RA	VIT_212s0035g00020.1, VIT_212s0035g00080.3, VIT_212s0035g00080.2, VIT_212s0034g02580.1, VIT_212s0035g00080.1, VIT_212s0034g02570.1, VIT_212s0142g00760.1, VIT_212s0035g00180.1, VIT_212s0035g00070.1, VIT_211s0037g00680.1, VIT_212s0034g02590.1, VIT_212s0142g00780.1, VIT_212s0035g00150.1, VIT_212s0035g00110.1, VIT_212s0035g00140.1, VIT_212s0142g00800.1, VIT_213s0084g00560.1, VIT_211s0037g00660.1, VIT_211s0037g00670.1, VIT_211s0037g00690.1, VIT_217s0000g02390.1, VIT_217s0000g02370.1
OG0000011	AH001485-RA, AH001483-RA, AH001487-RA	VIT_214s0108g00370.1, VIT_214s0066g02660.1, VIT_214s0066g02670.1, VIT_214s0066g02680.1, VIT_210s0042g00590.1, VIT_210s0042g00770.1, VIT_210s0042g00600.1, VIT_210s0042g00700.1, VIT_214s0108g00340.1, VIT_214s0108g00300.1, VIT_214s0108g00280.1, VIT_214s0108g00310.1, VIT_204s0079g00240.1
OG0000011	AH022040-RA, AH022041-RA, AH022042-RA, AH022043-RA	VIT_207s0005g04060.1, VIT_207s0005g04050.1, VIT_207s0005g04020.1, VIT_207s0005g04040.1, VIT_207s0005g04080.1, VIT_207s0005g04100.1
OG0000015	AH015162-RA, AH021574-RA	VIT_200s0353g00060.4, VIT_200s0353g00060.5, VIT_200s0353g00060.3, VIT_200s0353g00060.2, VIT_200s0353g00060.1
OG0000015	AH008115-RA, AH008114-RA, AH009972-RA	VIT_219s0014g04310.1, VIT_219s0014g04600.1, VIT_219s0014g04530.1, VIT_219s0014g04540.1, VIT_219s0014g04630.1, VIT_219s0014g04470.2, VIT_219s0014g04470.4, VIT_219s0014g04470.5, VIT_219s0014g04640.1, VIT_219s0014g04400.1, VIT_219s0014g04400.2, VIT_219s0014g04400.3, VIT_219s0014g04400.4, VIT_219s0014g04400.5, VIT_219s0014g04400.7, VIT_219s0014g04400.6, VIT_219s0014g04620.1, VIT_219s0014g04470.1, VIT_219s0014g04470.3, VIT_219s0014g04500.1, VIT_219s0014g04290.1
OG0000016	AH005855-RA	VIT_216s0098g00430.1
OG0000016	AH013795-RA, AH007101-RA	VIT_213s0067g00490.1
OG0000018	AH019393-RA	VIT_205s0049g00220.1, VIT_205s0049g00220.2, VIT_205s0049g00300.2, VIT_205s0049g00300.1, VIT_205s0049g00270.2, VIT_205s0049g00270.1, VIT_205s0049g00280.1, VIT_205s0049g00310.1
OG0000018	AH019902-RA, AH019903-RA, AH007232-RA, AH007233-RA	VIT_205s0049g00430.1
