target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	822.555	60	6.60948
Dm_00008772-RA	1272	1077.55	18.1424	1.52558
Dm_00008770-RA	1722	1527.55	124	7.35539
Dm_00008771-RA	636	441.709	41	8.41062
Dm_00008682-RA	906	711.555	634	80.735
Dm_00008591-RA	1308	1113.55	352	28.6426
Dm_00008592-RA	2436	2241.55	392	15.8459
Dm_00008593-RA	759	564.555	2293	368.026
Dm_00008594-RA	969	774.555	855	100.022
Dm_00010209-RA	468	274.374	0	0
Dm_00010051-RA	693	498.663	8	1.45366
Dm_00009727-RA	234	58.2446	0	0
Dm_00009728-RA	1161	966.555	0	0
Dm_00009413-RA	1368	1173.55	340	26.2516
Dm_00009412-RA	2105	1910.55	2512	119.135
Dm_00009411-RA	2682	2487.55	114	4.15253
Dm_00009410-RA	432	238.704	5	1.89798
Dm_00009021-RA	1668	1473.55	1809	111.238
Dm_00009020-RA	414	220.934	5	2.05063
Dm_00009748-RA	1554	1359.55	604	40.2551
Dm_00009749-RA	1092	897.555	553	55.8271
Dm_00009750-RA	941	746.555	258	31.314
Dm_00010290-RA	1116	921.555	223	21.9263
Dm_00010291-RA	969	774.555	618	72.2965
Dm_00007855-RA	945	750.555	285	34.4067
Dm_00007856-RA	786	591.555	142	21.7508
Dm_00007858-RA	2466	2271.55	720	28.7204
Dm_00007859-RA	2304	2109.55	317	13.616
Dm_00007857-RA	873	678.555	51	6.8103
Dm_00009353-RA	471	277.347	65	21.2359
Dm_00009317-RA	312	123.557	348	255.206
Dm_00010173-RA	1548	1353.55	292	19.5474
Dm_00010171-RA	228	53.9176	22	36.972
Dm_00010172-RA	258	77.0917	1	1.17537
Dm_00009367-RA	1566	1371.55	439	29.0023
Dm_00009368-RA	171	16.4407	35	192.898
Dm_00009369-RA	984	789.555	227	26.051
Dm_00009983-RA	1065	870.555	14	1.45718
Dm_00009982-RA	975	780.555	13	1.50911
Dm_00009984-RA	537	343.017	0	0
Dm_00009718-RA	1158	963.555	1637	153.941
Dm_00009717-RA	753	558.555	193	31.3092
Dm_00009950-RA	1842	1647.55	3	0.164992
Dm_00009953-RA	1437	1242.55	337	24.5751
Dm_00009948-RA	1638	1443.55	355	22.2831
Dm_00009949-RA	879	684.555	106	14.0307
Dm_00009951-RA	729	534.663	1	0.169473
Dm_00009952-RA	444	250.582	0	0
Dm_00009009-RA	738	543.555	3	0.500102
Dm_00009010-RA	303	115.333	8.11805	6.3779
Dm_00009007-RA	891	696.555	0	0
Dm_00009008-RA	1164	969.555	98	9.15872
Dm_00009011-RA	3048	2853.55	11.0083	0.349556
Dm_00009012-RA	684	489.663	3	0.555143
