target_id	length	eff_length	est_counts	tpm
Dm_00006276-RA	1017	807.098	71	5.48837
Dm_00008772-RA	1272	1062.1	57	3.34828
Dm_00008770-RA	1722	1512.1	259	10.6864
Dm_00008771-RA	636	426.696	64	9.35777
Dm_00008682-RA	906	696.098	1503	134.71
Dm_00008591-RA	1308	1098.1	218	12.3859
Dm_00008592-RA	2436	2226.1	481	13.4807
Dm_00008593-RA	759	549.211	4937	560.835
Dm_00008594-RA	969	759.098	1390	114.243
Dm_00010209-RA	468	260.819	0	0
Dm_00010051-RA	693	483.474	7	0.903308
Dm_00009727-RA	234	55.9166	0	0
Dm_00009728-RA	1161	951.098	0	0
Dm_00009413-RA	1368	1158.1	227	12.229
Dm_00009412-RA	2105	1895.1	536	17.6459
Dm_00009411-RA	2682	2472.1	143	3.60895
Dm_00009410-RA	432	225.749	7	1.93456
Dm_00009021-RA	1668	1458.1	794	33.9739
Dm_00009020-RA	414	208.518	10	2.99204
Dm_00009748-RA	1554	1344.1	688	31.9351
Dm_00009749-RA	1092	882.098	751	53.1171
Dm_00009750-RA	941	731.098	250	21.3342
Dm_00010290-RA	1116	906.098	113	7.78062
Dm_00010291-RA	969	759.098	745	61.2307
Dm_00007855-RA	945	735.098	673	57.119
Dm_00007856-RA	786	576.098	268	29.0235
Dm_00007858-RA	2466	2256.1	1766	48.8364
Dm_00007859-RA	2304	2094.1	836	24.9069
Dm_00007857-RA	873	663.098	41	3.8576
Dm_00009353-RA	471	263.66	43	10.175
Dm_00009317-RA	312	116.418	353	189.175
Dm_00010173-RA	1548	1338.1	365	17.0183
Dm_00010171-RA	228	51.8034	25	30.1088
Dm_00010172-RA	258	73.5499	1	0.84826
Dm_00009367-RA	1566	1356.1	774	35.6091
Dm_00009368-RA	171	16.1039	52	201.457
Dm_00009369-RA	984	774.098	185	14.9103
Dm_00009983-RA	1065	855.098	36	2.62662
Dm_00009982-RA	975	765.098	15	1.22317
Dm_00009984-RA	537	328.432	0	0
Dm_00009718-RA	1158	948.098	2279	149.969
Dm_00009717-RA	753	543.265	238	27.3323
Dm_00009950-RA	1842	1632.1	6	0.229359
Dm_00009953-RA	1437	1227.1	703	35.7427
Dm_00009948-RA	1638	1428.1	453	19.7902
Dm_00009949-RA	879	669.098	122	11.3758
Dm_00009951-RA	729	519.425	0	0
Dm_00009952-RA	444	237.47	0	0
Dm_00009009-RA	738	528.425	2.0019	0.236358
Dm_00009010-RA	303	108.972	16.2627	9.31079
Dm_00009007-RA	891	681.098	0	0
Dm_00009008-RA	1164	954.098	110.635	7.23452
Dm_00009011-RA	3048	2838.1	42.9885	0.94501
Dm_00009012-RA	684	474.474	1	0.131492
Dm_00010080-RA	1113	903.098	13	0.898089
Dm_00010081-RA	354	153.057	294	119.841
Dm_00010084-RA	1518	1308.1	494	23.5612
Dm_00010083-RA	1140	930.098	264	17.7087
Dm_00010082-RA	375	172.015	26	9.43014
Dm_00010098-RA	1200	990.098	0	0
Dm_00010096-RA	390	185.993	0	0
Dm_00010097-RA	666	456.474	154	21.0482
Dm_00008796-RA	414	208.518	0	0
Dm_00010370-RA	1886	1676.1	605	22.5199
Dm_00010369-RA	192	28.3823	0	0
Dm_00009774-RA	1998	1788.1	387	13.503
Dm_00009775-RA	354	153.057	159	64.812
Dm_00010288-RA	1401	1191.1	949	49.7084
Dm_00009493-RA	963	753.098	304	25.1845
Dm_00009494-RA	984	774.098	172	13.8626
Dm_00009495-RA	714	504.425	0	0
Dm_00006316-RA	993	783.098	10	0.7967
Dm_00008938-RA	897	687.098	206	18.7051
Dm_00008942-RA	1680	1470.1	471	19.9888
Dm_00008940-RA	834	624.098	143	14.2953
Dm_00008939-RA	651	441.564	158	22.3241
Dm_00008941-RA	531	322.497	124	23.9887
Dm_00010031-RA	3168	2958.1	748	15.7761
Dm_00009533-RA	1185	975.098	10	0.639827
Dm_00009536-RA	1041	831.098	125.595	9.42823
Dm_00009535-RA	792	582.098	2404	257.661
Dm_00009534-RA	1146	936.098	915	60.9833
Dm_00009696-RA	606	396.903	1	0.157191
Dm_00009720-RA	456	249.127	9	2.25389
Dm_00009719-RA	795	585.098	0	0
Dm_00009254-RA	1287	1077.1	52	3.01203
Dm_00009255-RA	4353	4143.1	77	1.15952
Dm_00009256-RA	834	624.098	604	60.3803
Dm_00009072-RA	282	91.9403	0	0
Dm_00009813-RA	6525	6315.1	942	9.3064
Dm_00009814-RA	2781	2571.1	156	3.78545
Dm_00009915-RA	564	355.093	0	0
Dm_00009914-RA	258	73.5499	0	0
Dm_00009695-RA	2650	2440.1	544	13.9092
Dm_00009694-RA	624	414.822	117	17.5969
Dm_00009693-RA	861	651.098	112	10.7321
Dm_00008273-RA	1188	978.098	39	2.48767
Dm_00008274-RA	912	702.098	93	8.26412
Dm_00008656-RA	612	402.863	0	0
Dm_00009771-RA	1848	1638.1	475	18.0911
Dm_00010784-RA	594	384.981	0	0
Dm_00010112-RA	711	501.425	2459	305.959
Dm_00010111-RA	402	197.195	438	138.576
Dm_00009955-RA	255	71.3687	39	34.0932
Dm_00009954-RA	1899	1689.1	338	12.4846
Dm_00010107-RA	1728	1518.1	445.694	18.3167
Dm_00010108-RA	582	373.058	12	2.00686
Dm_00010391-RA	2043	1833.1	2316	78.825
Dm_00010390-RA	711	501.425	0	0
Dm_00008774-RA	1182	972.098	448	28.7527
Dm_00008773-RA	2106	1896.1	460	15.1359
Dm_00009260-RA	264	78.0026	3891	3112.17
Dm_00009262-RA	1596	1386.1	1268	57.0737
Dm_00009259-RA	873	663.098	21	1.97584
Dm_00009261-RA	858	648.098	369	35.522
Dm_00010532-RA	2697	2487.1	197	4.94179
Dm_00008895-RA	687	477.474	607	79.314
Dm_00010337-RA	1866	1656.1	1654	62.3104
Dm_00010336-RA	1530	1320.1	558	26.3718
Dm_00010339-RA	1194	984.098	20	1.26795
Dm_00010335-RA	630	420.738	287	42.558
Dm_00010338-RA	594	384.981	422	68.3887
Dm_00008749-RA	558	349.164	559	99.8834
Dm_00008748-RA	213	41.6172	52.1262	78.1438
Dm_00008876-RA	1122	912.098	110	7.52423
Dm_00008877-RA	1599	1389.1	0	0
Dm_00008875-RA	630	420.738	0	0
Dm_00009056-RA	951	741.098	0	0
Dm_00010140-RA	3342	3132.1	7	0.139436
Dm_00009531-RA	459	252.051	0	0
Dm_00009530-RA	525	316.626	0	0
Dm_00009739-RA	1890	1680.1	166	6.16431
Dm_00009740-RA	1218	1008.1	94	5.8175
Dm_00009741-RA	2091	1881.1	298	9.88362
Dm_00010362-RA	240	60.1108	438	454.603
Dm_00010363-RA	1167	957.098	0	0
Dm_00010361-RA	534	325.465	0	0
Dm_00009129-RA	2028	1818.1	611	20.9669
Dm_00009128-RA	915	705.098	94	8.31744
Dm_00009306-RA	1404	1194.1	2	0.104496
Dm_00009305-RA	1164	954.098	268	17.5248
Dm_00009307-RA	1806	1596.1	1401	54.7633
Dm_00009499-RA	183	23.0655	294	795.235
Dm_00009501-RA	870	660.098	0	0
Dm_00009500-RA	498	290.079	1633	351.222
Dm_00010493-RA	3159	2949.1	32	0.676974
Dm_00010494-RA	1440	1230.1	2894	146.781
Dm_00009313-RA	1662	1452.1	387.364	16.6431
Dm_00009314-RA	420	214.218	33.2772	9.69174
Dm_00009349-RA	687	477.474	358	46.7783
Dm_00009351-RA	1443	1233.1	255	12.9019
Dm_00009352-RA	3111	2901.1	0	0
Dm_00009350-RA	648	438.696	4	0.568863
Dm_00009554-RA	933	723.098	315	27.1784
Dm_00010117-RA	876	666.098	201	18.8265
Dm_00010120-RA	1881	1671.1	476	17.7712
Dm_00010119-RA	4431	4221.1	422	6.23732
Dm_00010118-RA	1494	1284.1	272.071	13.2189
Dm_00007975-RA	1485	1275.1	435	21.2842
Dm_00007974-RA	942	732.098	1048	89.3106
Dm_00007970-RA	447	240.326	96	24.922
Dm_00007971-RA	1302	1092.1	863.822	49.3485
Dm_00007973-RA	762	552.211	0	0
Dm_00007972-RA	1257	1047.1	52.1778	3.10892
Dm_00008368-RA	1161	951.098	1057	69.3363
Dm_00008369-RA	585	376.058	12	1.99085
Dm_00008843-RA	1494	1284.1	722	35.0792
Dm_00008840-RA	2103	1893.1	246.287	8.11671
Dm_00008839-RA	1515	1305.1	61.7125	2.95013
Dm_00008841-RA	1482	1272.1	141	6.91528
Dm_00008842-RA	942	732.098	189	16.1066
Dm_00008381-RA	606	396.903	783	123.08
Dm_00008383-RA	846	636.098	381.046	37.3736
Dm_00008384-RA	387	183.181	115	39.1678
Dm_00008382-RA	384	180.366	133.954	46.3352
Dm_00009073-RA	546	337.266	0	0
Dm_00010371-RA	240	60.1108	224	232.491
Dm_00008977-RA	2196	1986.1	685.359	21.5292
Dm_00008976-RA	996	786.098	490	38.8893
Dm_00008269-RA	1308	1098.1	9	0.511343
Dm_00008270-RA	723	513.425	3	0.364548
Dm_00009303-RA	801	591.098	389	41.0583
Dm_00009304-RA	408	202.769	1.5994	0.492114
Dm_00009862-RA	462	255	0	0
Dm_00010316-RA	594	384.981	0	0
Dm_00008332-RA	1092	882.098	211	14.9237
Dm_00008333-RA	789	579.098	114	12.2819
Dm_00009851-RA	1779	1569.1	175	6.95823
Dm_00009850-RA	864	654.098	65	6.19986
Dm_00009852-RA	1932	1722.1	293	10.615
Dm_00008652-RA	2698	2488.1	63	1.57973
Dm_00008653-RA	456	249.127	9	2.25389
Dm_00010127-RA	3123	2913.1	215	4.60463
Dm_00010128-RA	624	414.822	29	4.36161
Dm_00010221-RA	816	606.098	0	0
Dm_00009485-RA	1305	1095.1	126	7.17842
Dm_00009484-RA	597	387.981	7.02055	1.12894
Dm_00009483-RA	705	495.425	1344	169.251
Dm_00009766-RA	960	750.098	0	0
Dm_00009765-RA	2610	2400.1	87	2.26152
Dm_00010378-RA	711	501.425	0	0
Dm_00010377-RA	426	220.02	0	0
Dm_00010379-RA	912	702.098	67	5.95372
Dm_00010380-RA	804	594.098	8	0.840123
Dm_00011200-RA	603	393.903	231	36.5876
Dm_00011194-RA	834	624.098	380	37.9876
Dm_00011196-RA	2163	1953.1	6	0.191663
Dm_00011199-RA	1188	978.098	467	29.7883
Dm_00011195-RA	414	208.518	3	0.897612
Dm_00011197-RA	1131	921.098	17.883	1.21128
Dm_00011198-RA	1170	960.098	1079.12	70.1236
Dm_00009322-RA	408	202.769	4	1.23075
Dm_00009173-RA	930	720.098	299	25.9054
Dm_00010234-RA	318	121.369	0	0
Dm_00008901-RA	750	540.265	38.4214	4.43687
Dm_00008900-RA	894	684.098	11.3311	1.03339
Dm_00010652-RA	777	567.155	4	0.440017
Dm_00010647-RA	1941	1731.1	36	1.29745
Dm_00010650-RA	657	447.564	797	111.1
Dm_00010649-RA	1995	1785.1	663	23.1719
Dm_00010651-RA	1341	1131.1	519	28.6272
Dm_00010648-RA	723	513.425	24	2.91639
Dm_00010646-RA	528	319.594	4	0.780859
Dm_00010164-RA	408	202.769	143	43.9992
Dm_00010421-RA	828	618.098	231	23.3166
Dm_00010420-RA	1392	1182.1	1179	62.2259
Dm_00009801-RA	1734	1524.1	7	0.286547
Dm_00009800-RA	1716	1506.1	85	3.52109
Dm_00009798-RA	1611	1401.1	453	20.1716
Dm_00009799-RA	1467	1257.1	196	9.72743
Dm_00009312-RA	519	310.751	0	0
Dm_00007301-RA	1323	1113.1	276	15.4699
Dm_00007300-RA	966	756.098	3	0.247545
Dm_00007299-RA	822	612.098	43	4.38287
Dm_00009192-RA	321	124.041	1493	750.941
Dm_00009194-RA	267	80.2135	145	112.78
Dm_00009195-RA	1416	1206.1	1539	79.6099
Dm_00009193-RA	1752	1542.1	1029	41.6308
Dm_00010289-RA	672	462.474	0	0
Dm_00008947-RA	786	576.098	50	5.41483
Dm_00008948-RA	1254	1044.1	39	2.33042
Dm_00009414-RA	570	361.058	616	106.443
Dm_00014138-RA	990	780.098	503	40.2281
Dm_00014137-RA	843	633.098	73	7.19388
Dm_00015402-RA	885	675.098	0	0
Dm_00016788-RA	492	284.251	1	0.219487
Dm_00016474-RA	294	101.667	0	0
Dm_00016149-RA	858	648.098	5.02752	0.483977
Dm_00014645-RA	1107	897.098	84	5.84185
Dm_00014644-RA	407	201.831	0	0
Dm_00016366-RA	666	456.474	113	15.4445
Dm_00016532-RA	933	723.098	0	0
Dm_00015810-RA	1704	1494.1	182	7.59982
Dm_00015512-RA	567	358.058	272	47.3944
Dm_00016139-RA	741	531.372	218	25.5958
Dm_00016783-RA	624	414.822	0	0
Dm_00015341-RA	264	78.0026	1749.33	1399.18
Dm_00016642-RA	858	648.098	197	18.9643
Dm_00016029-RA	1644	1434.1	519.058	22.5813
Dm_00016643-RA	588	379.058	0	0
Dm_00016275-RA	1719	1509.1	504	20.8365
Dm_00016772-RA	975	765.098	15	1.22317
Dm_00016771-RA	2292	2082.1	405	12.1357
Dm_00013961-RA	444	237.47	13	3.41544
Dm_00016305-RA	1212	1002.1	821	51.1145
Dm_00016708-RA	3150	2940.1	237	5.02918
Dm_00013640-RA	597	387.981	0	0
Dm_00016809-RA	1104	894.098	623	43.4724
Dm_00015837-RA	1077	867.098	236	16.9807
Dm_00015838-RA	408	202.769	140.702	43.2922
Dm_00015839-RA	522	313.657	29	5.76838
Dm_00015990-RA	1080	870.098	0	0
Dm_00016743-RA	1443	1233.1	3866.51	195.629
Dm_00016742-RA	321	124.041	229.492	115.428
Dm_00016468-RA	5718	5508.1	156	1.76699
Dm_00014482-RA	321	124.041	0	0
Dm_00014481-RA	1055	845.098	1	0.0738251
Dm_00016789-RA	948	738.098	145.361	12.2869
Dm_00015909-RA	405	199.933	0	0
Dm_00015496-RA	369	166.693	0	0
Dm_00016839-RA	660	450.519	0	0
Dm_00016689-RA	1410	1200.1	0	0
Dm_00015373-RA	462	255	0	0
Dm_00015374-RA	1053	843.098	8	0.592002
Dm_00015650-RA	399	194.374	0	0
Dm_00015652-RA	435	228.658	0	0
Dm_00015651-RA	282	91.9403	0	0
Dm_00015672-RA	669	459.474	0	0
Dm_00015674-RA	783	573.155	735	80.0066
Dm_00015673-RA	606	396.903	514	80.796
Dm_00015675-RA	231	53.8843	0	0
Dm_00015023-RA	1506	1296.1	721	34.7063
Dm_00015688-RA	231	53.8843	0	0
Dm_00016330-RA	282	91.9403	0	0
Dm_00016331-RA	876	666.098	0	0
Dm_00016528-RA	645	435.696	2	0.28639
Dm_00014412-RA	1089	879.098	2	0.14194
Dm_00016782-RA	477	269.501	0	0
Dm_00015656-RA	561	352.164	0	0
Dm_00015655-RA	216	43.572	0	0
Dm_00015654-RA	336	137.133	0	0
Dm_00015657-RA	1185	975.098	0	0
Dm_00015653-RA	507	298.873	0	0
Dm_00016706-RA	1569	1359.1	62	2.84611
Dm_00016604-RA	1665	1455.1	0	0
Dm_00016107-RA	963	753.098	21	1.73972
Dm_00015070-RA	2595	2385.1	3	0.0784741
Dm_00015068-RA	1323	1113.1	2	0.112101
Dm_00015069-RA	1272	1062.1	2281	133.99
Dm_00016551-RA	2223	2013.1	466	14.4422
Dm_00016552-RA	999	789.098	0	0
Dm_00016162-RA	618	408.863	0	0
Dm_00016358-RA	345	145.217	78	33.5111
Dm_00016797-RA	1875	1665.1	434	16.2615
Dm_00015710-RA	360	158.427	160	63.009
Dm_00014888-RA	1707	1497.1	3	0.125021
Dm_00016690-RA	846	636.098	1	0.0980815
Dm_00016692-RA	249	66.9166	0	0
Dm_00016691-RA	315	118.898	0	0
Dm_00016754-RA	918	708.098	0	0
Dm_00016755-RA	588	379.058	0	0
Dm_00016756-RA	2772	2562.1	0	0
Dm_00015954-RA	315	118.898	0	0
Dm_00016775-RA	1131	921.098	18	1.21921
Dm_00016774-RA	510	301.813	46	9.50893
Dm_00015349-RA	963	753.098	76.7808	6.36081
Dm_00016028-RA	1137	927.098	0	0
Dm_00015219-RA	336	137.133	0	0
Dm_00014111-RA	1275	1065.1	175	10.2508
Dm_00015965-RA	660	450.519	6	0.830901
Dm_00015753-RA	528	319.594	269	52.5128
Dm_00015754-RA	576	367.058	0	0
Dm_00016597-RA	1098	888.098	17	1.19426
Dm_00017508-RA	444	237.47	19	4.99179
Dm_00017509-RA	261	75.8164	16	13.1664
Dm_00017510-RA	1083	873.098	71	5.07349
Dm_00013987-RA	1200	990.098	0	0
Dm_00015912-RA	270	82.4578	0	0
Dm_00012189-RA	729	519.425	65	7.80731
Dm_00012190-RA	837	627.098	342	34.0253
Dm_00016277-RA	2199	1989.1	10	0.313657
Dm_00016766-RA	2370	2160.1	225	6.4986
Dm_00016764-RA	972	762.098	68	5.56685
Dm_00016765-RA	354	153.057	0	0
